"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.199586300E-2,-1.740637779E0,4.783761024E0,7.807730198E0
1.039891450E-1,-2.585816681E-1,-2.123721838E0,-2.889889717E0
1.559830650E-1,4.834040642E0,7.776604652E0,1.778946161E0
2.079769540E-1,5.614574432E0,8.858817071E-2,-1.034326744E1
2.599701130E-1,2.063864946E0,-2.150058746E0,-3.658451796E0
3.119634380E-1,2.025556564E0,-6.507638931E0,1.069761944E1
3.639568980E-1,3.198751211E0,-1.783016396E1,5.700768471E0
4.159501240E-1,-6.804529190E0,-2.879594231E1,7.594639778E0
4.679435830E-1,-1.715976715E1,-6.601015568E0,5.478100777E0
5.199370760E-1,-7.570696831E0,-1.419565487E1,1.259867382E1
5.719305650E-1,-6.651295185E0,-9.823709488E0,1.430579185E1
6.239246190E-1,-6.548341751E0,-4.108575344E0,8.265036583E0
6.759178120E-1,-4.963331699E0,-3.806896806E-1,5.473312378E0
7.279110710E-1,-3.773377180E0,4.053507328E0,4.771789551E0
7.799044300E-1,-9.864411950E-1,2.308080912E0,1.953728199E0
8.318984860E-1,5.229096413E0,-1.814860344E0,-9.205986977E0
8.838942450E-1,8.801354408E0,2.597788095E0,-2.164424515E1
9.358874700E-1,4.869955063E0,5.068679810E0,-8.882759809E-1
9.878808950E-1,-1.446141958E0,-1.308231735E1,1.621163559E1
1.039874122E0,-5.073468208E0,-2.581986046E1,2.719177818E1
1.091867714E0,-3.009603500E0,-2.403851891E1,-3.237059593E0
1.143860840E0,-1.601769805E0,-1.392510223E1,1.145181656E1
1.195854199E0,-1.032171917E1,-1.216291547E0,1.040073013E1
1.247848056E0,-3.627326250E0,-2.863552570E0,1.476549244E1
1.299841743E0,-7.491685867E0,-4.024775982E0,6.330462456E0
1.351835202E0,-5.401484013E0,-3.380716085E0,1.573517418E1
1.403828495E0,-4.139701366E0,-5.530774593E-1,1.018524456E1
1.455821788E0,4.597007632E-1,1.537124395E0,8.672063828E0
1.507815114E0,-2.746233225E0,1.142069101E0,7.376760483E0
1.559808440E0,-2.408640385E0,4.788549617E-2,-1.280937076E0
1.611801932E0,-5.047131062E0,-8.217150688E0,-5.806116581E0
1.663795521E0,-4.838829517E0,-5.413455486E0,-2.492439985E0
1.715789643E0,1.105436707E1,-6.344828010E-1,5.355992794E0
1.767782870E0,-1.077423692E0,-8.794171333E0,1.233530426E1
1.819776161E0,-6.730306625E0,-1.924996948E1,3.742251635E0
1.871770118E0,-1.230178356E1,-2.518058777E1,1.884773064E1
1.923766407E0,1.244544029E1,-8.097437859E0,1.825634575E1
1.975760301E0,1.228263021E0,-1.142069101E0,1.991078949E1
2.027753595E0,-6.835654736E0,2.394274771E-1,1.495224571E1
2.079746887E0,-1.095141315E1,8.068706393E-1,1.038397026E1
2.131740280E0,-6.656084061E0,-3.378321648E0,1.010862827E1
2.183733805E0,-1.049171257E1,-6.019207001E0,8.612206459E0
2.235726830E0,-4.592218876E0,7.518022656E-1,7.000859737E0
2.287720653E0,-1.862745762E0,-1.005595401E-1,8.085466385E0
2.339714574E0,-1.996825218E0,1.292908341E-1,2.109356165E0
2.391707800E0,-3.644086361E0,-2.980872154E0,4.391099930E0
2.443701458E0,-7.077476501E0,-3.660846233E0,9.577099234E-3
2.495694784E0,-1.956122518E0,-2.537931204E-1,-1.802888989E0
2.547687977E0,-1.970488191E0,-3.414235830E0,-4.958543301E0
2.599681203E0,-3.550709486E0,-2.794118643E0,-6.703969240E-1
2.651674663E0,-1.154040456E0,-7.450983047E0,9.337671280E0
2.703668683E0,-9.613013268E0,-8.772623062E0,1.168645573E1
2.755662405E0,5.492466450E0,-1.626909637E1,1.500013161E1
2.807655631E0,-7.405491829E0,-1.479183006E1,2.288926697E1
2.859648990E0,-6.713546753E0,4.405465722E-1,1.687005997E1
2.911642581E0,-1.071437931E1,-4.333637238E0,9.921875000E0
2.963640170E0,-9.117398262E0,-7.125361919E0,1.210545349E1
3.015638025E0,-8.147717476E0,-7.127756119E0,1.249571991E1
3.067632218E0,-1.223474407E1,-2.312869549E0,9.735121727E0
3.118380694E0,1.039115310E0,2.394274712E0,-1.315175152E1
3.170373887E0,6.847625732E0,2.468497276E0,-8.305739403E0
3.222367246E0,1.221080124E-1,-3.603383541E0,1.320442581E1
3.274361465E0,-9.007262230E0,-1.982220078E1,1.721483612E1
3.326354888E0,-7.058321953E0,-2.795076370E1,6.596227169E0
3.378348214E0,-1.585249329E1,-1.326188850E1,9.028810501E0
3.430341707E0,-1.029298782E1,-9.962577820E0,8.976136208E0
3.482334999E0,-6.091034889E0,-7.697593689E0,1.017566776E1
3.534328258E0,-5.399089813E0,-4.527573586E0,9.103033066E0
3.586321650E0,-5.363175392E0,-6.610592842E0,8.332076073E0
3.638314943E0,-5.858790398E0,-5.818087578E0,7.371972084E0
3.690308963E0,-7.072687626E0,-1.455719113E0,2.442160368E0
3.742302586E0,-4.283357620E0,2.669616461E0,4.702355862E0
