"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.199271500E-2,1.068357587E0,-1.991927743E0,8.611507416E-1
1.039859490E-1,1.249173641E0,-2.093331337E0,1.111605644E0
1.559794750E-1,2.905229330E0,-2.618064642E0,2.150076389E0
2.079729010E-1,3.925374269E0,-2.569806099E0,3.153728008E0
2.599659590E-1,5.036538124E0,-2.980918407E0,2.249036551E0
3.119603780E-1,-1.533729881E-1,-2.515726388E-1,1.172692060E0
3.639536700E-1,-3.819175243E0,4.955155551E-1,-7.148815393E-1
4.159469280E-1,-5.674373150E0,-1.110736281E-1,-1.854756117E0
4.679402540E-1,-5.496000290E0,3.251739502E0,-1.594527483E0
5.199337470E-1,-4.265717983E0,6.208938122E0,-2.041680813E0
5.719270060E-1,1.124557137E0,8.450202942E0,2.023016453E0
6.239205320E-1,1.828273773E0,-1.263776422E0,1.871521831E0
6.759136920E-1,3.111090899E0,-2.045073032E0,8.165576458E-1
7.279080100E-1,2.901564121E0,-6.858978271E-1,9.698848128E-1
7.799014010E-1,2.313300848E0,-2.104326963E0,-2.573434711E-1
8.318946610E-1,1.191752315E0,-1.210631132E0,9.943193793E-1
8.838879870E-1,1.067135692E0,-2.208173990E0,7.976207733E-1
9.358812120E-1,1.203358769E0,-2.244825840E0,-6.003400311E-2
9.878765010E-1,-1.959350146E-2,-1.822211035E-2,-3.660774827E-1
1.039871094E0,-1.982914448E0,-2.357225180E0,-1.685546398E0
1.091864385E0,-4.734251499E0,1.331790090E0,-1.465023994E0
1.143857711E0,-5.216224194E0,3.434998989E0,-5.713281631E-1
1.195851037E0,-3.533901453E0,4.232178211E0,-1.752130747E0
1.247844496E0,-1.893117189E0,2.422184467E0,1.322353959E0
1.299837656E0,5.784435272E-1,4.783178806E0,1.843422174E0
1.351831015E0,1.925401449E0,-1.473303080E0,2.295161337E-1
1.403825235E0,3.336500168E0,-1.239017919E-1,1.170859456E0
1.455818625E0,3.938202381E0,-1.389003634E0,2.800647974E0
1.507812018E0,4.321825504E0,-1.982764721E0,1.382829666E0
1.559805344E0,3.712182283E0,-2.589964867E0,-3.233169317E-1
1.611798570E0,2.304748774E0,1.045618057E-1,-3.404211402E-1
1.663791963E0,1.753137469E0,-1.746036112E-1,-5.114634037E-1
1.715785322E0,2.076483667E-1,6.836620569E-1,-6.006497145E-1
1.767778648E0,-1.199174285E0,-6.009875536E-1,-7.655833960E-1
1.819772834E0,-1.803930879E0,-4.733490944E0,-5.365089178E-1
1.871766392E0,-4.400719166E0,-3.419806957E-1,-1.068572521E0
1.923759552E0,-6.053719997E0,4.148489952E0,5.044054985E-1
1.975753110E0,-6.354876995E0,1.582855701E0,-6.553179026E-2
2.027747899E0,-1.533729881E-1,-5.900243759E0,-9.974024445E-2
2.079743825E0,1.978745311E-1,1.639055252E0,-1.022146821E0
2.131737051E0,8.667719960E-1,6.384867191E0,5.587724447E-1
2.183730344E0,2.632172585E0,2.470442772E0,1.202624559E0
2.235723769E0,3.756775379E0,-1.867311120E0,2.302181959E0
2.287717261E0,3.274191856E0,-9.290221930E-1,2.143967867E0
2.339710520E0,3.105592966E0,-1.493461728E0,1.557537079E0
2.391703646E0,2.359115839E0,-1.059136510E0,3.742912114E-1
2.443697832E0,1.834993362E0,4.875743091E-1,-3.514167070E-1
2.495691290E0,1.101955056E0,1.218780041E0,1.916424781E-1
2.547684714E0,7.885812521E-1,1.463736892E0,4.109431207E-1
2.599678273E0,1.423881054E0,-4.510018229E-2,1.049908161E0
2.651671433E0,1.080773324E-1,-5.753312111E-1,6.003113389E-1
2.703664759E0,-2.841790915E0,-9.946718812E-2,1.067012310E0
2.755658019E0,-5.020136356E0,-1.743916392E0,2.484529465E-1
2.807651677E0,-6.040281296E0,-1.638236642E0,-6.305821538E-1
2.859645695E0,-6.411687374E0,-1.994371176E0,1.258824110E0
2.911639254E0,-4.629182816E0,1.433804512E0,-5.697967857E-2
2.963632380E0,-8.149400353E-1,2.806418657E0,2.160461187E0
3.015625972E0,1.166706800E0,-3.288287669E-2,2.445735455E0
3.067620462E0,1.051253319E0,-8.789312243E-1,3.571559906E0
3.119619350E0,2.112936974E0,-1.863646030E0,2.077994347E0
3.171615674E0,1.598588467E0,5.016242266E-1,2.772548199E0
3.222192809E0,1.514899969E0,-1.497126818E0,3.227642775E0
3.274186168E0,9.626777768E-1,-1.751246810E0,4.084075928E0
3.326179561E0,1.397613883E0,-2.405483484E0,4.398671150E0
3.378172820E0,3.580235243E0,-4.293344021E-1,4.579487324E0
3.430166246E0,1.691440105E0,-5.160772800E-1,4.034595490E0
3.482159572E0,-1.266369462E0,1.136924028E0,3.222755909E0
3.534153293E0,-3.722658634E0,3.696773052E-1,2.961004376E-1
3.586147248E0,-5.217445850E0,9.041844010E-1,-2.597869337E-1
3.638140540E0,-6.078765392E0,2.896539569E-1,-9.134128094E-1
3.690133800E0,-6.255306244E0,2.569403172E0,-1.268936276E0
3.742127393E0,-5.304800034E0,6.241313934E0,-1.568871260E0
3.794120718E0,8.506298065E-3,3.274952412E0,2.756054640E0
3.846113878E0,1.692661762E0,-4.302831173E0,3.694042563E-1
3.898107271E0,1.508791327E0,1.050792098E0,2.335779428E0
3.950100893E0,1.673725009E0,-5.997658372E-1,9.020787477E-1
