"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.999413200E-2,1.576171970E1,-1.203116798E1,-1.099086380E1
1.199867650E-1,1.793773460E1,-1.083837318E1,-1.230505943E1
1.799803930E-1,1.893133354E1,-1.111506844E1,-1.173413467E1
2.399741680E-1,1.799236870E1,-1.159497261E1,-1.145395947E1
2.999676970E-1,1.700844765E1,-1.198930931E1,-1.108947182E1
3.599609630E-1,1.584510422E1,-1.236676216E1,-1.048949242E1
4.199542960E-1,-4.271399021E0,-4.048932076E0,4.790620804E0
4.799469600E-1,-4.220118046E0,-1.137894154E1,-5.956185341E0
5.399396230E-1,-5.764756203E-1,-6.968512535E-1,-5.361462116E0
5.999321870E-1,-2.660207272E0,-7.216289043E0,-7.554271221E0
6.599247830E-1,-3.504251719E0,-1.212475395E1,9.877407551E-1
7.199172470E-1,-3.446427345E0,-2.395569992E1,1.083955669E1
7.799097770E-1,-5.560283661E0,-3.598692322E1,-1.090858459E0
8.399019740E-1,-1.564418602E1,-1.187866592E1,-3.151577473E0
8.998942380E-1,-6.130957603E0,-2.083445740E1,4.669613838E0
9.598866690E-1,-6.777204514E0,-1.577831745E1,5.444298744E0
1.019879199E0,-7.182395458E0,-1.144825363E1,2.121893883E0
1.079871729E0,-5.057574272E0,-5.725053787E0,-1.450713634E0
1.139864292E0,-3.060166359E0,-4.050154686E0,-2.260178566E0
1.199856924E0,4.187534332E0,-1.014021301E1,-1.331279469E1
1.259849956E0,7.927604675E0,-6.602784157E0,-1.399557686E1
1.319842887E0,5.929103374E0,-8.437151909E0,-3.034013271E0
1.379835818E0,-4.254137516E0,-2.905115128E1,1.701789665E1
1.439828716E0,8.601571083E0,-1.741920471E1,-1.532745457E1
1.499821480E0,1.651496530E0,-2.252743912E1,4.641879082E0
1.559813745E0,-4.598700523E0,-5.847296238E0,-1.479735374E-1
1.619806142E0,4.638869762E-1,-6.098813534E0,6.780942917E0
1.679798672E0,-3.801474333E0,-7.192068577E0,-8.051915169E-1
1.739791136E0,-2.642386913E0,-1.181022358E1,5.528827190E0
1.799783699E0,7.222795486E-1,-6.551514626E0,2.382805824E0
1.859776163E0,1.202659130E0,-4.664832115E0,2.446154594E0
1.919768626E0,-8.901793957E-1,-6.239004135E0,-4.243446827E0
1.979760890E0,-2.068322659E0,-1.591529369E1,-1.200638390E1
2.039753387E0,-4.857945442E-1,-1.233343697E1,-8.154252052E0
2.099745918E0,1.008497715E1,-9.966909409E0,-3.856267452E0
2.159738514E0,5.885296822E0,-1.470598125E1,1.496137619E0
2.219731046E0,-1.122274780E1,-2.675676155E1,-5.216430664E0
2.279724045E0,8.200567245E0,-9.587162971E0,9.951076508E0
2.339717210E0,6.487003326E0,2.503601074E0,1.203442001E1
2.399710340E0,-6.230945587E-1,2.802611589E0,7.788876057E0
2.459703404E0,-3.606149673E0,1.819066763E0,4.177387714E0
2.519696434E0,-1.837872982E0,-7.541001320E0,3.094463825E0
2.579689099E0,-3.336938381E0,-4.805211544E0,2.512607574E-1
2.639681463E0,2.858390808E0,-2.397544384E0,1.291847229E0
2.699673961E0,3.310451508E0,-5.572418213E0,-4.021902084E0
2.759666491E0,2.161272049E0,-6.981338501E0,-1.426064491E0
2.819659054E0,-1.080988407E0,-8.083002090E0,-4.667244911E0
2.879651584E0,5.674868584E0,-4.747966290E0,-9.966129303E0
2.939644081E0,1.486777782E0,-7.814684391E0,-1.090180874E1
2.999636312E0,2.967788219E0,-8.700658798E0,-4.209626675E0
3.059628710E0,-1.663547039E0,-8.944767952E0,6.377277374E0
3.119621240E0,9.773012161E0,-7.010627747E0,-1.116533279E0
3.179613770E0,-3.234440327E0,-9.384178162E0,1.652443695E1
3.239606234E0,-1.521673203E0,6.066061020E0,9.797236443E0
3.299599032E0,-4.436065197E0,-2.656797409E0,5.113149643E0
3.359592930E0,-3.892302513E0,-2.109107971E0,3.245692253E0
3.419587260E0,-4.135130405E0,-4.072992802E0,3.267700195E0
3.470165776E0,-6.616436481E0,-6.930383682E0,-2.980747223E-1
3.530160106E0,-1.001764297E0,-2.891705751E0,-4.442517281E0
3.590154303E0,5.563469410E0,-5.507502079E0,1.078010559E0
3.650147434E0,5.810246468E0,-3.702776909E0,-1.118069077E1
3.710139698E0,-2.656626701E0,-7.310531616E0,-1.296059608E1
3.770132161E0,3.704884768E0,-4.525781155E0,-1.165372276E1
3.830124691E0,1.785368800E0,-4.664086819E0,-7.250475883E0
3.890117221E0,3.746465683E0,-5.400400162E-1,-2.717113495E-2
3.950109651E0,6.499299049E0,-4.514035702E0,-5.925592422E0
4.010102181E0,-1.419507599E1,-1.931559181E1,4.860884190E0
4.070094578E0,-8.433656693E0,-4.982714653E-1,7.276094913E0
4.130086909E0,-2.548437119E0,-4.579628944E0,6.076249123E0
4.190079340E0,-4.330281734E0,-3.205073595E0,3.123517990E0
4.250071804E0,-8.178629875E-1,-1.389568567E0,-1.867017746E-1
4.310064334E0,-8.330752850E-1,3.973618507E0,-3.576841354E-1
4.370056864E0,4.997283936E0,1.012897253E0,-9.951610565E-1
4.430049963E0,3.154680490E0,-5.621532202E-1,-4.238221169E0
4.490043194E0,1.365917683E0,-1.912588835E0,-2.567197323E0
4.550036390E0,-2.906125546E0,-4.538014412E0,3.044593811E0
4.610029454E0,3.617102623E0,-2.809459925E0,-8.948261261E0
4.670022584E0,1.069037437E0,-4.855284691E-1,-2.287621307E1
4.730015149E0,6.849840641E0,-1.750647545E0,-1.683249092E1
4.790007580E0,-3.306564808E0,-8.232738495E0,9.960716248E0
4.850000044E0,-1.367762089E-1,-1.812673187E1,-3.316122532E0
4.909992640E0,-1.133162594E1,-1.518564796E1,1.013311863E0
4.969985104E0,-6.280620098E0,-4.625601768E0,2.606613636E0
5.029977634E0,-1.556911469E0,-2.709019661E0,2.698883057E0
5.089969998E0,-1.109632492E0,-1.492333412E-1,1.658599377E0
5.149962429E0,-7.750780582E-1,-3.950002670E0,-3.485190868E0
5.209954760E0,-3.908884764E0,-4.070442677E0,-2.019489765E0
5.269947356E0,-5.214061737E-1,-2.406771183E-1,-4.814156532E0
5.329939820E0,7.527236938E-1,4.000062943E0,-5.256795883E-1
5.389932350E0,1.025242209E0,-1.921034932E0,1.814219475E0
5.449925182E0,4.620023251E0,-9.153547287E-1,-1.215147972E1
5.509919247E0,6.409444332E0,-1.242819309E0,-1.738400269E1
5.569913713E0,4.260393620E0,-1.070704460E0,-1.110819149E1
5.629908246E0,3.581510782E0,-7.985004425E0,3.689548492E0
5.689902812E0,-2.785690546E0,-2.006570816E1,3.029192924E0
5.749896943E0,-2.223007441E0,-2.036962700E1,-1.743407249E0
5.809889875E0,-7.961439610E0,-8.450431824E0,2.175803185E-1
5.869882272E0,-1.248131275E0,-2.997021198E0,-9.439010620E-1
5.929874802E0,3.315830231E-1,-1.003435612E1,1.274881363E0
5.989867299E0,-4.132857323E-1,-3.211617470E0,2.904098511E0
6.049859829E0,1.602616072E0,1.083856940E0,1.862035751E0
6.109852293E0,4.838836193E0,8.473935127E-1,1.171623230E0
6.169844790E0,3.938424826E0,-6.570934057E-1,-4.702458382E0
6.229837121E0,-3.578901291E0,-7.721814632E0,-3.405913830E0
6.289829552E0,-8.528209925E-1,-3.751202106E0,-1.536040115E1
6.349822016E0,-4.310976982E0,1.466116905E0,-1.958697128E1
6.409814612E0,-1.498806238E0,-5.571264267E0,-8.295794487E0
6.469807009E0,-1.454634190E0,-1.234273148E1,1.065413666E1
6.529799706E0,7.802710533E0,-1.278018093E1,-7.798334122E0
6.589793471E0,-5.741387844E0,-1.634272766E1,6.997763157E0
6.649787935E0,-4.082794189E-1,-3.582253933E0,3.843046665E0
6.709782199E0,1.533137798E0,-1.007175732E1,9.402313232E-1
6.769776629E0,1.873793602E-1,-6.581359863E0,2.400875092E0
6.829770727E0,-6.045112610E-1,-4.617671490E0,3.171691895E-1
6.889763658E0,-9.231510162E-1,-8.486117125E-1,-3.517627716E-1
6.949755856E0,2.086391449E-1,8.780540228E-1,-2.053207874E0
7.009748353E0,-5.680121899E0,-9.559934139E-1,-2.872581005E0
7.069740817E0,2.954586744E0,-6.521007061E0,-1.186703968E1
7.129733347E0,8.677047729E0,1.407480240E-1,-1.951360512E1
7.189725911E0,1.449854374E-1,-8.378128052E0,-6.637255192E0
7.249718441E0,-3.034414291E0,-7.725627899E0,-3.352019787E0
7.309710805E0,-2.189737797E0,-1.605200195E1,7.183692932E0
7.369703136E0,5.901250362E0,-1.654478264E1,-1.043495941E1
7.429695633E0,-9.375467300E0,-7.643273830E0,-2.768002033E0
7.489688129E0,-3.873419762E0,-8.111203194E0,-3.030362129E-1
7.549680659E0,-4.530441284E0,-6.956319809E0,3.325301170E0
7.609673157E0,-5.432775497E0,-6.049807549E0,4.521503448E-1
7.669666323E0,-5.675966740E-1,-1.353171110E0,1.073339462E0
7.729659521E0,9.557342529E-1,2.831667900E0,1.163615227E0
7.789652651E0,6.911557913E-1,-2.804523468E0,-2.365863800E0
7.849645715E0,-2.300601959E0,-2.874658346E0,-4.861987591E0
7.909638845E0,-2.788160563E0,-2.240575075E0,-6.465991974E0
7.969631276E0,-8.663026810E0,-1.343919754E1,-1.929576397E0
8.029623707E0,-9.181556702E-1,-6.214861870E-1,-2.035081100E1
8.089616204E0,1.240297318E0,-8.558021545E0,-1.213571930E1
8.149608834E0,-1.971536636E0,-1.538893700E1,1.068871117E1
8.209601331E0,7.383738995E0,-5.329392433E0,-7.483380318E0
8.269593961E0,-5.868590832E0,-1.547713470E1,8.454240799E0
8.329586292E0,-4.305005550E0,-5.269587040E0,7.979993820E0
8.389578590E0,-2.985049248E0,-1.964655399E0,3.627608299E0
8.449570954E0,6.852378845E-1,-1.318616152E0,1.112634659E0
8.509563584E0,2.612069607E0,-2.402506351E0,2.062213898E0
8.569556014E0,1.992581606E0,2.215278387E0,-6.117348671E-1
8.629548544E0,4.261407852E-1,9.327569008E-1,3.441965103E0
8.689541575E0,-5.891734123E0,-2.537917137E0,-6.892583370E0
8.749535640E0,-3.789739609E0,-5.881069660E0,-1.534093380E0
8.809529871E0,5.534354210E0,1.135877132E0,-1.110787392E1
8.869524201E0,1.903088808E0,-8.237364769E0,-1.755031586E1
8.929518531E0,9.353216171E0,-2.025966644E0,-1.374814701E1
8.989512362E0,2.765244961E0,-1.001006317E1,1.121312904E1
9.049505193E0,7.440800190E0,-2.527369499E1,-1.801913738E0
9.109497457E0,7.480320930E-1,-1.921203041E1,6.971136093E0
9.169489921E0,3.006113529E0,-3.953446865E0,1.035064125E1
9.229482451E0,3.323981285E0,-8.956429958E-1,4.861298084E0
9.289474981E0,1.783820629E0,2.071158171E0,4.257489204E0
9.349467279E0,-2.025229454E0,9.968060851E-1,-2.024949074E0
9.409459875E0,-9.297360420E0,-4.758749962E0,-2.007007599E-2
9.469452206E0,-7.960433006E0,-7.002387047E0,5.944453239E0
9.529444537E0,-4.207395554E0,-8.493963242E0,5.779500008E-1
9.589437034E0,2.692877293E0,-4.848261833E0,-1.379248047E1
9.649429630E0,9.776802063E0,-6.149990559E0,-1.129675961E1
9.709422127E0,-4.233317852E0,-7.681776047E0,-9.025655746E0
9.769414858E0,1.928719997E0,-7.773786545E0,-7.658231735E0
9.829408124E0,-1.263727427E0,-2.903337288E1,-3.927963734E0
9.889401288E0,-1.630071259E1,-1.518401814E1,7.739631653E0
9.949394352E0,-8.294967651E0,-5.117345810E0,9.311482430E0
1.000938752E1,-3.892885208E0,1.761360407E0,5.531529427E0
1.006938045E1,-4.340279579E0,4.154020309E0,1.822636604E0
1.012937284E1,4.023332000E-1,1.307047248E0,3.645429611E-1
1.018936537E1,1.519646406E0,1.450678587E0,-1.161159515E0
1.024935790E1,1.246002674E0,-2.316135168E0,1.470698357E0
1.030935037E1,2.145295143E0,-6.048898697E0,-2.921181202E0
1.036934296E1,-2.585709810E0,-9.550241470E0,-6.906892776E0
1.042933543E1,-6.600125313E0,-3.991428137E0,-1.358485794E1
1.048932769E1,-4.023316383E0,-3.822501183E0,-1.369293785E1
1.054932002E1,-4.516673088E-2,-6.197071552E0,3.182912827E0
1.060931255E1,-8.100678444E0,-1.450312233E1,-1.371460724E1
1.066930502E1,-3.487340927E0,-3.119867325E1,7.041254997E0
1.071939679E1,-5.778725624E0,-1.104009056E1,3.320122719E0
1.077938932E1,-2.015505791E0,1.356267929E-2,5.205950737E0
1.083938255E1,-4.607582092E0,2.582812548E0,4.715262890E0
1.089937675E1,-3.947309494E0,4.957088470E0,-1.571051121E0
1.095937118E1,1.390151501E0,3.065502405E0,5.281701088E-1
1.101936578E1,5.016433716E0,5.012149811E0,2.833133698E0
1.107936024E1,7.864222050E0,-1.705173373E0,6.911221504E0
1.113935408E1,-4.252079010E0,-6.708787918E0,-8.510589600E-2
1.119934674E1,3.593603611E0,-3.273787022E0,-5.882232189E0
1.125933924E1,-4.059536755E-1,-2.467973232E0,-2.283667374E1
1.131933170E1,2.421991348E0,-4.457030296E0,-2.055711746E1
1.137932430E1,2.364921808E0,-9.462774277E0,9.071101189E0
1.143931676E1,2.194054604E0,-2.721634102E1,8.496284485E-1
1.149930929E1,-5.675044537E0,-1.497580719E1,1.736366272E0
1.155930165E1,1.440708637E0,1.229264736E-1,4.327248573E0
1.161929408E1,2.943242788E0,-2.341434956E-1,3.668718815E0
1.167928652E1,5.314487934E0,8.801007271E-1,2.313409805E0
1.173927905E1,1.172416210E0,-4.766763687E0,5.868286133E0
1.179927158E1,-4.819644451E0,-4.360042095E0,5.554217339E0
1.185926411E1,-4.694221497E0,5.386823654E0,-2.698570728E0
1.191925694E1,1.200407696E1,9.376008034E0,-1.766502190E1
1.197925097E1,6.016950607E0,4.204810143E0,-1.333266449E1
1.203924530E1,4.485896230E-1,-7.992793560E0,-4.162778854E-1
1.209923963E1,4.008405685E0,-2.453171921E1,2.416337967E0
1.215923396E1,8.143928051E-1,-2.537694931E1,-4.984457970E0
1.221922782E1,-4.093803883E0,-7.057659149E0,-4.504031658E0
1.227922049E1,6.723971367E-1,-6.206433773E-1,4.546651840E0
1.233921285E1,3.053093433E0,-1.349771261E0,8.736143112E-1
1.239920535E1,2.333889484E0,-4.420855045E-1,-1.440336704E0
