"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.999413200E-2,2.711999893E1,1.619999886E1,-1.968000031E1
1.199869870E-1,2.651999855E1,1.319999981E1,-2.315999985E1
1.799795020E-1,2.429999924E1,9.899999619E0,-2.621999931E1
2.399720580E-1,2.165999985E1,6.000000000E0,-3.023999977E1
2.999644920E-1,1.637999916E1,-4.079999924E0,-3.420000076E1
3.599570550E-1,7.980000019E0,-1.223999977E1,-3.545999908E1
4.199496190E-1,2.879999876E0,-1.409999943E1,-3.515999985E1
4.799422150E-1,3.059999943E0,-8.639999390E0,-3.768000031E1
5.399346790E-1,3.779999971E0,3.119999886E0,-3.786000061E1
5.999272090E-1,9.539999962E0,1.523999977E1,-3.270000076E1
6.599195060E-1,2.153999901E1,1.992000008E1,-2.279999924E1
7.199117030E-1,3.065999985E1,1.439999962E1,-1.571999931E1
7.799041010E-1,2.873999977E1,9.119999886E0,-2.310000038E1
8.398966310E-1,2.765999985E1,3.299999952E0,-2.447999954E1
8.998891610E-1,2.561999893E1,-3.599999845E-1,-2.789999962E1
9.598817240E-1,2.327999878E1,-4.319999695E0,-2.892000008E1
1.019874322E0,1.919999886E1,-6.420000076E0,-3.143999863E1
1.079867321E0,1.535999966E1,-6.839999676E0,-3.420000076E1
1.139860252E0,1.355999947E1,-7.199999809E0,-3.504000092E1
1.199853183E0,1.163999939E1,1.379999995E0,-3.605999756E1
1.259846081E0,1.655999947E1,1.097999954E1,-2.981999969E1
1.319838945E0,2.076000023E1,2.076000023E1,-2.550000000E1
1.379831277E0,2.526000023E1,2.105999947E1,-1.805999947E1
1.439823574E0,3.017999840E1,1.721999931E1,-1.361999989E1
1.499816104E0,2.868000031E1,1.325999928E1,-1.787999916E1
1.559808568E0,2.981999969E1,5.339999676E0,-2.165999985E1
1.619801131E0,2.742000008E1,-4.079999924E0,-2.460000038E1
1.679793595E0,2.327999878E1,-9.000000000E0,-2.651999855E1
1.739786158E0,2.315999985E1,-1.230000019E1,-2.555999947E1
1.799778422E0,2.495999908E1,-1.446000004E1,-2.418000031E1
