"Time (s)","Pressure (hPa)"
9.998800000E-2,1.021658447E3
1.999775000E-1,1.021658447E3
2.999665000E-1,1.021834473E3
3.999552500E-1,1.021660645E3
4.999436500E-1,1.021660645E3
5.999319830E-1,1.021623047E3
6.999199830E-1,1.021674072E3
7.999079830E-1,1.021674072E3
8.998959830E-1,1.021714600E3
9.998838830E-1,1.021808105E3
1.099871792E0,1.021808105E3
1.199859792E0,1.021711426E3
1.299847792E0,1.021618408E3
1.399835792E0,1.021618408E3
1.499823658E0,1.021579346E3
1.599811595E0,1.021666016E3
1.699799418E0,1.021666016E3
1.799787251E0,1.021656982E3
1.899775093E0,1.021645264E3
1.999762893E0,1.021645264E3
2.099750702E0,1.021638428E3
2.199738429E0,1.021533691E3
2.299726342E0,1.021533691E3
2.399714258E0,1.021647217E3
2.499702098E0,1.021794678E3
2.599689944E0,1.021794678E3
2.699677758E0,1.021736084E3
2.799665579E0,1.021683105E3
2.899653406E0,1.021683105E3
2.999641172E0,1.021674561E3
3.099628972E0,1.021628418E3
3.199616605E0,1.021628418E3
3.299604438E0,1.021798096E3
3.399592404E0,1.021934814E3
3.500161644E0,1.021837402E3
3.600149577E0,1.021755615E3
3.700137510E0,1.021679199E3
3.800125476E0,1.021702393E3
3.900113442E0,1.021690918E3
4.000101375E0,1.021677734E3
4.100089308E0,1.021689209E3
4.200077174E0,1.021747314E3
4.300065040E0,1.021720459E3
4.400053073E0,1.021631104E3
4.500041073E0,1.021600098E3
4.600029039E0,1.021622803E3
4.700017005E0,1.021722412E3
4.800005005E0,1.021679932E3
4.899993005E0,1.021583252E3
4.999980971E0,1.021635498E3
5.099968937E0,1.021801514E3
5.199956937E0,1.021776855E3
5.299944803E0,1.021699219E3
5.399932669E0,1.021687012E3
5.499920902E0,1.021665039E3
5.599909135E0,1.021681396E3
5.699897335E0,1.021652344E3
5.799885535E0,1.021659180E3
5.899873768E0,1.021791260E3
5.999862001E0,1.021833008E3
6.099850201E0,1.021782227E3
6.199838401E0,1.021724854E3
6.299826434E0,1.021708496E3
6.399814334E0,1.021702393E3
6.499802267E0,1.021703369E3
6.599790500E0,1.021726562E3
6.699778733E0,1.021822510E3
6.799766933E0,1.021883789E3
6.899755133E0,1.021811523E3
6.999743366E0,1.021751465E3
7.099731599E0,1.021696045E3
7.199719799E0,1.021722656E3
7.299707999E0,1.021699707E3
7.399696065E0,1.021706299E3
7.499684165E0,1.021784424E3
7.599672298E0,1.021871338E3
7.699660531E0,1.021819336E3
7.799648731E0,1.021740967E3
7.899636964E0,1.021718994E3
7.999625197E0,1.021718018E3
8.099613430E0,1.021713867E3
8.199601630E0,1.021718018E3
8.299589830E0,1.021644043E3
8.399578030E0,1.021928711E3
8.499565896E0,1.021962158E3
8.599553762E0,1.021878418E3
8.699541895E0,1.021790771E3
8.799530095E0,1.021741211E3
8.899518261E0,1.021712158E3
8.999506427E0,1.021650146E3
9.099494593E0,1.021584961E3
9.199482793E0,1.021687256E3
9.299470959E0,1.021854492E3
