"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.199577800E-2,-1.482056141E0,-9.409499764E-1,5.660065651E0
1.039892930E-1,-1.891477108E0,-1.374313712E0,1.769369125E0
1.559826200E-1,-2.537931204E0,-5.159662247E0,-1.956122518E0
2.079765390E-1,-1.517970204E0,-3.615354896E-1,-2.602576733E0
2.599702950E-1,2.590605259E0,1.927391171E0,-7.644919395E0
3.119635880E-1,3.064671755E-1,-6.871568561E-1,-1.664021015E0
3.639569140E-1,-2.174001455E0,-9.763853073E0,1.351089287E1
4.159502400E-1,-1.134886265E0,-2.031063271E1,1.766256523E1
4.679435990E-1,-1.872322917E0,-2.174719810E1,6.816500187E0
5.199369590E-1,-6.057515144E0,-1.336005306E1,1.134646797E1
5.719302520E-1,-1.723877788E-1,-9.636956215E0,1.421002102E1
6.239245380E-1,-1.915419817E0,-9.134158134E0,1.089873886E1
6.759179620E-1,-3.849993944E0,-5.911464691E0,9.744698524E0
7.279112550E-1,-3.840416908E0,-5.272192955E0,7.618582249E0
7.799046810E-1,-2.578634024E0,-3.684788942E0,4.455745220E0
8.318981060E-1,-2.274561167E0,-5.643305779E0,2.418217659E0
8.838938610E-1,-1.716695070E0,-1.817254543E0,6.404685020E0
9.358889210E-1,6.608198285E-1,4.055901527E0,-1.879505754E0
9.878819470E-1,6.653689861E0,7.623371124E0,-7.132544518E0
1.039875339E0,3.878725290E0,4.098998547E0,-1.716695070E0
1.091868665E0,7.039167881E-1,-5.042342663E0,7.173247337E0
1.143861991E0,-3.948159218E0,-2.910480499E1,2.312869453E1
1.195855283E0,-3.134105682E0,-2.512791443E1,3.545921087E0
1.247849502E0,-3.802108288E0,-1.711667061E1,3.160442829E0
1.299842992E0,-4.649681568E0,-1.315653992E1,7.360000610E0
1.351836318E0,-4.170826912E0,-1.070480251E1,1.050128937E1
1.403829678E0,-4.783761024E0,-5.944984436E0,6.122160912E0
1.455823037E0,-3.129317284E0,-3.325647593E0,7.395915031E0
1.507816329E0,-2.791724443E0,-2.578634024E0,6.830865860E0
1.559809688E0,-4.496448040E0,-1.218685865E0,5.822876453E0
1.611802981E0,-3.519583941E0,-4.908263385E-1,3.126922846E0
1.663797000E0,-1.927391171E0,2.856369734E0,-1.371919513E0
1.715791024E0,1.850774407E0,5.099805355E0,-4.980091572E0
1.767784017E0,-1.125309169E-1,3.656057596E0,-3.732674360E0
1.819777309E0,2.753416002E-1,-2.243435383E0,4.051113129E0
1.871770702E0,-4.113364220E0,-2.193634605E1,2.013585091E1
1.923767556E0,2.887495518E0,-2.074639130E1,6.900300026E0
1.975765711E0,-5.133325100E0,-2.120848656E1,2.406246185E0
2.027760703E0,-4.108575344E0,-1.526589584E1,6.126949310E0
2.079754029E0,-3.201145411E0,-1.179419804E1,7.010436535E0
2.131747422E0,-2.037527800E0,-8.731920242E0,7.510839939E0
2.183740848E0,-2.604970932E0,-5.650488377E0,8.095043182E0
2.235734073E0,-1.924996972E0,-3.131711483E0,5.844424725E0
2.287727333E0,-4.620950520E-1,-2.930592299E0,6.964945316E0
2.339720759E0,-3.351984620E-1,-1.443747759E0,1.905842781E0
2.391714844E0,-2.059076279E-1,-5.889915824E-1,6.316096783E0
2.443708368E0,1.206714511E0,3.328042030E-1,2.743839025E0
2.495701727E0,1.247417212E0,1.819648892E-1,1.405439258E0
2.547695052E0,1.259388566E0,2.367937803E0,-2.686376333E0
2.599688346E0,-2.604970932E0,-5.071074009E0,3.179596901E0
2.651681671E0,-1.951334000E0,-1.231136131E1,1.278063869E1
2.703675030E0,-3.031152010E0,-2.113665771E1,7.613793850E0
2.755668785E0,-5.135719299E0,-2.301855850E1,3.878725290E0
2.807662740E0,-4.527573586E0,-1.374313736E1,6.450176239E0
2.859656100E0,-4.477293968E0,-1.216770458E1,9.433443069E0
2.911649359E0,-2.473285913E0,-9.352037430E0,8.504464149E0
2.963642752E0,-4.652075768E0,-6.272999763E0,7.932232380E0
3.015638209E0,-3.083826065E0,-3.893090725E0,6.028783798E0
3.067633402E0,-3.809291124E0,-5.954561234E0,-7.326480746E-1
3.119409692E0,-3.474092722E0,-1.918053627E1,8.954587579E-1
3.171403447E0,-2.083019018E0,-1.818212318E1,2.557085514E0
3.223396807E0,-5.794145107E0,-1.337681293E1,6.495667458E0
3.275390066E0,-6.081458092E0,-9.809344292E0,7.927443981E0
3.327383525E0,-4.503631115E0,-5.559505939E0,6.828471661E0
3.379376785E0,-1.596981287E0,-2.664827824E0,9.366402626E0
3.431370044E0,8.858816624E-1,-2.011190802E-1,8.794171333E0
3.483363634E0,1.450930476E0,-7.661679387E-2,6.612987041E0
3.535357753E0,8.739103079E-1,-1.031932473E0,2.825244188E0
3.587351112E0,-3.222693920E0,-4.098998547E0,2.231464148E0
3.639344405E0,-5.818088055E-1,-7.709565163E-1,-7.072687626E0
3.691337831E0,4.067873001E0,-1.163617611E0,-9.337671280E0
3.743331887E0,-5.375146866E0,-1.755961227E1,1.137041092E1
3.795330507E0,-6.201171875E-1,-2.406964493E1,6.828471661E0
3.847327396E0,-2.264983892E0,-2.138087463E1,4.920234680E0
3.899321191E0,-7.570696831E0,-1.377186871E1,5.478100777E0
3.951314417E0,-4.113364220E0,-1.320681953E1,1.182053471E1
4.003307843E0,-2.695953369E0,-9.445414543E0,8.226728439E0
4.055301202E0,-3.876330853E0,-5.430215359E0,8.660092354E0
4.107294460E0,-4.477293789E-1,-4.424619675E0,8.197997093E0
4.159287887E0,-2.341600657E0,-2.995237827E0,2.604970932E0
4.211281609E0,-2.011190891E0,-1.376708031E0,8.425453186E0
4.263275462E0,9.146129489E-1,3.256213665E-1,4.211529255E0
