"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.199457800E-2,3.422021151E0,-1.453144550E0,4.023909867E-1
1.039877870E-1,3.604058981E0,-1.392058134E0,8.434356451E-1
1.559812130E-1,3.613832951E0,-1.540498257E0,8.519877791E-1
2.079744720E-1,2.961428881E0,-1.067077756E0,5.606051087E-1
2.599678980E-1,1.547886729E0,-8.202881217E-1,3.465010971E-2
3.119612900E-1,1.102565885E0,-2.601247430E-1,1.910316199E-1
3.639554070E-1,-6.640563607E-1,-2.570704222E-1,-4.656485319E-1
4.159489000E-1,-3.434941053E0,5.217827559E-1,-1.180971622E0
4.679421930E-1,-5.421474934E0,-1.080192998E-1,-1.985481143E0
5.199354520E-1,-5.205228329E0,-6.770219654E-2,-1.604301333E0
5.719288450E-1,-3.070865393E0,2.544357777E0,-7.087728977E-1
6.239222370E-1,-1.405035853E0,2.951193810E0,-5.811020732E-1
6.759154640E-1,5.613393784E-1,-9.458027035E-2,3.046525717E-1
7.279091550E-1,1.833771586E0,3.525730968E-1,5.367813110E-1
7.799032410E-1,2.726245880E0,8.528717160E-1,7.279821634E-1
8.318965000E-1,3.135525465E0,-6.865086555E-1,6.168046594E-1
8.838900270E-1,3.125140905E0,-9.693393111E-1,7.120996714E-1
9.358832190E-1,2.527103662E0,-1.259500265E0,7.224843502E-1
9.878771780E-1,1.369513988E0,-1.526124626E-1,8.532095551E-1
1.039873631E0,1.221684694E0,-2.210293710E-1,1.560591459E0
1.091867459E0,-5.785351992E-1,-1.202689767E0,3.577978313E-1
1.143860552E0,-3.257179260E0,7.239791751E-1,-4.131141007E-1
1.195853944E0,-4.888800144E0,5.920323133E-1,-1.636677265E0
1.247847203E0,-5.407424927E0,-9.580199420E-2,-2.003807306E0
1.299840596E0,-2.869279861E0,2.727006435E0,-7.399269938E-1
1.351834152E0,-6.781062484E-1,3.091692924E0,-6.195865273E-1
1.403828271E0,1.000551462E0,2.044669867E0,1.296086788E0
1.455821596E0,1.894858122E0,1.613722742E-1,1.419481516E0
1.507814890E0,2.619344234E0,1.564853489E-1,1.017532229E0
1.559808283E0,2.751291275E0,-9.791131616E-1,6.516240239E-1
1.611801575E0,2.874075174E0,-1.337691069E0,3.040416837E-1
1.663794967E0,2.525270939E0,-9.607871771E-1,1.568231732E-1
1.715788293E0,2.265653372E0,-6.553545594E-1,-2.836107016E-1
1.767781684E0,1.643181682E0,4.002205729E-1,-1.510529369E-1
1.819776103E0,8.242098987E-2,-4.348322153E-1,-1.049024820E0
1.871769562E0,-2.072100878E0,1.711461246E-1,-1.384389877E0
1.923762588E0,-4.026258469E0,-2.191967815E-1,-2.056341648E0
1.975755914E0,-5.233328819E0,-2.210293710E-1,-2.378267527E0
2.027749804E0,-3.737319231E0,8.791388869E-1,-1.543825626E0
