"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.999726600E-2,2.379331589E-1,3.328695297E-1,2.118613720E0
1.199927330E-1,-3.699653149E-1,2.965478897E-1,4.448312759E0
1.799874210E-1,-1.111067772E0,5.573854446E-1,4.580152035E0
2.399825050E-1,-1.384191751E0,9.134702682E-1,3.303356647E0
2.999769100E-1,-1.589496613E0,1.012124062E0,1.113816261E0
3.599706080E-1,-1.748317957E0,5.612640381E-1,-1.106908798E0
4.199639070E-1,7.412861586E-1,7.018213749E0,5.115466118E-1
4.799570390E-1,3.272051811E-1,5.304853439E0,-5.349857330E0
5.399493030E-1,-2.199410439E0,-4.431519508E-1,3.771490097E0
5.999418330E-1,1.500308275E0,5.105946541E0,-1.352572632E1
6.599343630E-1,3.063663960E0,8.016021729E0,-1.363080120E1
7.199268600E-1,-8.997504115E-1,3.685241222E0,2.166832447E0
7.799192570E-1,-3.933938980E0,-9.699097633E0,1.849176216E1
8.399118210E-1,-2.002461195E0,-1.171792793E1,6.927010059E0
8.999041520E-1,-6.109517574E0,-2.485472679E0,1.183171940E1
9.598965160E-1,-3.015232086E-1,-1.111564636E-1,1.380948639E1
1.019889146E0,-4.058338165E0,1.478529930E0,9.235157013E0
1.079881610E0,-3.622060537E0,3.705354691E0,5.989173889E0
1.139874107E0,-2.301637411E0,4.865533829E0,-6.310286522E-1
1.199866637E0,-1.200705290E0,1.413358688E0,-4.075258255E0
1.259859702E0,-4.552685022E-1,4.721273899E0,1.911343098E0
1.319852767E0,3.134309292E0,1.111625290E1,-1.110113811E1
1.379845963E0,6.561209679E0,1.363482666E1,-1.350339127E1
1.439839027E0,5.750656128E-4,8.857382774E0,-3.149140596E0
1.499832157E0,-6.983029842E0,-1.081357861E1,1.824582672E1
1.559824655E0,-6.601348400E0,-1.526092243E1,5.931123257E0
1.619817119E0,-6.313313484E0,-8.382045746E0,1.716963887E0
1.679809583E0,-6.143175602E0,-3.152566910E0,5.754373074E0
1.739802179E0,-5.729701996E0,-1.498575211E-1,6.423158169E0
1.799794643E0,-4.028110027E0,4.215993881E0,1.540722847E0
1.859787206E0,-2.494471788E0,5.336689949E0,6.536407471E-1
1.919779536E0,-2.775083780E0,1.008136749E0,-1.414352894E0
1.979771934E0,-3.221331835E0,4.688320637E0,-4.719892502E0
2.039764365E0,-9.448964000E-1,7.254887581E0,-1.083060455E1
2.099756895E0,2.114092112E0,9.248626709E0,-1.317016506E1
2.159749392E0,9.298380017E-1,9.788764954E0,-1.066561508E1
2.219741889E0,-2.181787014E0,-1.167980194E0,2.516151905E0
2.279734754E0,-3.432889462E0,-1.389062214E1,1.135250854E1
2.339728718E0,-5.003479958E0,-1.259656906E1,-1.739482284E0
