"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.999648200E-2,1.818000031E1,5.663999939E1,-5.699999809E0
1.199909080E-1,1.955999947E1,5.555999756E1,-1.242000008E1
1.799844650E-1,2.076000023E1,5.105999756E1,-2.453999901E1
2.399777200E-1,2.118000031E1,4.409999847E1,-3.720000076E1
2.999707680E-1,1.847999954E1,3.365999985E1,-4.770000076E1
3.599632660E-1,1.613999939E1,2.501999855E1,-5.375999832E1
4.199556630E-1,1.571999931E1,2.129999924E1,-5.652000046E1
4.799481930E-1,1.446000004E1,2.160000038E1,-5.831999969E1
5.399406900E-1,1.338000011E1,3.192000008E1,-5.339999771E1
5.999331860E-1,7.859999657E0,4.686000061E1,-4.170000076E1
6.599256170E-1,4.079999924E0,5.723999786E1,-2.501999855E1
7.199181150E-1,3.779999971E0,6.077999878E1,-1.427999973E1
7.799103790E-1,4.920000076E0,6.077999878E1,-1.109999943E1
8.399029760E-1,5.879999638E0,6.119999695E1,-1.619999886E1
8.998954400E-1,9.479999542E0,5.693999863E1,-2.442000008E1
9.598880360E-1,1.103999996E1,5.063999939E1,-3.509999847E1
1.019880467E0,1.134000015E1,4.307999802E1,-4.463999939E1
1.079873365E0,1.019999981E1,3.636000061E1,-5.009999847E1
1.139866463E0,1.230000019E1,3.071999931E1,-5.327999878E1
1.199859593E0,1.139999962E1,2.987999916E1,-5.555999756E1
1.259852657E0,1.134000015E1,3.786000061E1,-5.184000015E1
1.319845853E0,1.043999958E1,4.979999924E1,-4.061999893E1
1.379838618E0,4.259999752E0,5.915999985E1,-2.160000038E1
1.439830949E0,2.339999914E0,6.173999786E1,-1.013999939E1
1.499823479E0,3.599999905E0,6.305999756E1,-8.460000038E0
1.559816009E0,1.050000000E1,6.150000000E1,-1.307999992E1
1.619808473E0,1.403999996E1,5.843999863E1,-2.118000031E1
1.679801036E0,1.626000023E1,5.352000046E1,-3.065999985E1
1.739793499E0,1.511999989E1,4.697999954E1,-4.055999756E1
1.799785830E0,1.265999985E1,4.031999969E1,-4.847999954E1
1.859778261E0,1.067999935E1,3.318000031E1,-5.400000000E1
1.919770725E0,1.163999939E1,3.011999893E1,-5.652000046E1
1.979763222E0,8.279999733E0,3.438000107E1,-5.615999985E1
2.039755719E0,5.639999866E0,4.493999863E1,-4.955999756E1
2.099748316E0,-3.599999905E0,5.723999786E1,-3.311999893E1
2.159741981E0,-8.819999695E0,6.300000000E1,-1.823999977E1
2.219736344E0,-1.050000000E1,6.426000214E1,-1.451999950E1
2.279730608E0,-8.279999733E0,6.377999878E1,-1.535999966E1
2.339724938E0,-6.000000000E0,6.221999741E1,-2.093999863E1
2.399719135E0,-4.619999886E0,5.861999893E1,-2.934000015E1
2.459712233E0,-5.400000095E0,5.363999939E1,-3.768000031E1
2.519704531E0,-5.460000038E0,4.902000046E1,-4.404000092E1
2.579697028E0,-5.579999924E0,4.379999924E1,-4.913999939E1
2.639689492E0,-7.259999752E0,4.050000000E1,-5.297999954E1
2.699682022E0,-1.026000023E1,3.647999954E1,-5.411999893E1
2.759674520E0,-9.179999352E0,3.791999817E1,-5.484000015E1
2.819667116E0,-8.579999924E0,4.409999847E1,-5.111999893E1
2.879659480E0,-1.043999958E1,5.363999939E1,-3.887999725E1
2.939651811E0,-1.211999989E1,6.107999802E1,-2.568000031E1
2.999644341E0,-1.103999996E1,6.431999969E1,-2.160000038E1
3.059636838E0,-8.760000229E0,6.401999664E1,-2.219999886E1
3.119629302E0,-5.940000057E0,6.125999832E1,-2.807999992E1
3.179621832E0,-2.460000038E0,5.711999893E1,-3.534000015E1
3.239614997E0,-2.039999962E0,5.105999756E1,-4.518000031E1
3.299608161E0,-2.639999866E0,4.415999985E1,-5.063999939E1
3.351217946E0,1.199999973E-1,3.887999725E1,-5.489999771E1
3.411211010E0,3.599999845E-1,3.588000107E1,-5.675999832E1
3.471204206E0,-6.000000000E0,4.055999756E1,-5.591999817E1
3.531196772E0,-1.080000019E1,5.021999741E1,-4.637999725E1
3.591189137E0,-1.577999973E1,5.831999969E1,-3.167999840E1
3.651181568E0,-1.685999870E1,6.018000031E1,-2.759999847E1
3.711174198E0,-1.439999962E1,5.885999680E1,-3.150000000E1
3.771166662E0,-8.699999809E0,5.645999908E1,-3.677999878E1
