"Time (s)","Pressure (hPa)"
9.999200000E-2,1.022023193E3
1.999835000E-1,1.022073730E3
2.999738330E-1,1.022078369E3
3.999635830E-1,1.022041504E3
4.999525830E-1,1.021998779E3
5.999415830E-1,1.022001221E3
6.999301540E-1,1.021994629E3
7.999186540E-1,1.022004395E3
8.999070980E-1,1.021961426E3
9.998953980E-1,1.022038086E3
1.099883670E0,1.021938232E3
1.199871836E0,1.021916504E3
1.299860220E0,1.021902100E3
1.399848720E0,1.021899414E3
1.499837053E0,1.021904541E3
1.599825303E0,1.021885254E3
1.699813420E0,1.021950195E3
1.799801531E0,1.021968018E3
1.899789636E0,1.021904785E3
1.999777686E0,1.021891602E3
2.099765733E0,1.021898682E3
2.199753687E0,1.021929199E3
2.299741904E0,1.021900635E3
2.399730279E0,1.021893555E3
2.499718679E0,1.021982910E3
2.599706948E0,1.021915771E3
2.699695133E0,1.021892578E3
2.799683347E0,1.021889160E3
2.899671553E0,1.021908936E3
2.999659686E0,1.021941162E3
3.099647652E0,1.021924561E3
3.199635518E0,1.021912354E3
3.299623451E0,1.021970215E3
3.399611451E0,1.021918701E3
3.501203414E0,1.021908203E3
3.601191380E0,1.021920654E3
3.701179346E0,1.021916748E3
3.801167346E0,1.021885742E3
3.901155346E0,1.021928223E3
4.001143312E0,1.021976318E3
4.101131278E0,1.021915039E3
4.201119244E0,1.021899414E3
4.301107110E0,1.021906250E3
4.401094943E0,1.021925537E3
4.501083076E0,1.021940674E3
4.601071242E0,1.021905518E3
4.701059408E0,1.021987061E3
4.801047574E0,1.021913818E3
4.901035774E0,1.021883301E3
5.001023940E0,1.021897217E3
5.101012106E0,1.021928223E3
5.201000272E0,1.021927734E3
5.300988272E0,1.021897949E3
5.400976138E0,1.021934814E3
5.500963971E0,1.021856201E3
5.600951971E0,1.021864502E3
5.700939971E0,1.021875000E3
5.800927937E0,1.021907959E3
5.900915903E0,1.021923340E3
6.000903903E0,1.021904297E3
6.100891936E0,1.021913330E3
6.200879902E0,1.021936768E3
6.300867835E0,1.021749512E3
6.400855701E0,1.021755859E3
6.500843567E0,1.021814453E3
6.600831700E0,1.021880127E3
6.700819933E0,1.021906006E3
6.800808133E0,1.021899658E3
6.900796333E0,1.021899170E3
7.000784566E0,1.021906494E3
7.100772799E0,1.021905762E3
7.200760999E0,1.021873535E3
7.300749199E0,1.021835693E3
7.400737399E0,1.021859619E3
7.500725299E0,1.021882080E3
