"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.199427300E-2,-4.783761024E0,-4.388705730E0,4.972908974E0
1.039873150E-1,-5.983292580E0,-4.970514297E0,5.463735104E0
1.559807410E-1,-5.542746067E0,-4.709538460E0,4.786155224E0
2.079744960E-1,-3.325647593E0,-4.587430477E0,5.487678051E0
2.599684860E-1,-9.170072675E-1,-3.560286522E0,5.118959427E0
3.119616120E-1,1.963305324E-1,-3.574652195E0,6.929031372E0
3.639549700E-1,-1.235445857E0,-3.974496126E0,6.838048935E0
4.159483970E-1,-1.137280560E1,-7.348029613E0,4.053507328E0
4.679416560E-1,-7.113390446E0,-4.060689926E0,5.241067410E0
5.199350480E-1,-7.594639778E0,-8.272219658E0,4.465322495E0
5.719284080E-1,-4.649681568E0,-9.198803902E0,3.806896925E0
6.239224280E-1,-5.473312378E0,-9.201197624E0,2.564268351E0
6.759160180E-1,-7.649707794E0,-6.756643295E0,1.436564922E0
7.279094440E-1,-1.001525116E1,-7.790970325E0,9.505270720E-1
7.799026700E-1,-8.803748131E0,-9.747093201E0,2.892283916E0
8.318967280E-1,-7.225921154E0,-1.022834206E1,3.672817469E0
8.838930490E-1,-6.220325947E0,-9.984126091E0,3.093403101E0
9.358867100E-1,-5.243461609E0,-9.775823593E0,3.747040033E0
9.878800360E-1,-3.263396502E0,-1.004398251E1,4.929811954E0
1.039873362E0,-1.041509509E0,-9.148524284E0,7.304932594E0
1.091866755E0,-4.829252243E0,-6.385530949E0,3.897879362E0
1.143860014E0,-4.953754425E0,-6.984099388E0,3.196356773E0
1.195853441E0,-5.456552505E0,-8.250671387E0,4.132518291E0
1.247847393E0,-5.461340904E0,-6.952973843E0,4.422225475E0
1.299841116E0,-5.952167034E0,-4.781366825E0,3.086220264E0
1.351834475E0,-6.258634567E0,-3.835628271E0,3.459727049E0
1.403827734E0,-4.527573586E0,-1.944151163E0,4.122941017E0
1.455821193E0,-4.427014351E0,-2.075836182E0,5.561900616E0
1.507814419E0,1.750214934E0,-3.074248791E0,7.209161282E0
1.559807844E0,-4.692778587E0,-2.286532402E0,4.012804508E0
1.611801070E0,-7.348029613E0,-2.205127001E0,5.458946705E0
1.663795222E0,-1.547419834E1,-3.926610708E0,-1.194743156E0
1.715788745E0,-1.294584370E1,-5.470917702E0,-1.834014535E0
1.767782103E0,-8.430241585E0,-8.418270111E0,1.199531674E0
