"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.199292700E-2,-2.236225009E-1,-1.966882229E0,1.214231014E0
1.039861270E-1,-6.724099070E-2,-2.167246103E0,1.529437423E0
1.559795520E-1,1.771050990E-1,-1.713373184E0,1.365114570E0
2.079730790E-1,3.194366992E-1,-3.932933509E-1,1.089003563E0
2.599661050E-1,5.069723725E-1,-5.741094947E-1,9.533914328E-1
3.119595310E-1,3.139389455E-1,-1.586313248E0,6.815564036E-1
3.639537510E-1,8.058839291E-2,-2.197178364E0,3.345849216E-1
4.159472430E-1,-2.388941199E-1,-1.833102822E0,-3.019366562E-1
4.679404350E-1,-6.267935634E-1,6.079148054E-1,-5.304002762E-1
5.199338940E-1,-4.313166738E-1,1.782608628E0,-1.957381487E0
5.719271870E-1,-3.347999454E-1,2.566672266E-1,-2.397204399E0
6.239205460E-1,-7.507991791E-1,1.194345474E0,-3.149179459E0
6.759139050E-1,-7.043734193E-1,1.621340156E0,-3.683075666E0
7.279073640E-1,-6.506173015E-1,2.843681574E0,-3.427734137E0
7.799016160E-1,-3.311347663E-1,3.976836681E0,-2.085663080E0
8.318948750E-1,5.859724805E-2,1.874849200E0,-1.200519443E0
8.838882340E-1,1.099099293E-1,-5.673899651E-1,-3.208734691E-1
9.358814260E-1,3.573103547E-1,-7.427083254E-1,3.571869433E-1
9.878767150E-1,5.735566616E-1,2.627758980E-1,9.888215661E-1
1.039872241E0,4.654335082E-1,7.951632887E-2,1.012645364E0
1.091865500E0,4.061795771E-1,-8.288402557E-1,8.593181968E-1
1.143858893E0,2.534632683E-1,-1.685273290E0,5.050163865E-1
1.195852219E0,-4.321871791E-3,-9.882761240E-1,5.358693376E-2
1.247845545E0,2.980564237E-1,-9.552893639E-1,4.530928135E-1
1.299838938E0,5.002527833E-1,-1.568598151E0,6.613978148E-1
1.351832330E0,8.924282789E-1,-4.659863412E-1,7.389777303E-1
1.403826481E0,1.120891929E0,1.316518426E0,1.232556939E0
1.455820073E0,1.075077057E0,1.825369120E0,1.464074850E0
1.507813232E0,1.088515997E0,1.108213425E0,1.520274401E0
1.559806691E0,6.364757419E-1,6.378471851E-1,1.338236570E0
1.611799883E0,-3.622889221E-1,-3.737457097E-1,1.308915019E0
1.663793275E0,-1.127092123E0,1.048959494E0,6.094743013E-1
1.715786701E0,-1.505828619E0,4.839091301E-1,2.857157290E-1
1.767780091E0,-1.395872951E0,-3.774108887E-1,-6.214191914E-1
1.819774176E0,-2.239477873E0,-2.656225264E-1,-7.442030907E-1
1.871767602E0,-2.381198406E0,-1.625408530E0,-5.517805219E-1
1.923760893E0,-1.996964335E0,2.395630181E-1,1.549905688E-1
1.975754253E0,-1.075779557E0,-1.768961906E0,9.772152305E-1
2.027749674E0,-2.077400088E-1,-3.908499181E-1,2.324784040E0
2.079748629E0,9.467952847E-1,-1.775681376E0,3.642420053E0
2.131744320E0,2.115380526E0,-2.800102472E0,4.759692669E0
2.183737778E0,2.934550762E0,-4.360252380E0,4.429825783E0
2.235730971E0,3.224100828E0,-4.499529839E0,2.740783215E0
2.287724298E0,2.502669096E0,-3.439678431E0,1.559369802E0
2.339717557E0,1.117226720E0,-2.535597801E0,5.887048841E-1
2.391710917E0,-7.446905375E-1,-1.874641657E0,-5.481153727E-1
2.443704509E0,-2.728169918E0,-8.654921651E-1,-1.830932379E0
2.495698098E0,-4.919954777E0,-2.240836918E-1,-2.827253580E0
2.547692053E0,-5.413533688E0,-1.880426556E-1,-3.700790882E0
