"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.999558200E-2,-2.329387665E-1,1.330778122E0,-2.523197651E0
1.199893980E-1,1.467708588E0,4.809694290E-1,-2.746710539E0
1.799837990E-1,3.257137775E0,9.235382080E-3,-3.034811497E0
2.399780410E-1,4.807494640E0,-8.260345459E-2,-3.379693985E0
2.999719410E-1,5.983695507E0,1.496114731E-1,-4.043595314E0
3.599653730E-1,6.734052658E0,5.283384323E-1,-4.767422676E0
4.199586720E-1,-2.521346569E0,-1.252865791E1,3.711609840E-1
4.799512700E-1,-3.068820477E0,-1.284896755E1,2.655048370E-1
5.399437010E-1,-2.291253805E0,-1.186697960E1,-1.076369762E0
5.999360980E-1,2.295532227E-1,-1.088872910E1,-1.180149078E0
6.599285950E-1,2.569113493E0,-8.411722183E0,-2.522462845E0
7.199210600E-1,2.433884859E0,-8.068977356E0,-2.508592606E-1
7.799136560E-1,-4.147780418E0,-6.964833260E0,-4.223685741E0
8.399060870E-1,-3.105403423E0,-4.923606396E0,-3.550159931E0
8.998986170E-1,-2.125935555E0,-6.973361969E0,-3.539124012E0
9.598908810E-1,1.153433323E0,-6.322603226E0,-3.208889484E0
1.019883411E0,-7.485580444E-2,-3.858341694E0,-3.295316219E0
1.079875875E0,-1.625235081E0,-6.906132698E-1,-2.555644989E0
1.139868471E0,-3.655444145E0,-2.401369095E0,-1.859124064E0
1.199860936E0,-1.037698746E0,-4.063447952E0,1.737165451E-2
1.259854202E0,5.510005951E-1,-4.022627354E0,-5.022311211E-1
1.319847332E0,1.779678345E0,-4.028346062E0,3.056120872E-2
1.379840462E0,3.440236568E0,-4.290970802E0,2.299065590E-1
1.439833526E0,3.502068758E0,-2.979785919E0,1.896247387E0
1.499826590E0,1.141237259E0,3.677210808E-1,-1.653015852E0
1.559819055E0,4.634242058E-1,-1.807947159E0,-2.029296160E0
1.619811485E0,-9.818935394E-2,-1.473213196E0,-1.453962803E0
1.679804015E0,2.950158119E-1,1.335959435E-1,-2.539889812E0
1.739796512E0,8.980522156E-1,5.903682709E-1,-1.684859991E0
1.799789042E0,3.302583694E0,1.666941285E0,-6.219210625E-1
1.859781506E0,3.920358658E0,4.563231468E-1,1.785400867E0
1.919773936E0,8.940811157E0,7.843775749E-1,3.116617203E-1
1.979766200E0,-1.353585243E0,2.138035297E-1,1.049499512E-1
2.039758697E0,-6.354245186E0,1.341576576E-1,-5.218680382E0
2.099751228E0,-5.439890862E0,-7.820463181E-1,-6.058393955E0
2.159743792E0,-3.518900871E0,-3.640830517E0,-3.005764961E0
2.219736256E0,-5.697288036E0,-2.793438911E0,-1.983644485E0
2.279729454E0,-5.481763840E0,-3.804309845E0,-2.173089981E-2
2.339723552E0,-8.003827095E0,-6.907518387E0,7.200422287E-1
2.399717882E0,-2.828595161E0,-4.912624836E0,-2.616127014E0
2.459712181E0,4.283848286E0,-4.544648647E0,-3.809532881E0
2.519706511E0,2.798990726E0,-2.470264435E0,-6.277128220E0
2.579700175E0,5.857637405E0,-2.111182451E0,-8.144127846E0
2.639692807E0,8.464483261E0,-4.170722961E-1,-1.091255188E1
2.699685171E0,7.992578506E0,2.463140488E-1,-1.202481079E1
2.759677601E0,2.739850998E0,-5.107672215E-1,-8.379130363E0
2.819670131E0,-1.096612072E1,1.333915830E0,-4.312942028E0
2.879662661E0,7.962514877E0,-5.379254532E1,1.854477310E1
2.939655125E0,-1.062219238E1,-7.544889450E0,-3.690215111E0
2.999647555E0,-2.197940350E0,-4.318812847E0,-1.737176895E0
3.059639919E0,1.737592220E-1,-4.619073868E-2,6.534795761E-1
3.119632217E0,-2.431044579E-1,2.638807297E-1,2.151800156E0
3.179624747E0,-1.143654346E0,1.272807598E0,-1.877160072E-1
3.230293829E0,-3.208745241E0,2.902193069E-1,-1.258865356E0
3.290286425E0,-2.868548870E0,7.825422287E-1,-2.188924313E0
3.350279023E0,-1.902043581E0,-3.844904900E-1,-1.946815491E0
3.410272322E0,-3.501698971E-1,-3.803710938E-1,-8.126230240E-1
3.470265420E0,-3.497924805E-1,-1.569569111E0,-3.010573387E-1
3.530258616E0,-3.733992577E-1,-1.752418995E0,-9.712996483E-1
3.590251680E0,-3.648612499E-1,-2.267323494E0,-1.071560860E0
3.650244744E0,7.038130760E-1,-9.830160141E-1,-1.514031887E0
3.710237075E0,7.741734982E-1,-7.477374077E-1,-1.654955387E0
3.770229472E0,9.497724771E-1,-2.236585617E-1,-1.641681671E0
3.830221936E0,1.051828027E0,-2.211699486E-1,-1.398098469E0
3.890214566E0,2.593579292E-1,-1.099294662E0,-6.328830719E-1
3.950207030E0,5.340543985E-1,-9.232344627E-1,2.698335648E-1
4.010199560E0,-5.549502373E-1,-1.464130402E0,4.376373291E-1
4.070192024E0,-2.255712509E0,-8.625478745E-1,3.634977341E-1
4.130184355E0,-1.864978552E0,-1.790285110E-2,6.008639336E-1
4.190176720E0,-8.464965820E-1,-9.092092514E-2,4.643406868E-1
4.250169250E0,-1.060150623E0,-2.251386642E-2,2.514700890E-1
4.310161780E0,-5.505952835E-1,-1.492552757E-1,2.741670609E-2
4.370154310E0,-9.189176559E-1,-7.582316399E-1,6.324467659E-1
4.430147676E0,2.696514130E-2,-8.147430420E-2,6.145763397E-1
4.490141941E0,2.980999947E-1,7.453305721E-1,6.527476311E-1
4.550136474E0,-2.053658009E0,-2.049152851E-1,1.964699745E0
4.610131007E0,-1.159277439E0,5.557596684E-1,3.038165569E0
4.670125540E0,-1.106386662E0,7.912686467E-1,1.549849510E0
4.730119238E0,1.684205532E0,1.920816183E0,-2.004327297E0
4.790111903E0,3.348627090E0,1.052732944E0,-3.201927185E0
4.850104367E0,2.824442387E0,-1.934956789E0,-4.344288826E0
4.910096897E0,4.337244034E-1,-6.212569237E0,-4.073881626E0
4.970089427E0,5.149126053E-2,-9.269561768E0,-2.682357550E0
5.030081957E0,-9.130298615E0,-8.282858849E0,-5.327056122E1
5.090074421E0,3.327010632E0,1.180004501E1,-3.121173620E0
5.150066819E0,-3.243234634E0,7.413219213E-1,1.666752338E0
5.210059083E0,-3.820335865E0,3.865829468E0,5.505625248E0
5.270051580E0,2.446675301E-1,4.077309132E0,8.209035873E0
5.330044078E0,2.260712147E0,4.051116943E0,4.841200829E0
5.390036674E0,5.508979797E0,7.304059982E0,-1.236728668E0
5.450029138E0,1.530403042E1,1.483803558E1,-8.155250549E0
5.510022236E0,1.248458862E1,1.505598545E1,-2.806661129E0
5.570016267E0,-1.614007354E0,-5.725029469E0,2.068437958E1
5.630010564E0,-2.606182575E0,-5.717784119E1,1.664981079E1
5.690004828E0,-1.478708839E1,-6.436350822E0,-5.676885605E0
5.749999224E0,5.900481224E0,-3.174753189E0,-6.639780045E0
5.809992988E0,3.419032335E0,3.711614609E-1,-5.044247627E0
5.869985586E0,2.628282547E0,4.240574360E0,-4.549150467E0
5.929977917E0,1.964936137E0,2.040499687E0,-5.139914989E0
5.989970447E0,1.256345868E0,1.873788357E0,-4.930120468E0
6.049962911E0,9.921880364E-1,8.216590881E-1,-4.861364841E0
6.109955441E0,-3.031680584E-1,-2.360981941E0,-3.289983273E0
6.169947971E0,-1.398126125E0,-3.531069279E0,-4.154169559E0
6.229940501E0,-1.001196861E0,-5.045184612E0,-2.062685013E0
6.289932865E0,-8.403849602E-1,-4.392736435E0,2.546730042E-1
6.349925196E0,-3.091325760E-1,-7.414311409E0,6.988312244E0
6.409917726E0,-5.423814297E0,-4.861608505E0,7.845773220E0
6.469910256E0,-8.360080719E-1,-9.710469246E-1,7.179164410E0
6.529902786E0,-1.710271835E-2,-2.068200111E-1,3.627105713E0
6.589895384E0,-4.825768471E-1,6.727871895E-1,2.988348484E0
6.649888716E0,7.609701157E-2,-6.007122993E-1,1.945688725E0
6.709881780E0,5.835194588E-1,-1.237676144E0,1.642405510E0
6.769874910E0,1.350346565E0,-1.219185233E0,5.879893303E-1
6.829867974E0,2.771257877E0,-3.287997246E-1,-2.797684669E-1
6.889861005E0,1.512623310E0,1.348474979E0,-4.372386932E-1
6.949853269E0,-1.308483601E0,3.323685169E0,1.166093349E0
7.009845799E0,-1.656167984E0,4.233722687E0,1.717014313E0
7.069838263E0,-1.871220589E0,2.909265041E0,-6.214957237E-1
7.129830793E0,-2.200641870E0,3.287229538E-1,-1.309188843E0
7.189823257E0,-1.756813049E0,-5.246932983E0,-3.243145943E0
7.249815887E0,-1.688476324E0,-1.120948219E1,-1.427243710E0
7.309808218E0,-2.319118118E1,-1.185183144E1,-3.253610992E1
7.369800549E0,1.593600750E1,-4.870295048E0,-5.984948158E0
7.429793079E0,8.542371750E0,-3.960252285E0,-3.535392761E0
7.489785609E0,5.676408291E0,-3.003706932E0,9.741258621E-1
7.549778040E0,-1.393813133E0,1.858424664E0,9.459190369E-1
7.609770570E0,-1.256022835E1,6.794211388E0,-1.389036655E0
7.669764069E0,-7.509079933E0,1.105418563E0,9.146379471E0
7.729758333E0,-8.265370131E-1,7.940532684E0,6.176291466E0
7.789752663E0,6.636793137E0,8.305178642E0,-1.286811829E0
7.849746927E0,1.725476265E1,1.935314369E1,-5.219491005E0
7.909741257E0,1.025313568E1,1.036142635E1,1.680436134E-1
7.969734622E0,-2.060190582E1,-5.230231285E0,-1.968077278E1
8.029727020E0,-1.036307621E1,-2.434156990E1,-6.313637733E0
8.089719284E0,-6.910923004E0,-9.619167328E0,-9.057730675E0
8.149711880E0,5.387560844E0,-4.883714676E0,-7.681994438E0
8.209704344E0,2.603677511E0,2.021870613E-1,-7.259960651E0
8.269696875E0,-1.433191299E-1,4.318484783E0,-7.152467251E0
8.329689339E0,-3.243908882E-1,2.765958309E0,-8.375315666E0
8.389681935E0,-8.033812046E-2,-4.590888023E-1,-4.800713062E0
8.449674199E0,2.016732693E-1,-3.010109901E0,-2.489825249E0
8.509666630E0,-3.793945312E0,-6.264050961E0,5.997304916E-1
8.569659094E0,-4.322211146E-1,-8.047959328E0,4.765574455E0
8.629651624E0,-2.223034143E0,-6.599514484E0,4.995353699E0
8.689644088E0,-3.301895618E0,-3.808096886E0,2.368852615E0
8.749637120E0,-5.249840736E0,-1.837116718E0,1.113218784E0
8.809630385E0,-3.055793524E0,-3.025326729E-1,1.216766834E0
8.869623549E0,-2.747139454E0,4.358744621E-1,5.181326866E-1
8.929616679E0,-2.170758724E0,-2.743353844E-1,3.815364838E-1
8.989609809E0,-2.040136337E0,-1.106991768E0,4.966573715E-1
9.049602440E0,-1.018272877E0,-1.385269165E0,3.138246536E-1
9.109594738E0,-2.264215946E0,-1.853565931E0,1.020613670E0
9.169587202E0,-7.043876648E-1,-1.656211853E0,8.720822334E-1
9.229579732E0,-1.175095558E0,-1.460229874E0,1.455642700E0
9.289572262E0,1.377564192E0,-1.650327921E0,3.242844582E0
9.349564726E0,4.299072742E0,-2.983215332E0,4.163935661E0
9.409557256E0,7.281679153E0,-2.390333414E0,2.215865135E0
9.469549620E0,5.659715176E0,4.814147949E-3,-5.173692703E-1
9.529541951E0,-4.644957542E0,-6.737184525E-1,-5.527734280E0
9.589534481E0,-1.206124783E1,-1.096948433E1,-5.776190281E0
9.649527077E0,-5.845048428E0,-1.219517612E1,1.227903843E0
9.709519541E0,3.063854694E0,-1.067582321E1,-6.025892735E0
9.769512238E0,2.900491714E1,8.844752312E-1,-1.233145332E1
