"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.999413200E-2,4.602000046E1,6.719999790E0,-6.599999905E0
1.199869870E-1,4.595999908E1,4.799999714E0,-8.699999809E0
1.799795020E-1,4.434000015E1,1.679999948E0,-1.235999966E1
2.399721110E-1,4.313999939E1,-1.919999957E0,-1.763999939E1
2.999645450E-1,4.068000031E1,-5.819999695E0,-2.111999893E1
3.599569090E-1,3.959999847E1,-8.159999847E0,-2.195999908E1
4.199492400E-1,3.725999832E1,-1.073999977E1,-2.411999893E1
4.799418360E-1,3.491999817E1,-1.205999947E1,-2.801999855E1
5.399342340E-1,2.993999863E1,-1.055999947E1,-3.155999947E1
5.999267980E-1,2.951999855E1,-8.880000114E0,-3.204000092E1
6.599192950E-1,3.438000107E1,-5.699999809E0,-2.921999931E1
7.199118250E-1,3.539999771E1,4.799999893E-1,-2.753999901E1
7.799040890E-1,3.605999756E1,7.859999657E0,-2.501999855E1
8.398965860E-1,3.713999939E1,1.596000004E1,-2.057999992E1
8.998890830E-1,3.713999939E1,2.255999947E1,-1.277999973E1
9.598816130E-1,3.623999786E1,2.657999992E1,-6.839999676E0
1.019874077E0,3.545999908E1,2.705999947E1,-6.539999962E0
1.079867076E0,3.581999969E1,2.592000008E1,-9.359999657E0
1.139860274E0,3.743999863E1,2.339999962E1,-9.779999733E0
1.199853404E0,3.887999725E1,2.100000000E1,-1.050000000E1
1.259846534E0,3.863999939E1,1.931999969E1,-1.379999924E1
1.319839598E0,3.623999786E1,1.913999939E1,-1.637999916E1
1.379832263E0,3.636000061E1,1.818000031E1,-1.889999962E1
1.439824627E0,3.497999954E1,1.547999954E1,-2.195999908E1
1.499817157E0,3.521999741E1,1.296000004E1,-2.363999939E1
1.559809654E0,3.900000000E1,7.619999886E0,-2.105999947E1
1.619802250E0,4.145999908E1,3.779999971E0,-1.781999969E1
1.679794714E0,4.320000076E1,-1.620000005E0,-1.469999981E1
1.739787211E0,4.175999832E1,-3.779999971E0,-1.571999931E1
1.799779475E0,4.187999725E1,-4.019999981E0,-1.421999931E1
1.859771839E0,4.331999969E1,-5.279999733E0,-1.301999950E1
1.919764370E0,4.277999878E1,-1.439999938E0,-1.434000015E1
1.979756966E0,4.247999954E1,4.500000000E0,-1.613999939E1
2.039749464E0,4.097999954E1,6.420000076E0,-1.835999870E1
2.099742196E0,4.050000000E1,7.139999866E0,-1.835999870E1
2.159736160E0,3.977999878E1,3.539999962E0,-2.063999939E1
2.219730424E0,3.761999893E1,-6.179999828E0,-2.400000000E1
2.279724756E0,2.868000031E1,-1.823999977E1,-2.963999939E1
2.339719053E0,1.589999962E1,-2.915999985E1,-3.192000008E1
2.399713183E0,3.480000019E0,-3.575999832E1,-2.759999847E1
2.459706015E0,-4.380000114E0,-3.809999847E1,-2.387999916E1
2.519698346E0,-7.559999943E0,-3.665999985E1,-2.435999870E1
2.579690743E0,-5.699999809E0,-3.293999863E1,-2.789999962E1
2.639683273E0,-1.259999990E0,-2.526000023E1,-3.521999741E1
2.699675803E0,2.939999819E0,-1.338000011E1,-4.181999969E1
2.759668333E0,1.259999990E0,6.839999676E0,-4.181999969E1
2.819660797E0,1.739999962E1,6.839999676E0,-3.893999863E1
2.879653194E0,2.027999878E1,4.799999714E0,-3.786000061E1
2.939645425E0,1.811999893E1,5.519999981E0,-3.954000092E1
2.999637889E0,1.721999931E1,8.579999924E0,-3.857999802E1
3.060309063E0,2.015999985E1,9.599999428E0,-3.695999908E1
3.120301659E0,2.376000023E1,1.188000011E1,-3.468000031E1
3.180294190E0,2.279999924E1,1.385999966E1,-3.515999985E1
3.240287489E0,1.853999901E1,1.469999981E1,-3.659999847E1
3.300280620E0,1.319999981E1,1.547999954E1,-3.761999893E1
3.360273750E0,1.019999981E1,1.626000023E1,-3.893999863E1
3.420266814E0,9.539999962E0,1.577999973E1,-3.900000000E1
3.480259944E0,1.001999950E1,1.692000008E1,-3.839999771E1
3.540252342E0,1.115999985E1,1.661999893E1,-3.845999908E1
3.600244706E0,1.223999977E1,1.619999886E1,-3.857999802E1
3.660237236E0,1.193999958E1,1.692000008E1,-3.797999954E1
3.720229800E0,1.205999947E1,1.776000023E1,-3.725999832E1
3.780222264E0,1.092000008E1,1.889999962E1,-3.702000046E1
3.840214794E0,1.223999977E1,1.860000038E1,-3.611999893E1
3.900207291E0,1.553999996E1,1.902000046E1,-3.491999817E1
3.960199622E0,1.889999962E1,1.703999901E1,-3.443999863E1
4.020192020E0,2.135999870E1,1.559999943E1,-3.504000092E1
4.080184484E0,2.376000023E1,1.235999966E1,-3.384000015E1
4.140177014E0,2.651999855E1,8.819999695E0,-3.461999893E1
4.200169544E0,2.777999878E1,3.899999857E0,-3.473999786E1
4.260162676E0,2.861999893E1,4.199999869E-1,-3.341999817E1
4.320156841E0,2.921999931E1,-4.500000000E0,-3.354000092E1
4.380151441E0,2.897999954E1,-9.479999542E0,-3.227999878E1
4.440145907E0,2.711999893E1,-1.469999981E1,-3.209999847E1
4.500140440E0,2.531999969E1,-2.129999924E1,-3.173999977E1
4.560134372E0,1.985999870E1,-2.813999939E1,-2.939999962E1
4.620127170E0,1.446000004E1,-3.318000031E1,-2.634000015E1
4.680119601E0,1.313999939E1,-3.665999985E1,-2.393999863E1
4.740112197E0,1.547999954E1,-3.725999832E1,-1.997999954E1
4.800104661E0,1.895999908E1,-3.768000031E1,-1.787999916E1
4.860097191E0,2.034000015E1,-3.731999969E1,-1.781999969E1
4.920089655E0,1.884000015E1,-3.725999832E1,-2.034000015E1
4.980082086E0,2.093999863E1,-3.515999985E1,-1.973999977E1
5.040074350E0,2.027999878E1,-3.281999969E1,-2.411999893E1
5.100066880E0,1.926000023E1,-2.921999931E1,-2.897999954E1
5.160059378E0,1.115999985E1,-2.819999886E1,-3.305999756E1
5.220051908E0,2.159999847E0,-2.868000031E1,-3.329999924E1
5.280044372E0,-8.699999809E0,-3.023999977E1,-2.789999962E1
5.340037270E0,-1.769999886E1,-3.305999756E1,-1.847999954E1
5.400031201E0,-1.577999973E1,-3.641999817E1,-1.596000004E1
5.460025498E0,-4.859999657E0,-3.750000000E1,-2.243999863E1
5.520019828E0,9.179999352E0,-3.731999969E1,-2.405999947E1
5.580014158E0,1.151999950E1,-4.097999954E1,-1.668000031E1
5.640008122E0,2.519999981E0,-4.187999725E1,-1.259999943E1
5.700000853E0,2.399999946E-1,-4.302000046E1,-9.119999886E0
5.759993184E0,0.000000000E0,-4.337999725E1,-7.259999752E0
5.819985681E0,-5.399999619E-1,-4.397999954E1,-8.699999809E0
5.879978211E0,8.399999738E-1,-4.223999786E1,-1.235999966E1
5.939970675E0,3.779999971E0,-4.007999802E1,-1.692000008E1
5.999963205E0,8.880000114E0,-3.654000092E1,-2.418000031E1
6.059955735E0,1.301999950E1,-2.969999886E1,-2.969999886E1
6.119948132E0,1.488000011E1,-1.907999992E1,-3.641999817E1
6.179940430E0,1.463999939E1,-7.440000057E0,-4.091999817E1
6.239933026E0,1.871999931E1,3.059999943E0,-3.905999756E1
6.299925490E0,2.261999893E1,6.719999790E0,-3.695999908E1
6.359918020E0,2.303999901E1,7.319999695E0,-3.720000076E1
6.419910551E0,2.489999962E1,4.319999695E0,-3.636000061E1
