"Time (s)","Pressure (hPa)"
9.999000000E-2,1.021736816E3
1.999815000E-1,1.021759277E3
2.999711660E-1,1.021768555E3
3.999604160E-1,1.021780518E3
4.999490160E-1,1.021785645E3
5.999378490E-1,1.021784912E3
6.999264200E-1,1.021779785E3
7.999146700E-1,1.021761230E3
8.999028920E-1,1.021760010E3
9.998908920E-1,1.021796143E3
1.099878982E0,1.021795410E3
1.199867148E0,1.021770752E3
1.299855378E0,1.021765381E3
1.399843592E0,1.021775146E3
1.499831658E0,1.021787354E3
1.599819783E0,1.021800781E3
1.699807900E0,1.021804688E3
1.799795900E0,1.021806885E3
1.899783900E0,1.021804688E3
1.999771850E0,1.021812988E3
2.099759802E0,1.021821533E3
2.199747756E0,1.021836670E3
2.299735973E0,1.021786621E3
2.399724264E0,1.021802490E3
2.499712464E0,1.021800049E3
2.599700656E0,1.021767578E3
2.699688841E0,1.021795410E3
2.799676983E0,1.021802490E3
2.899665120E0,1.021816162E3
2.999653186E0,1.021914062E3
3.099641186E0,1.022014648E3
3.199629019E0,1.021881836E3
3.300286063E0,1.021819092E3
3.400274063E0,1.021779785E3
3.500262063E0,1.021765869E3
3.600249996E0,1.021797852E3
3.700237962E0,1.021833496E3
3.800225962E0,1.021842041E3
3.900213962E0,1.021817383E3
4.000201962E0,1.021797119E3
4.100189895E0,1.021804443E3
4.200177861E0,1.021806641E3
4.300165727E0,1.021804688E3
4.400153727E0,1.021792725E3
4.500141960E0,1.021807129E3
4.600130160E0,1.021810303E3
4.700118360E0,1.021812988E3
4.800106593E0,1.021838135E3
4.900094826E0,1.021825439E3
5.000083026E0,1.021793701E3
5.100071226E0,1.021783447E3
5.200059426E0,1.021796387E3
5.300047392E0,1.021789307E3
5.400035292E0,1.021826660E3
5.500023392E0,1.021816895E3
5.600011592E0,1.021850830E3
5.699999825E0,1.021933594E3
5.799988025E0,1.021976318E3
5.899976225E0,1.021932861E3
5.999964458E0,1.021776123E3
6.099952691E0,1.021742920E3
6.199940924E0,1.021718262E3
6.299929190E0,1.021734863E3
6.399917290E0,1.021797363E3
6.499905390E0,1.021845703E3
6.599893623E0,1.021883057E3
6.699881856E0,1.021837646E3
6.799870056E0,1.021801758E3
6.899858256E0,1.021780273E3
6.999846489E0,1.021773438E3
7.099834755E0,1.021779297E3
7.199822955E0,1.021815674E3
7.299811155E0,1.021842041E3
7.399799255E0,1.021853760E3
7.499787121E0,1.021820068E3
7.599774987E0,1.021737305E3
7.699763187E0,1.021788086E3
7.799751353E0,1.021732422E3
7.899739519E0,1.021739990E3
7.999727685E0,1.021770020E3
8.099715918E0,1.021882080E3
8.199704118E0,1.021777832E3
8.299692284E0,1.021703125E3
8.399680450E0,1.021614746E3
8.499668450E0,1.021629150E3
8.599656350E0,1.021662109E3
8.699644216E0,1.021756104E3
8.799632216E0,1.021756104E3
8.899620216E0,1.021795166E3
8.999608182E0,1.021779053E3
9.099596115E0,1.021779053E3
9.199584115E0,1.021781982E3
9.299572048E0,1.021791016E3
9.399560014E0,1.021791016E3
9.499547980E0,1.021840088E3
9.599535846E0,1.021817627E3
9.699523712E0,1.021817627E3
9.799511812E0,1.021744873E3
9.899500012E0,1.021778809E3
9.999488178E0,1.021778809E3
1.009947634E1,1.021742920E3
1.019946451E1,1.021736084E3
1.029945271E1,1.021736084E3
1.039944088E1,1.021709229E3
1.049942904E1,1.021664551E3
1.059941721E1,1.021664551E3
1.069939844E1,1.021748779E3
1.079938628E1,1.021890869E3
1.089937428E1,1.021890869E3
1.099936234E1,1.021942871E3
1.109935028E1,1.021774170E3
1.119933824E1,1.021774170E3
1.129932624E1,1.021715332E3
1.139931424E1,1.021730225E3
1.149930227E1,1.021730225E3
1.159929024E1,1.021823242E3
1.169927827E1,1.021846191E3
1.179926614E1,1.021846191E3
1.189925404E1,1.021789551E3
1.199924234E1,1.021804932E3
1.209923060E1,1.021804932E3
1.219921881E1,1.021804688E3
1.229920701E1,1.021798828E3
1.239919524E1,1.021798828E3
1.249918354E1,1.021810791E3
1.259917174E1,1.021822998E3
1.269915994E1,1.021822998E3
1.279914794E1,1.021827148E3
1.289913584E1,1.021668457E3
1.299912384E1,1.021668457E3
1.309911207E1,1.021706055E3
1.319910030E1,1.021685303E3
1.329908850E1,1.021685303E3
1.339907670E1,1.021659180E3
1.349906500E1,1.021685059E3
1.359905324E1,1.021685059E3
1.369904144E1,1.021878174E3
1.379902967E1,1.021917725E3
1.389901777E1,1.021917725E3
1.399900587E1,1.021777588E3
1.409899404E1,1.021714844E3
1.419898227E1,1.021714844E3
1.429897047E1,1.021767334E3
1.439895867E1,1.021795898E3
1.449894690E1,1.021795898E3
1.459893514E1,1.021748047E3
1.469892327E1,1.021731934E3
1.479891147E1,1.021731934E3
1.489889967E1,1.021743652E3
1.499888753E1,1.021763916E3
1.509887540E1,1.021763916E3
1.519886353E1,1.021802734E3
1.529885177E1,1.021791992E3
1.539883997E1,1.021791992E3
1.549882817E1,1.021749756E3
1.559881637E1,1.021720703E3
1.569880460E1,1.021720703E3
1.579879280E1,1.021705566E3
1.589878100E1,1.021641846E3
1.599876920E1,1.021641846E3
1.609875717E1,1.021657227E3
1.619874517E1,1.021687744E3
1.629873340E1,1.021687744E3
1.639872163E1,1.021789307E3
1.649870983E1,1.021739746E3
1.659869803E1,1.021739746E3
1.669868626E1,1.021737793E3
1.679867450E1,1.021672119E3
1.689866286E1,1.021672119E3
1.699865106E1,1.021678711E3
1.709863923E1,1.021685303E3
1.719862733E1,1.021685303E3
1.729861543E1,1.021698486E3
1.739860366E1,1.021713379E3
1.749859186E1,1.021713379E3
1.759858006E1,1.021716553E3
1.769856830E1,1.021745850E3
1.779855653E1,1.021745850E3
1.789854473E1,1.021752197E3
1.799856817E1,1.021762451E3
1.809855637E1,1.021762451E3
1.819854434E1,1.021766357E3
1.829853220E1,1.021749268E3
1.839852027E1,1.021749268E3
1.849850847E1,1.021734131E3
1.859849667E1,1.021742676E3
1.869848483E1,1.021742676E3
1.879847300E1,1.021768066E3
1.889846120E1,1.021731934E3
1.899844937E1,1.021731934E3
1.909843743E1,1.021783447E3
1.919842550E1,1.021681396E3
1.929841336E1,1.021681396E3
1.939840123E1,1.021754150E3
1.949838923E1,1.021920410E3
1.959837723E1,1.021920410E3
1.969836520E1,1.022033203E3
1.979835316E1,1.021769287E3
1.989834100E1,1.021769287E3
1.999832900E1,1.021714355E3
2.009831696E1,1.021742188E3
2.019830493E1,1.021742188E3
2.029829293E1,1.021792725E3
2.039828079E1,1.021764648E3
2.049826876E1,1.021764648E3
2.059825699E1,1.021737305E3
2.069824526E1,1.021732178E3
2.079823346E1,1.021732178E3
2.089822166E1,1.021740479E3
2.099820989E1,1.021743164E3
2.109819812E1,1.021743164E3
2.119818632E1,1.021745605E3
2.129817452E1,1.021730469E3
2.139816256E1,1.021730469E3
2.149815046E1,1.021726318E3
2.159813839E1,1.021687012E3
2.169812662E1,1.021687012E3
2.179811486E1,1.021651855E3
2.189810306E1,1.021636963E3
2.199809126E1,1.021636963E3
2.209807952E1,1.021639404E3
2.219806776E1,1.021819824E3
2.229805596E1,1.021819824E3
2.239804416E1,1.021899414E3
2.249803226E1,1.021746582E3
2.259802036E1,1.021746582E3
2.269800849E1,1.021676758E3
2.279799672E1,1.021682373E3
2.289798492E1,1.021682373E3
2.299797312E1,1.021774902E3
2.309796135E1,1.021670166E3
2.319794959E1,1.021670166E3
2.329793779E1,1.021673828E3
2.339792599E1,1.021759521E3
2.349791405E1,1.021759521E3
2.359790192E1,1.021727051E3
2.369788972E1,1.021679199E3
2.379787785E1,1.021679199E3
2.389786605E1,1.021726318E3
2.399785422E1,1.021717285E3
2.409784238E1,1.021717285E3
2.419783055E1,1.021733398E3
2.429781875E1,1.021711426E3
2.439780692E1,1.021711426E3
2.449779508E1,1.021725098E3
2.459778322E1,1.021726318E3
2.469777108E1,1.021726318E3
2.479775895E1,1.021711426E3
2.489774695E1,1.021781494E3
2.499773508E1,1.021781494E3
2.509772305E1,1.021869873E3
2.519770605E1,1.021890381E3
2.529769405E1,1.021761475E3
2.539768205E1,1.021653320E3
2.549767001E1,1.021621826E3
2.559765798E1,1.021715088E3
2.569764595E1,1.021806396E3
2.579763381E1,1.021806152E3
2.589762181E1,1.021750732E3
2.599761005E1,1.021733887E3
2.609759824E1,1.021738281E3
2.619758645E1,1.021742432E3
2.629757464E1,1.021753906E3
2.639756288E1,1.021765869E3
2.649755114E1,1.021758301E3
2.659753934E1,1.021743164E3
2.669752758E1,1.021752441E3
2.679751554E1,1.021758789E3
2.689750344E1,1.021722900E3
2.699749148E1,1.021708252E3
2.709747971E1,1.021711182E3
2.719746801E1,1.021781250E3
2.729745621E1,1.021707031E3
2.739744441E1,1.021629395E3
2.749743264E1,1.021625488E3
2.759742088E1,1.021700928E3
2.769740908E1,1.021783203E3
2.779739728E1,1.021858643E3
2.789738538E1,1.022165039E3
2.799737334E1,1.021927734E3
2.809736154E1,1.021829834E3
2.819734977E1,1.021773193E3
2.829733797E1,1.021771973E3
2.839732617E1,1.021772705E3
2.849731441E1,1.021772461E3
2.859730264E1,1.021784180E3
2.869729084E1,1.021825928E3
2.879727904E1,1.021881836E3
2.889726714E1,1.021879150E3
2.899725501E1,1.021850830E3
2.909724287E1,1.021838867E3
2.919723107E1,1.021820557E3
2.929721927E1,1.021828857E3
2.939720744E1,1.021826172E3
2.949719560E1,1.021806152E3
2.959718380E1,1.021710938E3
2.969717197E1,1.021689453E3
2.979716014E1,1.021709717E3
2.989714830E1,1.021840332E3
2.999713637E1,1.021788818E3
3.009712423E1,1.021829590E3
3.019711203E1,1.021750244E3
3.029710007E1,1.021717041E3
3.039708807E1,1.021708252E3
3.049707603E1,1.021702881E3
3.059706400E1,1.021685791E3
3.069705200E1,1.021719238E3
3.079704000E1,1.021764648E3
3.089702797E1,1.021840820E3
3.099701593E1,1.021898682E3
3.109700383E1,1.022141357E3
3.119699170E1,1.022015869E3
3.129697976E1,1.021928955E3
3.139696800E1,1.021890137E3
3.149695620E1,1.021832031E3
3.159694450E1,1.021803955E3
3.169693273E1,1.021788818E3
3.179692096E1,1.021781982E3
3.189690916E1,1.021795410E3
3.199689736E1,1.021814697E3
3.209688560E1,1.021829834E3
3.219687350E1,1.021848633E3
3.229686140E1,1.021884277E3
3.239684953E1,1.021872803E3
3.249688393E1,1.021859619E3
3.259687213E1,1.021854980E3
3.269686036E1,1.021854980E3
3.279684859E1,1.021842041E3
3.289683683E1,1.021848389E3
3.299682503E1,1.021848633E3
3.309681323E1,1.021821533E3
3.319680143E1,1.021781982E3
3.329678949E1,1.021748291E3
3.339677759E1,1.021741943E3
3.349676583E1,1.021770264E3
3.359675406E1,1.021777344E3
3.369674222E1,1.021781738E3
3.379673042E1,1.021777588E3
3.389671866E1,1.021798096E3
3.399670689E1,1.021822754E3
3.409669509E1,1.021804688E3
3.419668329E1,1.021835205E3
3.429667132E1,1.021759521E3
3.439665919E1,1.021762695E3
3.449664709E1,1.021779541E3
3.459663519E1,1.021835693E3
3.469662336E1,1.022045166E3
3.479661152E1,1.022011963E3
3.489659969E1,1.021895752E3
3.499658789E1,1.021872070E3
3.509657605E1,1.021838867E3
3.519656422E1,1.021807861E3
3.529655239E1,1.021791016E3
3.539654035E1,1.021788574E3
3.549652822E1,1.021780029E3
3.559651615E1,1.021803955E3
3.569650415E1,1.021812256E3
3.579649212E1,1.021837158E3
3.589648008E1,1.021856934E3
3.599646805E1,1.021877930E3
3.609645605E1,1.021870850E3
3.619644405E1,1.021864990E3
3.629643202E1,1.021854248E3
3.639641998E1,1.021830322E3
3.649640785E1,1.021834717E3
3.659639571E1,1.021827393E3
3.669638388E1,1.021784912E3
3.679637208E1,1.021732666E3
3.689636025E1,1.021741943E3
3.699634841E1,1.021772705E3
3.709633658E1,1.021773438E3
3.719632474E1,1.021798096E3
3.729631298E1,1.021828125E3
3.739630111E1,1.021833496E3
3.749628924E1,1.021804932E3
3.759627708E1,1.021783691E3
3.769626494E1,1.021733887E3
3.779625301E1,1.021737061E3
3.789624097E1,1.021721436E3
3.799622894E1,1.021732422E3
3.809621691E1,1.021782471E3
3.819620490E1,1.021792480E3
3.829619297E1,1.021956055E3
3.839618094E1,1.021905029E3
3.849616887E1,1.021798096E3
3.859615680E1,1.021778320E3
3.869614467E1,1.021754639E3
3.879613274E1,1.021729492E3
3.889612097E1,1.021738770E3
3.899610920E1,1.021764893E3
3.909609740E1,1.021763184E3
3.919608560E1,1.021760010E3
3.929607390E1,1.021762939E3
3.939606213E1,1.021780762E3
3.949605033E1,1.021795166E3
3.959603853E1,1.021811768E3
3.969602650E1,1.021815430E3
3.979604204E1,1.021804199E3
3.989603014E1,1.021789062E3
3.999601837E1,1.021781738E3
4.009600660E1,1.021781006E3
4.019599484E1,1.021808838E3
4.029598304E1,1.021789551E3
4.039597130E1,1.021770020E3
4.049595954E1,1.021715088E3
4.059594777E1,1.021690674E3
4.069593597E1,1.021724854E3
4.079592410E1,1.021741699E3
4.089591224E1,1.021660889E3
4.099590047E1,1.021660645E3
4.109588870E1,1.021651123E3
4.119587690E1,1.021708496E3
4.129586510E1,1.021771973E3
4.139585334E1,1.021806396E3
4.149584160E1,1.021832764E3
4.159582980E1,1.021883057E3
4.169581800E1,1.021794922E3
4.179580610E1,1.021759766E3
4.189579397E1,1.021743652E3
4.199578183E1,1.021712646E3
4.209577007E1,1.021703125E3
4.219575830E1,1.021715576E3
4.229574650E1,1.021721436E3
4.239573470E1,1.021728760E3
4.249572293E1,1.021738525E3
4.259571117E1,1.021746826E3
4.269569936E1,1.021749023E3
