"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.199366900E-2,3.641691923E0,-4.788549617E-3,5.633728504E0
1.039870810E-1,1.120520592E0,-1.300091267E0,4.024775982E0
1.559804400E-1,-1.024749637E0,-1.843591571E0,3.442967176E0
2.079747910E-1,-4.537150860E0,-1.125309110E0,5.681613922E0
2.599680840E-1,-1.059706020E1,-1.807677507E0,6.498061657E0
3.119612440E-1,-1.364018345E1,-1.005595401E-1,9.960182905E-1
3.639547690E-1,-7.482108593E0,-2.762993097E0,9.205986977E0
4.159482280E-1,-7.759844780E0,-5.660065651E0,8.803748131E0
4.679413870E-1,-1.312780857E1,-4.620950222E0,1.769369125E0
5.199348470E-1,-1.661626625E1,-6.129343510E0,4.180403709E0
5.719286020E-1,-1.833056831E1,-8.523618698E0,6.790163517E0
6.239223900E-1,-2.014064026E1,-7.371972084E0,7.185218811E0
6.759157160E-1,-1.795945549E1,-8.197997093E0,4.587430477E0
7.279090420E-1,-1.183250618E1,-6.924242973E0,1.046298146E0
7.799023680E-1,-3.711125851E0,-6.004841328E0,8.356019258E-1
8.318967560E-1,9.864411950E-1,-2.035133541E-1,-2.736656189E0
8.838956770E-1,1.783734679E0,-8.188419938E-1,5.722316504E-1
9.358922020E-1,-8.164477348E-1,9.265843630E-1,3.100585938E0
9.878856950E-1,-6.629746914E0,4.077449799E0,3.723097324E0
1.039879055E0,6.464541703E-2,4.601796150E0,8.308133125E0
1.091872481E0,3.612960577E0,5.652883053E0,5.779779434E0
1.143865706E0,3.646480560E0,8.892336845E0,3.483669758E0
1.195859132E0,3.112557173E0,9.828497887E0,5.023188591E0
1.247852425E0,2.643279314E0,9.809344292E0,6.361588001E0
1.299846444E0,4.027170181E0,8.834874153E0,7.606611252E0
1.351840335E0,1.908236980E0,7.127756119E0,6.237085819E0
1.403833460E0,1.664021015E0,6.691998005E0,4.992063046E0
1.455826720E0,2.861158371E0,6.323279858E0,5.174027920E0
1.507820246E0,2.099778891E0,7.460560322E0,5.901887417E0
1.559813372E0,1.755003452E0,6.605803967E0,7.549148560E0
1.611806798E0,7.518022656E-1,6.943397045E0,7.043956280E0
1.663800191E0,1.766974807E0,6.426233768E0,6.713546753E0
1.715794209E0,3.794925690E0,6.095823765E0,5.648094177E0
1.767787734E0,3.543526649E0,7.371972084E0,4.927417755E0
1.819781226E0,8.085466385E0,1.156434727E1,6.244268894E0
1.871774419E0,1.719089317E1,2.279349709E1,4.798126698E0
1.923768478E0,2.324840927E1,3.350069427E1,1.027143836E0
1.975764831E0,1.079099655E1,3.270579338E0,1.292908382E1
2.027758493E0,-1.674077034E1,-3.059883118E1,-1.482056141E1
2.079751752E0,-1.503365135E1,-2.059315681E1,5.885127544E0
2.131745145E0,-2.765387297E0,1.664021015E0,-5.083045483E0
2.183738471E0,1.190194035E1,2.454610443E1,-1.395862222E0
2.235731730E0,-7.929838181E0,1.473676109E1,-3.763799906E0
2.287725156E0,-7.403097630E0,5.921041489E0,4.800520897E0
2.339719341E0,-4.386311531E0,9.553156495E-1,8.925856590E0
2.391712765E0,-1.735849261E0,-1.843591630E-1,7.953781128E0
2.443706190E0,2.825244188E0,2.770175934E0,6.522004604E0
2.495699450E0,1.826831698E0,1.309668303E0,6.244268894E0
2.547692776E0,3.074248791E0,2.365543604E0,8.621783257E0
2.599686202E0,6.050332546E0,3.088614643E-1,1.026665020E1
2.651679494E0,5.502043724E0,-1.455719113E0,1.041749001E1
2.703672985E0,7.649707794E0,-2.391880512E0,9.047964096E0
2.755667204E0,6.644112587E0,-1.910631299E0,8.142929077E0
2.807660430E0,5.344021320E0,-1.788523316E0,6.438204765E0
2.859653855E0,3.612960577E0,-1.417410731E0,5.030371189E0
2.911647214E0,2.475680113E0,1.515576005E0,3.533949614E0
2.963641138E0,9.194015265E-1,5.628940105E0,4.719115734E0
3.015639593E0,-2.011190891E0,7.834067345E0,5.753442287E0
3.067636883E0,-5.822876453E0,2.794118643E0,9.172467232E0
3.118034397E0,-9.107821465E0,-3.945764780E0,9.696812630E0
3.170027656E0,-8.078283310E0,-3.557892323E0,7.450983047E0
3.222021016E0,-6.902694225E0,-2.595393896E0,4.661653042E0
3.274014475E0,-8.305739403E0,-4.271386147E0,4.321666241E0
3.326008592E0,-5.691191196E0,-4.053507328E0,3.787742853E0
3.378002051E0,-3.912245035E0,-4.599401951E0,3.610566378E0
3.429995410E0,-4.029564381E0,-5.640911579E0,3.929004908E0
3.481988702E0,-3.620143414E0,-7.134938717E0,4.939388752E0
3.533982261E0,-4.283357620E0,-1.017566776E1,5.078257084E0
3.585975454E0,-5.152479172E0,-1.124590874E1,3.943370581E0
3.637968713E0,-3.076643229E0,-1.041030693E1,3.131711483E0
3.689962601E0,-3.306493521E0,-1.036242104E1,3.074248791E0
3.741956355E0,-2.672010660E0,-9.567522049E0,2.640885115E0
3.793949748E0,-2.248224020E0,-8.928250313E0,2.801301479E0
3.845943041E0,-2.231464148E0,-8.755863190E0,2.561874151E0
3.897936798E0,-2.276955366E0,-9.361614227E0,2.272166729E0
3.949933021E0,-2.612153769E0,-9.974549294E0,2.238646984E0
4.001927048E0,-2.559479713E0,-9.986519814E0,2.394274712E0
4.053920408E0,-2.262589693E0,-9.804554939E0,2.418217659E0
4.105913767E0,-1.197137356E0,-9.699207306E0,2.430188894E0
4.157906993E0,-8.068706393E-1,-9.715967178E0,2.619336605E0
4.209900453E0,-7.206767201E-1,-9.390345573E0,1.936968327E0
4.261893712E0,-1.127703428E0,-9.273026466E0,1.477267504E0
4.313887269E0,-1.383890867E0,-9.490905762E0,1.687963724E0
4.365881489E0,-1.697540879E0,-9.445414543E0,1.491633177E0
4.417874749E0,-1.589798450E0,-9.725543976E0,1.565855742E0
4.469868142E0,-1.223474383E0,-1.004158878E1,1.668809533E0
4.521861635E0,-9.529213905E-1,-1.021158218E1,1.628106833E0
4.573854760E0,-1.091789365E0,-1.001046276E1,1.675992370E0
4.625848053E0,-1.168406129E0,-9.385557175E0,1.036720991E0
4.677841512E0,-9.696813226E-1,-9.373585701E0,1.824437380E0
4.729835432E0,-1.182771802E0,-9.194015503E0,1.659232497E0
4.781829154E0,-9.122186899E-1,-9.115004539E0,1.632895470E0
4.833822413E0,-1.087000728E0,-9.830892563E0,1.687963724E0
4.885815872E0,-1.110943556E0,-9.921875000E0,1.625712633E0
4.937809262E0,-1.115732074E0,-9.768641472E0,1.714300752E0
4.989807316E0,-1.185166001E0,-9.579493523E0,1.438959122E0
5.041804937E0,-9.648927450E-1,-9.596253395E0,1.750214934E0
5.093799064E0,-1.063058019E0,-9.601041794E0,1.625712633E0
5.145792491E0,-1.144463301E0,-9.534002304E0,1.750214934E0
5.197785817E0,-1.158828974E0,-9.591464996E0,1.585009933E0
5.249779109E0,-1.139674783E0,-9.680052757E0,1.580221415E0
5.301772468E0,-1.077423692E0,-9.577098846E0,1.508393168E0
5.353765794E0,-1.087000728E0,-9.684841156E0,1.405439258E0
5.405759153E0,-1.087000728E0,-9.725543976E0,1.357553840E0
5.457753339E0,-1.154040456E0,-9.979337692E0,1.436564922E0
5.509746796E0,-9.936240315E-1,-9.799766541E0,1.608952641E0
5.561740155E0,-7.518022656E-1,-9.598648071E0,1.690358043E0
5.613733548E0,-6.009629965E-1,-9.553156853E0,1.685569525E0
5.665726907E0,-6.081457734E-1,-9.689630508E0,1.644866824E0
5.717720133E0,-5.985686779E-1,-9.833286285E0,1.644866824E0
5.769713559E0,-5.937801600E-1,-9.996097565E0,1.865140080E0
5.821706785E0,-4.381522834E-1,-9.452596664E0,1.410227895E0
5.873700938E0,-8.499675393E-1,-9.268238068E0,1.393467903E0
5.925694628E0,-1.494027495E0,-1.033368969E1,2.004008055E0
5.977687820E0,-1.058269501E0,-9.500482559E0,1.007989645E0
6.029681344E0,-2.154847383E-1,-9.253871918E0,1.168406129E0
6.081677466E0,-4.453351200E-1,-1.000088596E1,2.118933201E0
6.133671926E0,-1.632895470E0,-8.794171333E0,8.236305118E-1
6.185665152E0,-1.185166001E0,-8.956981659E0,1.403045058E0
6.237658511E0,-7.709565163E-1,-1.007032013E1,2.162030220E0
6.289651871E0,-1.039115310E0,-9.888355255E0,1.501210332E0
6.341645129E0,-8.044763207E-1,-9.862017632E0,1.790917516E0
6.393638555E0,-1.290514112E0,-9.818921089E0,1.984853864E0
6.445631914E0,-1.532335877E0,-9.440625191E0,1.822043180E0
6.497625833E0,-1.142069101E0,-9.579493523E0,2.123721838E0
6.549619623E0,-9.026415944E-1,-9.620196342E0,1.989642382E0
6.601612882E0,-1.376708031E0,-9.596253395E0,1.831620216E0
6.653606241E0,-1.647261024E0,-9.603436470E0,1.738243461E0
6.705599534E0,-1.197137356E0,-9.613013268E0,1.788523316E0
6.757592926E0,-9.840469360E-1,-9.522030830E0,1.814860344E0
6.809586219E0,-9.553156495E-1,-9.536396980E0,1.783734679E0
6.861579810E0,-9.026415944E-1,-9.431048393E0,2.015979290E0
6.913573895E0,-6.751855016E-1,-9.706390381E0,2.174001455E0
6.965567255E0,-9.577099085E-1,-1.002482891E1,3.102980137E0
7.017560547E0,-1.793311834E0,-9.866806030E0,3.955342054E0
7.069553972E0,-3.186779737E0,-9.665687561E0,3.885908127E0
7.121551059E0,-4.326454639E0,-9.217958450E0,4.438985348E0
7.173549152E0,-4.616161823E0,-8.229122162E0,4.395888329E0
7.225545011E0,-5.444581032E0,-8.152505875E0,3.986467600E0
7.277538138E0,-5.387118340E0,-7.328875065E0,4.151672363E0
7.329531530E0,-5.171633720E0,-7.400703430E0,4.249837875E0
7.381524889E0,-6.064698219E0,-6.696786404E0,3.526766777E0
7.433518247E0,-6.888328552E0,-6.941002846E0,3.129317284E0
7.485511539E0,-6.543552876E0,-6.107795238E0,2.731867552E0
7.537505262E0,-6.210748672E0,-5.470917702E0,2.679193497E0
7.589499182E0,-6.428627968E0,-5.011217117E0,3.086220264E0
7.641492507E0,-7.072687626E0,-4.692778587E0,2.794118643E0
7.693485966E0,-7.484503269E0,-4.034353256E0,2.248224020E0
7.745479192E0,-8.159688950E0,-3.811685562E0,2.267378330E0
7.797472518E0,-8.909096718E0,-3.526766777E0,2.312869549E0
7.849466043E0,-8.375173569E0,-3.708731651E0,1.994430900E0
7.901459170E0,-9.500482559E0,-4.051113129E0,2.487651587E0
7.953453092E0,-9.213169098E0,-3.217905283E0,2.913832426E0
8.005447180E0,-9.433443069E0,-2.813272953E0,3.617749214E0
8.057440207E0,-1.045579815E1,-2.463708878E0,2.006402254E0
8.109433532E0,-9.543579102E0,-2.437371731E0,1.604164124E0
8.161426991E0,-8.554743767E0,-2.968900681E0,2.758204460E0
8.213423945E0,-7.922655106E0,-3.287339211E0,1.800494671E0
8.265422199E0,-7.680833817E0,-4.482082367E0,8.475732803E-1
8.317416959E0,-1.193546009E1,-8.621783257E0,-2.159635782E0
8.369410285E0,-1.084367085E1,1.953728199E0,-2.911438227E0
8.421403644E0,-6.615381241E0,-2.736656189E0,9.553156495E-1
8.473397037E0,-7.929838181E0,1.661626697E0,1.987248063E-1
8.525390263E0,-7.695199013E0,1.422199249E0,1.237840056E0
8.577383656E0,-5.942590237E0,1.410227895E0,1.766974807E0
8.629377316E0,-5.933012962E0,2.561874092E-1,1.731060743E0
8.681371469E0,-9.909903526E0,-1.977671027E0,4.422225475E0
8.733364827E0,-1.571362591E1,-8.949799538E0,6.368771076E0
8.785358020E0,-2.231224632E1,-1.064255142E1,1.030495834E1
8.837351345E0,-2.177592850E1,-1.045579815E1,1.355638409E1
8.889344771E0,-1.998501205E1,-9.780612946E0,7.099024773E0
8.941338096E0,-1.553166103E1,-9.634561539E0,2.442160368E0
8.993331356E0,-5.748653889E0,-7.489291668E0,4.860377908E-1
9.045324748E0,-6.009629726E0,-4.472505569E0,-3.064671755E-1
9.097318766E0,-3.663240433E0,-2.944957972E0,-2.906649590E0
