"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.199304800E-2,3.721696511E-2,1.149465069E-1,3.587184101E-2
1.039862150E-1,4.699081182E-2,2.859887779E-1,1.388069056E-2
1.559795740E-1,1.522581559E-2,8.095002770E-1,-1.605170593E-2
2.079730000E-1,-4.032168984E-1,2.785649300E0,-1.779309958E-1
2.599662260E-1,-9.829279780E-1,4.940170765E0,-1.296726316E-1
3.119601490E-1,-2.025674820E0,6.510705471E0,-6.446320415E-1
3.639539030E-1,-2.134408951E0,7.632865429E0,-1.289705634E0
4.159472290E-1,-9.719324112E-1,5.350061417E0,-1.804665208E0
4.679404890E-1,-1.655903012E-1,1.159526110E0,-1.749687314E0
5.199341140E-1,-5.589874983E-1,2.441121340E0,-1.492513061E0
5.719274060E-1,-3.256369829E-1,4.147268295E0,-1.263438463E0
6.239204990E-1,3.542560339E-1,1.650661707E0,-1.314140439E0
6.759140580E-1,9.394649267E-1,-6.064853668E-1,3.248111010E-1
7.279081770E-1,1.348133802E0,-2.066557109E-2,2.261864662E0
7.799016340E-1,2.474569321E0,-1.960162759E0,3.934413910E0
8.318949610E-1,3.134303808E0,-2.863632441E0,5.065736294E0
8.838882870E-1,3.312065363E0,-4.176382065E0,4.624691486E0
9.358815460E-1,3.315730810E0,-4.520298958E0,2.735285282E0
9.878777010E-1,1.454424262E0,-3.090874195E0,1.544098139E0
1.039876488E0,2.397646196E-3,-7.188845277E-1,1.197737575E0
1.091871614E0,-7.892836928E-1,1.384324431E0,1.252715468E0
1.143865007E0,-4.321871791E-3,-1.794618249E0,1.250882864E0
1.195858233E0,1.354242444E0,-4.211812019E0,9.460610151E-1
1.247851692E0,1.313925266E0,-3.390198231E0,7.188192010E-1
1.299844951E0,4.623791873E-1,-1.323030233E0,7.188192010E-1
1.351838310E0,-1.747532785E-1,8.534826040E-1,6.827781200E-1
1.403831768E0,-2.718808651E-1,1.295749068E0,2.099684328E-1
1.455826020E0,-3.730859235E-2,1.003755450E0,8.290845901E-2
1.507819413E0,5.737552047E-2,3.880032599E-1,-5.026016012E-2
1.559812672E0,-2.352289259E-1,-9.702372551E-2,-5.636881292E-2
1.611805898E0,-5.327203274E-1,4.955155551E-1,1.843120903E-1
1.663799424E0,-4.465883076E-1,-4.937623441E-2,-6.888727192E-3
1.715792617E0,-1.619251072E-1,2.084088922E-1,1.891990155E-1
