"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.999748200E-2,2.181358337E-1,-5.834811211E0,-6.942834854E0
1.199922970E-1,-5.580396652E-1,-5.895380974E0,-7.214285851E0
1.799874140E-1,-1.321692944E0,-6.018367767E0,-7.416647911E0
2.399824980E-1,-3.351380110E0,-6.462256908E0,-7.645320892E0
2.999769030E-1,-5.527444363E0,-6.962856770E0,-7.394626617E0
3.599706010E-1,-6.605973244E0,-7.235602379E0,-7.068257332E0
4.199640650E-1,3.962740898E-1,-2.134352922E-1,-2.969615936E0
4.799568970E-1,-7.642892599E-1,-1.715736628E0,-5.432674885E0
5.399492280E-1,-7.250550985E-1,-1.502048731E0,-6.276809692E0
5.999417580E-1,-1.947447777E0,-7.084140778E-1,-2.629414082E0
6.599342880E-1,-3.950944901E0,2.530931473E0,-3.900132179E-1
7.199268180E-1,-4.135601521E0,8.254632950E-1,3.131913662E0
7.799192820E-1,2.098880768E0,1.010454655E0,4.882789135E0
8.399117460E-1,-4.357237816E0,4.820203781E-2,1.471087933E-1
8.999040440E-1,-8.478727341E0,-9.641900063E-1,2.371581554E0
9.598965410E-1,-1.199732208E1,-3.526529312E0,3.623865604E0
1.019889205E0,-1.095850277E1,-4.294232845E0,3.801524639E0
1.079881669E0,-6.910474777E0,-7.606546879E0,-2.322470903E0
1.139874233E0,1.035845757E0,-9.164441109E0,-5.081858158E0
1.199866865E0,5.526587963E0,-5.950319290E0,-9.519384384E0
1.259860530E0,5.711218357E0,-6.340910912E0,-6.866149426E0
1.319854660E0,1.985870361E0,-4.706260204E0,-4.193152428E0
1.379849056E0,-2.808458805E0,-2.283294916E0,-7.718815804E-1
1.439843286E0,3.441544533E0,-5.744647980E-1,4.669594765E-1
1.499837549E0,3.651419878E0,1.553089619E0,-3.715395927E0
1.559830514E0,2.130387783E0,3.255683422E0,-2.797980785E0
1.619822912E0,7.064471245E-1,2.375585079E0,-2.863416672E-1
1.679815343E0,2.346684933E0,1.746991634E0,1.040928841E0
1.739807973E0,3.493884802E-1,-1.161284447E-1,-5.948495865E-1
1.799800437E0,4.998649359E-1,-7.718286514E-1,-1.413330078E0
1.859792967E0,1.061319590E0,-2.120094299E-1,-1.357321739E0
1.919785431E0,6.925774813E-1,-2.500982285E-1,5.889344215E-1
1.979777862E0,-9.888220429E-1,1.741786003E-1,2.640104294E-1
2.039770093E0,-5.940330029E-2,-3.990144730E-1,-1.662206650E-2
