"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.999703300E-2,-1.253999996E1,1.469999981E1,-3.750000000E1
1.199908050E-1,-1.253999996E1,1.469999981E1,-3.773999786E1
1.799839710E-1,-1.247999954E1,1.427999973E1,-3.779999924E1
2.399769030E-1,-1.205999947E1,1.439999962E1,-3.905999756E1
2.999696980E-1,-8.699999809E0,1.457999992E1,-3.839999771E1
3.599620290E-1,-4.199999869E-1,1.475999928E1,-3.809999847E1
4.199544930E-1,1.301999950E1,1.787999916E1,-3.425999832E1
4.799470230E-1,2.669999886E1,2.268000031E1,-2.376000023E1
5.399395530E-1,3.204000092E1,2.771999931E1,-1.050000000E1
5.999320830E-1,2.897999954E1,3.029999924E1,-6.420000076E0
6.599245470E-1,2.687999916E1,3.402000046E1,-2.099999905E0
7.199169120E-1,2.435999870E1,3.552000046E1,3.899999857E0
7.799092760E-1,2.243999863E1,3.671999741E1,3.720000029E0
8.399019060E-1,2.447999954E1,3.443999863E1,1.139999986E0
8.998944040E-1,3.131999969E1,2.843999863E1,-5.219999790E0
9.598870340E-1,3.534000015E1,1.596000004E1,-1.511999989E1
1.019879532E0,3.402000046E1,1.439999938E0,-2.651999855E1
1.079872864E0,2.442000008E1,-7.559999943E0,-3.486000061E1
1.139866895E0,1.757999992E1,-1.092000008E1,-3.761999893E1
1.199861191E0,1.650000000E1,-1.265999985E1,-3.689999771E1
1.259855421E0,1.757999992E1,-1.230000019E1,-3.731999969E1
1.319849817E0,7.139999866E0,-1.434000015E1,-3.923999786E1
1.379843248E0,-3.179999828E0,-1.727999878E1,-3.779999924E1
1.439835713E0,-7.319999695E0,-1.871999931E1,-3.641999817E1
1.499828144E0,-4.739999771E0,-1.757999992E1,-3.665999985E1
1.559820674E0,-2.279999971E0,-1.805999947E1,-3.731999969E1
1.619813172E0,-1.079999924E0,-1.776000023E1,-3.684000015E1
1.679805702E0,-1.019999981E0,-1.757999992E1,-3.750000000E1
1.739798232E0,5.999999642E-1,-1.644000053E1,-3.839999771E1
1.799790663E0,5.999999866E-2,-1.475999928E1,-3.875999832E1
1.859782994E0,1.799999923E-1,-1.463999939E1,-3.900000000E1
1.919775358E0,-8.999999762E-1,-1.542000008E1,-3.923999786E1
1.979767888E0,-4.380000114E0,-1.710000038E1,-3.654000092E1
2.039760418E0,-7.319999695E0,-1.871999931E1,-3.611999893E1
2.099753048E0,-1.109999943E1,-1.842000008E1,-3.581999969E1
2.159745913E0,-1.631999969E1,-1.842000008E1,-3.311999893E1
2.219739177E0,-1.547999954E1,-1.626000023E1,-3.413999939E1
2.279732241E0,-4.920000076E0,-1.350000000E1,-4.073999786E1
2.339725371E0,2.399999857E0,-1.271999931E1,-3.965999985E1
2.399718335E0,-3.599999845E-1,-1.895999908E1,-3.923999786E1
2.459711133E0,4.980000019E0,-2.010000038E1,-3.804000092E1
2.519703464E0,1.073999977E1,-1.692000008E1,-3.875999832E1
2.579696060E0,1.163999939E1,-1.284000015E1,-3.936000061E1
2.639688524E0,9.059999466E0,-9.719999313E0,-3.984000015E1
2.699681054E0,2.039999962E0,-5.579999924E0,-4.109999847E1
2.759673518E0,-3.539999962E0,-1.740000010E0,-4.121999741E1
2.819666048E0,-8.099999428E0,2.460000038E0,-4.086000061E1
2.879658312E0,-1.175999928E1,6.239999771E0,-3.995999908E1
2.939650742E0,-1.284000015E1,1.043999958E1,-3.929999924E1
2.999643272E0,-1.067999935E1,1.259999943E1,-3.815999985E1
3.059635802E0,-5.339999676E0,1.277999973E1,-3.881999969E1
3.119628266E0,-4.079999924E0,8.039999962E0,-3.900000000E1
3.179620930E0,-5.519999981E0,8.819999695E0,-3.954000092E1
3.239614661E0,2.579999924E0,9.179999352E0,-4.013999939E1
3.299608991E0,1.488000011E1,1.151999950E1,-3.570000076E1
3.350495762E0,2.339999962E1,1.373999977E1,-3.270000076E1
3.410490092E0,2.777999878E1,1.847999954E1,-2.681999969E1
3.470484389E0,3.029999924E1,2.231999969E1,-1.847999954E1
3.530477621E0,3.053999901E1,2.747999954E1,-1.427999973E1
3.590470019E0,2.934000015E1,2.892000008E1,-1.055999947E1
3.650462350E0,2.837999916E1,3.059999847E1,-9.420000076E0
3.710454880E0,2.471999931E1,3.329999924E1,-1.013999939E1
3.770447344E0,2.100000000E1,3.539999771E1,-1.055999947E1
3.830439907E0,1.644000053E1,3.725999832E1,-1.038000011E1
3.890432371E0,1.235999966E1,4.043999863E1,-8.579999924E0
3.950424901E0,8.279999733E0,4.127999878E1,-4.920000076E0
4.010417165E0,3.000000000E0,4.295999908E1,-2.460000038E0
4.070409695E0,-5.999999642E-1,4.247999954E1,-1.319999933E0
4.130402159E0,-3.959999800E0,4.247999954E1,4.799999893E-1
4.190394755E0,-5.219999790E0,4.247999954E1,6.599999666E-1
4.250387219E0,-8.579999924E0,4.229999924E1,2.639999866E0
4.310380218E0,-1.026000023E1,4.223999786E1,2.700000048E0
4.370373349E0,-1.050000000E1,4.152000046E1,3.359999895E0
4.430366545E0,-1.338000011E1,4.134000015E1,4.019999981E0
4.490359609E0,-1.361999989E1,4.170000076E1,4.139999866E0
4.550352739E0,-1.253999996E1,4.134000015E1,3.899999857E0
4.610345404E0,-1.242000008E1,4.152000046E1,4.799999714E0
4.670337735E0,-1.230000019E1,4.247999954E1,2.939999819E0
4.730330166E0,-1.169999981E1,4.229999924E1,3.240000010E0
4.790322696E0,-1.205999947E1,4.236000061E1,4.139999866E0
4.850315226E0,-1.253999996E1,4.152000046E1,3.419999838E0
4.910307756E0,-1.289999962E1,4.241999817E1,3.839999914E0
4.970300286E0,-1.188000011E1,4.170000076E1,3.779999971E0
5.030292617E0,-1.211999989E1,4.193999863E1,2.939999819E0
5.090285015E0,-1.151999950E1,4.271999741E1,3.539999962E0
5.150277545E0,-1.121999931E1,4.236000061E1,2.819999933E0
5.210270075E0,-1.169999981E1,4.277999878E1,3.720000029E0
5.270262539E0,-1.223999977E1,4.211999893E1,3.720000029E0
5.330255303E0,-1.223999977E1,4.187999725E1,3.539999962E0
5.390249201E0,-1.217999935E1,4.265999985E1,4.019999981E0
5.450243531E0,-1.296000004E1,4.187999725E1,3.240000010E0
5.510237795E0,-1.331999969E1,4.163999939E1,3.059999943E0
5.570232191E0,-1.331999969E1,4.175999832E1,3.959999800E0
5.630226288E0,-1.253999996E1,4.181999969E1,2.819999933E0
5.690219186E0,-1.373999977E1,4.145999908E1,3.419999838E0
5.750211450E0,-1.350000000E1,4.175999832E1,3.119999886E0
5.810203847E0,-1.307999992E1,4.187999725E1,2.700000048E0
5.870196311E0,-1.331999969E1,4.181999969E1,2.759999990E0
5.930188874E0,-1.331999969E1,4.218000031E1,3.359999895E0
5.990181338E0,-1.403999996E1,4.218000031E1,4.259999752E0
6.050173868E0,-1.284000015E1,4.175999832E1,3.000000000E0
