"Time (s)","Pressure (hPa)"
9.999100000E-2,1.021868408E3
1.999825000E-1,1.021852783E3
2.999728330E-1,1.021843506E3
3.999620830E-1,1.021828369E3
4.999510830E-1,1.021820801E3
5.999400830E-1,1.021810791E3
6.999286540E-1,1.021782959E3
7.999171540E-1,1.021769043E3
8.999053760E-1,1.021790039E3
9.998936760E-1,1.021773682E3
1.099881948E0,1.021732666E3
1.199870364E0,1.021735352E3
1.299859210E0,1.021785400E3
1.399847852E0,1.021824219E3
1.499836452E0,1.021848633E3
1.599825014E0,1.021849365E3
1.699813484E0,1.021869141E3
1.799801928E0,1.021905762E3
1.899790243E0,1.021880859E3
1.999778543E0,1.021843750E3
2.099766876E0,1.021829346E3
2.199755103E0,1.021836914E3
2.299743407E0,1.021835693E3
2.399731698E0,1.021843262E3
2.499719978E0,1.021925049E3
2.599708247E0,1.021919434E3
2.699696469E0,1.021865479E3
2.799684683E0,1.021770508E3
2.899672820E0,1.021744873E3
2.999660953E0,1.021721924E3
3.099649019E0,1.021695312E3
3.199636885E0,1.021688232E3
3.299624751E0,1.021690674E3
3.399612951E0,1.021691895E3
3.500482564E0,1.021716309E3
3.600470730E0,1.021748047E3
3.700458896E0,1.021806641E3
3.800447062E0,1.021852539E3
3.900435262E0,1.021862549E3
4.000423428E0,1.021814697E3
4.100411594E0,1.021818848E3
4.200399660E0,1.021844727E3
4.300387526E0,1.021864258E3
4.400375392E0,1.021886719E3
4.500363392E0,1.021894775E3
4.600351392E0,1.021892822E3
4.700339358E0,1.021879639E3
4.800327324E0,1.021885742E3
4.900315324E0,1.021880615E3
5.000303324E0,1.021882324E3
5.100291290E0,1.021878662E3
5.200279256E0,1.021878418E3
5.300267189E0,1.021887695E3
5.400255122E0,1.021891113E3
5.500243188E0,1.021898438E3
5.600231388E0,1.021900879E3
5.700219554E0,1.021899658E3
5.800207720E0,1.021901367E3
5.900195953E0,1.021896484E3
6.000184153E0,1.021895508E3
6.100172319E0,1.021895508E3
6.200160485E0,1.021893311E3
6.300148651E0,1.021892090E3
6.400136584E0,1.021893066E3
6.500124450E0,1.021895264E3
6.600112450E0,1.021896240E3
6.700100450E0,1.021907471E3
6.800088450E0,1.021902588E3
6.900076483E0,1.021908447E3
7.000064483E0,1.021908203E3
7.100052483E0,1.021906494E3
7.200040449E0,1.021906006E3
7.300028415E0,1.021905029E3
7.400016481E0,1.021897949E3
7.500004347E0,1.021894043E3
7.599992213E0,1.021893311E3
7.699980446E0,1.021898682E3
7.799968679E0,1.021900146E3
7.899956945E0,1.021889893E3
7.999945145E0,1.021885010E3
8.099933378E0,1.021889404E3
8.199921611E0,1.021876953E3
8.299909811E0,1.021874023E3
8.399898011E0,1.021867188E3
8.499886044E0,1.021874023E3
8.599873944E0,1.021893066E3
8.699861877E0,1.021885254E3
8.799850110E0,1.021875488E3
8.899838343E0,1.021874268E3
8.999826543E0,1.021884277E3
9.099814743E0,1.021860107E3
9.199802976E0,1.021863281E3
9.299791209E0,1.021861816E3
