"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.199219400E-2,-1.176786041E1,1.053480953E-1,8.499675751E0
1.039854950E-1,-1.120281219E1,1.539518714E0,7.020013809E0
1.559789210E-1,-7.077476501E0,2.650462151E0,7.805335999E0
2.079725110E-1,-4.984879971E0,3.519583941E0,2.415823221E0
2.599664300E-1,-2.777358890E-1,4.106181145E0,-3.917033672E0
3.119598560E-1,1.122914910E0,2.705530643E0,-3.162837029E0
3.639534820E-1,4.798126698E0,5.573871613E0,-1.108788681E1
4.159467060E-1,-2.092596292E0,6.225114465E-1,9.265843630E-1
4.679399320E-1,5.746259689E-1,1.565855742E0,1.601530457E1
5.199332250E-1,-2.537931204E-1,-1.183011150E1,3.921822071E0
5.719264510E-1,-7.108602047E0,-4.067633438E1,2.814709473E1
6.239200430E-1,-8.901913643E0,-1.473197269E1,1.222516727E1
6.759141940E-1,-1.366412640E1,-3.234665155E0,1.075268841E1
7.279074530E-1,-1.638881111E1,-1.148054790E1,5.624151707E0
7.799012450E-1,-8.573898315E0,-4.498842239E0,5.446975231E0
8.318941380E-1,-1.215573311E1,-4.431802750E0,-1.050847244E1
8.838888950E-1,2.604970932E0,-4.948966026E0,-1.741834831E1
9.358847840E-1,1.938883781E1,5.537957668E0,-2.323164940E1
9.878782110E-1,-5.188393593E0,3.917033672E0,6.466936111E0
1.039871770E0,-2.758204460E0,1.142069101E0,1.458592224E1
1.091865028E0,-6.292154312E0,-2.398105621E1,5.746259689E0
1.143858287E0,-4.434196949E0,-7.465348721E0,2.783105087E1
1.195851813E0,-1.038875866E1,-8.813325882E0,1.127224541E1
1.247845004E0,-1.167687798E1,-7.620976925E0,9.538790703E0
1.299839323E0,-1.267529106E1,-1.313499165E1,1.254599953E1
1.351832715E0,-7.934626579E0,-6.790163517E0,9.534002304E0
1.403825908E0,-5.746259689E0,-4.917840481E0,1.628106833E0
1.455819367E0,-1.841197371E0,-4.867560863E0,3.608172178E0
1.507812525E0,3.447755575E-1,4.637710094E0,-5.439792156E0
1.559806017E0,-2.770175934E0,-7.127756119E0,-6.440599442E0
1.611799509E0,-2.470891714E0,7.398309112E-1,-1.071198559E1
1.663792866E0,-4.783761024E0,5.669642925E0,-3.885908127E0
1.715786920E0,1.000806904E1,-4.261809289E-1,6.936213970E0
1.767780445E0,1.872322917E0,-4.698524857E1,-1.283331299E1
1.819773605E0,-9.713572502E0,-2.004965782E1,1.106394386E1
1.871766898E0,-2.264983892E0,1.781340480E0,7.771816254E0
1.923761419E0,-3.189173937E0,-5.865973234E-1,1.242628670E1
1.975760308E0,-5.956955910E0,-8.315316200E0,1.429142666E1
2.027756865E0,-1.005834866E1,-1.150927925E1,1.344145870E1
2.079750358E0,-1.515097141E1,-8.942616463E0,8.909096718E0
2.131743683E0,-1.090352726E1,-5.442186832E0,4.333637238E0
2.183736909E0,-1.491633177E0,4.024775982E0,3.541132450E0
2.235730435E0,5.710345268E0,6.057515144E-1,-2.088047028E1
2.287723662E0,6.244268894E0,-1.062339687E1,-2.935380936E1
2.339716954E0,9.182044029E0,8.164477348E0,-1.326667690E1
2.391710709E0,-1.379820538E1,-9.284997940E0,4.199079132E1
2.443704630E0,-1.181814003E1,-2.457004738E1,1.760510254E1
2.495697989E0,-1.213657856E1,-3.701548815E0,1.304161453E1
2.547691281E0,-1.534251308E1,-1.149730778E1,1.201447105E1
2.599684607E0,-1.348216152E1,-9.696812630E0,1.269923401E1
2.651678000E0,-1.370961761E1,-4.968120098E0,7.731113434E0
2.703671193E0,-9.929058075E0,-2.329629421E0,4.273780346E0
2.755664752E0,-8.557138443E0,-1.845985889E0,3.725491524E0
2.807658772E0,-7.793364525E0,-5.569083214E0,1.383890867E0
2.859652260E0,-2.686376333E0,2.463708878E0,-3.759011328E-1
2.911433878E0,-1.098493290E1,-6.969734192E0,9.397528648E0
2.963427270E0,-1.454043102E1,-7.860404015E0,7.175641537E0
3.015420764E0,-1.417650127E1,-7.424646378E0,1.381496549E0
3.067413889E0,-7.829278469E0,8.475732803E-1,9.680052757E0
3.119407248E0,5.267404556E0,3.672817469E0,-1.161223316E1
3.171400641E0,-1.374313712E0,-1.456437397E1,-6.584255695E-1
3.223394560E0,6.672843933E0,-9.385557175E-1,-2.204887581E1
3.275388350E0,4.563488007E0,3.423812985E-1,5.147690773E0
3.327381610E0,-4.549122334E0,-9.873989105E0,3.455178070E1
3.379375003E0,-1.736567497E1,-2.604731560E1,1.841436768E1
3.431368494E0,-1.384609127E1,-4.053507328E0,1.747581100E1
3.483366547E0,-1.347497845E1,-8.312922478E0,1.100408745E1
3.535364135E0,-1.131294823E1,-4.721509933E0,8.514040947E0
3.587358229E0,-1.144702816E1,-3.091008663E0,7.688016415E0
3.639351655E0,-1.034805584E1,-6.433416367E0,4.529967785E0
3.691345047E0,-1.213657856E1,-8.547560692E0,3.505218267E0
3.743338339E0,-7.817307472E0,-1.222995567E1,2.250618339E-1
3.795331698E0,-8.439818382E0,-1.790917516E0,1.987248063E-1
3.847324991E0,9.045570374E0,9.873989105E0,-8.858817101E0
3.899318349E0,2.205127144E1,6.325674057E0,3.134105682E0
3.951312535E0,1.252923965E1,5.894704342E0,-2.519256020E1
4.003306025E0,9.464568138E0,-2.949746609E0,-7.113390446E0
4.055299285E0,-1.855562925E0,-8.241093636E0,3.459487534E1
4.107292744E0,-8.899519920E0,-2.893241692E1,7.477320194E0
4.159285937E0,-1.300091267E1,-4.063084126E0,1.498576641E1
4.211279363E0,-1.812705421E1,-4.975303173E0,1.129618835E1
4.263272722E0,-1.561067200E1,-5.480494976E0,8.262641907E0
4.315266113E0,-1.071916866E1,-4.254626274E0,8.473338127E0
4.367260464E0,-9.593858719E0,-3.433390141E0,6.668055534E0
4.419253857E0,-9.914691925E0,1.091789365E0,5.114171028E0
4.471247216E0,-6.826077461E0,2.557085514E0,6.541158676E0
4.523240607E0,-3.823656797E0,1.884294271E0,6.658478260E0
4.575236529E0,-2.592999697E0,1.161223292E0,4.314483166E0
4.627231089E0,-8.499675751E0,-3.469304085E0,1.562264347E1
4.679224281E0,-1.747820675E-1,-6.047938347E0,-1.465775013E1
4.731217707E0,6.251451492E0,-5.707951069E0,-8.432636261E0
4.783211033E0,5.322473049E0,1.022355366E1,-1.130815983E1
4.835204292E0,-8.200390816E0,-1.633134842E1,1.865858269E1
4.887197752E0,-5.494860649E0,-1.030735302E1,1.009665680E1
4.939191144E0,-1.640078163E1,-1.262261677E1,2.128749657E1
4.991185294E0,-1.790199280E1,-1.352046967E1,1.338399601E1
5.043178687E0,-1.621881676E1,-1.225389862E1,1.271838760E1
5.095172013E0,-1.255078888E1,-7.987300873E0,1.229460144E1
5.147165438E0,-5.406272411E0,-2.004008055E0,9.150918007E0
5.199158765E0,-5.427821159E0,-3.232271075E-1,4.793338299E0
5.251152257E0,-1.080775642E1,-2.743839025E0,3.972101927E0
5.303145417E0,-8.511647224E0,2.782147408E0,2.097384691E0
5.355138974E0,-2.485257149E0,6.490879059E0,1.182771802E0
5.407133059E0,3.797319889E0,2.463708878E0,4.070267200E0
5.459126451E0,7.024802208E0,-2.274561167E0,4.850800991E0
5.511119743E0,5.698373914E-1,-2.660039425E0,-6.222720146E0
5.563113202E0,9.562733650E0,-5.123748183E-1,-2.135693169E1
5.615110323E0,-1.099690437E1,-9.280209541E0,1.214855003E1
5.667108451E0,-3.962524891E0,5.226701736E0,8.719948769E0
5.719104112E0,-9.689630508E0,7.996878028E-1,1.116450310E1
5.771097437E0,-2.440484238E1,-7.544359684E0,1.383651447E1
5.823090763E0,-2.207760811E1,1.110943556E0,7.649707794E0
5.875084123E0,-1.426987743E1,-9.217957854E-1,8.803748131E0
5.927077415E0,-5.494860649E0,1.103760719E0,9.598648071E0
5.979070708E0,-8.284191132E0,1.271359921E0,8.186025620E0
6.031064729E0,-1.298654652E1,-2.839609861E0,9.239506721E0
6.083058417E0,-1.559391212E1,-6.612987041E0,1.057790565E1
6.135051776E0,-8.130957603E0,-4.039141655E0,3.263396502E0
6.187045136E0,-7.891529560E0,3.462121487E0,1.336005330E0
6.239038395E0,1.010383964E0,6.349617004E0,4.400677204E0
6.291031821E0,-6.440598965E-1,2.585816681E-1,6.275394440E0
6.343025114E0,3.454938650E0,-4.326454639E0,4.192375183E0
