"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.199348400E-2,1.720150709E0,-8.825964332E-1,-8.859238029E-1
1.039865840E-1,1.640127301E0,-2.034688234E0,-1.783895731E0
1.559799100E-1,1.761689544E0,-7.671428919E-1,-1.800999999E0
2.079732690E-1,1.691440105E0,-1.707264543E0,-9.335712790E-1
2.599667620E-1,1.649901271E0,-3.159902096E0,-3.288146853E-1
3.119599210E-1,1.657842398E0,-2.312021017E0,1.995837241E-1
3.639540730E-1,1.143493891E0,-2.427474499E0,1.244473010E-1
4.159475970E-1,-2.692388557E-2,-2.622340679E0,-4.980243742E-1
4.679409890E-1,-1.037905931E0,7.035334408E-2,-4.748114944E-1
5.199344810E-1,-3.432497501E0,1.043461680E0,-1.998920321E0
5.719277730E-1,-5.304188728E0,5.553803444E-1,-1.543214798E0
6.239209990E-1,-5.503942013E0,1.558421135E0,-2.578020573E0
6.759143250E-1,-8.117834091E0,1.265816689E0,-4.452765942E0
7.279075850E-1,1.772074223E0,5.850971222E0,6.381850243E-1
7.799016380E-1,1.847210646E0,3.728825092E0,2.628384113E0
8.318952940E-1,2.015809536E0,6.170777678E-1,1.038912654E0
8.838890190E-1,2.814210415E0,-8.587726951E-1,3.838508129E0
9.358819120E-1,2.658439636E0,-6.281527132E-2,3.686402559E0
9.878755690E-1,6.419735551E-1,-6.404207706E0,4.033984661E0
1.039871891E0,-1.070892572E0,-6.048072815E0,1.668103814E0
1.091866018E0,-4.801858962E-1,-4.152558327E0,-1.444865465E0
1.143859244E0,-4.181418419E0,3.395903826E0,8.962798119E-2
1.195852937E0,-7.660906792E0,5.597461700E0,-1.888353586E0
1.247846161E0,-1.344560146E0,1.925264001E-1,-6.037040949E-1
1.299839520E0,-4.952589795E-2,5.533321381E0,-2.723406553E0
1.351832680E0,9.309128523E-1,2.406301975E0,-6.116453409E-1
1.403826700E0,2.280925035E0,-8.025730848E-1,9.649978876E-1
1.455820322E0,3.093375683E0,-2.992201149E-1,1.830593824E0
1.507813882E0,2.552760124E0,9.723142534E-2,2.208719492E0
1.559807141E0,1.222906351E0,-1.764685750E0,4.518710673E-1
1.611800333E0,1.152656913E0,5.504934192E-1,1.420092583E0
1.663793792E0,8.130158186E-1,-6.590197682E-1,-1.363921613E-1
1.715787383E0,5.063614845E-1,1.182128072E0,1.184909463E0
1.767780443E0,2.239997149E0,-5.724925518E0,1.608849883E0
1.819774562E0,-5.109322548E0,-3.787871599E0,-1.601857901E0
1.871768186E0,-7.904031277E0,2.262137890E0,-2.419195652E0
1.923761412E0,7.971333265E-1,4.706209660E0,-2.567326128E-1
1.975754639E0,-1.213835120E0,2.416686773E0,2.037677288E0
2.027748163E0,-9.096241593E-1,-2.238106489E0,-3.880686462E-1
2.079745684E0,2.410428524E0,-1.919234753E0,5.221205354E-1
2.131743739E0,3.757997036E0,2.019624472E0,3.534908056E0
2.183738166E0,3.987071514E0,1.011696696E0,4.616750717E0
2.235731390E0,2.979144096E0,-1.104951382E0,4.939898014E0
2.287724717E0,2.132484913E0,-4.063371658E0,3.756652117E0
2.339718176E0,1.588203907E0,-2.401207447E0,2.221547604E0
2.391711469E0,6.456387043E-1,-1.117883483E-3,-1.192578077E0
