"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.999601600E-2,8.472118378E-1,2.019020557E0,-2.224359512E-1
1.199920400E-1,1.507471323E0,2.470890522E0,-5.034437180E-1
1.799868860E-1,2.145944595E0,2.664974928E0,-6.736288071E-1
2.399821440E-1,3.492483139E0,2.205256462E0,-7.537088394E-1
2.999768770E-1,3.984949112E0,1.561849356E0,-6.215982437E-1
3.599708420E-1,3.563269615E0,7.579019070E-1,-3.727359772E-1
4.199642080E-1,-1.155209827E1,-4.332134247E0,2.619228363E-1
4.799573400E-1,-1.098339081E1,-2.966598988E0,-1.687290192E0
5.399497380E-1,-6.849780083E0,-2.978359699E0,-1.340840816E0
5.999421030E-1,-3.975168943E0,-1.842513800E0,-7.347901344E0
6.599346990E-1,4.767944813E-1,-3.009673357E0,-1.095824814E1
7.199271630E-1,1.516518474E0,-1.419156075E0,-1.504212952E1
7.799197260E-1,-9.251601696E-1,-3.902647495E0,-1.051440048E1
8.399121900E-1,1.541001797E-1,-2.620581627E0,6.521064758E0
8.999046210E-1,2.127046585E0,-1.660026169E1,-5.376350403E0
9.598968850E-1,-7.840471745E0,-3.486135101E1,1.174414349E1
1.019889382E0,-5.853854179E0,-7.901538849E0,4.633962631E0
1.079881880E0,-9.233228683E0,-4.835330963E0,-1.663554668E0
1.139874410E0,-4.335713387E0,-9.100365639E0,-2.515869141E-1
1.199866907E0,-7.330208302E0,-8.084782600E0,-1.436128426E1
1.259859740E0,6.076560020E0,-9.728880882E0,-2.524591446E1
1.319852938E0,2.230812836E1,1.964231491E0,-2.352756500E1
1.379846035E0,-7.120280266E0,-5.783813477E0,-1.723161316E1
1.439839165E0,1.032719231E1,-5.788275242E0,-7.917953014E0
1.499832295E0,-5.513798714E0,-1.669866180E1,1.610874939E1
1.559825126E0,-2.427689552E0,-5.690846443E0,5.573747635E0
1.619817390E0,-5.204140186E0,-4.906979561E0,2.294526577E0
1.679809953E0,-5.685998917E0,-1.097613525E1,5.463186741E0
1.739802483E0,-9.717483521E-1,-6.407876968E0,1.590839386E0
1.799795013E0,3.292669773E0,-7.832275391E0,-8.541431427E0
1.859787511E0,4.331213951E0,-1.391706944E0,-8.053594589E0
1.919780041E0,5.763859272E0,-6.558299541E0,-1.103020859E1
1.979772305E0,4.321795464E0,-3.244486332E0,-1.499721527E1
2.039764703E0,1.806577206E0,2.927989960E0,-1.061056423E1
2.099757167E0,6.185895443E0,-7.279339790E0,6.202990532E0
2.159749764E0,-2.275815201E1,-6.519763184E1,3.074600983E1
2.219742261E0,1.586450577E0,6.238062382E-1,-9.764590263E-1
2.279734925E0,4.303760529E0,3.794397116E0,5.501803398E0
2.339728523E0,1.919038773E0,-3.012314081E0,8.029457092E0
2.399722920E0,-2.480021954E0,-1.039999390E1,6.234407425E0
2.459717185E0,-8.253702164E0,-1.219145584E1,1.050863743E0
2.519711581E0,-4.737557888E0,-9.317122459E0,9.486560822E-1
2.579705779E0,4.266393661E0,-2.609002113E0,-1.401771927E1
2.639699010E0,9.512329102E0,-1.779420090E1,-2.688936424E1
2.699691274E0,1.548886967E1,4.848144531E0,-2.131683350E1
2.759683638E0,-4.744242668E0,-9.706468582E0,2.480985832E1
2.819676135E0,-5.704467773E0,-2.565993118E1,1.001527596E1
2.879668665E0,-4.001191616E0,-3.904332876E0,6.305424213E0
2.939661095E0,-4.905914307E0,-1.144297600E1,6.141526222E0
2.999653625E0,-5.016077995E0,-6.718734741E0,5.725833893E0
3.059646089E0,-2.806579590E0,-5.560338497E0,2.536745071E-1
3.119638420E0,-5.309839249E-1,-3.423206329E0,7.083687782E-1
3.179630884E0,-1.440193653E0,-1.173367310E1,-2.747968197E0
3.239623414E0,2.546188593E0,-4.664548397E0,-5.154582500E0
3.290648028E0,7.765806913E-1,-1.294623375E0,6.316349030E0
3.350640559E0,3.360432386E0,-6.412611485E0,-8.446499825E0
3.410633524E0,4.825819016E0,-1.175713539E1,-1.842350388E1
3.470626689E0,9.597198486E0,-1.331927490E1,-2.371321297E1
3.530619885E0,-6.715480804E0,-1.502727509E1,2.324677277E1
3.590612949E0,-5.025599003E0,-1.395587349E1,1.266297340E1
3.650606080E0,-6.770941734E0,-1.222537279E0,1.139927483E1
3.710598678E0,-5.596940041E0,-5.398359299E0,1.130396461E1
3.770591076E0,-3.223478317E0,-3.514122963E0,6.345512390E0
3.830583540E0,4.466114521E0,1.410654783E-1,5.274733067E0
3.890576070E0,4.814558029E-1,-3.881311417E0,4.469385624E0
3.950568534E0,-5.586408615E0,-1.107673836E1,3.628830194E0
4.010561131E0,-6.634349346E0,-1.318478966E1,-1.952676654E0
4.070553595E0,4.319300652E-1,-5.353354454E0,-9.207785130E-1
4.130545926E0,1.043029976E1,-7.896052837E0,-2.104756737E1
4.190538324E0,5.828133106E0,-1.166467285E1,-2.826720810E1
4.250530888E0,1.096944904E1,-1.288719749E1,-1.686888504E1
4.310523352E0,-5.967073441E-1,-1.172962379E1,2.680591011E1
4.370515883E0,-9.385258675E0,-2.704096413E1,1.100645161E1
4.430508580E0,-5.529989243E0,-5.401546955E0,1.174482727E1
4.490502379E0,-3.718837738E0,-7.161255836E0,5.672677040E0
4.550496675E0,-4.159132004E0,-4.817678452E0,3.640570164E0
4.610490939E0,-5.575561523E-2,-5.791001320E0,1.726679802E0
4.670485269E0,-2.674502373E0,-8.697971344E0,8.454489708E-1
4.730479367E0,-2.418756485E0,-2.018935585E1,-4.682964325E0
4.790472365E0,-4.714245796E0,-9.713274002E0,-1.545817852E-1
4.850464629E0,1.536045456E1,1.464262009E-1,-1.742027473E1
4.910457159E0,5.863537788E-1,-9.918417931E0,-1.873328328E0
4.970449623E0,1.028949261E1,-1.618574142E1,-2.967787170E1
5.030442253E0,3.049036980E0,-8.743752480E0,2.305594444E0
