"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.999681600E-2,2.771999931E1,2.003999901E1,-2.807999992E1
1.199920620E-1,3.113999939E1,1.800000000E1,-2.615999985E1
1.799860900E-1,2.981999969E1,1.602000046E1,-2.892000008E1
2.399795800E-1,2.442000008E1,1.523999977E1,-3.365999985E1
2.999728220E-1,2.165999985E1,1.361999989E1,-3.641999817E1
3.599654870E-1,1.752000046E1,1.097999954E1,-4.007999802E1
4.199578180E-1,9.779999733E0,6.659999847E0,-4.355999756E1
4.799503150E-1,4.019999981E0,2.639999866E0,-4.536000061E1
5.399428450E-1,-3.839999914E0,3.179999828E0,-4.770000076E1
5.999353420E-1,-5.639999866E0,4.739999771E0,-4.721999741E1
6.599278060E-1,-2.879999876E0,1.230000019E1,-4.500000000E1
7.199202700E-1,-3.599999905E0,2.477999878E1,-3.984000015E1
7.799126340E-1,-7.379999638E0,3.605999756E1,-2.885999870E1
8.399049980E-1,-1.055999947E1,3.984000015E1,-2.093999863E1
8.998975620E-1,5.399999619E-1,3.786000061E1,-2.639999962E1
9.598900260E-1,6.719999790E0,3.341999817E1,-3.065999985E1
1.019882556E0,1.181999969E1,2.651999855E1,-3.420000076E1
1.079875155E0,1.602000046E1,1.787999916E1,-3.936000061E1
1.139868420E0,2.879999876E0,1.517999935E1,-4.500000000E1
1.199861484E0,-1.080000019E1,1.961999893E1,-4.421999741E1
1.259854647E0,-6.239999771E0,2.039999962E1,-4.200000000E1
1.319847711E0,3.599999845E-1,3.336000061E1,-3.323999786E1
1.379840741E0,3.299999952E0,3.911999893E1,-2.411999893E1
1.439833039E0,3.419999838E0,3.911999893E1,-2.268000031E1
1.499825602E0,3.599999905E0,3.923999786E1,-2.321999931E1
1.559818099E0,6.239999771E0,3.491999817E1,-3.059999847E1
1.619810695E0,9.359999657E0,2.777999878E1,-3.450000000E1
1.679803193E0,9.840000153E0,2.255999947E1,-3.893999863E1
1.739795690E0,9.300000191E0,2.010000038E1,-4.091999817E1
1.799787987E0,1.061999989E1,1.752000046E1,-4.271999741E1
1.859780385E0,1.259999943E1,1.535999966E1,-4.320000076E1
1.919772849E0,4.500000000E0,1.488000011E1,-4.613999939E1
1.979765380E0,-4.739999771E0,2.885999870E1,-3.791999817E1
2.039757943E0,-9.659999847E0,3.887999725E1,-2.393999863E1
2.099750507E0,1.679999948E0,3.773999786E1,-2.519999886E1
2.159743705E0,6.599999666E-1,4.031999969E1,-2.279999924E1
2.219737936E0,-7.799999714E-1,3.720000076E1,-2.729999924E1
2.279732233E0,8.639999390E0,2.807999992E1,-3.420000076E1
2.339726597E0,1.703999901E1,1.613999939E1,-3.875999832E1
2.399720894E0,1.451999950E1,5.159999847E0,-4.211999893E1
2.459714525E0,6.420000076E0,-4.199999869E-1,-4.625999832E1
2.519706956E0,1.079999924E0,-1.500000000E0,-4.668000031E1
2.579699287E0,-5.999999866E-2,1.050000000E1,-4.661999893E1
2.639691784E0,6.599999666E-1,2.495999908E1,-3.815999985E1
2.699684281E0,9.960000038E0,3.252000046E1,-2.927999878E1
2.759676777E0,1.752000046E1,3.384000015E1,-2.471999931E1
2.819669241E0,1.626000023E1,3.515999985E1,-2.369999886E1
2.879661771E0,1.619999886E1,3.377999878E1,-2.495999908E1
2.939654135E0,1.871999931E1,2.897999954E1,-2.723999977E1
2.999646566E0,2.393999863E1,1.763999939E1,-3.263999939E1
3.059639030E0,2.484000015E1,3.179999828E0,-3.539999771E1
3.110664562E0,1.752000046E1,-6.359999657E0,-4.157999802E1
3.170657059E0,3.419999838E0,-1.103999996E1,-4.331999969E1
3.230649824E0,-2.759999990E0,-1.313999939E1,-4.397999954E1
3.290643023E0,-4.799999893E-1,-8.819999695E0,-4.439999771E1
3.350636153E0,6.599999666E-1,2.220000029E0,-4.607999802E1
3.410629217E0,2.220000029E0,1.745999908E1,-4.121999741E1
3.470622381E0,1.031999969E1,2.592000008E1,-3.389999771E1
3.530615279E0,1.692000008E1,3.017999840E1,-2.657999992E1
3.590607610E0,1.644000053E1,3.281999969E1,-2.381999969E1
3.650600074E0,1.427999973E1,3.407999802E1,-2.345999908E1
3.710592538E0,1.223999977E1,3.185999870E1,-2.742000008E1
3.770585002E0,1.685999870E1,2.471999931E1,-3.059999847E1
3.830577599E0,2.327999878E1,1.127999973E1,-3.521999741E1
3.890570129E0,2.160000038E1,-7.199999690E-1,-3.834000015E1
3.950562460E0,9.659999847E0,-8.639999390E0,-4.302000046E1
4.010554858E0,-3.059999943E0,-1.061999989E1,-4.368000031E1
4.070547322E0,-1.379999995E0,-7.619999886E0,-4.481999969E1
4.130539820E0,-2.339999914E0,8.399999619E0,-4.571999741E1
4.190532351E0,1.199999928E0,2.477999878E1,-3.593999863E1
4.250524947E0,8.579999924E0,3.204000092E1,-2.837999916E1
4.310518379E0,1.517999935E1,3.288000107E1,-2.387999916E1
4.370512643E0,1.517999935E1,3.323999786E1,-2.423999977E1
4.430506873E0,1.505999947E1,3.257999802E1,-2.376000023E1
4.490501137E0,1.673999977E1,2.927999878E1,-2.765999985E1
4.550495401E0,2.268000031E1,1.865999985E1,-3.239999771E1
4.610488832E0,2.195999908E1,3.839999914E0,-3.725999832E1
4.670481230E0,1.385999966E1,-9.719999313E0,-4.139999771E1
4.730473627E0,-2.519999981E0,-1.223999977E1,-4.361999893E1
4.790466157E0,-1.319999933E0,-7.259999752E0,-4.452000046E1
