"Time (s)","Pressure (hPa)"
1.006334600E-1,1.022174316E3
2.006259600E-1,1.022176270E3
3.006169600E-1,1.022204590E3
4.006067100E-1,1.022216064E3
5.005961100E-1,1.022243896E3
6.005851100E-1,1.022234863E3
7.005739670E-1,1.022184082E3
8.005627170E-1,1.022123535E3
9.005511610E-1,1.022123535E3
1.000539661E0,1.022166992E3
1.100527933E0,1.022252441E3
1.200516183E0,1.022252441E3
1.300504721E0,1.022155518E3
1.400493435E0,1.022091064E3
1.500481768E0,1.022091064E3
1.600469955E0,1.021953369E3
1.700458190E0,1.022134033E3
1.800446412E0,1.022134033E3
1.900434517E0,1.022184814E3
2.000422617E0,1.022117676E3
2.100410712E0,1.022117676E3
2.200398757E0,1.022029053E3
2.300386974E0,1.022069580E3
2.400375349E0,1.022069580E3
2.500363709E0,1.022126465E3
2.600351978E0,1.022146729E3
2.700340237E0,1.022146729E3
2.800328522E0,1.022062988E3
2.900316728E0,1.022015381E3
3.000305028E0,1.022015381E3
3.100293028E0,1.022153076E3
3.200280894E0,1.022159912E3
3.300647796E0,1.022159912E3
3.400635796E0,1.022136230E3
3.500623796E0,1.022158447E3
3.600611762E0,1.022158447E3
3.700599728E0,1.022050049E3
3.800587728E0,1.022130127E3
3.900575728E0,1.022130127E3
4.000563694E0,1.022168457E3
4.100551660E0,1.022208008E3
4.200539660E0,1.022208008E3
4.300527526E0,1.022042480E3
4.400515226E0,1.021968506E3
4.500503426E0,1.021968506E3
4.600491626E0,1.022125488E3
4.700479792E0,1.022128174E3
4.800467958E0,1.022128174E3
4.900456158E0,1.022174805E3
5.000444358E0,1.022107178E3
5.100432491E0,1.022107178E3
5.200420657E0,1.022056152E3
5.300408723E0,1.022177979E3
5.400396589E0,1.022177979E3
5.500384455E0,1.022190674E3
5.600372455E0,1.022143555E3
5.700360455E0,1.022143555E3
5.800348421E0,1.022110596E3
5.900336387E0,1.022007080E3
6.000324287E0,1.022007080E3
6.100312287E0,1.022201416E3
6.200300253E0,1.022239990E3
6.300288219E0,1.022239990E3
6.400276085E0,1.022118652E3
6.500263951E0,1.022144287E3
6.600252084E0,1.022144287E3
6.700240317E0,1.022065186E3
6.800228517E0,1.022040771E3
6.900216717E0,1.022040771E3
7.000204917E0,1.022075439E3
7.100193150E0,1.021969238E3
7.200181350E0,1.021969238E3
7.300169550E0,1.022013184E3
7.400157783E0,1.021956055E3
7.500145683E0,1.021956055E3
7.600133583E0,1.021944824E3
7.700121716E0,1.021962646E3
7.800109949E0,1.021962646E3
7.900098149E0,1.022074707E3
8.000086349E0,1.022017090E3
8.100074549E0,1.022017090E3
8.200062849E0,1.022038574E3
8.300051049E0,1.022003418E3
8.400039249E0,1.022003418E3
8.500027449E0,1.022044922E3
8.600015549E0,1.022092041E3
8.700003649E0,1.022092041E3
8.799991882E0,1.022020752E3
8.899980115E0,1.021966553E3
8.999968315E0,1.021966553E3
9.099956515E0,1.021924316E3
9.199944748E0,1.021964355E3
9.299932981E0,1.021964355E3
9.399921147E0,1.022143555E3
9.499909313E0,1.022097656E3
9.599897279E0,1.022097656E3
9.699885145E0,1.022035645E3
9.799873045E0,1.021991699E3
9.899861245E0,1.021991699E3
9.999849445E0,1.021896729E3
1.009983761E1,1.022060791E3
1.019982578E1,1.022060791E3
1.029981398E1,1.022004150E3
1.039980214E1,1.022137451E3
1.049979031E1,1.022137451E3
1.059977848E1,1.021971924E3
1.069978879E1,1.021928467E3
1.079977666E1,1.021928467E3
1.089976459E1,1.022086426E3
1.099975259E1,1.022065674E3
1.109974059E1,1.022065674E3
1.119972849E1,1.022111572E3
1.129971646E1,1.022031006E3
1.139970446E1,1.022031006E3
1.149969246E1,1.021959229E3
1.159968042E1,1.022018555E3
1.169966839E1,1.022018555E3
1.179965626E1,1.022012207E3
1.189964412E1,1.022067871E3
1.199963225E1,1.022067871E3
1.209962052E1,1.022103271E3
1.219960872E1,1.021978027E3
1.229959692E1,1.021978027E3
1.239958519E1,1.022068359E3
1.249957345E1,1.022055908E3
1.259956165E1,1.022055908E3
1.269954985E1,1.022059326E3
1.279953805E1,1.022048584E3
1.289952595E1,1.022048584E3
1.299951385E1,1.022001221E3
1.309950209E1,1.022235107E3
1.319949032E1,1.022235107E3
1.329947852E1,1.022123779E3
1.339946672E1,1.022098145E3
1.349945495E1,1.022098145E3
1.359944318E1,1.022062500E3
1.369943138E1,1.022035889E3
1.379941958E1,1.022035889E3
1.389940775E1,1.022046875E3
1.399939585E1,1.022194824E3
1.409938395E1,1.022194824E3
1.419937218E1,1.022175537E3
1.429936042E1,1.022133545E3
1.439934862E1,1.022133545E3
1.449933682E1,1.022072754E3
1.459932505E1,1.022053711E3
1.469931328E1,1.022053711E3
1.479930148E1,1.022069092E3
1.489928968E1,1.022306641E3
1.499927765E1,1.022306641E3
1.509926548E1,1.022210693E3
1.519925355E1,1.022102295E3
1.529924175E1,1.022102295E3
1.539922991E1,1.022054688E3
1.549921808E1,1.022098877E3
1.559920625E1,1.022098877E3
1.569919445E1,1.022096436E3
1.579918261E1,1.022134521E3
1.589917078E1,1.022134521E3
1.599915914E1,1.022093262E3
1.609914701E1,1.022070068E3
1.619913488E1,1.022070068E3
1.629912288E1,1.022020264E3
1.639911088E1,1.022160156E3
1.649909884E1,1.022160156E3
1.659908681E1,1.022162598E3
1.669907477E1,1.022068604E3
1.679906277E1,1.022068604E3
1.689905074E1,1.022091553E3
1.699903870E1,1.022038330E3
1.709902667E1,1.022038330E3
1.719901454E1,1.022121094E3
1.729900240E1,1.022186768E3
1.739899064E1,1.022186768E3
1.749897887E1,1.022105713E3
1.759896707E1,1.022034424E3
1.769895527E1,1.022034424E3
1.779894350E1,1.022000732E3
1.789893174E1,1.022058838E3
1.799893286E1,1.022058838E3
1.809892106E1,1.022309082E3
1.819890910E1,1.022150146E3
1.829889700E1,1.022150146E3
1.839888493E1,1.022173584E3
1.849887316E1,1.022069580E3
1.859886139E1,1.022069580E3
1.869884959E1,1.022071533E3
1.879883779E1,1.022222900E3
1.889882603E1,1.022222900E3
1.899881406E1,1.022123535E3
1.909880226E1,1.022088379E3
1.919879046E1,1.022088379E3
1.929877856E1,1.022063232E3
1.939876666E1,1.022109863E3
1.949875479E1,1.022109863E3
1.959874303E1,1.022233398E3
1.969873126E1,1.022160645E3
1.979871946E1,1.022160645E3
1.989870769E1,1.022171875E3
1.999869592E1,1.022083740E3
2.009868416E1,1.022083740E3
2.019867236E1,1.022091553E3
2.029866056E1,1.022169434E3
2.039864842E1,1.022169434E3
2.049863629E1,1.022135498E3
2.059862446E1,1.022072510E3
2.069861266E1,1.022072510E3
2.079860082E1,1.022063232E3
2.089858899E1,1.022162842E3
2.099857715E1,1.022162842E3
2.109856535E1,1.022198975E3
2.119855352E1,1.022150635E3
