"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.199585300E-2,-2.729473412E-1,2.039922237E0,1.270162773E1
1.039889590E-1,8.284190893E-1,2.461314440E0,1.099211597E1
1.559823170E-1,-2.051893473E0,1.620923996E0,1.129618835E1
2.079756100E-1,-2.600182533E0,4.118152559E-1,9.565128326E0
2.599700310E-1,-2.853975534E0,-2.679193497E0,1.260825157E1
3.119633890E-1,-1.154279900E1,-5.643305779E0,5.197970390E0
3.639568140E-1,-6.838048935E0,5.351204395E0,3.890696526E0
4.159501070E-1,7.972934842E-1,2.427794695E0,6.249057055E-1
4.679433670E-1,7.599428177E0,2.037527800E0,-1.147815323E1
5.199366260E-1,-1.606558442E0,-5.650488734E-1,6.433416367E0
5.719301840E-1,-3.869148016E0,-1.611346960E0,9.557945251E0
6.239235100E-1,-9.220352173E0,-3.055573463E1,1.065691757E1
6.759176270E-1,-5.640911579E0,-1.995388603E1,1.993473244E1
7.279111540E-1,-3.141288519E0,-6.754249096E0,1.250290298E1
7.799043130E-1,-6.996070862E0,-5.205153465E0,1.316372299E1
8.318979050E-1,-8.322499275E0,-3.672817469E0,1.222277260E1
8.838942280E-1,-9.996097565E0,-5.001639843E0,1.063057995E1
9.358885220E-1,-9.067118645E0,-1.814860344E0,8.219545364E0
9.878817480E-1,-5.209941864E0,8.834874034E-1,7.812518597E0
1.039875075E0,-3.548315287E0,-6.656084061E-1,1.659232497E0
1.091868367E0,-6.014418125E0,-2.171607256E0,1.843591630E-1
1.143861859E0,-4.383917332E0,-9.359220505E0,5.016005516E0
1.195855251E0,-9.021627426E0,-5.425426483E0,-1.160744381E1
1.247848444E0,4.292934895E0,-4.944177628E0,-1.591474438E1
1.299842629E0,1.357553840E0,-3.062277555E0,3.033546209E0
1.351836087E0,-1.345821857E1,-1.810550690E1,4.113364220E0
1.403829613E0,5.281770229E0,-2.130904579E1,2.253012657E1
1.455822706E0,-2.123721838E0,-1.269683933E1,1.825873947E1
1.507816265E0,-7.534782887E0,-9.816526413E0,1.044382668E1
1.559809391E0,-8.243488312E0,-9.407105446E0,1.213179016E1
1.611802716E0,-9.284997940E0,-8.387145042E0,9.443019867E0
1.663796671E0,-8.461367607E0,1.462901950E0,1.543349552E1
1.715790460E0,-1.328104210E1,-1.302485466E0,3.356773376E0
1.767783820E0,-1.026665020E1,-1.980065227E0,3.902668059E-1
1.819777246E0,-3.577046633E0,7.110996246E-1,-3.430995703E0
1.871770471E0,-5.219519138E0,-2.609759569E-1,1.460507631E0
1.923767692E0,-2.130904645E-1,1.465296149E0,-6.778192043E0
1.975766052E0,1.080536175E1,4.910657406E0,-9.117398262E0
2.027761576E0,-3.732674360E0,2.691164970E0,4.216318130E0
2.079754870E0,-1.436564885E-2,2.382303476E0,1.965699673E0
2.131748162E0,4.726298332E0,-8.379961848E-1,1.160505009E1
2.183741521E0,-8.947404861E0,-2.454371071E1,1.490914917E1
2.235734746E0,-1.294105530E1,-1.727469254E1,1.811508369E1
2.287728072E0,-1.287640953E1,-8.624177933E0,7.920260906E0
2.339722192E0,-1.212700176E1,-5.087833881E0,9.007262230E0
2.391715814E0,-7.963357925E0,-3.823656797E0,8.188420296E0
2.443709073E0,-7.302538395E0,-1.549095750E0,7.106207848E0
2.495702533E0,-1.018045616E1,9.601042271E-1,5.166844845E0
2.547695792E0,-1.171758080E1,-3.574652195E0,2.106961906E-1
2.599689151E0,-4.721509933E0,-9.672870040E-1,2.873129770E-2
2.651682478E0,-3.232270956E0,-5.549929142E0,-9.098244458E-2
2.703675770E0,-6.823683381E-1,-6.170046329E0,5.839636326E0
2.755669990E0,-2.078230619E0,-8.502069473E0,-1.422917557E1
2.807663548E0,6.524398804E0,-8.145322800E0,-1.222277260E1
2.859656741E0,-4.379128456E0,-1.130097675E1,7.367183685E0
2.911650266E0,-4.582642078E0,-1.459310532E1,9.364008904E0
2.963643559E0,-5.236279011E0,-2.447427750E1,2.959563065E1
3.015640513E0,-3.701548815E0,-1.201447105E1,2.309517479E1
3.066531475E0,-8.751074791E0,-5.815693378E0,9.203592300E0
3.118524833E0,-6.507638931E0,-6.378347874E0,8.937828064E0
3.170518259E0,-4.058295727E0,-2.243435383E0,9.265843391E0
3.222511551E0,-2.834821463E0,-3.519583941E-1,6.794951916E0
3.274506274E0,-6.153286457E0,-2.825244188E0,4.467716694E0
3.326502331E0,-6.907482624E0,-4.288146019E0,-3.735068798E0
3.378495657E0,-2.825244367E-1,-3.105374336E0,-2.334417820E0
3.430488983E0,-4.288146019E0,-5.269798756E0,-1.527547359E1
3.482482243E0,8.978530884E0,3.596200705E0,-4.723904133E0
3.534475569E0,-2.367937803E0,-1.929785490E0,-9.098244458E-2
3.586468962E0,-2.686376333E0,-1.730342484E1,1.311583710E1
3.638462585E0,-5.205153465E0,-2.530987930E1,2.887016487E1
3.690456704E0,-7.328875065E0,-1.108309841E1,1.800255203E1
3.742449930E0,-1.274233055E1,-3.359167576E0,1.152125072E1
3.794443189E0,-1.130097675E1,-6.040755272E0,1.147575951E1
3.846436715E0,-8.676852226E0,-6.454965115E0,8.964164734E0
3.898429908E0,-4.891503334E0,-1.113337755E0,9.316123009E0
3.950423267E0,-7.099024773E0,-2.753416061E0,4.333637238E0
4.002416626E0,-6.174834728E0,-2.317657948E0,3.019180536E0
4.054410050E0,-6.589044094E0,-3.038334846E0,-4.046324492E-1
4.106404302E0,-9.929058075E0,-1.865140080E0,-7.858009815E0
4.158397629E0,8.691217422E0,1.125309169E-1,1.508393139E-1
4.210390988E0,2.458920240E0,2.712713242E0,-1.601530457E1
4.262384314E0,2.853975534E0,3.265790939E0,-1.211503029E0
4.314379168E0,-2.767781734E0,-3.193962574E0,5.075862408E0
4.366378089E0,2.214704275E0,-3.266987991E1,2.204408836E1
4.418374279E0,-2.406246185E0,-2.217816734E1,2.326277351E1
4.470367572E0,-1.266331959E1,-9.986519814E0,8.336864471E0
4.522361031E0,-1.308471203E1,-4.106181145E0,8.174054146E0
4.574354290E0,-1.023552513E1,-7.201978683E0,1.019961071E1
4.626347617E0,-8.394327164E0,-4.206740856E0,4.575459003E0
4.678341009E0,-6.299336910E0,-1.359948039E0,2.880312681E0
