"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.199277400E-2,-1.971918821E0,9.151799679E-1,2.079826832E0
1.039861090E-1,-1.734292269E0,-1.129996777E0,2.117089748E0
1.559794670E-1,-1.014693022E0,-1.167870522E0,2.484219790E0
2.079726940E-1,-5.339420438E-1,1.876394749E-1,2.128085136E0
2.599660520E-1,-5.339420438E-1,1.215725660E0,1.154976964E0
3.119592450E-1,-2.932611406E-1,7.087075114E-1,6.247459054E-1
3.639534350E-1,-3.730859235E-2,3.678447306E-1,2.243280411E-2
4.159470570E-1,7.433772087E-1,2.361708879E0,1.769817024E-1
4.679404490E-1,1.868789494E-1,-7.915775180E-1,9.185721278E-1
5.199338420E-1,-4.056603312E-1,-3.164178133E0,9.026896358E-1
5.719270680E-1,-1.511326432E0,-3.608887911E0,2.460094839E-1
6.239203610E-1,-4.698210239E0,9.029626846E-1,-1.499232531E0
6.759138530E-1,-5.906501770E0,1.988470197E0,-1.486404300E0
7.279071450E-1,-4.943778515E0,3.492316604E-2,-2.355665445E0
7.799010650E-1,-2.376311541E0,2.365374088E0,5.722115636E-1
8.318948220E-1,7.763639092E-1,2.722730160E0,-3.318690360E-1
8.838880810E-1,1.304762363E0,1.690367937E0,2.118010223E-1
9.358813740E-1,1.953501225E0,1.057511568E0,8.330509663E-1
9.878766980E-1,2.470904112E0,4.313747287E-1,1.263710976E0
1.039872257E0,2.626674891E0,4.344290495E-1,2.126863480E0
1.091865583E0,2.602240324E0,-7.378213406E-1,1.687040687E0
1.143858709E0,2.478845358E0,-1.224681020E0,6.956063509E-1
1.195852102E0,1.293766737E0,-1.253391623E0,-5.392535031E-2
1.247845494E0,1.029262066E0,-4.021326080E-2,-9.607505053E-2
1.299838953E0,6.523582935E-1,-1.075019002E0,8.012859821E-1
1.351832113E0,-2.299953461E0,-4.864827156E0,8.532095551E-1
1.403826033E0,-4.315197945E0,-5.976094678E-2,-1.347737908E0
1.455819722E0,-5.388488293E0,2.696463108E0,-2.139419079E0
1.507813414E0,-4.947443485E0,-3.660200596E0,-1.259773374E0
1.559806441E0,-8.858004212E-1,2.678137064E0,-3.092670143E-1
1.611799899E0,-3.427412212E-1,3.921247721E0,2.694357395E0
1.663793193E0,9.290801883E-1,7.890546322E-2,1.472015977E0
1.715786451E0,1.126389623E0,1.375161529E0,2.312566757E0
1.767780042E0,1.720761538E0,-2.555249445E-2,2.917934179E0
1.819774128E0,2.499003887E0,1.234051585E0,2.909992933E0
1.871767388E0,1.630353570E0,-1.442759871E0,3.931970358E0
1.923760914E0,7.097796202E-1,-2.905782223E0,3.688235044E0
1.975754106E0,3.927405477E-1,3.446318507E-1,3.361422062E0
2.027749428E0,3.762471676E-1,-1.938171625E0,3.220923424E0
2.079748185E0,-1.402592421E0,-4.167218685E0,1.687040687E0
2.131744876E0,-3.029326677E0,4.578538895E0,-2.432935834E-1
2.183738638E0,-3.797183990E0,7.264226079E-1,-1.128437400E0
2.235731797E0,-5.551589489E0,-1.033480048E0,-1.882244945E0
2.287725256E0,-5.573580265E0,2.560240030E0,-3.110084295E0
2.339718515E0,-1.417253137E0,3.262735128E0,-9.702231884E-1
2.391711707E0,1.112950683E0,3.718440771E0,1.849229634E-1
2.443705630E0,1.329196930E0,-2.738508955E-2,1.382829666E0
2.495699449E0,1.708544254E0,-1.268052340E0,1.688262343E0
2.547692808E0,1.819721818E0,-2.570704222E-1,1.790276885E0
2.599686201E0,1.370124936E0,-3.254873455E-1,1.633895278E0
2.651679527E0,9.700081944E-1,-3.370937705E-1,1.779892087E0
