"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.999781600E-2,4.627811909E-2,6.519870758E-1,3.243246078E-1
1.199926310E-1,6.251196861E-1,5.716917515E-1,2.175273895E-1
1.799875600E-1,1.859863281E0,4.528156817E-1,1.134128571E-1
2.399824150E-1,4.310455322E0,3.326624334E-1,3.845071793E-1
2.999766730E-1,5.550298691E0,3.815477192E-1,7.802639008E-1
3.599702050E-1,4.912433624E0,8.485754728E-1,6.013431549E-1
4.199636050E-1,1.724145651E0,3.225186348E0,3.209496498E0
4.799563370E-1,2.491020203E0,3.454979420E0,1.177085876E0
5.399486350E-1,-3.628315926E-1,1.810025930E0,1.180182457E0
5.999411330E-1,-2.149238586E-1,8.602549434E-1,-9.208374023E-1
6.599336300E-1,-4.615810394E0,-6.588469505E0,5.453519821E-1
7.199260940E-1,-3.759490013E0,5.648921013E0,-6.610519409E0
7.799187240E-1,3.704740524E0,2.368247986E0,-8.462379456E0
8.399112540E-1,8.259265900E0,2.420326233E0,-2.164596558E1
8.999036180E-1,-3.623768330E0,4.884689331E0,-1.083546734E1
9.598959820E-1,-3.735202789E0,-7.065652847E0,1.085103416E1
1.019888379E0,-7.170804501E0,-1.494575405E1,8.302330017E0
1.079880943E0,-1.818633556E0,-8.432326317E-1,6.904239178E0
1.139873473E0,-4.992877007E0,1.945414543E0,7.072969913E0
1.199866103E0,-5.869318485E0,2.943342924E0,5.266691208E0
1.259859368E0,-6.999226570E0,5.090990067E-1,2.496747971E0
1.319852632E0,-3.859738111E0,2.469317436E0,1.545829773E0
1.379845563E0,-5.081243515E-1,3.684128523E0,-2.644374847E0
1.439838693E0,1.150436401E-1,1.561837196E-1,-7.882462025E0
1.499831724E0,-2.984836102E0,-7.976264954E0,-2.431083679E0
1.559824222E0,-4.667000771E0,-5.067903519E0,-2.049828720E1
1.619816553E0,8.064127922E0,-2.462706089E0,-2.271967316E1
1.679809149E0,7.610702515E-2,-5.702595711E-1,2.003876686E0
1.739801681E0,-9.542081356E-1,-7.955723763E0,8.039064407E0
1.799794211E0,5.121580601E0,-6.534875870E0,2.429053307E1
1.859786541E0,-3.688884974E0,-2.493882179E0,1.242865467E1
1.919779071E0,-3.974141598E0,-4.088506699E-1,1.226952457E1
1.979771335E0,-3.917721748E0,1.757984161E-1,8.976653099E0
2.039763799E0,-2.620707512E0,8.390039444E0,1.282776642E1
2.099756263E0,-4.214828491E0,3.575196743E0,8.874918222E-1
2.159748960E0,1.765582085E0,3.268712521E0,-6.600289345E0
2.219741424E0,4.534848690E0,7.175768018E-1,-1.151456356E0
2.279734622E0,5.393726826E0,-1.165359616E-1,-9.678178787E0
2.339728754E0,1.837741852E1,2.564118385E0,-1.608666992E1
2.399723287E0,3.338022709E0,2.070329189E-1,-8.728666306E-1
2.459717653E0,1.153173161E1,1.420831442E0,-1.367110968E0
2.519712186E0,6.481057167E0,-1.046983433E1,9.142739296E0
2.579706051E0,-1.697511673E0,-1.443494606E1,1.751406670E1
2.639698782E0,-4.510727882E0,-5.930980682E0,8.851346970E0
2.699691180E0,-3.536931992E0,-1.431940794E0,8.852845192E0
2.759683710E0,1.397933960E0,-8.615796566E-1,7.208066940E0
2.819676240E0,1.562947750E0,1.157318592E0,4.280607224E0
2.879668704E0,-1.653177261E0,6.833001971E-1,2.364844322E0
2.939661234E0,3.861865997E-1,-3.343741655E0,-4.190907478E0
2.999653698E0,4.691726685E0,-4.611581326E0,-3.148796558E0
3.059646029E0,8.911321640E0,-7.508724213E0,3.447171211E0
3.119638494E0,5.151913166E0,-9.390709877E0,-2.034318161E1
3.179631090E0,1.301265907E1,-7.924671173E0,-1.517699718E1
3.239623554E0,-2.183080196E0,-8.215515137E0,5.279261589E0
3.299616151E0,8.899765015E0,-1.585680008E1,1.010673332E1
3.359609016E0,4.438249111E0,-6.907907009E0,2.666091537E1
3.420237605E0,-2.096551895E0,-3.709042072E0,1.972921562E1
3.480231869E0,-6.540407181E0,-4.417514801E-1,1.437130547E1
3.540226265E0,-6.493873119E0,1.986063957E0,7.443055153E0
3.600220462E0,-2.060394287E0,-2.801026344E0,2.262291431E0
3.660214393E0,-1.626000404E0,-1.016647816E1,-2.106189728E0
3.720207057E0,4.505492210E0,-4.779836178E0,-4.415546417E0
3.780199488E0,8.633916855E0,5.795411110E0,-8.605863571E0
