"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.999663300E-2,1.151999950E1,1.613999939E1,-4.121999741E1
1.199896700E-1,2.447999954E1,1.397999954E1,-3.395999908E1
1.799825080E-1,2.987999916E1,1.475999928E1,-3.023999977E1
2.399751550E-1,3.059999847E1,1.313999939E1,-2.951999855E1
2.999677400E-1,3.023999977E1,1.188000011E1,-3.107999992E1
3.599600050E-1,3.150000000E1,1.013999939E1,-2.963999939E1
4.199524700E-1,3.509999847E1,8.220000267E0,-2.747999954E1
4.799449670E-1,3.539999771E1,7.259999752E0,-2.592000008E1
5.399374970E-1,3.750000000E1,5.699999809E0,-2.237999916E1
5.999300610E-1,3.786000061E1,3.480000019E0,-2.429999924E1
6.599225910E-1,3.126000023E1,3.359999895E0,-3.234000015E1
7.199149880E-1,2.634000015E1,1.007999992E1,-3.684000015E1
7.799073520E-1,2.957999992E1,2.003999901E1,-2.945999908E1
8.398997160E-1,2.579999924E1,3.288000107E1,-1.805999947E1
8.998923460E-1,2.669999886E1,3.545999908E1,-7.799999714E0
9.598848100E-1,2.585999870E1,3.521999741E1,-4.319999695E0
1.019877406E0,2.735999870E1,3.479999924E1,-4.440000057E0
1.079870571E0,2.945999908E1,3.257999802E1,-7.199999809E0
1.139863869E0,3.263999939E1,2.723999977E1,-1.097999954E1
1.199856800E0,3.545999908E1,2.105999947E1,-1.547999954E1
1.259849996E0,3.570000076E1,1.685999870E1,-2.171999931E1
1.319842994E0,3.371999741E1,1.313999939E1,-2.550000000E1
1.379835592E0,3.371999741E1,1.200000000E1,-2.759999847E1
1.439827890E0,3.179999924E1,1.038000011E1,-3.192000008E1
1.499820486E0,2.334000015E1,1.842000008E1,-3.539999771E1
1.559813018E0,2.477999878E1,2.855999947E1,-2.400000000E1
1.619805614E0,2.100000000E1,3.743999863E1,-1.427999973E1
1.679797944E0,1.961999893E1,4.020000076E1,-8.519999504E0
1.739790441E0,2.700000000E1,3.521999741E1,-1.259999990E0
1.799782705E0,3.029999924E1,3.318000031E1,-2.639999866E0
1.859775136E0,3.491999817E1,2.705999947E1,-2.039999962E0
1.919767600E0,3.989999771E1,1.992000008E1,-4.319999695E0
1.979760297E0,4.254000092E1,1.073999977E1,-6.899999619E0
2.039752827E0,4.350000000E1,0.000000000E0,-1.469999981E1
2.099745759E0,4.163999939E1,-8.340000153E0,-1.745999908E1
2.159739757E0,3.563999939E1,-1.523999977E1,-2.321999931E1
2.219734290E0,3.042000008E1,-1.343999958E1,-2.963999939E1
2.279728656E0,3.797999954E1,-9.539999962E0,-2.153999901E1
2.339723189E0,3.611999893E1,1.620000005E0,-2.435999870E1
2.399717321E0,3.761999893E1,1.415999985E1,-1.884000015E1
2.459710152E0,3.815999985E1,2.034000015E1,-9.599999428E0
2.519702517E0,3.936000061E1,2.087999916E1,-1.439999938E0
2.579695047E0,4.073999786E1,1.734000015E1,-3.659999847E0
2.639687577E0,4.271999741E1,1.181999969E1,-7.379999638E0
2.699680041E0,4.397999954E1,5.879999638E0,-8.399999619E0
2.759672637E0,4.331999969E1,1.500000000E0,-9.960000038E0
2.819665068E0,4.211999893E1,-4.859999657E0,-1.451999950E1
2.879657399E0,3.713999939E1,-8.880000114E0,-2.226000023E1
2.939649797E0,3.245999908E1,-1.259999943E1,-2.687999916E1
2.999642427E0,3.042000008E1,-1.535999966E1,-3.042000008E1
3.059634891E0,2.753999901E1,-8.460000038E0,-3.431999969E1
3.119627554E0,3.047999954E1,4.679999828E0,-3.197999954E1
3.179620219E0,3.053999901E1,2.010000038E1,-2.550000000E1
3.239614083E0,3.443999863E1,2.285999870E1,-1.685999870E1
3.290247803E0,3.845999908E1,2.165999985E1,-8.039999962E0
