"Time (s)","Pressure (hPa)"
9.998900000E-2,1.022150879E3
1.999800000E-1,1.022149414E3
2.999700000E-1,1.022162598E3
3.999590000E-1,1.022143555E3
4.999478000E-1,1.022125000E3
5.999363000E-1,1.022124756E3
6.999247280E-1,1.022115479E3
7.999131030E-1,1.022115234E3
8.999012140E-1,1.022132812E3
9.998894140E-1,1.022086670E3
1.099877414E0,1.022140381E3
1.199865580E0,1.022250488E3
1.299853887E0,1.022172363E3
1.399842029E0,1.022164795E3
1.499830162E0,1.022150635E3
1.599818162E0,1.022112549E3
1.699806220E0,1.022136230E3
1.799794275E0,1.022100098E3
1.899782222E0,1.022304688E3
1.999770222E0,1.022282715E3
2.099758126E0,1.022284180E3
2.199746035E0,1.022243164E3
2.299734295E0,1.022221191E3
2.399722586E0,1.022160889E3
2.499710866E0,1.022099609E3
2.599699058E0,1.022196045E3
2.699687280E0,1.022211914E3
2.799675494E0,1.022258789E3
2.899663631E0,1.022214111E3
2.999651764E0,1.022214111E3
3.099639830E0,1.022126709E3
3.199627730E0,1.022133301E3
3.299615630E0,1.022133301E3
3.400236605E0,1.022117432E3
3.500224838E0,1.022277832E3
3.600213038E0,1.022277832E3
3.700201238E0,1.022242188E3
3.800189471E0,1.022188721E3
3.900177704E0,1.022188721E3
4.000165904E0,1.022109619E3
4.100154137E0,1.022155273E3
4.200142303E0,1.022155273E3
4.300130403E0,1.022289551E3
4.400118503E0,1.022258789E3
4.500106736E0,1.022258789E3
4.600094969E0,1.022169189E3
4.700083169E0,1.022145020E3
4.800071369E0,1.022145020E3
4.900059602E0,1.022156738E3
5.000047802E0,1.022351318E3
5.100036035E0,1.022351318E3
5.200024235E0,1.022217041E3
5.300012201E0,1.022157959E3
5.400000067E0,1.022157959E3
5.499988133E0,1.022135254E3
5.599976333E0,1.022119385E3
5.699964499E0,1.022119385E3
5.799952665E0,1.022221436E3
5.899940831E0,1.022167969E3
5.999929031E0,1.022167969E3
6.099917197E0,1.022076172E3
6.199905363E0,1.022133057E3
6.299893529E0,1.022133057E3
6.399881429E0,1.022149658E3
6.499869295E0,1.022367676E3
6.599857295E0,1.022367676E3
6.699845295E0,1.022233643E3
6.799833261E0,1.022181396E3
6.899821227E0,1.022181396E3
6.999809227E0,1.022144775E3
7.099797227E0,1.022170898E3
7.199785193E0,1.022170898E3
7.299773159E0,1.022298828E3
7.399761159E0,1.022289062E3
7.499749025E0,1.022289062E3
7.599736991E0,1.022175049E3
7.699725191E0,1.022127686E3
7.799713424E0,1.022127686E3
7.899701724E0,1.022105957E3
7.999689924E0,1.022320557E3
8.099678124E0,1.022320557E3
8.199666357E0,1.022213135E3
8.299654557E0,1.022172852E3
8.399642757E0,1.022172852E3
8.499630790E0,1.022085938E3
8.599618690E0,1.022088135E3
8.699606623E0,1.022088135E3
8.799594856E0,1.022277344E3
8.899583089E0,1.022253906E3
8.999571289E0,1.022253906E3
9.099559455E0,1.022119385E3
9.199547688E0,1.022130859E3
9.299535921E0,1.022130859E3
9.399524121E0,1.022154541E3
9.499512321E0,1.022194336E3
9.599500387E0,1.022194336E3
9.699488487E0,1.022237305E3
9.799476620E0,1.022184326E3
9.899464853E0,1.022184326E3
9.999453053E0,1.022116943E3
1.009944122E1,1.022122314E3
1.019942945E1,1.022122314E3
1.029941768E1,1.022218750E3
1.039940588E1,1.022298340E3
1.049939408E1,1.022298340E3
1.059938222E1,1.022200439E3
1.069930841E1,1.022187012E3
1.079929627E1,1.022187012E3
1.089928431E1,1.022055420E3
1.099927251E1,1.022147461E3
1.109926064E1,1.022147461E3
1.119924880E1,1.022235596E3
1.129923697E1,1.022188721E3
1.139922517E1,1.022188721E3
1.149921334E1,1.022131104E3
1.159920150E1,1.022174805E3
1.169918964E1,1.022174805E3
1.179917750E1,1.022254639E3
1.189916537E1,1.022247314E3
1.199915337E1,1.022247314E3
1.209914140E1,1.022208740E3
1.219912937E1,1.022171631E3
1.229911733E1,1.022171631E3
1.239910533E1,1.022087646E3
1.249909333E1,1.022270264E3
1.259908133E1,1.022270264E3
1.269906930E1,1.022216064E3
1.279905726E1,1.022184814E3
1.289904513E1,1.022184814E3
1.299903313E1,1.022180908E3
1.309902136E1,1.022151367E3
1.319900970E1,1.022151367E3
1.329899790E1,1.022305664E3
1.339898613E1,1.022275635E3
1.349897436E1,1.022275635E3
1.359896256E1,1.022175293E3
1.369895076E1,1.022116943E3
1.379893896E1,1.022116943E3
1.389892693E1,1.022146484E3
1.399891483E1,1.022327393E3
1.409890296E1,1.022327393E3
1.419889123E1,1.022373047E3
1.429887946E1,1.022216797E3
1.439886766E1,1.022216797E3
1.449885586E1,1.022158691E3
1.459884409E1,1.022125732E3
1.469879206E1,1.022125732E3
1.479878026E1,1.022202637E3
1.489876846E1,1.022302979E3
1.499875656E1,1.022302979E3
1.509874466E1,1.022259521E3
1.519873289E1,1.022132568E3
1.529872112E1,1.022132568E3
1.539870932E1,1.022145752E3
1.549869752E1,1.022203857E3
1.559868576E1,1.022203857E3
1.569867399E1,1.022250488E3
1.579866219E1,1.022151611E3
1.589865039E1,1.022151611E3
1.599863852E1,1.022100098E3
1.609862639E1,1.022084473E3
1.619861412E1,1.022084473E3
1.629860232E1,1.022142090E3
1.639859049E1,1.022139160E3
1.649857865E1,1.022139160E3
1.659856682E1,1.022087646E3
1.669855502E1,1.022109619E3
1.679854322E1,1.022109619E3
1.689853139E1,1.022066895E3
1.699851955E1,1.022328369E3
1.709850755E1,1.022328369E3
1.719849538E1,1.022264648E3
1.729848342E1,1.022169189E3
1.739847142E1,1.022169189E3
1.749845942E1,1.022159180E3
1.759844738E1,1.022147217E3
1.769843535E1,1.022147217E3
1.779842335E1,1.022326660E3
1.789841135E1,1.022252930E3
1.799839932E1,1.022252930E3
1.809838728E1,1.022218506E3
