"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.000038300E-2,-5.698373914E-1,8.851634026E0,1.826113319E1
1.000005110E-1,2.207521439E0,1.036242104E1,1.682935715E1
1.520003410E-1,1.533054161E1,1.771045113E1,1.972403526E1
2.020005710E-1,1.733694458E1,2.092596245E1,1.064733982E1
2.540003330E-1,7.039167881E-1,-4.041535854E0,1.460986519E1
3.040004980E-1,-3.026842308E1,-2.810160255E1,-8.293767929E0
3.540005580E-1,-1.501210332E0,-1.404721069E1,9.031204224E0
4.060003190E-1,5.746259540E-2,-9.483722687E0,1.881899953E0
4.560003500E-1,4.336031914E0,3.711125851E-1,1.158828974E0
5.060003780E-1,4.225894928E0,3.181991339E0,1.855562925E0
5.560004730E-1,2.190761566E0,3.143682718E0,3.600989342E0
6.060005370E-1,4.395888329E0,2.083019018E0,5.351204395E0
6.580003960E-1,5.672037125E0,1.340793848E0,7.206767082E0
7.100003240E-1,3.253819466E0,9.553156495E-1,8.121379852E0
7.620002880E-1,4.884320498E-1,-9.457385540E-1,8.801354408E0
8.120003150E-1,-7.620976925E0,-6.885934353E0,1.004637718E1
8.620003410E-1,-1.292190075E1,-6.524398804E0,8.147717476E0
9.140003020E-1,-1.634571457E1,-5.897099018E0,4.711932659E0
9.640003670E-1,-1.439438057E1,-3.093403101E0,3.759011507E0
1.016000293E0,-1.319005966E1,-1.505998850E0,4.666441441E0
1.066000324E0,-1.281415844E1,1.891477108E-1,3.720703125E0
1.118000284E0,-1.403045082E1,-3.256213665E-1,4.158855438E0
1.170000244E0,-1.434888935E1,-9.960182905E-1,3.268185139E0
1.220000276E0,-1.538321590E1,-7.278595567E-1,3.531555414E0
1.270000302E0,-1.551250648E1,-4.285751879E-1,5.454157829E0
1.322000262E0,-1.343427563E1,4.501236677E-1,6.000052452E0
1.372000294E0,-1.607276726E1,1.005595401E-1,1.623318315E0
1.424000287E0,-1.000327969E1,1.611346960E0,1.256994247E0
1.476000247E0,-4.790944099E0,3.409447432E0,2.394274771E-1
1.528000246E0,-2.150058746E0,8.140534163E-1,9.624984860E-1
1.580000172E0,1.149251938E0,-4.395888329E0,3.239453793E0
1.630000297E0,2.873129770E-2,-1.834493446E1,-4.022381604E-1
1.682000261E0,-7.467742920E0,-1.008947372E1,-2.621730804E0
1.734000254E0,8.511647224E0,-1.403523922E1,1.367609787E1
1.784000280E0,-1.778946161E0,2.213985825E1,8.260248303E-1
1.836000178E0,-5.181210518E0,9.577098846E0,1.774875832E1
1.886000238E0,-4.170826912E0,4.125335693E0,1.942235756E1
1.938000164E0,-1.795706153E-1,6.416656494E0,2.183099747E1
1.988000362E0,3.040729046E0,8.631361008E0,2.348065376E1
2.040000222E0,1.154758739E1,1.361384678E1,2.058597565E1
2.092000081E0,1.673358727E1,1.206235695E1,1.290035248E1
2.142000179E0,-4.932205975E-1,-5.918647289E0,1.905124474E1
2.192000308E0,-1.972882462E1,-2.038006783E1,-5.944984436E0
2.244000199E0,-2.449343204E0,-8.820508003E0,2.949746609E0
2.296000126E0,-1.381496549E0,-7.374366283E0,3.624932051E0
2.346000191E0,1.467690468E0,-1.266571403E0,1.568249941E0
2.396000253E0,8.571503758E-1,1.766974807E0,1.647261024E0
2.448000150E0,-6.775797606E-1,8.379961550E-2,5.777385235E0
2.498000447E0,2.921015322E-1,5.746259689E-1,6.088640690E0
2.550000238E0,-1.843591630E-1,-4.094209969E-1,6.395108223E0
2.602000068E0,-3.375927448E0,-2.466103077E0,7.257047176E0
2.652000299E0,-5.008822918E0,-3.368744612E0,5.801327705E0
2.702000325E0,-1.215573311E1,-9.244295120E0,8.300951004E0
2.754000121E0,-1.314217472E1,-8.650514603E0,7.479714394E0
2.804000485E0,-1.591713905E1,-9.862017632E0,5.597814560E0
2.856000511E0,-1.435128307E1,-6.265817165E0,4.374340057E0
2.908000206E0,-1.552926636E1,-4.252232075E0,3.603383541E0
2.960000237E0,-1.570404816E1,-4.235472202E0,5.645699978E0
3.010000331E0,-1.398017025E1,-2.104567528E0,5.360781193E0
3.062000058E0,-1.290514088E1,-1.336005330E0,4.532361984E0
3.112000122E0,-1.378623390E1,-1.855562925E0,3.117345810E0
3.162448795E0,-2.949986076E1,-4.096604347E0,6.363982677E0
3.214448789E0,-8.664880753E0,1.386285067E0,1.810550690E1
3.266448854E0,-8.767834663E0,4.180403709E0,1.581179047E1
3.316448948E0,-6.378347874E0,7.053533554E0,1.771045113E1
3.368448740E0,-4.125335693E0,6.390319347E0,1.877829742E1
3.418448772E0,5.004034638E-1,7.369577885E0,2.059076309E1
3.468448935E0,1.329061985E1,1.380778313E1,1.675753021E1
3.518449027E0,2.205605888E1,9.816526413E0,1.659471893E1
3.570448889E0,-1.433931160E1,-1.218446445E1,2.456047058E1
3.620449086E0,-1.084606457E1,-1.159068394E1,-2.123721838E0
3.672448878E0,2.394274808E-3,-1.536884975E1,3.794925690E0
3.724448674E0,7.518022656E-1,-5.705556870E0,3.026363373E0
3.774448938E0,1.968093872E0,3.478881359E0,-1.441353440E0
3.826448897E0,1.347976685E0,2.329629421E0,1.960911036E0
3.878448758E0,-6.608198285E-1,7.925049663E-1,4.869955063E0
3.928448888E0,1.077423692E-1,-1.053480953E-1,5.655277252E0
3.978448915E0,6.225114465E-1,-2.777358890E-1,8.095043182E0
4.028449007E0,1.364736706E-1,1.252205729E0,1.000806904E1
4.080448735E0,1.532335877E-1,5.698373914E-1,8.518829346E0
4.130448932E0,-5.571477413E0,-4.458139896E0,1.136801720E1
4.182448925E0,-1.182292938E1,-6.122160912E0,9.536396980E0
4.234448620E0,-1.581657982E1,-5.672037125E0,4.680807114E0
4.284448818E0,-1.403763294E1,-2.597788095E0,3.550709486E0
4.336448713E0,-1.437762070E1,-6.943396926E-1,6.562707424E0
4.386448778E0,-1.224432182E1,-3.129317284E0,-8.308133483E-1
4.438448771E0,-1.374553204E1,-2.176395893E0,1.666415215E0
4.490448666E0,-7.563514233E0,-3.052700281E0,2.940169573E0
4.540448731E0,-6.466936111E0,-2.832427025E0,4.608979225E0
4.592448691E0,-8.576292038E0,-3.404658794E0,4.072661400E0
4.644448652E0,-1.045819283E1,-3.198751211E0,2.430188894E0
4.696448650E0,-1.063536835E1,-2.353572130E0,2.537931204E0
4.746448676E0,-1.396580505E1,3.375927508E-1,-6.799740195E-1
4.796448703E0,-1.338399601E1,2.442160249E-1,-6.129343510E-1
4.848448668E0,-8.712765694E0,-7.637736797E-1,-5.267404318E-1
4.900448595E0,-2.937775135E0,-3.545921087E0,-1.460507661E-1
4.950448788E0,-2.741444588E0,-9.684841156E0,1.053480864E0
5.002448649E0,-8.243488312E0,-8.130957603E0,-6.632141471E-1
5.054448615E0,-1.036481571E1,-6.007235527E0,6.033572555E-1
5.106448574E0,-1.124830341E1,-3.062277555E0,1.829225898E0
5.158448572E0,-1.502407455E1,2.059076279E-1,3.114951611E0
5.208448599E0,-2.095948219E1,3.569863796E0,3.555498123E0
5.260448592E0,-1.167448425E1,1.611346960E0,3.708731651E0
5.310448623E0,-1.253881741E1,-2.674404860E0,1.237840056E0
5.362448615E0,-9.428654671E0,-4.189980924E-1,-9.122186899E-1
5.414448576E0,-7.606611252E0,-2.087807655E0,-3.517189741E0
5.464448608E0,-8.439818382E0,2.992843390E-1,-2.480468750E0
5.516448568E0,-1.108788681E1,-4.292934895E0,2.056682110E0
5.566448595E0,-1.658753586E1,-3.730280161E0,4.187586784E0
5.616448721E0,9.967366219E0,5.712739468E0,8.475732803E-1
5.668448719E0,9.167677879E0,4.649681568E0,2.418217659E0
5.720448579E0,5.621757030E0,6.167652130E0,5.044736862E0
5.772448576E0,8.466156006E0,8.616994858E0,3.301704884E0
5.824448469E0,5.106987953E0,5.454157829E0,6.924242973E0
5.874448562E0,5.990475655E0,5.121353626E0,1.064733982E1
5.926448561E0,6.907482624E0,1.381496549E0,9.967366219E0
5.978448521E0,5.997658253E0,1.795706153E0,6.313702583E0
6.030448514E0,5.267404556E0,3.205934048E0,4.857983589E0
6.082448512E0,5.487678051E0,3.390293121E0,7.113390446E0
6.132448539E0,4.436591148E0,3.347196102E0,6.162863255E0
6.184448533E0,4.216318130E0,2.255406857E0,8.451789856E0
6.236448464E0,5.961744308E0,2.700742006E0,9.811738014E0
6.286448625E0,9.440625191E0,3.589017868E0,1.075268841E1
6.338448551E0,2.221408081E1,9.574705124E0,8.557138443E0
6.390448448E0,3.564117432E1,1.760031319E1,5.147690773E-1
6.440448576E0,1.675274086E1,1.352765322E0,3.586623669E0
6.492448469E0,-8.863605499E0,-8.595446587E0,2.116778374E1
6.544448467E0,-1.489957237E1,-2.568338585E1,1.497379494E1
6.594448596E0,-2.276955366E0,-6.873962879E0,3.775771379E0
6.646448454E0,5.171633363E-1,-3.363956213E0,2.657644987E0
6.698448418E0,3.450150013E0,1.403045058E0,2.976083517E0
6.748448747E0,4.302511692E0,2.305686712E0,4.343214512E0
6.800448639E0,4.031958580E0,1.596981287E0,5.525986195E0
6.852448535E0,2.949746609E0,1.458113313E0,6.660872459E0
6.902448630E0,1.314456820E0,5.339232683E-1,9.474145889E0
6.954448589E0,-2.176395893E0,-3.488458395E0,1.201447105E1
7.006448418E0,-7.462954521E0,-7.953781128E0,1.000567436E1
7.056448682E0,-9.890748978E0,-6.399896622E0,8.059128761E0
7.108448575E0,-1.335287094E1,-5.734288216E0,4.237866402E0
7.160448405E0,-1.356596088E1,-3.565075159E0,3.419024467E0
