"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.000094000E-2,-2.108141899E0,9.335058928E-1,-1.190134764E0
1.020009050E-1,-1.830198169E0,-4.946970046E-1,3.587184101E-2
1.520009310E-1,-1.249876142E0,-1.199024677E0,8.532095551E-1
2.040008910E-1,-5.107291341E-1,-2.387768269E0,1.109162092E0
2.560008840E-1,-2.753474936E-2,-4.069480419E0,1.349843025E0
3.080008820E-1,1.213743448E0,-7.458560944E0,4.714187682E-1
3.600008420E-1,3.355177492E-2,-4.449438572E0,-2.758225918E0
4.100009070E-1,-4.331492484E-1,1.678150654E0,-4.519350052E0
4.620008680E-1,4.428314865E-1,-6.858079910E0,-2.097880363E0
5.140008610E-1,2.178299665E0,1.361722589E0,-2.045346022E0
5.660008260E-1,1.881419182E0,4.879084587E0,3.567894697E0
6.180007540E-1,1.131276608E0,3.702558041E0,3.343096256E0
6.680008150E-1,-2.688265145E-1,2.273133516E0,2.440237522E0
7.180010450E-1,-7.611839175E-1,4.197682738E-1,2.274692774E0
7.700009060E-1,-1.214445949E0,4.759678543E-1,1.173303008E0
8.220008320E-1,-1.618227959E0,3.267011166E0,-5.759054050E-2
8.740007970E-1,-2.314614296E0,5.545538425E0,-1.465634942E0
9.240008910E-1,-2.229093075E0,5.900451183E0,-2.905444384E0
9.760007830E-1,-6.316804886E-1,6.397696018E0,-3.162618637E0
1.026000810E0,8.973152637E-1,5.383048534E0,-4.314099789E0
1.078000842E0,1.581484199E0,3.081918955E0,-3.771651030E0
1.128000903E0,1.288269043E0,1.766726255E0,-3.070377827E0
1.180000799E0,1.158154607E0,1.239549398E0,-2.023965836E0
1.230000996E0,1.127000570E0,7.386399508E-1,-8.199504018E-1
1.282000888E0,1.359129429E0,7.875091434E-1,3.339740932E-1
1.334000718E0,1.254671335E0,9.359493852E-1,1.734688163E0
1.384001048E0,9.138085842E-1,2.261239886E-1,3.140899897E0
1.436000906E0,6.126520634E-1,-9.213680029E-2,4.508626938E0
1.488000769E0,5.613393784E-1,2.881451324E-2,4.427382469E0
1.538001066E0,-1.570381820E-1,-1.765296698E0,4.462812424E0
1.590000925E0,-4.160450399E-1,-3.117752552E0,3.595994473E0
1.642000721E0,-5.712048411E-1,-4.709667206E0,1.761566162E0
1.692000851E0,-6.793279648E-1,-4.995552063E0,-2.322980016E-1
1.742001076E0,-8.674744964E-1,-1.527059317E0,-1.023979425E0
1.794000703E0,-6.408434510E-1,2.650037289E0,1.444527149E0
1.844000867E0,-1.959090710E0,2.888885498E0,2.406639814E0
1.894000960E0,-3.105073929E0,-1.513907313E-1,-1.121106982E0
1.946000720E0,-1.974973202E0,2.931646347E0,1.549905688E-1
1.998000718E0,-1.666486263E0,1.218169212E0,3.015982509E-1
2.048000878E0,-1.221165419E0,-9.650632143E-1,6.045873761E-1
2.098000905E0,-6.066350341E-1,-1.953443289E0,1.062736273E0
2.150000769E0,9.926102161E-1,-4.737767220E0,1.050518990E0
2.202000728E0,2.202123404E0,-8.103633881E0,-6.409668326E-1
2.254000622E0,7.348250747E-1,-4.417674065E0,-4.874263287E0
2.304000687E0,1.177091599E0,2.508927584E0,-3.742329597E0
2.354000713E0,4.605465829E-1,-2.787274122E0,-1.996476769E0
2.404000739E0,5.680588484E-1,-8.367815614E-1,-1.349570513E0
2.456000667E0,9.223607183E-1,2.724562645E0,1.432920694E0
2.508000665E0,4.088215530E-2,3.216309309E0,1.749348879E0
2.558000692E0,-1.242545724E0,2.369650126E0,1.767674804E0
2.608000757E0,-1.417863965E0,1.987248540E0,1.359616876E0
2.660000683E0,-1.574856400E0,2.238924980E0,-2.377957851E-1
2.712000644E0,-1.999407768E0,4.092289925E0,-1.292149186E0
2.764000609E0,-1.373270869E0,4.967659950E0,-2.498608112E0
2.816000602E0,-1.135644317E0,4.712318420E0,-4.215750694E0
2.866000663E0,-1.979661584E-1,3.260902643E0,-4.672066212E0
2.916000762E0,2.522415221E-1,3.087416649E0,-4.938403606E0
2.968000755E0,2.052049041E-1,2.736169100E0,-3.654976130E0
3.020000748E0,-9.289733320E-2,1.952429175E0,-2.912163734E0
3.072000747E0,-2.700482607E-1,3.672338426E-1,-2.275642395E0
3.124000674E0,1.813811660E-1,5.700411201E-1,-5.609434843E-1
3.176000600E0,4.165642560E-1,7.661288381E-1,1.105496883E0
3.228000565E0,4.245055318E-1,1.274368763E0,2.514152050E0
3.279679625E0,1.086882055E-1,4.344290495E-1,3.533075333E0
3.331679586E0,-2.309528738E-1,7.484137416E-1,4.371182442E0
3.383679579E0,-5.064530969E-1,-1.658395290E0,4.486025333E0
3.435679577E0,-3.384651542E-1,-1.431764245E0,4.439599514E0
3.487679537E0,-5.180595517E-1,-3.569181919E0,3.728552341E0
3.537679568E0,-4.062712193E-1,-4.591770172E0,2.581347466E0
3.589679561E0,9.647089243E-2,-2.326681852E0,1.396268845E0
3.641679487E0,4.330576360E-1,9.390037060E-1,1.306471586E0
3.691679548E0,-5.807801336E-2,2.023900509E0,1.181244135E0
3.743679547E0,-2.275518894E0,7.490246296E-1,5.984787345E-1
