"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.999614900E-2,-1.893888950E0,-2.057972193E0,-4.204912186E0
1.199943790E-1,-1.795442581E0,-2.039501905E0,-3.891320705E0
1.799932600E-1,-2.345815182E0,-2.518607378E0,-4.426284790E0
2.399925090E-1,-2.680607796E0,-2.274653673E0,-5.682616234E0
2.999919250E-1,-1.413445473E0,-6.462004185E-1,-5.450512886E0
3.599917900E-1,-1.450201035E0,-2.394604683E-2,-6.199796677E0
4.199918210E-1,5.982524872E0,5.217791557E0,1.326593018E1
4.699918540E-1,7.839064598E0,6.001999378E0,1.092855453E1
5.299918190E-1,1.954131508E1,1.276242256E1,1.218302155E1
5.899918180E-1,1.851705170E1,1.377695274E1,1.366909981E0
6.499918170E-1,-1.343744946E1,-1.270151615E1,1.733141708E1
7.099918160E-1,-3.454338312E0,-1.774348450E1,-6.683814526E0
7.699917470E-1,1.432656050E-1,-2.093793106E1,-3.706466675E0
8.199918130E-1,5.249890327E0,-7.010424614E0,-6.018151760E0
8.799917450E-1,7.074182510E0,-2.889393806E0,-6.071627140E0
9.399917100E-1,4.814626694E0,-3.383879662E0,-3.124588490E0
9.899917750E-1,6.422108650E0,-4.088640690E0,-1.886699677E0
1.039991807E0,6.706197739E0,-4.540270805E0,-5.723018646E-1
1.099991806E0,4.443624973E0,-3.920427322E0,-3.517093658E-1
1.149991872E0,3.046586514E0,-4.837771893E0,9.949998856E-1
1.209991870E0,-3.778366089E0,-9.694432259E0,2.166749954E0
1.269991835E0,-6.421951294E0,-4.650133133E0,9.865298271E-1
1.329991800E0,-6.228743553E0,-1.217000723E0,1.352161884E0
1.379991833E0,-4.784083366E0,2.410662651E0,1.992428780E0
1.439991798E0,-4.592378616E0,5.275504112E0,2.175200939E0
1.499991763E0,-5.921542168E0,4.879657745E0,2.465661049E0
1.559991761E0,-5.792552948E0,3.757230520E0,1.375652909E0
1.609991826E0,-6.785285950E0,3.386900187E0,2.240686893E0
1.669991823E0,-5.457707405E0,1.617356658E0,3.394671440E0
1.729991822E0,-5.177473068E0,-7.809558511E-1,2.676307201E0
1.789991787E0,-3.370823860E0,-2.266625643E0,-8.597952127E-1
1.849991786E0,2.471204758E0,-1.453777313E0,-3.443278551E0
1.909991751E0,4.265796661E0,-4.855185032E0,-4.149444103E0
1.959991783E0,6.071679592E0,-9.670051575E0,-3.403079987E0
2.019991749E0,3.875492096E0,-2.153746033E1,-6.767180443E0
2.069991781E0,-2.353313923E0,-1.051543617E1,-9.440008163E0
2.129991746E0,7.574534416E0,8.067189217E0,1.627842426E0
2.189991711E0,5.351867676E0,-2.249099731E0,6.261903763E0
2.249991776E0,2.773373127E0,3.488851547E0,1.263635254E1
2.299991808E0,5.565936089E0,6.548449993E0,1.491151619E1
2.359991807E0,9.550463676E0,9.786848068E0,1.661129379E1
2.409991872E0,1.517308426E1,1.274526787E1,1.372654438E1
2.469991837E0,1.813642311E1,1.158257580E1,3.633640289E0
2.519991869E0,-7.240028977E-1,-6.593864441E0,8.619815826E0
2.579991801E0,-1.446126366E1,-1.814271927E1,-1.612158966E1
2.629991834E0,-3.600090504E0,-1.089837170E1,-6.769918919E0
2.679991834E0,-1.810507655E0,-7.959894657E0,-6.295625687E0
2.739991833E0,2.515749216E0,-4.526871443E-1,-8.608338356E0
2.789991865E0,3.075078487E0,1.403797865E0,-6.985653877E0
2.849991864E0,3.039185524E0,-2.835900187E-1,-3.097948551E0
2.909991761E0,5.228846073E0,2.893620133E-1,-1.971893311E0
2.969991726E0,2.972918510E0,3.563029766E-1,-6.087064743E-1
3.029991691E0,2.175440788E0,-2.376928329E-1,-2.954406738E-1
3.089991690E0,-4.764050007E0,-3.352711201E0,3.406816006E0
3.149991689E0,-8.584421158E0,-3.569352150E0,4.866005898E0
3.199991721E0,-1.016261959E1,8.919239044E-2,2.506120682E0
3.259991720E0,-1.176616096E1,3.466476917E0,2.857055187E0
3.309991752E0,-1.369621277E1,5.612381458E0,2.105364561E0
3.369991717E0,-1.292312050E1,6.695039749E0,4.697421551E0
3.419991750E0,-1.202181530E1,7.964885235E0,3.855426788E0
3.479991681E0,-1.050232506E1,7.973652840E0,1.889650702E0
3.531676729E0,-9.718132973E0,6.500988007E0,1.956637025E0
3.581676795E0,-1.263679123E1,3.915850401E0,6.014212370E-1
3.641676760E0,-6.579189301E0,2.809471369E0,1.544469357E0
