"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.000120000E-2,3.677999878E1,-2.250000000E1,-2.213999939E1
1.000014660E-1,3.504000092E1,-1.931999969E1,-2.387999916E1
1.500015560E-1,4.061999893E1,-1.134000015E1,-2.177999878E1
2.000016760E-1,4.175999832E1,-6.839999676E0,-2.310000038E1
2.500017710E-1,4.055999756E1,-5.219999790E0,-2.513999939E1
3.000018420E-1,3.773999786E1,-5.279999733E0,-2.784000015E1
3.600017740E-1,3.119999886E1,-5.699999809E0,-3.468000031E1
4.200018060E-1,1.721999931E1,-7.319999695E0,-4.427999878E1
4.800018050E-1,2.399999946E-1,-1.019999981E1,-4.787999725E1
5.400018040E-1,1.740000010E0,-1.134000015E1,-4.841999817E1
6.000017690E-1,-6.239999771E0,-1.217999935E1,-4.950000000E1
6.500018010E-1,-4.859999657E0,-1.697999954E1,-4.697999954E1
7.100017330E-1,3.119999886E0,-2.195999908E1,-4.355999756E1
7.600017660E-1,7.679999828E0,-2.519999886E1,-4.152000046E1
8.100017970E-1,8.519999504E0,-2.651999855E1,-4.025999832E1
8.700017620E-1,6.839999676E0,-2.477999878E1,-4.031999969E1
9.200018280E-1,7.619999886E0,-2.237999916E1,-4.265999985E1
9.800018270E-1,1.865999985E1,-1.697999954E1,-3.959999847E1
1.040001858E0,3.389999771E1,-9.960000038E0,-3.119999886E1
1.100001823E0,4.523999786E1,2.999999821E-1,-1.439999962E1
1.160001788E0,4.481999969E1,1.188000011E1,1.799999952E0
1.210001821E0,3.989999771E1,2.105999947E1,8.220000267E0
1.270001786E0,3.468000031E1,2.945999908E1,1.061999989E1
1.330001785E0,3.017999840E1,3.384000015E1,1.061999989E1
1.390001749E0,2.915999985E1,3.473999786E1,9.300000191E0
1.440001848E0,3.107999992E1,3.425999832E1,8.220000267E0
1.500001745E0,3.552000046E1,2.897999954E1,8.340000153E0
1.550001811E0,4.091999817E1,2.129999924E1,6.960000038E0
1.610001742E0,4.493999863E1,9.119999886E0,6.299999714E0
1.670001774E0,4.721999741E1,-4.199999809E0,2.579999924E0
1.730001773E0,4.452000046E1,-1.488000011E1,-7.559999943E0
1.790001771E0,3.834000015E1,-1.805999947E1,-2.093999863E1
1.850001737E0,3.119999886E1,-1.469999981E1,-3.113999939E1
1.900001769E0,3.377999878E1,-1.271999931E1,-3.215999985E1
1.960001734E0,3.539999771E1,-1.619999886E1,-2.861999893E1
2.010001767E0,3.600000000E1,-1.247999954E1,-2.826000023E1
2.070001698E0,3.852000046E1,-5.699999809E0,-2.568000031E1
2.120001730E0,4.259999847E1,-4.559999943E0,-2.129999924E1
2.170001796E0,4.002000046E1,-3.059999943E0,-2.250000000E1
2.220001828E0,3.786000061E1,-3.299999952E0,-2.639999962E1
2.280001792E0,3.011999893E1,-6.359999657E0,-3.600000000E1
2.330001825E0,1.475999928E1,-8.639999390E0,-4.463999939E1
2.390001756E0,2.039999962E0,-1.181999969E1,-4.763999939E1
2.440001789E0,6.359999657E0,-1.434000015E1,-4.745999908E1
2.490001822E0,2.700000048E0,-1.596000004E1,-4.823999786E1
2.550001788E0,1.679999948E0,-1.710000038E1,-4.721999741E1
2.600001820E0,6.059999943E0,-1.835999870E1,-4.470000076E1
2.660001819E0,1.355999947E1,-1.979999924E1,-4.320000076E1
2.710001851E0,1.703999901E1,-1.781999969E1,-4.127999878E1
2.770001782E0,2.087999916E1,-1.488000011E1,-3.984000015E1
2.830001714E0,2.903999901E1,-9.179999352E0,-3.641999817E1
2.890001679E0,3.827999878E1,-9.599999785E-1,-2.537999916E1
2.950001678E0,4.343999863E1,1.007999992E1,-1.146000004E1
3.010001643E0,3.965999985E1,2.345999908E1,-3.720000029E0
3.060001675E0,3.354000092E1,3.221999741E1,2.639999866E0
3.110001708E0,2.531999969E1,3.852000046E1,6.719999790E0
3.160001740E0,1.895999908E1,4.152000046E1,9.000000000E0
3.220001705E0,1.338000011E1,4.368000031E1,1.026000023E1
3.280001670E0,1.296000004E1,4.307999802E1,1.019999981E1
3.341679763E0,1.697999954E1,4.200000000E1,1.026000023E1
3.391679795E0,2.243999863E1,3.870000076E1,1.134000015E1
3.451679794E0,3.059999847E1,3.239999771E1,1.289999962E1
3.501679826E0,3.845999908E1,2.237999916E1,1.139999962E1
3.561679791E0,4.415999985E1,1.073999977E1,7.559999943E0
3.611679823E0,4.523999786E1,1.500000000E0,5.399999619E-1
3.671679755E0,4.457999802E1,-6.239999771E0,-1.307999992E1
3.721679788E0,4.181999969E1,-1.103999996E1,-1.943999863E1
3.771679820E0,4.181999969E1,-1.392000008E1,-1.685999870E1
3.831679819E0,4.241999817E1,-1.655999947E1,-1.367999935E1
3.891679818E0,4.181999969E1,-1.553999996E1,-1.500000000E1
3.951679750E0,3.947999954E1,-8.939999580E0,-2.135999870E1
4.011679714E0,4.625999832E1,-4.319999695E0,-5.219999790E0
4.071679646E0,4.541999817E1,-3.059999943E0,-4.380000114E0
4.131679611E0,4.536000061E1,-4.079999924E0,-5.579999924E0
4.181679644E0,4.457999802E1,-5.639999866E0,-9.119999886E0
4.231679676E0,4.187999725E1,-8.340000153E0,-1.511999989E1
4.281679708E0,3.491999817E1,-9.300000191E0,-2.597999954E1
4.341679707E0,1.644000053E1,-9.840000153E0,-4.175999832E1
4.391679739E0,7.199999690E-1,-9.779999733E0,-4.602000046E1
4.451679738E0,2.639999866E0,-1.146000004E1,-4.655999756E1
4.511679737E0,-2.279999971E0,-1.092000008E1,-4.781999969E1
4.571679668E0,-4.380000114E0,-1.277999973E1,-4.607999802E1
4.631679700E0,8.519999504E0,-1.673999977E1,-4.313999939E1
4.691679699E0,1.469999981E1,-1.745999908E1,-4.104000092E1
4.741679731E0,1.835999870E1,-1.703999901E1,-3.936000061E1
4.801679729E0,2.123999977E1,-1.673999977E1,-3.827999878E1
4.851679762E0,2.597999954E1,-1.434000015E1,-3.539999771E1
4.911679727E0,3.341999817E1,-8.460000038E0,-2.945999908E1
4.961679760E0,4.025999832E1,-2.279999971E0,-2.081999969E1
5.011679760E0,4.361999893E1,5.819999695E0,-9.960000038E0
5.071679759E0,4.211999893E1,1.583999920E1,5.279999733E0
5.121679791E0,3.738000107E1,2.123999977E1,1.427999973E1
5.181679789E0,3.179999924E1,2.609999847E1,1.877999878E1
5.241679720E0,2.934000015E1,3.000000000E1,1.787999916E1
5.301679651E0,3.035999870E1,3.119999886E1,1.289999962E1
5.351679683E0,3.150000000E1,3.185999870E1,8.340000153E0
5.411679648E0,3.197999954E1,3.161999893E1,6.480000019E0
5.471679647E0,3.257999802E1,3.029999924E1,7.980000019E0
5.521679679E0,3.234000015E1,2.921999931E1,9.659999847E0
5.571679711E0,3.389999771E1,2.771999931E1,1.343999958E1
5.631679676E0,3.509999847E1,2.435999870E1,1.745999908E1
5.681679708E0,3.839999771E1,1.907999992E1,1.589999962E1
5.741679707E0,4.181999969E1,1.385999966E1,1.313999939E1
5.791679707E0,4.247999954E1,1.289999962E1,1.259999943E1
5.851679706E0,4.313999939E1,1.361999989E1,1.169999981E1
5.901679738E0,4.127999878E1,1.301999950E1,1.397999954E1
5.961679737E0,4.086000061E1,1.500000000E1,1.697999954E1
6.011679769E0,3.947999954E1,1.637999916E1,1.823999977E1
6.071679700E0,4.037999725E1,1.542000008E1,1.895999908E1
6.121679732E0,4.307999802E1,1.067999935E1,1.673999977E1
6.181679663E0,4.409999847E1,4.799999714E0,1.529999924E1
6.231679696E0,4.452000046E1,-3.179999828E0,1.289999962E1
6.291679627E0,4.536000061E1,-1.092000008E1,7.859999657E0
6.351679659E0,4.434000015E1,-1.800000000E1,-5.999999866E-2
6.401679692E0,3.971999741E1,-2.447999954E1,-4.980000019E0
6.461679657E0,2.537999916E1,-3.126000023E1,-2.171999931E1
6.521679655E0,1.031999969E1,-3.252000046E1,-2.831999969E1
6.571679688E0,7.500000000E0,-3.384000015E1,-2.742000008E1
6.631679653E0,5.159999847E0,-3.365999985E1,-2.723999977E1
6.691679652E0,2.759999990E0,-3.329999924E1,-2.885999870E1
6.741679684E0,2.339999914E0,-3.300000000E1,-2.921999931E1
6.791679716E0,-4.799999893E-1,-3.395999908E1,-2.957999992E1
6.851679682E0,-3.839999914E0,-3.336000061E1,-2.813999939E1
6.911679680E0,-2.939999819E0,-3.300000000E1,-2.915999985E1
6.971679645E0,-3.000000000E0,-2.987999916E1,-3.245999908E1
7.031679610E0,-8.999999762E-1,-2.627999878E1,-3.563999939E1
7.091679675E0,8.399999738E-1,-2.195999908E1,-3.863999939E1
7.141679707E0,-1.139999986E0,-1.715999985E1,-4.139999771E1
7.201679706E0,-8.340000153E0,-1.421999931E1,-4.229999924E1
7.251679738E0,-2.081999969E1,-1.296000004E1,-4.050000000E1
7.311679736E0,-2.357999992E1,-1.175999928E1,-3.977999878E1
7.361679768E0,-9.479999542E0,-1.134000015E1,-4.511999893E1
7.421679700E0,-9.179999352E0,-1.080000019E1,-4.584000015E1
7.481679699E0,-5.759999752E0,-1.385999966E1,-4.445999908E1
7.541679630E0,-1.500000000E0,-1.781999969E1,-4.271999741E1
7.601679629E0,1.019999981E0,-1.919999886E1,-4.200000000E1
7.651679661E0,3.899999857E0,-1.769999886E1,-4.247999954E1
7.701679693E0,9.899999619E0,-1.565999985E1,-4.145999908E1
7.761679724E0,1.931999969E1,-9.420000076E0,-3.941999817E1
7.821679723E0,3.167999840E1,-2.039999962E0,-3.281999969E1
7.881679688E0,4.073999786E1,5.159999847E0,-2.039999962E1
7.941679653E0,4.320000076E1,1.427999973E1,-3.359999895E0
8.001679619E0,3.779999924E1,2.321999931E1,5.159999847E0
8.051679651E0,3.420000076E1,2.981999969E1,7.019999981E0
8.111679617E0,2.813999939E1,3.402000046E1,7.259999752E0
8.161679649E0,2.639999962E1,3.647999954E1,7.799999714E0
8.221679614E0,2.609999847E1,3.570000076E1,7.379999638E0
8.281679579E0,2.753999901E1,3.575999832E1,5.519999981E0
8.341679611E0,2.987999916E1,3.371999741E1,4.980000019E0
8.391679643E0,3.192000008E1,3.137999916E1,4.920000076E0
8.451679642E0,3.450000000E1,2.759999847E1,6.539999962E0
8.501679674E0,3.641999817E1,2.501999855E1,8.880000114E0
8.561679639E0,3.893999863E1,2.010000038E1,1.175999928E1
8.611679672E0,4.091999817E1,1.542000008E1,9.899999619E0
8.671679637E0,4.409999847E1,9.659999847E0,8.159999847E0
8.731679636E0,4.553999710E1,-8.999999762E-1,5.099999905E0
8.791679600E0,4.553999710E1,-6.599999905E0,3.000000000E0
8.851679632E0,4.397999954E1,-8.279999733E0,-7.619999886E0
8.911679630E0,4.302000046E1,-4.980000019E0,-1.043999958E1
8.961679662E0,4.518000031E1,-4.380000114E0,-1.199999928E0
9.021679660E0,4.511999893E1,-4.859999657E0,8.760000229E0
9.071679660E0,4.373999786E1,-7.559999943E0,1.289999962E1
9.131679625E0,4.536000061E1,-9.059999466E0,4.679999828E0
9.191679624E0,4.565999985E1,-5.399999619E-1,-1.919999957E0
9.251679623E0,4.500000000E1,5.759999752E0,-7.259999752E0
9.311679588E0,4.307999802E1,9.179999352E0,-1.146000004E1
9.371679553E0,4.109999847E1,9.840000153E0,-1.727999878E1
9.421679585E0,3.989999771E1,8.039999962E0,-1.913999939E1
9.481679617E0,3.750000000E1,3.179999828E0,-2.585999870E1
9.541679582E0,2.903999901E1,-9.599999785E-1,-3.468000031E1
9.591679614E0,2.327999878E1,-2.939999819E0,-3.863999939E1
9.641679646E0,2.202000046E1,-7.379999638E0,-3.887999725E1
9.701679645E0,1.350000000E1,-1.553999996E1,-4.025999832E1
9.751679677E0,1.163999939E1,-1.937999916E1,-4.037999725E1
9.811679642E0,2.045999908E1,-1.776000023E1,-3.750000000E1
9.861679675E0,6.299999714E0,-9.359999657E0,-4.800000000E1
9.921679640E0,-1.620000005E0,-3.240000010E0,-4.715999985E1
9.981679639E0,1.050000000E1,-1.307999992E1,-4.439999771E1
1.004167957E1,1.626000023E1,-1.631999969E1,-3.965999985E1
1.010167960E1,2.021999931E1,-1.505999947E1,-3.929999924E1
1.016167957E1,1.637999916E1,-1.415999985E1,-4.134000015E1
1.021167963E1,1.481999969E1,-1.163999939E1,-4.295999908E1
1.027167963E1,2.237999916E1,-7.619999886E0,-3.995999908E1
1.033167963E1,3.545999908E1,-5.460000038E0,-3.113999939E1
1.039167956E1,4.715999985E1,4.199999869E-1,-1.325999928E1
1.045167956E1,4.697999954E1,7.619999886E0,5.579999924E0
1.051167949E1,4.295999908E1,1.529999924E1,1.529999924E1
1.057167952E1,3.900000000E1,1.973999977E1,1.913999939E1
1.063160444E1,3.815999985E1,2.177999878E1,1.745999908E1
1.068160451E1,3.995999908E1,2.297999954E1,1.427999973E1
1.074160451E1,4.055999756E1,2.297999954E1,9.719999313E0
1.080160450E1,4.205999756E1,2.034000015E1,6.480000019E0
1.086160450E1,4.427999878E1,1.787999916E1,6.480000019E0
1.091160454E1,4.577999878E1,1.338000011E1,6.539999962E0
1.097160454E1,4.715999985E1,8.039999962E0,5.940000057E0
1.102160457E1,4.884000015E1,3.179999828E0,3.000000000E0
1.108160460E1,4.859999847E1,-4.799999714E0,-4.440000057E0
1.114160450E1,4.781999969E1,-1.061999989E1,-1.271999931E1
1.120160453E1,4.541999817E1,-1.121999931E1,-1.853999901E1
1.126160449E1,4.787999725E1,-1.350000000E1,-9.179999352E0
1.132160446E1,4.565999985E1,-1.703999901E1,-1.343999958E1
1.137160449E1,4.289999771E1,-2.219999886E1,-1.475999928E1
1.142160452E1,4.205999756E1,-2.273999977E1,-1.301999950E1
1.147160456E1,4.007999802E1,-2.592000008E1,-1.092000008E1
1.153160452E1,3.971999741E1,-2.718000031E1,-1.475999928E1
1.158160455E1,3.431999969E1,-3.023999977E1,-1.463999939E1
1.164160452E1,3.252000046E1,-3.179999924E1,-1.475999928E1
1.170160448E1,3.654000092E1,-3.126000023E1,-6.899999619E0
1.176160438E1,3.755999756E1,-2.879999924E1,-7.859999657E0
1.181160441E1,3.929999924E1,-2.771999931E1,-5.879999638E0
1.187160438E1,4.037999725E1,-2.573999977E1,-5.039999962E0
1.192160441E1,4.181999969E1,-2.363999939E1,-7.319999695E0
1.198160444E1,4.104000092E1,-2.160000038E1,-1.331999969E1
1.204160444E1,3.887999725E1,-1.889999962E1,-2.118000031E1
1.210160444E1,3.305999756E1,-1.943999863E1,-2.903999901E1
1.215160451E1,2.645999908E1,-1.997999954E1,-3.431999969E1
1.221160450E1,1.217999935E1,-1.818000031E1,-4.139999771E1
1.226160454E1,-2.759999990E0,-2.118000031E1,-4.079999924E1
1.232160450E1,-5.399999619E-1,-2.435999870E1,-4.020000076E1
1.237160453E1,1.050000000E1,-2.526000023E1,-4.086000061E1
1.243160447E1,8.819999695E0,-2.400000000E1,-4.086000061E1
1.248160450E1,6.000000000E0,-2.489999962E1,-3.918000031E1
1.253160450E1,8.519999504E0,-2.597999954E1,-3.875999832E1
1.259160446E1,1.115999985E1,-2.669999886E1,-3.713999939E1
1.264160453E1,1.181999969E1,-2.453999901E1,-3.918000031E1
1.270160449E1,1.230000019E1,-1.955999947E1,-4.145999908E1
1.276160446E1,1.727999878E1,-1.253999996E1,-4.337999725E1
