"Time (s)","Pressure (hPa)"
9.999700000E-2,1.022063477E3
1.999955000E-1,1.021981689E3
2.999945000E-1,1.021991943E3
3.999937500E-1,1.022022949E3
4.999931500E-1,1.021913086E3
5.999926500E-1,1.021833008E3
6.999922210E-1,1.021819580E3
7.999919710E-1,1.021832031E3
8.999916370E-1,1.021884033E3
9.999914370E-1,1.021929932E3
1.099991164E0,1.021855225E3
1.199990997E0,1.021861328E3
1.299990766E0,1.021884521E3
1.399990551E0,1.021932861E3
1.499990351E0,1.022053955E3
1.599990163E0,1.022029297E3
1.699989986E0,1.022001465E3
1.799989819E0,1.021998779E3
1.899989661E0,1.022009521E3
1.999989511E0,1.022021729E3
2.099989415E0,1.021959473E3
2.199989324E0,1.021954590E3
2.299989237E0,1.022030762E3
2.399989153E0,1.021886230E3
2.499989033E0,1.021843262E3
2.599988917E0,1.021835449E3
2.699988805E0,1.021848633E3
2.799988697E0,1.021940918E3
2.899988593E0,1.021937744E3
2.999988493E0,1.021900146E3
3.099988493E0,1.021911865E3
3.199988493E0,1.021924561E3
3.299988526E0,1.021995117E3
3.399988526E0,1.022050781E3
3.499988559E0,1.022031494E3
3.601675763E0,1.022023193E3
3.701675796E0,1.022005859E3
3.801675762E0,1.022011963E3
3.901675795E0,1.022010010E3
4.001675761E0,1.021969727E3
4.101675761E0,1.021975342E3
4.201675727E0,1.022019531E3
4.301675727E0,1.022223877E3
4.401675727E0,1.022211670E3
4.501675727E0,1.022083740E3
4.601675760E0,1.022018311E3
4.701675793E0,1.021982666E3
4.801675826E0,1.021986572E3
4.901675859E0,1.022076660E3
5.001675892E0,1.021998047E3
5.101675858E0,1.021983643E3
5.201675824E0,1.021989258E3
5.301675790E0,1.021988037E3
5.401675756E0,1.022072266E3
5.501675756E0,1.022072021E3
5.601675756E0,1.022050049E3
5.701675756E0,1.022040527E3
5.801675789E0,1.022031982E3
5.901675789E0,1.022025391E3
6.001675822E0,1.022041260E3
6.101675822E0,1.021989258E3
6.201675888E0,1.022027344E3
6.301675854E0,1.022057129E3
6.401675854E0,1.022065186E3
6.501675820E0,1.022029053E3
6.601675786E0,1.022002197E3
6.701675752E0,1.021992676E3
6.801675752E0,1.022112305E3
6.901675718E0,1.022053467E3
7.001675718E0,1.022023193E3
7.101675751E0,1.022017578E3
7.201675784E0,1.021973633E3
7.301675817E0,1.021970703E3
7.401675850E0,1.021957520E3
7.501675850E0,1.021942627E3
7.601675816E0,1.021939209E3
7.701675782E0,1.022006104E3
7.801675748E0,1.022026611E3
7.901675714E0,1.021929443E3
8.001675680E0,1.021912598E3
8.101675680E0,1.021937500E3
8.201675680E0,1.022006348E3
8.301675713E0,1.022064209E3
8.401675713E0,1.022048828E3
8.501675746E0,1.022023438E3
8.601675746E0,1.022040527E3
8.701675779E0,1.022041748E3
8.801675745E0,1.022018311E3
8.901675745E0,1.022043945E3
9.001675711E0,1.022059326E3
9.101675711E0,1.021999023E3
9.201675644E0,1.021951660E3
9.301675644E0,1.021957031E3
9.401675644E0,1.022004150E3
9.501675644E0,1.021927979E3
9.601675677E0,1.022002441E3
9.701675710E0,1.022036865E3
9.801675743E0,1.022060303E3
9.901675776E0,1.022023926E3
1.000167578E1,1.022048096E3
1.010167574E1,1.022020264E3
1.020167571E1,1.022134521E3
1.030167567E1,1.021960938E3
1.040167564E1,1.021890381E3
1.050167564E1,1.021885010E3
1.060167564E1,1.021927002E3
1.070167564E1,1.021966553E3
1.080160241E1,1.022054443E3
1.090160241E1,1.022052979E3
1.100160244E1,1.022003418E3
1.110160244E1,1.022004639E3
1.120160251E1,1.022026367E3
1.130160248E1,1.022034668E3
1.140160248E1,1.022056396E3
1.150160244E1,1.021992432E3
1.160160244E1,1.021993408E3
1.170160241E1,1.021966553E3
1.180160241E1,1.021974365E3
1.190160241E1,1.021997559E3
1.200160241E1,1.021918701E3
1.210160244E1,1.021943359E3
1.220160247E1,1.021954102E3
1.230160251E1,1.021936523E3
1.240160254E1,1.021918457E3
1.250160254E1,1.021931885E3
1.260160250E1,1.021936279E3
1.270160247E1,1.022000732E3
1.280160244E1,1.021973389E3
1.290160240E1,1.021925049E3
1.300160240E1,1.021938477E3
1.310160240E1,1.021964600E3
1.320160240E1,1.021988281E3
1.330160244E1,1.022051270E3
1.340160244E1,1.022054932E3
1.350160247E1,1.022060791E3
1.360160247E1,1.022087402E3
1.370160254E1,1.022049805E3
1.380160250E1,1.021995361E3
1.390160253E1,1.021971436E3
1.400160250E1,1.022058838E3
1.410160250E1,1.021982666E3
1.420160243E1,1.021997314E3
1.430160243E1,1.022081787E3
1.440160243E1,1.022206299E3
1.450160243E1,1.022144775E3
1.460160247E1,1.022029053E3
1.470160250E1,1.021982910E3
1.480160253E1,1.021972412E3
1.490160257E1,1.021959961E3
1.500160256E1,1.021952393E3
1.510160253E1,1.022122559E3
1.520160250E1,1.022062256E3
1.530160246E1,1.021983887E3
1.540160243E1,1.021971436E3
1.550160243E1,1.021998047E3
1.560160243E1,1.022114258E3
1.570160243E1,1.022137939E3
1.580160246E1,1.022064941E3
1.590160246E1,1.022041748E3
1.600160250E1,1.022047852E3
1.610160250E1,1.022072510E3
1.620160253E1,1.022036865E3
1.630160249E1,1.022026855E3
1.640160249E1,1.022011719E3
1.650160246E1,1.022043701E3
1.660160246E1,1.021993408E3
1.670160239E1,1.021948486E3
1.680160239E1,1.021945068E3
1.690160236E1,1.021982910E3
1.700160239E1,1.021965332E3
1.710160242E1,1.021933594E3
1.720160246E1,1.021956543E3
1.730160249E1,1.021990234E3
1.740160262E1,1.021969238E3
