"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.199545300E-2,2.650462151E0,8.044763207E-1,9.002472878E0
1.039890670E-1,2.482862949E0,6.033572555E-1,8.949799538E0
1.559831870E-1,2.734261751E0,3.160442710E-1,9.028810501E0
2.079766450E-1,3.045517445E0,-1.419804931E0,9.488511086E0
2.599698710E-1,1.063058019E0,-7.637736797E-1,9.385557175E0
3.119633310E-1,1.807677507E0,-1.826831698E0,1.009665680E1
3.639565570E-1,-2.506805658E0,-1.913025618E0,7.690410614E0
4.159499490E-1,-4.206740856E0,-9.912297726E-1,7.470137596E0
4.679433410E-1,-8.755863190E0,1.424593568E0,7.606611252E0
5.199367320E-1,-6.294548512E0,2.300898075E0,8.039975166E0
5.719310500E-1,-7.197190285E0,3.426207304E0,8.526012421E0
6.239243090E-1,-7.005648136E0,4.719115734E0,7.170853138E0
6.759175690E-1,-8.049551964E0,3.854782343E0,6.205960274E0
7.279109940E-1,-6.715940952E0,3.210722446E0,4.537150860E0
7.799075500E-1,-9.162889481E0,8.858816624E-1,7.108602047E0
8.319058410E-1,-8.011243820E0,-2.001613855E0,6.349617004E0
8.839019320E-1,-6.818894863E0,-2.504411459E0,8.995290756E0
9.358957590E-1,-1.577827096E0,-1.197137356E0,1.166969585E1
9.878887840E-1,-7.127756119E0,-5.267404765E-2,7.879558563E0
1.039882076E0,-5.672037125E0,4.620950520E-1,7.269018173E0
1.091875368E0,-1.508393168E0,-1.098972082E0,1.201447105E1
1.143868694E0,-7.154093266E0,2.451737404E0,8.729525566E0
1.195862284E0,-4.170826912E0,1.158828974E0,7.810124397E0
1.247856437E0,-1.860351562E0,2.573845387E0,7.362394810E0
1.299849662E0,-1.546701550E0,3.593806505E0,6.993676662E0
1.351843055E0,-1.484450400E-1,4.146883965E0,6.873962879E0
1.403836348E0,4.884320498E-1,4.067873001E0,7.937020779E0
1.455829607E0,-6.656084061E-1,3.502824068E0,7.802941799E0
1.507822967E0,2.214704275E0,5.492466450E0,8.028003693E0
1.559816326E0,1.867534399E0,5.619362831E0,8.839662552E0
1.611810315E0,2.334417820E0,5.018400192E0,9.562733650E0
1.663804203E0,2.243435383E0,4.005621910E0,8.370385170E0
1.715797395E0,-8.116591573E-1,3.232270956E0,8.051946640E0
1.767790720E0,-1.790917516E0,4.151672363E0,7.027196407E0
1.819783979E0,1.101366431E-1,3.715914488E0,7.424646378E0
1.871780266E0,-2.609759569E-1,1.994430900E0,7.975329399E0
1.923778821E0,-9.146129489E-1,1.924996972E0,6.871568680E0
1.975773979E0,-4.094209969E-1,3.991255999E0,8.882759094E0
2.027767371E0,-1.699935079E0,4.024775982E0,9.064723969E0
2.079760797E0,-1.781340480E0,2.724684715E0,9.914691925E0
2.131753989E0,-1.209108829E0,1.168406129E0,1.071198559E1
2.183747383E0,-8.930644989E-1,1.963305324E-1,1.134167957E1
2.235740742E0,-1.182771802E0,2.298503816E-1,1.115013790E1
2.287734034E0,-9.648927450E-1,1.580221355E-1,1.068564892E1
2.339727922E0,-1.699935079E0,7.182824612E-2,9.589070320E0
2.391721744E0,-1.300091267E0,-1.005595401E-1,1.017806244E1
2.443715036E0,-3.639297783E-1,7.278595567E-1,1.025946712E1
2.495708528E0,-4.213923812E-1,5.650488734E-1,1.000327969E1
2.547701654E0,-1.640078187E0,1.048692346E0,9.081484795E0
2.599695113E0,-1.582615614E0,1.412622094E0,8.674457550E0
2.651688372E0,-2.719896078E0,1.819648862E0,8.820508003E0
2.703682296E0,-2.796513081E0,9.098244309E-1,8.940221786E0
2.755675949E0,-1.359948039E0,1.534730196E0,1.012299347E1
2.807669408E0,-5.269798756E0,-4.884320498E-1,1.043903828E1
2.859662635E0,-3.387898922E0,5.985686928E-2,1.001046276E1
2.911616262E0,-5.458946824E-1,5.818088055E-1,9.778218269E0
2.963609621E0,-1.740637779E0,7.350423932E-1,7.534782887E0
3.015602980E0,-1.393467903E0,7.134938836E-1,1.101845264E1
3.067596272E0,-2.564268351E0,5.051919818E-1,8.940221786E0
3.119589765E0,-2.513988614E-1,2.705530524E-1,1.342709351E1
3.171583783E0,-1.525153041E0,2.561874092E-1,9.466962814E0
3.223577241E0,9.768640995E-1,8.379961550E-2,7.913078308E0
3.275570600E0,1.479661822E0,3.615354896E-1,7.151699066E0
3.327563992E0,8.906702399E-1,-8.571503758E-1,8.784594536E0
3.379557318E0,-1.460507661E-1,-5.387118459E-1,7.101418972E0
3.431550610E0,3.854782581E-1,-3.519583941E-1,9.064723969E0
3.483544003E0,9.457385540E-1,1.276148438E0,9.040781975E0
