"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.199252700E-2,-9.595166147E-2,1.381593943E-1,-1.290617883E-1
1.039857950E-1,-3.547599912E-2,-6.586959958E-2,-2.032776177E-2
1.559789880E-1,-4.952589795E-2,-3.105027974E-2,-1.712114662E-1
2.079726470E-1,-1.045037657E-1,1.265529543E-1,-3.275929987E-1
2.599661700E-1,-1.655903012E-1,1.613722742E-1,-3.813491166E-1
3.119601910E-1,-2.535548806E-1,4.264878035E-1,-5.707173347E-1
3.639534840E-1,-1.185536757E-1,1.418532968E0,-9.121910334E-1
4.159467430E-1,-1.020603105E-1,1.445410967E0,-1.071015954E0
4.679401030E-1,-8.739954233E-2,3.785024881E0,-1.202962875E0
5.199334630E-1,1.227381006E-1,3.132620811E0,-1.218234539E0
5.719268540E-1,1.716073155E-1,2.674471855E0,-1.622627378E0
6.239201130E-1,3.793015182E-1,1.693135202E-1,-1.573758006E0
6.759140670E-1,5.920811370E-2,1.405704856E0,-1.477852345E0
7.279079220E-1,4.210388660E-2,2.378202200E0,-9.341821671E-1
7.799011810E-1,-6.357580423E-2,3.334817171E0,-2.463479042E-1
8.318944740E-1,-1.258840561E-1,2.677526236E0,1.029749632E0
8.838886640E-1,-3.280804455E-1,1.220612526E0,7.347016335E-1
9.358871180E-1,1.349553913E-1,-1.986429930E0,3.077068925E-1
9.878843780E-1,1.917658746E-1,-3.191056252E0,9.604634717E-3
1.039879038E0,6.157063842E-1,-3.021846533E0,-4.296074808E-1
1.091872363E0,1.390283465E0,-1.655951738E0,-1.326357722E0
1.143865656E0,1.011547089E0,-5.484531522E-1,-5.749934316E-1
1.195859015E0,8.154593110E-1,-3.589340448E0,-1.104613543E0
1.247852173E0,1.072633505E0,-1.496515989E0,-1.114998341E0
1.299845532E0,7.769747972E-1,-1.990705967E0,-5.322328210E-1
1.351839620E0,6.028781533E-1,-2.451909065E0,-3.300364316E-1
1.403833208E0,4.611574411E-1,-1.333415031E0,-2.060307860E-1
1.455826668E0,3.695276380E-1,-1.619910717E0,-1.577724516E-1
1.507819927E0,1.563356966E-1,-9.271895885E-1,-1.082923561E-1
1.559813153E0,1.282358915E-1,-2.753964067E-1,-3.544710279E-1
1.611806546E0,5.065600201E-2,-6.724588275E-1,-7.958168536E-2
1.663799839E0,-1.069472358E-1,-1.251235306E-1,-1.027945727E-1
1.715793231E0,-2.144595236E-1,1.491549611E-1,-7.530563325E-2
1.767787551E0,-3.119994141E-2,1.314398795E-1,-2.439044565E-1
1.819780908E0,1.276250184E-1,9.817642570E-1,-3.892903626E-1
1.871774233E0,3.041650653E-1,5.315566659E-1,-3.153756857E-1
1.923767525E0,8.181012422E-2,-3.713022172E-1,-1.852613837E-1
1.975761348E0,1.156062540E-2,-4.387845099E-2,-2.170263678E-1
2.027759835E0,2.039831728E-1,3.751751184E-1,-5.163503289E-1
2.079756958E0,-2.101834565E-1,1.253312230E-1,-5.927084684E-1
2.131750951E0,-7.422470450E-1,1.126539350E0,-8.541588187E-1
2.183744209E0,-9.407783151E-1,9.762665033E-1,-1.009318590E0
2.235737569E0,-1.294469237E0,8.797498345E-1,-5.688847899E-1
2.287730995E0,-1.232771873E0,8.253828287E-1,-5.285676122E-1
2.339724155E0,-9.835388660E-1,4.729135334E-1,-3.660774827E-1
2.391717646E0,-7.398036718E-1,3.800620437E-1,-2.243567556E-1
2.443711006E0,-3.971082270E-1,5.132306814E-1,-2.671173215E-1
2.495705157E0,-2.889850736E-1,1.503766924E-1,-2.799454927E-1
2.547698582E0,-1.778075993E-1,-1.807122678E-1,-1.278400421E-1
2.599691940E0,-3.711006371E-3,9.234450012E-2,-9.790764749E-2
2.651685300E0,3.212693036E-1,2.010785043E-1,-1.541072577E-1
2.703678526E0,4.581031203E-1,2.059654444E-1,3.648270294E-2
2.755671952E0,5.033071637E-1,5.601634271E-3,1.085648015E-1
2.807665743E0,3.640298843E-1,2.026239969E-2,3.309197426E-1
2.859658998E0,1.752725095E-1,-3.493110538E-1,4.567579925E-1
2.911652921E0,-1.173319370E-1,5.004025102E-1,-6.277862005E-3
2.963646214E0,-3.958865106E-1,1.314398795E-1,5.202879906E-1
3.014184470E0,-4.129907191E-1,-4.998710379E-2,7.066018581E-1
3.066178160E0,-1.881923079E-1,1.076161265E-1,7.127104998E-1
3.118174249E0,-1.869705766E-1,-7.317126989E-1,7.224843502E-1
3.170168443E0,-2.627178729E-1,-3.053287566E-1,9.063547850E-1
3.222161970E0,-1.075581014E-1,-1.539276600E0,8.580964208E-1
3.274155262E0,3.438712955E-1,-7.683646083E-1,5.850396752E-1
3.326148555E0,2.540741265E-1,-6.003767252E-1,5.062380433E-1
3.378141914E0,4.458858073E-1,-6.840652227E-1,3.321414888E-1
3.430135273E0,5.845522285E-1,-1.112892628E0,3.174807131E-1
3.482128864E0,8.838762045E-1,-7.683646083E-1,-1.760984063E-1
3.534122882E0,9.614560604E-1,-1.356627822E0,-1.076814979E-1
3.586116175E0,4.574922621E-1,-1.112892628E0,-3.263712525E-1
3.638109567E0,-4.097378626E-2,-6.388611794E-1,-9.592276812E-1
3.690102926E0,-2.468353659E-1,-1.434494853E-1,-1.421041727E0
3.742096219E0,-4.313166738E-1,-9.302439094E-1,-1.678216100E0
3.794089611E0,-8.094422817E-1,-7.078889608E-1,-1.650116205E0
3.846082837E0,-1.124648690E0,-8.147904277E-1,-1.555432081E0
3.898076757E0,-1.109987974E0,-4.354430735E-1,-1.184636950E0
3.950070647E0,-1.062340498E0,-5.832724571E-1,-9.445669055E-1
4.002063940E0,-8.259356022E-1,-3.838066384E-2,-5.676630139E-1
4.054057299E0,-5.687613487E-1,-4.006237388E-1,-4.461008310E-1
4.106050691E0,-2.767677605E-1,-2.118663937E-1,-3.520275950E-1
4.158048479E0,-1.607033759E-1,3.085907996E-1,-2.768911719E-1
4.210046802E0,4.821253940E-2,7.697940469E-1,9.329317510E-2
4.262040562E0,3.078302741E-1,6.909924150E-1,5.044054985E-1
4.314033888E0,5.613393784E-1,1.687026471E-1,8.813093305E-1
4.366027348E0,7.244403958E-1,2.090197653E-1,1.120157599E0
4.418020608E0,8.789892793E-1,2.114632279E-1,1.278371692E0
4.470013934E0,1.141050458E0,-1.150259282E-2,1.380997062E0
4.522007260E0,1.350577235E0,-4.861449003E-1,1.329684496E0
4.574000685E0,1.359129429E0,-7.396540046E-1,1.108551264E0
4.625994407E0,1.268721342E0,-1.068910241E0,8.898614645E-1
4.677988295E0,9.455736279E-1,-1.279658794E0,6.290220022E-1
4.729981621E0,8.771566749E-1,-1.716427445E0,6.284111142E-1
4.781974913E0,4.263381362E-1,-1.199024677E0,3.865084946E-1
4.833968272E0,4.086230397E-1,-1.395723224E0,6.015330553E-1
4.885961665E0,7.203628868E-2,-1.044475675E0,4.897447228E-1
4.937954957E0,2.866485156E-2,-7.427083254E-1,3.015982509E-1
4.989948415E0,-2.731025815E-1,-4.140627682E-1,1.861446798E-1
5.041942435E0,-2.370615304E-1,-3.593720123E-2,2.618919611E-1
5.093935891E0,-2.700482607E-1,5.630345270E-2,3.168698549E-1
5.145929351E0,-2.590526640E-1,9.662055224E-2,3.376392722E-1
5.197922709E0,-1.680337489E-1,-2.057577372E-1,1.061213464E-1
5.249918563E0,-1.362687647E-1,1.137247831E-1,5.939442664E-3
5.301913390E0,-1.191645339E-1,-2.973875105E-1,-1.150118783E-1
5.353906649E0,-2.437810451E-1,-3.499219418E-1,-1.455551386E-1
5.405899975E0,-2.193464339E-1,-4.061215520E-1,-8.507947624E-2
5.457893401E0,-2.321746051E-1,-6.162591577E-1,1.568231732E-1
5.509886660E0,-1.637577116E-1,-2.793382883E0,2.264617980E-1
5.561880087E0,5.075832009E-1,-6.259432316E0,-1.207849860E0
5.613873445E0,-2.376311541E0,-3.786649942E0,-3.841289759E0
5.665867266E0,-5.161857128E0,4.218128204E0,-5.355625153E0
5.717861021E0,-2.069046497E0,3.909030437E0,-6.802153587E0
5.769854313E0,1.024986029E0,3.785635710E0,-1.556042910E0
5.821847772E0,3.994600475E-1,-1.873419762E0,1.366947293E0
5.873840965E0,1.099099293E-1,5.559912324E-1,1.598774940E-1
5.925834458E0,-8.332660198E-1,2.570624828E0,-3.508058488E-1
5.977827684E0,-1.532706618E0,1.940822721E0,-2.243567556E-1
6.029821043E0,-2.543077946E0,-1.593319923E-1,5.154010653E-1
6.081815163E0,-2.989009619E0,-5.667791367E-1,7.444755435E-1
6.133808719E0,-2.912040472E0,-4.904209673E-1,2.382205248E0
6.185801978E0,-2.030561924E0,4.692483544E-1,2.493993759E0
6.237795571E0,-1.585241079E0,2.265802860E0,2.109148502E0
6.289792091E0,-1.493000507E0,4.429487705E0,1.307082415E0
6.341790484E0,-1.533928514E0,5.694589615E0,9.023884684E-2
6.393786441E0,-4.447557032E-1,7.963953972E0,-7.423704863E-1
6.445779634E0,1.028651237E0,7.361640930E0,-1.383168101E0
6.497773060E0,1.541167259E0,4.260889053E0,-2.314737558E0
6.549766386E0,1.854541063E0,2.013515711E0,-1.162645698E0
6.601759712E0,7.977442145E-1,1.069118023E0,-7.826875448E-1
6.653753038E0,-9.167559445E-2,-6.098267809E-2,8.718451858E-2
6.705747026E0,-9.969779253E-1,-1.077462435E0,7.487515807E-1
6.757740748E0,-9.236740470E-1,-1.282102346E0,6.754477620E-1
6.809734074E0,-9.468869567E-1,-1.028593302E0,7.347016335E-1
6.861727333E0,-6.048024297E-1,-1.761020660E0,6.827781200E-1
6.913720893E0,-2.847090065E-1,-8.746551871E-1,8.580964208E-1
6.965714085E0,1.135751158E-1,-1.150259282E-2,4.665318429E-1
7.017707378E0,3.909079432E-1,9.988685250E-1,3.046525717E-1
7.069700870E0,5.387372971E-1,5.810366869E-1,1.604883373E-1
7.121694656E0,6.590777636E-1,4.967373013E-1,-1.137901470E-1
7.173688346E0,1.148991704E0,1.293201745E-2,-1.046271697E-1
7.225681839E0,1.500239253E0,-7.014565170E-2,4.188843369E-1
7.277675065E0,1.632797003E0,4.379903898E-3,1.072510123E0
7.329668391E0,1.539334536E0,-3.260982037E-1,1.748738050E0
7.381664878E0,5.295743346E-1,-3.768000305E-1,2.100596428E0
7.433663399E0,3.634189963E-1,-1.105562210E0,2.289353848E0
7.485658425E0,4.300033152E-1,-1.642512798E0,2.264308453E0
7.537651918E0,4.855920374E-1,-2.315686226E0,2.132361412E0
7.589645177E0,5.778326988E-1,-1.875252485E0,1.622899771E0
7.641638436E0,8.545547128E-1,6.212499458E-3,9.711065292E-1
7.693631829E0,7.421554327E-1,-1.012997851E-1,6.467370391E-1
7.745625122E0,1.087905169E0,-7.628667951E-1,6.601761580E-1
7.797618348E0,1.511845708E0,-6.577980518E-1,6.962171793E-1
7.849612599E0,1.296210170E0,-7.769167423E-1,5.758767128E-1
7.901606289E0,1.381120443E0,-5.515074730E-1,9.375089407E-1
7.953599481E0,1.457478642E0,-2.034077406E0,7.970099449E-1
8.005593040E0,1.441596150E0,-2.048738241E0,2.056923807E-1
8.057586233E0,1.337749004E0,-9.626197219E-1,-5.530022383E-1
8.109579524E0,1.221073866E0,-1.306213289E-1,-8.175069094E-1
8.161572850E0,1.006660104E0,-1.813231409E-1,-5.945410728E-1
8.213566175E0,5.986021161E-1,1.011085868E0,-6.745644808E-1
8.265560229E0,-1.610897422E0,-7.142132759E0,-6.702883840E-1
8.317553986E0,-2.798220813E-1,8.699759245E-1,-3.772262096E0
8.369547112E0,3.640298843E-1,-1.947945476E0,-2.199894905E0
8.421540537E0,-3.329673707E-1,-1.330647767E-1,-3.289678574E0
8.473535760E0,-4.649142623E-1,-6.052635908E-1,-2.799153805E0
8.525531285E0,-1.491167903E0,1.735895723E-1,-3.083817005E0
8.577524611E0,-2.007959843E0,-2.130881250E-1,-2.756393194E0
8.629518003E0,-3.053150415E0,3.965553939E-1,-2.385597944E0
8.681511229E0,-3.149667025E0,-5.670661852E-2,-1.509006381E0
8.733504522E0,-3.723269463E0,-3.224330246E-1,-5.591108799E-1
8.785497815E0,-3.488086462E0,-8.624378443E-1,2.252400666E-1
8.837491473E0,-3.121567249E0,-1.159929156E0,1.322353959E0
8.889485558E0,-2.220541000E0,-1.235065699E0,2.038898945E0
8.941478884E0,-1.992688179E0,-1.473913908E0,2.366933584E0
8.993472210E0,-1.565693498E0,-6.156483293E-1,2.307068825E0
9.045465469E0,-1.320736408E0,-9.064201713E-1,2.239873648E0
9.097458862E0,-9.377239347E-1,-1.364569068E0,2.045618534E0
9.149452221E0,-9.682672024E-1,-1.423212171E0,1.992473245E0
9.201445480E0,-8.595331907E-1,-1.991927743E0,1.947269201E0
9.253439104E0,-7.025408149E-1,-2.979085922E0,1.749348879E0
9.305433190E0,-5.583766699E-1,-3.092095852E0,1.133596659E0
9.357426549E0,-3.842800558E-1,-3.508706093E0,1.530659080E0
9.409419942E0,-5.846438408E-1,-4.475705624E0,4.075876251E-2
9.461413434E0,4.300033152E-1,-3.396917820E0,1.148257494E0
9.513408791E0,-9.839511663E-2,-3.483049870E0,6.247459054E-1
9.565407382E0,2.204765379E-1,-1.699934125E0,3.950605989E-1
9.617403907E0,-1.808619201E-1,-1.277826309E0,8.477117419E-1
9.669397734E0,-1.600925177E-1,-6.712370515E-1,3.345849216E-1
9.721390894E0,-2.578309774E-1,-9.180266261E-1,4.136962444E-2
9.773384287E0,-3.763388097E-1,2.780475318E-1,1.946968138E-1
9.825377580E0,-3.225826621E-1,4.955155551E-1,2.808288038E-1
9.877371039E0,-5.272225142E-1,3.299710751E-1,3.516891897E-1
9.929364794E0,-8.302116990E-1,6.134125590E-1,3.913954198E-1
9.981358650E0,-8.204378486E-1,6.653361320E-1,2.136336267E-1
1.003335184E1,-5.748699903E-1,3.183646500E-1,1.488819122E-1
1.008534520E1,-3.671758473E-1,2.969843447E-1,4.381308705E-2
1.013733853E1,-2.792112529E-1,1.936442801E-3,-6.125573441E-2
1.018933185E1,-2.578309774E-1,-2.417987883E-1,-3.010160662E-2
1.024132531E1,-2.046856731E-1,-7.653102875E-1,-9.332188405E-3
1.029331857E1,5.554292351E-2,-1.912515283E0,-7.469476759E-2
1.034531283E1,4.177860022E-1,-6.641222954E0,-1.037418365E0
1.039724606E1,-8.522028327E-1,-4.928967953E0,-2.412476063E0
1.044923939E1,-5.138033390E0,-1.874641657E0,-5.398995876E0
1.050123271E1,-3.334759235E0,5.062954903E0,-6.437467098E0
1.055322604E1,1.465618461E-1,3.718440771E0,-3.705677748E0
1.060522153E1,1.287047267E0,3.631697655E0,-3.660774827E-1
1.065722038E1,3.108845949E-1,-9.754479527E-1,1.002871513E0
1.070921604E1,-3.690084219E-1,-7.442171127E-2,2.606702447E-1
1.076120943E1,-1.229717493E0,1.617064238E0,2.460094839E-1
1.081320269E1,-1.738568306E0,-2.295814753E-1,1.122601032E0
1.086519612E1,-1.874791265E0,-2.539873838E0,2.832412958E0
1.091718944E1,-7.385818958E-1,-2.258264780E0,3.008342028E0
1.096918270E1,-3.537367880E-1,1.645163894E0,2.731620073E0
1.102117610E1,-8.088313937E-1,5.841808319E0,1.814100623E0
1.107317018E1,-1.458791971E0,5.192458630E0,4.622557759E-1
1.112516367E1,-1.734903097E0,4.590756416E0,-9.213539958E-1
1.117715717E1,-1.286528111E0,4.641458035E0,-1.975707412E0
1.122915039E1,-9.927018285E-1,4.802726746E0,-2.110708714E0
1.128114375E1,-1.472643465E-1,3.246241808E0,-1.508395553E0
1.133313711E1,-2.468353659E-1,8.864693046E-1,-9.702231884E-1
1.138513037E1,3.110831231E-2,6.861055493E-1,-2.463479042E-1
1.143712396E1,-4.484209120E-1,1.250545025E0,7.008029521E-2
1.148911815E1,-3.464064002E-1,3.922793269E-1,8.147250414E-1
1.154111144E1,-3.482390046E-1,-5.319597721E-1,7.438646555E-1
1.159310486E1,-3.702301681E-1,-3.639718294E-1,9.979846478E-1
1.164509812E1,-4.966792464E-1,-3.731348217E-1,9.631652832E-1
1.169709261E1,-3.800039887E-1,-5.325706005E-1,1.059682012E0
1.174908874E1,-2.871524692E-1,-3.108265698E-1,9.869890213E-1
1.180108210E1,-1.820836663E-1,4.130487740E-1,7.670775056E-1
1.185307549E1,-2.468353659E-1,1.192512870E0,3.492456973E-1
1.190506878E1,-3.958865106E-1,9.035735726E-1,6.824769825E-2
1.195706214E1,-4.508643746E-1,9.035735726E-1,-2.933845222E-1
1.200905543E1,-4.722446501E-1,1.355002880E0,-3.776839375E-1
1.206104873E1,-5.950285792E-1,1.303690314E0,-1.938134879E-1
