"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.999856600E-2,-1.323709488E0,-2.699060142E-1,-1.918762684E0
1.199948890E-1,-2.120688438E0,-3.696029186E-1,-2.444156647E0
1.799905390E-1,-2.932946205E0,-4.699842036E-1,-2.873519897E0
2.399851540E-1,-3.625015497E0,-6.141479611E-1,-3.165940285E0
2.999793410E-1,-4.305796623E0,-7.988224030E-1,-3.391996384E0
3.599727390E-1,-4.860767365E0,-1.011884332E0,-3.530990601E0
4.199654380E-1,3.640368462E0,1.024979353E-2,-7.067422867E-1
4.799577360E-1,2.644477606E0,-2.737755179E-1,-8.453426361E-1
5.399503320E-1,2.917277575E0,-7.873053551E-1,-5.257892609E-1
5.999427960E-1,1.831405163E0,-1.980771542E0,-4.607963562E-1
6.599353260E-1,2.679437399E0,-1.651455641E0,4.962244034E-1
7.199278560E-1,3.601067066E-1,-2.039502144E0,-1.682438374E0
7.799203530E-1,-2.663927078E-1,-1.042443037E0,-1.046605110E0
8.399126170E-1,-4.024021149E0,2.079499722E0,-9.579172134E-1
8.999050140E-1,-1.546329021E0,3.652086496E0,-2.912578583E-1
9.598975440E-1,-9.474196434E-1,3.711434841E0,1.014797211E0
1.019890074E0,-6.136074066E-1,6.146329403E0,-1.908726215E0
1.079882672E0,1.112071991E0,3.354455948E0,4.364256859E-1
1.139875637E0,-3.308658600E-1,1.101594806E0,1.238996029E0
1.199869735E0,-1.073331833E-1,-2.903039455E0,7.033109665E-1
1.259864268E0,6.854977608E-1,-3.482331276E0,2.533257008E0
1.319858801E0,3.169990301E0,-2.403844357E0,6.143698692E0
1.379853200E0,-3.016863823E0,4.860926270E-1,-2.914068222E0
1.439847298E0,3.232860565E-1,-1.340388060E0,-1.360481262E0
1.499840129E0,-1.647924423E0,-1.390471458E0,7.468814850E-1
1.559832527E0,-2.423131227E0,8.596062660E-2,-1.578304291E0
1.619824991E0,-5.169767141E-1,9.425458908E-1,-2.213856220E0
1.679817587E0,-5.175123215E-1,1.454218864E0,-2.696326256E0
1.739810051E0,4.185900092E-1,2.155689001E0,-2.231611729E0
1.799802647E0,-1.030325770E0,8.037683964E-1,-1.363748550E0
1.859795045E0,1.429973006E0,1.482384920E0,-8.801975250E-1
1.919787376E0,1.478910327E0,2.413857460E0,-3.383674622E-1
1.979779707E0,1.866065502E0,1.893572092E0,1.765623093E-1
2.039772303E0,1.459382772E0,5.539357662E-1,-8.733806610E-1
2.099764767E0,-1.427743077E0,-4.443287849E-2,-1.432111263E0
2.159757297E0,-1.053897858E0,2.609789371E-1,-2.152105331E0
2.219749995E0,1.520174891E-1,-1.127522230E0,-1.519118786E0
2.279743927E0,-8.215043545E-1,-2.300016880E0,-1.724411011E0
2.339738191E0,2.035585046E-1,-2.369585037E-1,-4.808425903E-1
2.399732521E0,-5.195887089E-1,6.313080788E-1,-6.005191803E-2
2.459726918E0,3.641800880E-1,-1.288073063E-1,1.013375282E0
2.519721083E0,9.121222496E-1,-1.611881495E0,1.777481079E0
2.579713947E0,1.648604274E0,-1.005007982E0,1.715609550E0
2.639706278E0,1.902950287E0,-4.559784830E-1,1.628089905E0
2.699698709E0,1.007456899E0,-3.016603291E-1,4.758071899E-1
2.759691173E0,1.350619078E0,-2.891194224E-1,6.425781250E-1
2.819683737E0,2.276751041E0,6.627908945E-1,6.676788330E-1
2.879676201E0,1.601201534E0,4.887076616E-1,3.894424438E-1
2.939668731E0,5.416939259E-1,7.622891665E-1,-8.764181137E-1
2.999661228E0,1.682929993E-1,1.201011658E0,-5.981121063E-1
3.059653626E0,-7.842717171E-1,2.817998528E-1,-5.271606445E-1
3.119646023E0,7.151900530E-1,4.465446472E-1,2.610425949E-1
3.179638687E0,-2.952556610E0,-1.605750799E0,9.758272171E-1
3.239631151E0,-5.357310772E-1,-6.372537017E-1,5.890102386E-1
3.290539740E0,-1.736817598E0,-7.216497064E-1,3.142147064E-1
3.350532738E0,-1.190632582E0,-9.482542276E-1,-7.997264862E-1
3.410525901E0,2.005593777E-1,4.378819466E-2,-1.085882187E-1
