"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.999163200E-2,-2.592000008E1,-7.980000019E0,-3.563999939E1
1.199838120E-1,-2.603999901E1,-7.799999714E0,-3.534000015E1
1.799760820E-1,-2.621999931E1,-8.519999504E0,-3.497999954E1
2.399683560E-1,-2.651999855E1,-8.460000038E0,-3.534000015E1
2.999606440E-1,-2.645999908E1,-8.760000229E0,-3.504000092E1
3.599531410E-1,-2.550000000E1,-9.539999962E0,-3.563999939E1
4.199456710E-1,-2.495999908E1,-9.960000038E0,-3.641999817E1
4.799381350E-1,-2.357999992E1,-9.960000038E0,-3.821999741E1
5.399306650E-1,-1.979999924E1,-1.109999943E1,-4.002000046E1
5.999231950E-1,-1.080000019E1,-1.319999981E1,-4.193999863E1
6.599155590E-1,-1.259999990E0,-1.392000008E1,-4.427999878E1
7.199078230E-1,6.299999714E0,-1.529999924E1,-4.445999908E1
7.799004190E-1,1.007999992E1,-1.469999981E1,-4.368000031E1
8.398928830E-1,1.500000000E1,-1.607999992E1,-4.187999725E1
8.998854130E-1,2.285999870E1,-1.553999996E1,-3.893999863E1
9.598781120E-1,2.879999924E1,-1.655999947E1,-3.527999878E1
1.019872010E0,2.969999886E1,-1.661999893E1,-3.336000061E1
1.079866409E0,2.501999855E1,-1.818000031E1,-3.593999863E1
1.139861009E0,1.871999931E1,-1.805999947E1,-3.965999985E1
1.199855475E0,1.265999985E1,-1.895999908E1,-4.139999771E1
1.259849773E0,1.265999985E1,-2.202000046E1,-4.031999969E1
1.319842937E0,7.079999924E0,-2.334000015E1,-4.068000031E1
1.379835435E0,3.480000019E0,-2.507999992E1,-3.977999878E1
1.439827866E0,9.599999785E-1,-2.639999962E1,-3.743999863E1
1.499820396E0,-3.899999857E0,-2.711999893E1,-3.738000107E1
1.559812926E0,-6.899999619E0,-2.915999985E1,-3.588000107E1
1.619805456E0,-9.899999619E0,-2.915999985E1,-3.384000015E1
1.679797887E0,-1.019999981E1,-2.976000023E1,-3.413999939E1
1.739790251E0,-1.097999954E1,-2.903999901E1,-3.341999817E1
1.799782582E0,-1.139999962E1,-2.892000008E1,-3.281999969E1
1.859775112E0,-1.127999973E1,-2.921999931E1,-3.329999924E1
1.919767642E0,-9.539999962E0,-2.915999985E1,-3.443999863E1
1.979760106E0,-7.199999809E0,-2.934000015E1,-3.443999863E1
2.039752636E0,-5.819999695E0,-3.047999954E1,-3.336000061E1
2.099746202E0,-6.899999619E0,-3.065999985E1,-3.365999985E1
2.159740466E0,-5.219999790E0,-3.161999893E1,-3.293999863E1
2.219734730E0,-3.240000010E0,-3.137999916E1,-3.377999878E1
2.279729193E0,2.399999946E-1,-2.993999863E1,-3.515999985E1
2.339723458E0,3.659999847E0,-2.705999947E1,-3.707999802E1
2.399716755E0,6.299999714E0,-2.435999870E1,-3.821999741E1
2.459709153E0,8.699999809E0,-2.219999886E1,-3.954000092E1
2.519701584E0,9.539999962E0,-1.992000008E1,-4.157999802E1
2.579693982E0,1.097999954E1,-1.889999962E1,-4.139999771E1
2.639686578E0,1.193999958E1,-1.853999901E1,-4.104000092E1
2.699679076E0,1.253999996E1,-1.823999977E1,-4.170000076E1
2.759671540E0,1.181999969E1,-1.818000031E1,-4.170000076E1
2.819664103E0,1.313999939E1,-1.919999886E1,-4.139999771E1
2.879656534E0,1.284000015E1,-2.039999962E1,-4.031999969E1
2.939648932E0,1.242000008E1,-2.153999901E1,-3.941999817E1
2.999641496E0,1.175999928E1,-2.142000008E1,-3.977999878E1
3.059634026E0,1.379999924E1,-2.237999916E1,-4.002000046E1
3.110554208E0,1.296000004E1,-2.118000031E1,-3.995999908E1
3.170547005E0,1.163999939E1,-2.135999870E1,-4.091999817E1
3.230540169E0,1.001999950E1,-2.076000023E1,-4.007999802E1
3.290533233E0,7.559999943E0,-2.039999962E1,-4.205999756E1
3.350526397E0,4.019999981E0,-2.034000015E1,-4.157999802E1
3.410519527E0,1.079999924E0,-2.093999863E1,-4.170000076E1
3.470512325E0,-1.740000010E0,-2.118000031E1,-4.091999817E1
3.530504823E0,-3.359999895E0,-2.310000038E1,-4.007999802E1
3.590497220E0,-5.759999752E0,-2.387999916E1,-3.911999893E1
3.650489716E0,-7.679999828E0,-2.592000008E1,-3.725999832E1
3.710482180E0,-1.019999981E1,-2.747999954E1,-3.545999908E1
3.770474743E0,-1.055999947E1,-2.789999962E1,-3.521999741E1
3.830467074E0,-8.699999809E0,-2.850000000E1,-3.402000046E1
3.890459538E0,-7.319999695E0,-2.831999969E1,-3.539999771E1
3.950451835E0,-6.420000076E0,-2.681999969E1,-3.647999954E1
4.010444365E0,-5.699999809E0,-2.495999908E1,-3.779999924E1
4.070436829E0,-4.679999828E0,-2.315999985E1,-3.971999741E1
4.130429459E0,-3.779999971E0,-2.142000008E1,-4.073999786E1
4.190421990E0,-4.079999924E0,-1.955999947E1,-4.157999802E1
4.250415789E0,-4.079999924E0,-1.961999893E1,-4.205999756E1
4.310410119E0,-3.599999905E0,-1.895999908E1,-4.157999802E1
4.370404449E0,-1.199999928E0,-2.003999901E1,-4.181999969E1
4.430398713E0,-1.379999995E0,-2.100000000E1,-4.211999893E1
4.490393043E0,-1.679999948E0,-2.171999931E1,-4.043999863E1
4.550386107E0,-3.419999838E0,-2.327999878E1,-3.929999924E1
4.610378438E0,-5.519999981E0,-2.568000031E1,-3.738000107E1
4.670370769E0,-8.699999809E0,-2.753999901E1,-3.479999924E1
4.730363299E0,-1.188000011E1,-2.981999969E1,-3.155999947E1
4.790355763E0,-1.583999920E1,-3.047999954E1,-2.934000015E1
4.850348260E0,-1.955999947E1,-3.101999855E1,-2.477999878E1
4.910340790E0,-2.219999886E1,-3.119999886E1,-2.285999870E1
4.970333320E0,-2.543999863E1,-3.101999855E1,-2.034000015E1
5.030325651E0,-2.801999855E1,-2.981999969E1,-1.794000053E1
5.090318014E0,-2.831999969E1,-2.909999847E1,-1.668000031E1
5.150310544E0,-2.993999863E1,-2.784000015E1,-1.697999954E1
5.210303074E0,-2.976000023E1,-2.735999870E1,-1.781999969E1
5.270295604E0,-3.059999847E1,-2.657999992E1,-1.811999893E1
5.330288636E0,-3.150000000E1,-2.621999931E1,-1.739999962E1
5.390281934E0,-3.107999992E1,-2.627999878E1,-1.787999916E1
5.450275032E0,-3.143999863E1,-2.573999977E1,-1.842000008E1
5.510268162E0,-3.071999931E1,-2.592000008E1,-1.805999947E1
5.570261226E0,-3.173999977E1,-2.592000008E1,-1.752000046E1
5.630253825E0,-3.305999756E1,-2.501999855E1,-1.415999985E1
5.690246089E0,-3.227999878E1,-2.711999893E1,-1.740000010E0
5.750238586E0,-2.573999977E1,-3.425999832E1,-4.199999869E-1
5.810231050E0,-1.169999981E1,-4.152000046E1,-1.157999992E1
5.870223580E0,7.379999638E0,-4.325999832E1,-1.535999966E1
5.930216112E0,7.440000057E0,-4.325999832E1,-1.307999992E1
5.990208742E0,5.460000038E0,-4.205999756E1,-1.355999947E1
6.050201073E0,8.340000153E0,-4.193999863E1,-1.457999992E1
6.110193404E0,1.092000008E1,-4.091999817E1,-1.673999977E1
6.170185934E0,8.939999580E0,-3.905999756E1,-2.268000031E1
6.230178430E0,5.279999733E0,-3.527999878E1,-2.873999977E1
6.290170861E0,-2.999999821E-1,-3.077999878E1,-3.365999985E1
6.350163726E0,-3.059999943E0,-2.592000008E1,-3.689999771E1
6.410157791E0,3.659999847E0,-2.285999870E1,-3.941999817E1
6.470152324E0,1.794000053E1,-2.165999985E1,-3.750000000E1
6.530146857E0,3.347999954E1,-1.829999924E1,-2.676000023E1
6.590141323E0,4.277999878E1,-1.619999886E1,-9.059999466E0
6.650135521E0,4.565999985E1,-1.092000008E1,1.620000005E0
6.710128520E0,4.595999908E1,-8.699999809E0,6.299999714E0
6.770120918E0,4.536000061E1,-7.319999695E0,7.559999943E0
6.830113416E0,4.571999741E1,-9.179999352E0,5.460000038E0
6.890106012E0,4.565999985E1,-1.181999969E1,1.319999933E0
6.950098476E0,4.457999802E1,-1.284000015E1,-2.339999914E0
7.010091006E0,4.386000061E1,-1.517999935E1,-6.779999733E0
7.070083403E0,4.379999924E1,-1.650000000E1,-8.579999924E0
7.130075768E0,4.331999969E1,-1.781999969E1,-6.779999733E0
7.190068099E0,4.302000046E1,-1.823999977E1,-4.380000114E0
7.250060695E0,4.193999863E1,-1.781999969E1,-2.339999914E0
7.310053159E0,4.223999786E1,-1.661999893E1,-5.999999866E-2
