"Time (s)","Pressure (hPa)"
9.999400000E-2,1.022169922E3
1.999850000E-1,1.022182861E3
2.999750000E-1,1.022182617E3
3.999640000E-1,1.022184082E3
4.999530000E-1,1.022183838E3
5.999418330E-1,1.022186768E3
6.999301180E-1,1.022195557E3
7.999184930E-1,1.022189697E3
8.999067150E-1,1.022175293E3
9.998949150E-1,1.022177734E3
1.099883187E0,1.022184326E3
1.199872103E0,1.022169678E3
1.299861103E0,1.022145996E3
1.399849817E0,1.022188232E3
1.499838417E0,1.022213135E3
1.599827042E0,1.022201904E3
1.699815512E0,1.022194580E3
1.799803956E0,1.022186279E3
1.899792271E0,1.022175293E3
1.999780621E0,1.022162598E3
2.099768954E0,1.022154541E3
2.199757226E0,1.022143555E3
2.299745834E0,1.022133789E3
2.399734375E0,1.022123535E3
2.499722895E0,1.022133301E3
2.599711395E0,1.022138184E3
2.699699839E0,1.022153564E3
2.799688267E0,1.022160156E3
2.899676611E0,1.022164307E3
2.999664944E0,1.022166260E3
3.099653110E0,1.022162354E3
3.199641210E0,1.022158203E3
3.300539676E0,1.022162598E3
3.400527909E0,1.022181885E3
3.500516109E0,1.022171875E3
3.600504309E0,1.022172852E3
3.700492542E0,1.022177734E3
3.800480775E0,1.022178955E3
3.900468975E0,1.022182617E3
4.000457175E0,1.022185547E3
4.100445308E0,1.022182861E3
4.200433174E0,1.022201416E3
4.300420974E0,1.022201416E3
4.400409074E0,1.022208496E3
4.500397274E0,1.022203613E3
4.600385440E0,1.022186768E3
4.700373606E0,1.022177490E3
4.800361772E0,1.022163086E3
4.900349972E0,1.022151123E3
5.000338138E0,1.022147217E3
5.100326304E0,1.022143555E3
5.200314437E0,1.022134033E3
5.300302337E0,1.022120361E3
5.400290203E0,1.022106689E3
5.500278236E0,1.022104980E3
5.600266202E0,1.022102295E3
5.700254168E0,1.022098389E3
5.800242134E0,1.022103271E3
5.900230134E0,1.022112549E3
6.000218134E0,1.022110107E3
6.100206100E0,1.022085449E3
6.200194066E0,1.022204834E3
6.300182032E0,1.022143799E3
6.400169898E0,1.022113037E3
6.500157898E0,1.022095703E3
6.600146131E0,1.022120361E3
6.700134364E0,1.022128662E3
6.800122564E0,1.022125488E3
6.900110764E0,1.022152100E3
7.000098997E0,1.022165527E3
7.100087263E0,1.022176758E3
7.200075463E0,1.022173096E3
7.300063796E0,1.022187500E3
7.400051762E0,1.022184082E3
7.500039662E0,1.022179688E3
7.600027695E0,1.022182617E3
7.700015928E0,1.022189453E3
7.800004161E0,1.022177246E3
7.899992361E0,1.022154785E3
7.999980561E0,1.022140381E3
8.099968794E0,1.022139160E3
8.199957027E0,1.022145264E3
8.299945227E0,1.022135010E3
8.399933427E0,1.022136719E3
8.499921593E0,1.022132080E3
8.599909726E0,1.022138672E3
8.699897959E0,1.022115479E3
8.799886192E0,1.022074707E3
8.899874392E0,1.022101562E3
8.999862592E0,1.022124268E3
9.099850825E0,1.022154297E3
9.199839058E0,1.022167236E3
9.299827258E0,1.022184570E3
9.399815458E0,1.022177979E3
9.499803558E0,1.022173340E3
9.599791424E0,1.022173828E3
9.699779324E0,1.022193604E3
9.799767490E0,1.022213867E3
9.899755723E0,1.022221436E3
9.999743923E0,1.022232178E3
1.009973212E1,1.022225586E3
1.019972036E1,1.022187988E3
1.029970846E1,1.022142334E3
1.039969666E1,1.022113525E3
1.049968486E1,1.022099609E3
1.059967292E1,1.022096680E3
1.069959744E1,1.022098633E3
1.079958534E1,1.022101074E3
1.089957364E1,1.022090820E3
1.099956187E1,1.022238770E3
1.109955007E1,1.022166992E3
1.119953827E1,1.022148926E3
1.129952650E1,1.022147461E3
1.139951480E1,1.022153564E3
1.149950290E1,1.022135254E3
1.159949110E1,1.022156250E3
1.169947920E1,1.022195801E3
1.179946730E1,1.022194336E3
1.189945547E1,1.022181885E3
1.199944370E1,1.022167725E3
1.209943190E1,1.022180176E3
1.219942010E1,1.022187012E3
1.229940830E1,1.022187012E3
1.239939660E1,1.022177979E3
1.249938480E1,1.022179688E3
1.259937300E1,1.022201172E3
1.269936117E1,1.022195068E3
1.279934910E1,1.022190674E3
1.289933704E1,1.022208008E3
1.299932514E1,1.022238037E3
1.309931334E1,1.022241943E3
1.319930150E1,1.022242920E3
1.329928967E1,1.022229004E3
1.339927790E1,1.022224854E3
1.349926610E1,1.022230957E3
1.359925430E1,1.022230225E3
1.369924247E1,1.022219238E3
1.379923063E1,1.022218750E3
1.389921850E1,1.022206055E3
1.399920636E1,1.022222656E3
1.409919436E1,1.022220703E3
1.419918236E1,1.022216309E3
1.429917033E1,1.022211670E3
1.439915830E1,1.022212891E3
1.449914630E1,1.022186279E3
1.459913430E1,1.022182861E3
1.469912226E1,1.022179199E3
1.479911023E1,1.022190918E3
1.489909823E1,1.022203125E3
1.499908609E1,1.022226807E3
1.509907399E1,1.022228516E3
1.519906223E1,1.022234619E3
1.529905046E1,1.022255615E3
1.539903866E1,1.022245605E3
1.549902683E1,1.022244629E3
1.559901509E1,1.022234619E3
1.569900333E1,1.022227051E3
1.579899153E1,1.022177002E3
1.589897969E1,1.022127441E3
1.599896766E1,1.022109131E3
1.609895556E1,1.022121094E3
1.619894359E1,1.022119141E3
1.629893196E1,1.022125732E3
1.639892019E1,1.022114014E3
1.649890839E1,1.022083496E3
1.659889659E1,1.022372070E3
1.669888482E1,1.022279053E3
1.679887306E1,1.022232178E3
1.689886122E1,1.022212158E3
1.699884942E1,1.022210205E3
1.709883752E1,1.022191650E3
1.719882562E1,1.022189209E3
1.729881379E1,1.022206543E3
1.739880202E1,1.022207275E3
1.749879022E1,1.022220459E3
1.759877842E1,1.022204834E3
1.769876665E1,1.022200928E3
1.779875489E1,1.022204346E3
1.789874312E1,1.022188477E3
1.799869970E1,1.022203857E3
1.809868790E1,1.022197754E3
1.819867577E1,1.022210938E3
1.829866364E1,1.022216553E3
1.839865177E1,1.022206055E3
1.849864000E1,1.022216064E3
1.859862813E1,1.022218994E3
1.869861630E1,1.022216064E3
1.879860447E1,1.022221191E3
1.889859270E1,1.022218994E3
1.899858090E1,1.022233154E3
1.909856906E1,1.022237549E3
1.919855713E1,1.022216064E3
1.929854486E1,1.022206299E3
1.939853273E1,1.022243164E3
1.949852073E1,1.022225098E3
1.959850873E1,1.022202393E3
1.969849670E1,1.022220459E3
1.979848466E1,1.022243164E3
1.989847270E1,1.022267822E3
1.999846070E1,1.022271240E3
2.009844866E1,1.022282227E3
2.019843663E1,1.022249756E3
2.029842456E1,1.022235596E3
2.039841243E1,1.022231201E3
2.049840049E1,1.022211670E3
2.059838869E1,1.022168213E3
2.069837689E1,1.022139893E3
2.079836509E1,1.022121826E3
2.089835326E1,1.022125488E3
2.099834149E1,1.022126465E3
2.109832969E1,1.022125732E3
2.119831789E1,1.022096924E3
2.129830609E1,1.022088623E3
2.139829406E1,1.022204346E3
2.149828196E1,1.022162109E3
2.159827006E1,1.022162109E3
2.169825829E1,1.022147705E3
2.179824652E1,1.022151611E3
2.189823472E1,1.022151611E3
2.199822292E1,1.022158203E3
2.209821116E1,1.022186035E3
2.219819936E1,1.022186035E3
2.229818756E1,1.022184082E3
2.239817576E1,1.022178955E3
2.249816386E1,1.022178955E3
2.259815206E1,1.022158936E3
2.269814029E1,1.022167236E3
2.279812852E1,1.022167236E3
2.289811672E1,1.022180176E3
2.299810492E1,1.022148926E3
2.309809316E1,1.022148926E3
2.319808139E1,1.022110596E3
2.329806959E1,1.022125732E3
2.339805779E1,1.022125732E3
2.349804582E1,1.022179688E3
2.359803369E1,1.022207275E3
2.369802159E1,1.022207275E3
2.379800979E1,1.022161377E3
2.389799799E1,1.022160400E3
2.399798615E1,1.022160400E3
2.409797432E1,1.022181641E3
2.419796252E1,1.022167725E3
2.429795072E1,1.022167725E3
2.439793889E1,1.022166016E3
2.449792708E1,1.022168945E3
2.459791508E1,1.022168945E3
2.469790295E1,1.022162842E3
2.479789085E1,1.022173828E3
2.489787885E1,1.022173828E3
2.499786705E1,1.022215576E3
2.509785502E1,1.022210938E3
2.519786558E1,1.022210938E3
2.529785358E1,1.022252686E3
2.539784158E1,1.022269531E3
2.549782955E1,1.022269531E3
2.559781742E1,1.022208008E3
2.569780528E1,1.022216797E3
2.579779315E1,1.022216797E3
2.589778125E1,1.022164062E3
2.599776945E1,1.022134521E3
2.609775761E1,1.022134521E3
2.619774578E1,1.022040039E3
2.629773394E1,1.022043701E3
2.639772215E1,1.022043701E3
2.649771031E1,1.022075439E3
2.659769851E1,1.022073730E3
2.669768664E1,1.022073730E3
2.679767451E1,1.022162842E3
2.689766238E1,1.022088135E3
2.699765038E1,1.022088135E3
2.709763838E1,1.022075928E3
2.719762634E1,1.022084229E3
2.729761431E1,1.022084229E3
2.739760231E1,1.022121094E3
2.749759031E1,1.022119629E3
2.759757827E1,1.022119629E3
2.769756624E1,1.022135254E3
2.779755421E1,1.022136475E3
2.789754207E1,1.022136475E3
2.799752987E1,1.022132324E3
2.809751811E1,1.022152832E3
2.819750630E1,1.022152832E3
2.829749451E1,1.022143311E3
2.839748270E1,1.022086426E3
2.849747094E1,1.022086426E3
2.859745917E1,1.022096680E3
2.869744737E1,1.022104736E3
2.879743560E1,1.022104736E3
2.889742360E1,1.022157715E3
2.899741154E1,1.022223389E3
2.909739957E1,1.022223389E3
2.919738780E1,1.022225830E3
2.929737604E1,1.022196289E3
2.939736424E1,1.022196289E3
2.949735244E1,1.022207031E3
2.959734067E1,1.022196777E3
2.969732890E1,1.022196777E3
2.979731710E1,1.022173340E3
2.989730530E1,1.022201416E3
2.999729340E1,1.022201416E3
3.009728147E1,1.022218506E3
3.019726970E1,1.022188721E3
3.029725793E1,1.022188721E3
3.039724613E1,1.022181885E3
3.049723430E1,1.022180664E3
3.059722263E1,1.022180664E3
3.069721093E1,1.022168457E3
3.079719913E1,1.022179199E3
3.089718733E1,1.022179199E3
3.099717543E1,1.022165527E3
3.109716330E1,1.022158203E3
3.119715116E1,1.022158203E3
3.129713933E1,1.022225342E3
3.139712756E1,1.022198730E3
3.149711573E1,1.022198730E3
3.159710393E1,1.022151367E3
3.169709216E1,1.022164551E3
3.179708043E1,1.022164551E3
3.189706863E1,1.022165039E3
3.199705680E1,1.022155518E3
3.209704490E1,1.022155518E3
3.219703283E1,1.022099854E3
3.229702073E1,1.022062744E3
3.239700896E1,1.022062744E3
3.249699023E1,1.022050537E3
3.259697843E1,1.022061768E3
3.269696663E1,1.022061768E3
3.279695486E1,1.022068604E3
3.289694316E1,1.022058350E3
3.299693136E1,1.022058350E3
3.309691960E1,1.022099121E3
3.319690770E1,1.022134766E3
3.329689580E1,1.022134766E3
3.339688390E1,1.022114258E3
3.349687213E1,1.022127930E3
3.359686023E1,1.022127930E3
3.369684833E1,1.022143555E3
3.379683653E1,1.022149170E3
3.389682476E1,1.022149170E3
3.399681296E1,1.022146240E3
3.409680116E1,1.022139160E3
3.419678936E1,1.022139160E3
3.429677730E1,1.022128418E3
3.439676516E1,1.022131836E3
3.449675330E1,1.022131836E3
3.459674153E1,1.022135498E3
3.469672969E1,1.022133545E3
