"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.198983400E-2,-6.026389599E0,3.711125851E-1,6.720729351E0
1.039831680E-1,-6.632141113E0,3.016786277E-1,5.681613922E0
1.559773190E-1,-6.431022167E0,4.836435020E-1,5.485283375E0
2.079706450E-1,-7.324086666E0,9.481328130E-1,5.729499817E0
2.599639710E-1,-8.700794220E0,4.261809289E-1,6.165257454E0
3.119572970E-1,-8.092648506E0,6.991282701E-1,6.567495823E0
3.639507230E-1,-9.287391663E0,2.106961906E-1,6.095823765E0
4.159440150E-1,-7.678439140E0,9.026415944E-1,6.560312748E0
4.679373750E-1,-5.719922543E0,1.395862222E0,6.208354473E0
5.199310310E-1,-2.521171331E0,1.781340480E0,2.619336605E0
5.719248840E-1,3.129317284E0,2.741444588E0,1.843591571E0
6.239184430E-1,4.676018715E0,3.232270956E0,7.065505028E0
6.759117030E-1,3.689577579E0,2.928198099E0,9.507665634E0
7.279049950E-1,9.720755816E-1,1.345582485E0,6.663266659E0
7.799011830E-1,5.499649048E0,1.556278616E-1,7.755055904E0
8.318999700E-1,8.099831581E0,-1.221080124E-1,1.325231075E1
8.838949960E-1,1.424354076E1,2.961717844E0,1.302724934E1
9.358883890E-1,1.378384018E1,2.715107679E0,1.227065849E1
9.878816480E-1,9.847652435E0,3.979284763E0,8.095043182E0
1.039875141E0,6.162863255E0,3.208328247E0,4.563488007E0
1.091868367E0,3.634509087E0,3.205934048E0,2.253012657E0
1.143861659E0,2.681587934E-1,2.846792698E0,-2.245829821E0
1.195854952E0,-4.948966026E0,3.201145411E0,-5.755836487E0
1.247848840E0,-3.419024467E0,-4.716721475E-1,-2.279349566E0
1.299842761E0,1.027143836E0,-5.435003638E-1,2.181184292E0
1.351836154E0,5.684008598E0,-4.656864643E0,1.103281784E1
1.403829313E0,8.868393898E0,-1.149491310E1,1.392510223E1
1.455822839E0,7.977723598E0,-2.544156456E1,7.558725357E0
1.507816032E0,1.595065880E1,-1.470802975E1,1.414776993E1
1.559809325E0,8.193208694E0,-8.593051910E0,1.047016335E1
1.611802883E0,5.985687256E0,-5.102199554E0,8.047157288E0
1.663796934E0,7.769421577E0,-3.325647593E0,6.763826370E0
1.715790294E0,7.348029613E0,-3.155654192E0,7.635342598E0
1.767783754E0,9.213169098E0,9.529213905E-1,9.378374100E0
1.819777245E0,9.897932053E0,-4.980091453E-1,3.438178539E0
1.871772101E0,4.925023079E0,-1.750214934E0,-1.075029373E0
1.923767759E0,-8.523618579E-1,-1.654443860E0,-2.909043789E0
1.975761084E0,-4.338426113E0,1.041509509E0,9.701601982E0
2.027754443E0,-3.974496126E0,4.963331699E0,-5.813299179E0
2.079747702E0,2.054287672E0,-1.865140080E0,6.732700825E0
2.131741062E0,1.860830307E1,-3.062038040E1,1.040312386E1
2.183734487E0,1.248853779E1,-1.232572651E1,8.889942169E0
2.235727780E0,5.691191196E0,-1.422199249E0,7.508445740E0
2.287721767E0,6.924242973E0,8.935433388E0,1.029059315E1
2.339715389E0,9.900326729E0,7.130150318E0,8.741497040E0
2.391708781E0,1.222516727E1,1.268965602E0,1.014454269E1
2.443702107E0,1.435367775E1,-1.659471893E1,9.016839027E0
2.495695432E0,1.088676739E1,-6.919454098E0,7.582668304E0
2.547688859E0,6.694392204E0,2.047105074E0,4.810098171E0
2.599682251E0,8.947404861E0,-2.827638626E0,6.277788639E0
2.651675443E0,-1.520843315E1,8.691217422E0,-2.156044388E1
2.703669729E0,-4.008016109E0,1.903448462E0,-7.374366283E0
2.755663086E0,2.585816681E-1,-1.318766594E1,1.719568253E1
2.807656412E0,1.619487572E1,-3.596200943E1,1.451888275E1
2.859649972E0,1.100648117E1,-1.797142601E1,1.161462688E1
2.910443243E0,6.390319347E0,6.510033131E0,2.461314440E0
2.962436602E0,8.861210823E0,3.641691923E0,1.939362645E0
3.014430028E0,7.929838181E0,-7.889135361E0,5.581054688E0
3.066423287E0,6.823683262E0,-7.233104229E0,2.030344963E0
3.118416579E0,1.144463301E0,6.431022167E0,1.174870682E1
3.170409939E0,-1.296499825E1,-4.884320736E0,-8.834874034E-1
3.222404124E0,1.193067169E1,-1.655880547E1,1.674316406E1
3.274397648E0,4.029564381E0,-1.302964306E1,-6.438204765E0
3.326391040E0,-1.290514112E0,-4.843617916E0,1.175588965E0
3.378384333E0,5.746259689E0,-1.907997513E1,2.856369734E0
3.430377559E0,9.071907043E0,-1.784931946E1,8.578686714E0
3.482371019E0,8.078283310E0,-1.237121773E1,5.813299179E0
3.534364278E0,7.237892628E0,-2.253012657E0,4.510813713E0
3.586358033E0,5.408666611E0,1.008468533E1,5.248250484E0
3.638351954E0,8.755863190E0,7.915472507E0,3.687183142E0
3.690345346E0,7.788576126E0,-2.073441982E0,-3.962524891E0
3.742338739E0,2.097145271E1,-3.051503181E1,1.091549873E1
3.794332065E0,-1.902490807E1,1.865379524E1,-1.140153694E1
3.846325821E0,5.114171028E0,-2.598266983E1,1.757397652E1
3.898324509E0,1.952531052E1,-2.218535042E1,4.314483166E0
3.950321498E0,6.943396926E-1,-3.792531252E0,2.561874092E-1
4.002315326E0,-2.353572130E0,-3.354378939E0,3.687183261E-1
4.054308652E0,-7.757450342E-1,-3.845205307E0,6.675238132E0
4.106301911E0,1.279979324E1,-1.701371765E1,6.605803967E0
4.158295371E0,1.560827732E1,-1.106394386E1,7.300143719E0
4.210288630E0,1.443747711E1,1.915419847E-1,2.595393896E0
4.262281956E0,5.456552505E0,1.491633177E0,8.116591573E-1
4.314275646E0,4.896292210E0,-1.358272076E1,2.369134903E1
4.366269666E0,-2.626758957E1,2.234337234E1,-1.917574692E1
4.418262993E0,-6.081457734E-1,-1.026186180E1,1.169363785E1
4.470256386E0,2.251097107E1,-4.363087082E1,1.449493980E1
4.522249645E0,7.788576126E0,-3.240650940E1,6.615381241E0
