"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.198907500E-2,-5.870873332E-1,4.958393052E-2,3.999475539E-1
1.039822430E-1,-4.600273371E-1,-3.132700324E-1,5.343378782E-1
1.559758020E-1,-4.282623529E-1,-4.409408569E-1,3.700151443E-1
2.079690280E-1,-3.873343766E-1,1.839742959E-1,1.281124949E-1
2.599629810E-1,-2.022422254E-1,1.216660291E-1,7.741067559E-2
3.119567040E-1,-9.350819141E-2,3.415775001E-1,-3.743198887E-2
3.639499630E-1,-8.678868413E-2,6.231864095E-1,-4.781670123E-2
4.159432890E-1,1.251815557E-1,2.975952029E-1,1.030670181E-1
4.679366490E-1,2.827847898E-1,5.578237772E-1,1.275016218E-1
5.199300410E-1,5.625610948E-1,-6.248112917E-1,2.594485283E-1
5.719233670E-1,8.044636846E-1,-1.675499558E0,3.339740932E-1
6.239166930E-1,1.298653722E0,-3.906379461E0,-7.652736455E-2
6.759108110E-1,1.562547445E0,-9.167151451E0,-9.036388993E-1
7.279043360E-1,4.990310967E-1,-9.329030037E0,-1.606133938E0
7.798976940E-1,-4.954575300E-1,-2.604625463E0,-3.465298116E-1
8.318910210E-1,-9.609368443E-1,4.845199883E-1,5.422791243E-1
8.838852090E-1,-7.422470450E-1,-2.348062277E0,6.229133010E-1
9.358839970E-1,9.028130174E-1,-7.842471600E-1,1.417649031E0
9.878808540E-1,2.252214432E0,-3.037729025E0,9.472827911E-1
1.039874314E0,2.174023628E0,1.106704548E-1,6.174155474E-1
1.091867640E0,2.759232521E0,1.354392052E0,6.824769825E-2
1.143861100E0,2.395156622E0,2.858342171E0,-4.613724649E-1
1.195854459E0,1.993207574E0,2.392252207E0,-6.308832765E-2
1.247847652E0,1.010325313E0,2.511370897E0,2.643354535E-1
1.299841044E0,-7.172015905E-1,3.114905834E0,1.178189874E0
1.351834435E0,-2.332329273E0,7.697940469E-1,2.073718309E0
1.403828753E0,-3.726323843E0,-2.100338042E-1,3.115854502E0
1.455822113E0,-4.847872734E0,-1.550883055E0,3.478708267E0
1.507815405E0,-4.152707577E0,-2.345007896E0,3.004066229E0
1.559808831E0,-3.496027470E0,-3.597892284E0,3.551401377E0
1.611802157E0,-1.843637109E0,-2.825758696E0,2.499491453E0
1.663795384E0,-3.079219162E-1,-4.751493335E-1,-2.017547488E-1
1.715788742E0,1.111118078E0,-1.147388145E-1,-3.074344099E-1
1.767782630E0,1.929066658E0,-4.873666167E-1,-1.282375336E0
1.819776386E0,2.527103662E0,7.581876516E-1,-1.813828111E0
1.871769579E0,3.781820774E0,-8.862615824E-1,-2.749673605E0
1.923763138E0,3.790373087E0,6.250189543E-1,-2.983634949E0
1.975757095E0,1.976714134E0,1.913333774E0,-3.097867012E0
2.027753183E0,4.699081182E-2,1.704417825E0,-1.383778930E0
2.079747110E0,-7.734012604E-1,4.507067204E0,4.329342246E-1
2.131740435E0,1.935984641E-1,7.453594208E-1,9.454501867E-1
2.183733727E0,-3.853994608E0,-3.113476276E0,2.172067642E0
2.235727054E0,-4.321917534E0,-4.137897491E0,3.287507534E0
2.287720479E0,-1.692753434E0,9.112276882E-2,2.918545008E0
2.339713772E0,-4.398688078E-1,-2.093331337E0,6.888867617E-1
2.391707496E0,7.531510592E-1,-2.524602413E0,8.587073088E-1
2.443701448E0,1.000551462E0,-8.019621968E-1,-6.812839508E-1
2.495694773E0,1.257725716E0,-7.689754963E-1,-2.406367540E0
2.547688099E0,2.182575703E0,7.606310844E-1,-2.262814045E0
2.599681491E0,1.284603715E0,3.519622087E-1,-1.577423215E0
2.651674784E0,-7.275863290E-1,1.333622694E0,-8.156743050E-1
2.703668177E0,1.514487565E-1,4.982931614E0,7.496721298E-2
2.755661502E0,7.757530808E-1,1.565140605E0,-6.421886086E-1
2.807655190E0,-2.828351736E0,-2.035910130E0,1.096944809E0
2.859649212E0,-4.475244522E0,-2.202676296E0,2.067609549E0
2.911642471E0,-1.529041529E0,-4.003507137E0,1.892291307E0
2.963635730E0,-1.081689596E-1,7.563550472E-1,1.824485183E0
3.014171781E0,4.318359196E-1,1.015074775E-1,-5.270362273E-2
3.066169871E0,1.155100346E0,8.308805823E-1,4.659209549E-1
3.118167497E0,2.122710943E0,-2.109824657E0,5.966461301E-1
3.170162456E0,1.496573925E0,-3.676370382E-1,-1.050857425E0
3.222155882E0,7.971333265E-1,-8.602815121E-2,-1.723420024E0
3.274149241E0,1.347522974E0,5.840910077E-1,-3.724003553E0
3.326142500E0,1.566212654E0,-1.308369517E0,-3.141539395E-1
3.378135859E0,-9.456652403E-1,-2.480009079E0,-2.718519449E0
3.430129152E0,-7.388461113E0,5.556534290E0,4.807340145E0
3.482123138E0,-5.120929241E0,-2.883790970E0,4.136610508E0
3.534116895E0,-2.008570910E0,1.066063762E0,2.996124744E0
3.586110220E0,1.003605723E0,1.544982076E0,-1.304977417E0
3.638103479E0,2.106217623E0,-4.483036041E0,-2.668428659E0
3.690096839E0,1.322477460E0,6.668815762E-2,-1.277488351E0
3.742090232E0,1.468474269E0,-1.835546255E0,-8.364437222E-1
3.794083491E0,1.612638474E0,-1.902741313E0,-8.211721182E-1
3.846077181E0,2.320020437E0,-1.635182381E0,-1.005653381E0
3.898071167E0,1.893025637E0,-2.861188889E0,-2.250596762E0
3.950064459E0,2.699566483E-1,2.437456131E0,-2.772886515E0
4.002058019E0,2.528936386E0,4.962162018E0,-3.595721960E0
4.054051278E0,-2.942583799E0,3.832061529E0,2.420689583E0
4.106044769E0,-7.483756065E0,-6.559654474E-1,6.388259888E0
4.158042857E0,-2.355542183E0,7.514680624E-1,5.996695042E0
4.210040378E0,-7.269754410E-1,3.946904182E0,-1.305588245E0
4.262034572E0,6.871775985E-1,7.646200806E-2,-1.501065016E0
4.314027932E0,1.802617550E0,-2.179463387E0,-1.158980608E0
4.366021191E0,2.869188309E0,-5.166594028E0,-2.223718643E0
4.418014584E0,1.861871481E0,-1.338912725E0,-1.833986640E0
4.470007910E0,6.920645237E-1,-7.304909825E-1,-1.725863576E0
4.522001236E0,-2.486679703E-1,2.556575060E0,-2.001363754E0
4.573994727E0,1.445261359E0,6.182671070E0,-2.048400402E0
4.625988946E0,-2.274908066E0,4.471026421E0,2.832722664E-1
4.677982273E0,-5.216835022E0,-1.359071255E0,1.563034892E0
4.729975532E0,-2.627377272E0,-4.961343765E0,3.031554937E0
4.781968925E0,-1.950538516E0,3.996995211E0,3.225199223E0
4.833962418E0,-4.111581147E-1,-3.387754917E0,-5.957627892E-1
4.885955710E0,-2.853198946E-1,-1.536222339E0,1.568231732E-1
4.937949036E0,6.444169879E-1,1.306744576E0,-1.045970440E0
