"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.999155000E-2,-1.381830692E0,-5.691301823E-1,-8.929052353E-1
1.199864240E-1,-1.318243027E0,-4.228773117E-1,-8.864197731E-1
1.799807660E-1,-1.209382057E0,-2.531242371E-1,-8.391289711E-1
2.399746840E-1,-1.210445404E0,-1.021146774E-1,-8.906917572E-1
2.999681450E-1,-1.130459309E0,4.861974716E-2,-8.572540283E-1
3.599615430E-1,-1.242420673E0,5.585050583E-2,-9.710402489E-1
4.199541070E-1,4.535226822E-1,-1.615833044E0,-4.488139153E-1
4.799466040E-1,2.924265862E-1,-1.192009211E0,-1.385138512E0
5.399390350E-1,-1.599044800E-1,-1.009410620E0,-1.252623081E0
5.999315650E-1,-1.378222942E0,-7.837012410E-1,-6.411309242E-1
6.599240290E-1,-8.248271942E-1,-8.828703761E-1,2.518811226E-1
7.199165920E-1,-1.917017937E0,-1.169694185E0,-2.158398628E-1
7.799089900E-1,-3.752732277E-1,-7.712766528E-1,1.811800003E-1
8.399013540E-1,1.106580257E0,-6.659594774E-1,-1.060032368E0
8.998938180E-1,5.141727924E0,-2.655735016E-1,-6.093811512E0
9.598863480E-1,4.343934059E0,8.752226830E-2,-5.640164375E0
1.019878812E0,1.605856657E0,-1.118569374E-1,1.213741302E-2
1.079871309E0,-2.573753834E0,-1.121837497E0,-1.422036648E0
1.139864407E0,8.755636215E-1,-1.920441985E0,2.789192200E-1
1.199858604E0,4.939919472E0,-1.543548346E0,4.671070099E0
1.259852934E0,7.355490208E0,1.778838634E-1,6.353130341E0
1.319847198E0,6.961035252E0,4.633209705E-1,4.155383110E0
1.379841528E0,9.365291595E-1,-7.985765934E-1,-1.099034786E0
1.439835258E0,-4.924693108E-1,-1.917788506E0,-4.279617310E0
1.499827790E0,-3.131832600E0,-2.771741867E0,-8.600498199E0
1.559820054E0,-8.402369499E0,-2.117816210E0,-1.342352676E1
1.619812584E0,-5.688467979E0,-4.268029213E0,-1.023873520E1
1.679805048E0,-2.343057871E0,-3.345252514E0,-6.363814831E0
1.739797578E0,3.010685921E0,-6.937217712E0,6.604784012E0
1.799790042E0,-3.286937237E0,-1.519820404E1,-2.405926704E0
1.859782638E0,1.364206219E1,-8.139035225E0,9.513050079E0
1.919774969E0,3.328890324E0,-1.360693455E0,6.617767811E0
1.979767400E0,1.093512058E0,2.326543808E0,3.393294334E0
2.039759864E0,1.399863243E0,3.049492598E0,1.711215019E0
2.099752394E0,2.162426949E0,2.924330235E0,4.187699318E0
2.159744858E0,2.290126801E0,2.632694721E0,-1.543841362E-1
2.219737622E0,-1.473269463E-1,-2.009424686E0,-6.512399197E0
2.279730854E0,-5.796600819E0,-3.183337927E0,-1.060985374E1
2.339724050E0,-9.440164566E0,9.909427166E-2,2.477458000E0
2.399717180E0,-1.006640720E1,5.287449360E0,-1.218465614E1
2.459710310E0,8.567919731E-1,-1.366475677E1,7.018595219E0
2.519703208E0,1.103111267E1,-1.585926628E1,1.002710915E1
2.579695606E0,7.078013420E-1,5.578522682E-1,6.987774849E0
2.639687970E0,1.335923672E0,1.418402863E1,4.030705452E0
2.699680467E0,2.662327766E0,1.201145744E1,3.692580700E0
2.759672997E0,4.009000301E0,2.773540497E0,5.598132610E0
2.819665527E0,4.056775093E0,-9.845182419E0,2.974770546E0
2.879658025E0,1.913801670E0,-1.064069033E0,-5.638504028E-2
2.939650522E0,5.955626488E0,-2.787046432E0,8.612224579E0
2.999642886E0,-1.827691460E1,8.438356400E0,-2.241293716E1
3.059635383E0,-1.122353554E1,2.598588228E0,-1.550160027E1
3.119627913E0,-7.554534912E0,-1.212175655E1,1.179908180E1
3.179620343E0,7.773904800E0,-2.339179611E1,1.028201962E1
3.230159632E0,2.607939720E0,-1.208108521E1,8.113248825E0
3.290152931E0,2.521402359E0,-3.954821587E0,9.416707039E0
3.350147163E0,-2.648661137E0,6.924100876E0,1.418455124E0
3.410141629E0,-1.776321411E0,1.051962090E1,-1.555700302E0
3.470136229E0,1.409694672E0,5.009299278E0,-1.658089161E0
3.530130761E0,-2.045731544E0,-1.415666866E1,1.202094078E0
3.590124525E0,-3.068171978E0,-6.219268322E0,1.584083271E1
3.650117157E0,-2.024662399E1,1.894245148E1,-1.527740479E1
3.710109587E0,1.132584572E0,-1.221532249E1,8.330316544E0
3.770102118E0,-3.815886736E0,-5.970094204E0,-1.538875580E1
3.830094715E0,-5.838302612E0,3.121729374E0,-2.294439316E0
3.890087179E0,9.747824669E-1,-9.448719978E0,2.224478006E0
3.950079709E0,1.901284695E0,-9.773176193E0,2.938309908E0
4.010072139E0,2.643530846E0,-1.496911049E0,2.151609898E0
4.070064437E0,-2.550755501E0,1.063008690E1,3.133676291E0
4.130056868E0,-1.638057232E0,1.347212696E1,-3.441207409E-1
4.190049398E0,-9.686689377E-1,-9.614189267E-1,-6.656691551E0
4.250041962E0,4.206397057E0,-1.997820282E1,3.982787132E-1
4.310034492E0,-2.454638290E1,5.439516544E0,-1.081055069E1
4.370027490E0,4.692085266E0,-5.364546585E1,1.578009129E0
4.430021488E0,6.533288479E0,1.569539547E0,4.677515030E-1
4.490015852E0,-8.384607315E0,1.690779686E0,-5.412688255E0
4.550010149E0,-6.341704845E0,3.872239590E0,4.402027130E-1
4.610004479E0,6.517130852E0,-1.133020973E1,1.666563511E0
4.669998243E0,7.863118172E0,-5.114448547E0,1.433043003E0
4.729990908E0,3.870547295E0,3.711470604E0,-1.442710161E0
4.789983139E0,-8.702639580E0,5.774210453E0,-5.113425255E0
4.849975670E0,-2.063459396E1,2.533362579E1,-2.577811623E1
4.909968134E0,-1.072865105E1,1.806044936E0,-6.170914650E0
4.969960730E0,1.623637199E1,-3.531709290E1,1.055106926E1
5.029953194E0,6.128608227E0,-2.319685555E1,-1.516034603E0
5.089945790E0,1.315703392E0,-5.506895065E0,-9.743728638E-1
5.149938055E0,-2.405353546E0,8.946825027E0,-4.098675251E-1
5.209930419E0,-4.203072071E0,3.430958509E0,-2.307491541E0
5.269922883E0,2.979760647E0,-2.221237659E0,4.285621643E-2
5.329915479E0,9.793005943E0,-3.547373772E0,2.891387939E-1
5.389907943E0,2.084766865E0,-2.390379906E0,6.903591156E-1
5.449900608E0,-5.126366138E0,5.097221375E0,-2.762240648E0
5.509893907E0,-8.945034981E0,3.693820238E0,-7.338476181E0
5.569887037E0,-6.767731667E0,3.554251194E-1,-4.478815079E0
5.629880101E0,-1.342823315E1,-7.625591278E0,-7.174980640E0
5.689873231E0,-6.150330544E0,-1.773226547E1,3.910224915E0
5.749866228E0,-8.825130463E-1,-2.959515762E1,-1.147869015E1
5.809858559E0,9.304373741E0,-5.379278183E0,4.355654240E0
5.869851089E0,3.639882565E0,7.676008224E0,3.549848080E0
5.929843587E0,6.186331749E0,6.514133930E0,7.416591644E0
5.989836117E0,9.134191513E0,-1.485193825E1,2.417739868E0
6.049828647E0,3.391506195E0,-9.721379280E0,-1.269550323E0
6.109821177E0,-2.281914234E0,-1.918594360E0,1.218596935E0
6.169813441E0,-1.331312561E1,6.391597986E-1,-5.829251289E0
6.229805806E0,-4.528043747E0,1.737663984E0,-4.862691879E0
6.289798270E0,1.043206024E1,-4.129332304E-1,4.532169819E0
6.349790800E0,-1.839356995E1,3.820007324E0,-1.340001488E1
6.409783264E0,3.048927307E0,-1.233625984E1,-7.742073536E-1
6.469775860E0,7.301308155E0,-2.884054756E1,-8.791615963E-1
6.529769292E0,1.116941452E0,7.189163208E0,1.127583265E0
6.589763556E0,-6.466965675E-1,2.760382652E0,3.637359619E0
6.649757820E0,-2.666210651E0,-2.094683170E0,4.601000786E0
6.709752150E0,1.043152428E1,-8.907205582E0,4.625640392E0
6.769746414E0,4.090552330E0,-2.518856049E0,4.410290718E-2
6.829739845E0,-1.244945526E-1,6.142784119E0,-1.557966352E0
6.889732276E0,-7.447737694E0,6.405841351E0,-9.207085609E0
6.949724607E0,-1.341260147E1,-5.452859998E-1,-7.395865917E-1
7.009717171E0,-2.577393341E1,9.171108246E0,-2.025689125E1
7.069709701E0,2.126817322E1,-3.084454727E1,8.508995056E0
7.129702165E0,1.067262363E1,-1.932474518E1,2.453343868E0
7.189694662E0,2.662726879E0,-1.742780685E0,1.134536982E0
7.249687192E0,-5.674385548E0,6.850251198E0,-7.362985611E-2
7.309679490E0,2.110476494E-1,-9.849488735E-1,-6.832070351E-1
7.369671854E0,4.304469585E0,-1.100715351E1,2.850895405E0
7.429664352E0,4.412522793E0,-9.564138412E0,1.715841293E-1
7.489656882E0,-3.825243235E0,-6.577134132E-2,-2.383457184E0
7.549649412E0,-8.339053154E0,-1.604950190E0,-8.899684906E0
7.609642311E0,-9.296050072E0,-1.233134508E0,-9.042509079E0
7.669635610E0,2.833398342E0,-4.942768097E0,-2.671902418E0
7.729628773E0,-1.131849766E0,-6.097728252E0,2.323499203E0
7.789621837E0,2.131314278E-1,-1.496564674E1,2.946773052E0
7.849614967E0,7.009459019E0,-1.273857594E1,-1.853990555E-2
7.909607698E0,6.511797905E-1,8.254347801E0,2.717062235E0
7.969600062E0,-7.228903770E-1,2.241592407E0,-3.260843754E-1
8.029592526E0,-2.274413109E-1,-7.637484074E0,-1.408159733E0
8.089585089E0,8.350399971E0,-7.361992836E0,6.597329617E0
8.149577553E0,3.256259918E0,-3.378281116E0,1.734466076E0
8.209570117E0,-2.452016830E0,-8.758128881E-1,-3.157481670E0
8.269562547E0,-8.617950439E0,4.124932289E0,-8.625292778E0
8.329554978E0,-1.320480824E1,2.904041290E0,-9.730895996E0
8.389547376E0,-5.233116627E0,-3.299648046E0,-1.126857281E1
8.449540006E0,-2.820193529E0,-7.021814346E0,-7.279677868E0
8.509532470E0,9.784708023E0,-2.919043922E1,4.103680611E0
8.569525000E0,5.386518002E0,-5.787876129E0,3.249053955E0
8.629517598E0,2.105929852E-1,1.022357178E1,8.510701656E-1
8.689511397E0,-3.846030235E-1,7.599344254E-1,-1.252509356E0
8.749505762E0,7.185926437E0,-1.353137207E1,-1.903236628E0
8.809500295E0,5.845779419E0,-7.043644428E0,-2.485127449E-1
8.869494828E0,3.679693222E0,7.167022228E-1,3.994650841E0
8.929489260E0,-3.047254562E0,3.991925716E0,-1.078102112E0
8.989482424E0,-1.413871765E1,5.033133984E0,-7.586257458E0
9.049474822E0,-6.466790676E0,-1.425424814E-1,-2.020619965E1
9.109467352E0,1.347738743E1,-8.772897720E0,-1.516802883E1
9.169459882E0,-4.075581551E0,-2.136803150E0,-1.368468475E1
9.229452346E0,1.562958908E1,-1.992209244E1,6.271086216E0
9.289444810E0,-2.829295158E0,-1.404586315E0,6.124721527E0
9.349437374E0,3.032975197E-1,7.884780884E0,2.483906746E0
9.409429705E0,4.373842239E0,-8.437171936E0,-2.579380035E0
9.469422136E0,9.849339485E0,-8.979374886E0,-2.415647268E0
9.529414600E0,1.374603748E0,-5.729263783E0,-9.054660797E-3
9.589407196E0,-8.248405457E0,-4.814743042E0,4.470429420E-1
9.649399594E0,-9.515911102E0,3.792205811E0,-1.255524826E1
9.709392157E0,1.415763760E1,6.519474983E0,-8.321080208E0
9.769385589E0,-2.015678787E1,1.638187218E1,-6.829127312E0
9.829379919E0,2.660497665E0,-5.646057129E0,-1.215418577E0
9.889374150E0,1.678484726E1,-1.751339722E1,4.664662361E0
9.949368580E0,-7.176160812E-2,-1.885382080E1,-1.709922028E1
1.000936284E1,7.907562733E0,4.633933067E0,1.226169586E0
1.006935611E1,1.110231400E0,3.699934244E0,-2.639582634E0
1.012934844E1,1.112947464E-1,-9.787972450E0,-6.353909492E0
1.018934094E1,2.798829079E0,-8.672304153E0,-6.190159798E0
1.024933340E1,-1.663980484E0,-3.688093662E0,-6.374861717E0
1.030932590E1,-3.733827829E0,3.892582893E0,-2.163643837E-1
1.036931843E1,-1.125091267E1,7.069330692E0,-2.433189869E0
1.042931096E1,-8.430127144E0,8.085594177E0,-1.126615620E1
1.048930339E1,-1.081574726E1,1.019813728E1,-1.561622715E1
1.054929572E1,2.014073181E1,-3.527776718E1,-2.304470539E0
1.060928822E1,3.961143494E-1,-1.701357269E1,-5.644958973E0
1.066920066E1,8.183107376E-1,-6.772901535E0,-6.718945503E-1
1.072919319E1,-3.030376196E0,3.236262798E0,-1.375595093E0
1.078918562E1,-1.137813091E0,1.305756569E-1,-3.283076286E-1
1.084917859E1,4.261813164E0,-8.526668549E0,-2.485483646E0
1.090917175E1,2.734514236E0,-1.891378760E0,5.689525604E-2
1.096916488E1,-2.429260731E0,3.401191235E0,-5.842144012E0
1.102915794E1,-9.988914490E0,1.246236324E0,-1.107162476E1
1.108915114E1,-1.598988342E1,9.258831024E0,-1.334071159E1
1.114914377E1,-4.223913193E0,-2.866358757E1,2.834887695E1
1.120913617E1,1.194097137E1,-1.120226002E1,4.159399986E0
1.126912863E1,-2.986044884E-1,-2.175323868E1,-8.982563019E0
1.132912123E1,5.783277512E0,-8.136559486E0,-6.050109863E-3
1.138911369E1,-2.008971214E0,6.974975109E0,1.768535137E0
1.144910629E1,4.549469471E0,-7.719392776E-1,2.555064678E0
1.150909869E1,1.742949486E0,-8.535954475E0,-7.208280563E-1
1.156909102E1,3.122834206E0,-1.089274311E1,-1.526249886E0
1.162908342E1,-1.300638199E0,-5.633492470E0,-7.051857948E0
1.168907601E1,-5.567592621E0,5.952703953E-1,-2.799926281E0
1.174906848E1,-3.749448299E0,4.104723930E0,-7.162039757E0
1.180906104E1,-1.221238804E1,1.196554184E0,-1.907932854E1
1.186905381E1,-9.830788612E0,-7.060971260E-1,-1.253878307E1
1.192904767E1,1.517527390E1,-4.713430786E1,-3.271590710E0
1.198904193E1,8.647920609E0,-1.182690144E1,-1.063907623E0
1.204903630E1,-1.779793739E0,4.186401844E0,-1.662975788E0
1.210903060E1,-3.964183092E0,2.802443504E0,-1.044754982E-1
1.216902469E1,6.356754303E-1,-7.010417938E0,1.874223232E0
1.222901756E1,7.027507782E0,-7.687770844E0,4.729135990E0
1.228900982E1,4.150056839E-1,-5.401556015E0,5.924744129E0
1.234900225E1,-6.632845879E0,-4.464705944E0,-3.424116611E0
1.240899482E1,-1.021383953E1,-2.047497034E0,-1.409899521E1
1.246898734E1,-1.043778706E1,1.855502605E0,-4.039584160E0
1.252897981E1,-1.583754158E1,-7.255661964E0,-1.074352264E1
1.258897241E1,6.605390549E0,-2.105705643E1,8.277975082E0
1.264896474E1,4.135405540E0,-2.598045349E1,2.887117863E0
1.270895703E1,3.053771019E0,-2.054538727E0,8.892349243E0
1.276894950E1,-2.085362911E0,1.048033524E1,9.487503052E0
1.282894209E1,-5.510190010E0,-6.239366531E-2,3.871501446E0
1.288893456E1,6.505477905E0,-1.763158607E1,1.653042436E0
1.294892719E1,3.284334183E0,-9.102567673E0,-2.266790867E-1
1.300892035E1,5.284042358E-1,-7.258856773E0,-5.640836716E0
1.306891355E1,-1.383767700E1,5.582649112E-1,-6.768721581E0
1.312890662E1,5.757674217E0,-1.598619461E0,-9.381297112E0
1.318889981E1,-2.595444679E1,1.283106327E1,-1.359431076E1
1.324889284E1,1.746229172E0,-2.461674309E1,7.650809288E-1
1.330888534E1,8.266396523E0,-3.990584564E1,6.524665833E0
1.336887764E1,-3.740077496E0,-1.055021286E1,-4.213362694E0
1.342887017E1,-4.833266735E0,6.350973129E0,2.109468460E0
1.348886263E1,-1.432488918E0,5.348794460E0,4.679390430E0
1.354885523E1,-8.524098396E-1,-2.494316101E0,-6.044932604E-1
1.360884769E1,1.085852051E1,-1.002653885E1,-1.716725707E0
1.366884019E1,1.669697762E0,-7.058691025E0,-2.483896971E0
1.372883252E1,-6.045762062E0,-7.904306650E-1,-1.628217816E0
1.378882492E1,-6.671823502E0,-4.016036510E0,4.162228584E0
1.384881741E1,-1.910799026E1,8.118986130E0,-7.034914017E0
1.390880998E1,-1.637204742E1,-1.714905024E0,-6.356084347E0
