"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.999513300E-2,4.211999893E1,-1.253999996E1,-1.217999935E1
1.199881130E-1,4.277999878E1,-1.247999954E1,-1.271999931E1
1.799807460E-1,4.302000046E1,-1.289999962E1,-1.367999935E1
2.399733430E-1,4.193999863E1,-1.350000000E1,-1.469999981E1
2.999658810E-1,4.211999893E1,-1.355999947E1,-1.529999924E1
3.599583450E-1,4.241999817E1,-1.434000015E1,-1.565999985E1
4.199508420E-1,4.170000076E1,-1.361999989E1,-1.488000011E1
4.799433720E-1,4.277999878E1,-1.355999947E1,-1.397999954E1
5.399358690E-1,4.325999832E1,-1.367999935E1,-1.296000004E1
5.999283660E-1,4.325999832E1,-1.500000000E1,-1.127999973E1
6.599206640E-1,4.284000015E1,-1.626000023E1,-1.392000008E1
7.199130950E-1,3.954000092E1,-1.710000038E1,-1.715999985E1
7.799056250E-1,3.005999947E1,-1.769999886E1,-2.813999939E1
8.398981550E-1,1.061999989E1,-1.752000046E1,-3.905999756E1
8.998906190E-1,4.799999893E-1,-1.697999954E1,-3.977999878E1
9.598833840E-1,4.199999869E-1,-1.493999958E1,-4.152000046E1
1.019877281E0,-6.719999790E0,-1.217999935E1,-4.175999832E1
1.079871611E0,-1.247999954E1,-1.421999931E1,-4.025999832E1
1.139865875E0,-1.811999893E1,-1.877999878E1,-3.545999908E1
1.199860271E0,-1.818000031E1,-2.327999878E1,-3.270000076E1
1.259854335E0,-1.230000019E1,-2.957999992E1,-3.095999908E1
1.319847200E0,-7.019999981E0,-3.275999832E1,-2.784000015E1
1.379839464E0,-2.519999981E0,-3.581999969E1,-2.723999977E1
1.439831861E0,1.139999986E0,-3.486000061E1,-2.993999863E1
1.499824325E0,-3.240000010E0,-2.981999969E1,-3.636000061E1
1.559816921E0,-1.001999950E1,-1.710000038E1,-4.271999741E1
1.619809385E0,-1.943999863E1,-9.599999785E-1,-4.295999908E1
1.679801915E0,-2.645999908E1,1.355999947E1,-3.863999939E1
1.739794379E0,-2.957999992E1,2.226000023E1,-3.113999939E1
1.799786710E0,-3.059999847E1,2.285999870E1,-2.987999916E1
1.859779141E0,-3.173999977E1,1.902000046E1,-3.047999954E1
1.919771671E0,-3.234000015E1,1.193999958E1,-3.234000015E1
1.979764201E0,-3.311999893E1,4.199999869E-1,-3.407999802E1
2.039756765E0,-3.155999947E1,-1.421999931E1,-3.071999931E1
2.099749964E0,-2.465999985E1,-2.339999962E1,-3.113999939E1
2.159743127E0,-1.673999977E1,-2.735999870E1,-3.347999954E1
2.219736257E0,-8.039999962E0,-2.700000000E1,-3.671999741E1
2.279729387E0,-1.026000023E1,-2.327999878E1,-3.989999771E1
2.339722484E0,-2.435999870E1,-7.019999981E0,-3.857999802E1
2.399714949E0,-2.987999916E1,3.599999905E0,-3.570000076E1
2.459707313E0,-3.209999847E1,8.039999962E0,-3.354000092E1
2.519699777E0,-3.486000061E1,8.760000229E0,-2.879999924E1
2.579692274E0,-3.629999924E1,3.899999857E0,-2.729999924E1
2.639684804E0,-3.677999878E1,-3.179999828E0,-2.651999855E1
2.699677368E0,-3.552000046E1,-1.134000015E1,-2.603999901E1
2.759669865E0,-3.336000061E1,-1.355999947E1,-2.645999908E1
2.819662263E0,-2.621999931E1,-1.392000008E1,-3.215999985E1
2.879654660E0,-1.577999973E1,-1.703999901E1,-3.845999908E1
2.939647190E0,-2.147999954E1,-9.179999352E0,-3.809999847E1
2.999639620E0,-2.861999893E1,2.220000029E0,-3.305999756E1
3.059632150E0,-3.413999939E1,8.579999924E0,-2.855999947E1
3.110170965E0,-3.305999756E1,9.840000153E0,-2.903999901E1
3.170165030E0,-3.227999878E1,9.479999542E0,-2.939999962E1
3.230159496E0,-3.270000076E1,8.039999962E0,-2.939999962E1
3.290154029E0,-3.365999985E1,3.599999905E0,-2.789999962E1
3.350148595E0,-3.329999924E1,-1.979999900E0,-2.729999924E1
3.410142759E0,-3.354000092E1,-9.779999733E0,-2.729999924E1
3.470135691E0,-3.443999863E1,-1.242000008E1,-2.418000031E1
3.530128088E0,-2.700000000E1,-5.279999733E0,-3.161999893E1
3.590120652E0,-2.873999977E1,1.661999893E1,-2.915999985E1
3.650113183E0,-2.531999969E1,2.669999886E1,-2.634000015E1
3.710105713E0,-2.153999901E1,2.573999977E1,-2.885999870E1
3.770098177E0,-3.053999901E1,1.877999878E1,-2.634000015E1
3.830090640E0,-3.354000092E1,1.439999962E1,-2.639999962E1
3.890082938E0,-3.695999908E1,1.050000000E1,-2.369999886E1
3.950075402E0,-3.881999969E1,6.000000000E0,-1.955999947E1
4.010067866E0,-3.984000015E1,4.199999869E-1,-1.488000011E1
4.070060462E0,-3.893999863E1,-7.619999886E0,-1.697999954E1
4.130052960E0,-3.215999985E1,-1.613999939E1,-2.219999886E1
4.190045657E0,-2.831999969E1,-8.880000114E0,-3.113999939E1
4.250039356E0,-3.275999832E1,1.427999973E1,-2.718000031E1
4.310033786E0,-2.327999878E1,2.537999916E1,-2.789999962E1
4.370028050E0,-2.076000023E1,2.105999947E1,-3.053999901E1
4.430022413E0,-2.435999870E1,1.769999886E1,-3.035999870E1
4.490016511E0,-3.534000015E1,1.127999973E1,-2.519999886E1
4.550009442E0,-3.773999786E1,3.480000019E0,-2.057999992E1
4.610001673E0,-3.852000046E1,-8.399999738E-1,-2.069999886E1
4.669994204E0,-3.113999939E1,-4.859999657E0,-2.807999992E1
4.729986668E0,-1.805999947E1,-1.026000023E1,-3.702000046E1
4.789979198E0,-1.721999931E1,1.439999938E0,-3.797999954E1
4.849971728E0,-2.460000038E1,1.493999958E1,-3.257999802E1
4.909964258E0,-2.153999901E1,2.202000046E1,-3.150000000E1
4.969956589E0,-2.592000008E1,2.255999947E1,-2.669999886E1
5.029948920E0,-2.693999863E1,2.219999886E1,-2.376000023E1
5.089941417E0,-2.615999985E1,1.829999924E1,-2.568000031E1
5.149933947E0,-3.077999878E1,9.359999657E0,-2.526000023E1
5.209926477E0,-3.209999847E1,-1.860000014E0,-2.351999855E1
5.269918975E0,-2.939999962E1,-9.179999352E0,-2.423999977E1
5.329912141E0,-2.711999893E1,-1.284000015E1,-2.213999939E1
5.389905305E0,-2.351999855E1,-1.488000011E1,-2.543999863E1
5.449898435E0,-2.273999977E1,-1.619999886E1,-2.526000023E1
5.509891499E0,-2.393999863E1,-1.529999924E1,-2.597999954E1
5.569884662E0,-2.759999847E1,-7.319999695E0,-2.609999847E1
5.629877093E0,-2.753999901E1,1.134000015E1,-2.807999992E1
5.689869557E0,-2.057999992E1,2.609999847E1,-2.381999969E1
5.749862055E0,-1.763999939E1,2.873999977E1,-2.411999893E1
5.809854651E0,-2.429999924E1,2.387999916E1,-2.429999924E1
5.869847115E0,-3.053999901E1,1.085999966E1,-2.651999855E1
5.929839711E0,-3.000000000E1,5.999999642E-1,-2.892000008E1
5.989832042E0,-2.892000008E1,-6.119999886E0,-2.969999886E1
6.049824340E0,-2.621999931E1,-1.277999973E1,-2.868000031E1
6.109816738E0,-3.065999985E1,-1.475999928E1,-2.195999908E1
6.169809334E0,-3.005999947E1,-2.393999863E1,-1.427999973E1
6.229801798E0,-2.519999886E1,-2.519999886E1,-2.081999969E1
