"Time (s)","Pressure (hPa)"
9.999400000E-2,1.022319824E3
1.999840000E-1,1.022305420E3
2.999733330E-1,1.022310547E3
3.999623330E-1,1.022316895E3
4.999509330E-1,1.022319580E3
5.999394330E-1,1.022320801E3
6.999275750E-1,1.022318115E3
7.999157000E-1,1.022321533E3
8.999039220E-1,1.022326904E3
9.998919220E-1,1.022329102E3
1.099880012E0,1.022314941E3
1.199868678E0,1.022295410E3
1.299857293E0,1.022341309E3
1.399845864E0,1.022395508E3
1.499834264E0,1.022404053E3
1.599822701E0,1.022411621E3
1.699810995E0,1.022388428E3
1.799799272E0,1.022388428E3
1.899787535E0,1.022408936E3
1.999775735E0,1.022422607E3
2.099763925E0,1.022416992E3
2.199752106E0,1.022400635E3
2.299740366E0,1.022385010E3
2.399728616E0,1.022365479E3
2.499716776E0,1.022393555E3
2.599704929E0,1.022301270E3
2.699693040E0,1.022398926E3
2.799681147E0,1.022420166E3
2.899669250E0,1.022441406E3
2.999657283E0,1.022448242E3
3.099645149E0,1.022386475E3
3.199633015E0,1.022340576E3
3.300160632E0,1.022371094E3
3.400148865E0,1.022494385E3
3.500137065E0,1.022547852E3
3.600125265E0,1.022517822E3
3.700113498E0,1.022518799E3
3.800101731E0,1.022467773E3
3.900089931E0,1.022503906E3
4.000078131E0,1.022535645E3
4.100066331E0,1.022469482E3
4.200054231E0,1.022471436E3
4.300042131E0,1.022473389E3
4.400030297E0,1.022421631E3
4.500018530E0,1.022407471E3
4.600006730E0,1.022529297E3
4.699994930E0,1.022450195E3
4.799983163E0,1.022413086E3
4.899971396E0,1.022393066E3
4.999959596E0,1.022364014E3
5.099947796E0,1.022429932E3
5.199935962E0,1.022540771E3
5.299924062E0,1.022463379E3
5.399912162E0,1.022434570E3
5.499900395E0,1.022416016E3
5.599888628E0,1.022411865E3
5.699876828E0,1.022399414E3
5.799865028E0,1.022389404E3
5.899853294E0,1.022440918E3
5.999841527E0,1.022394043E3
6.099829727E0,1.022442627E3
6.199817927E0,1.022424072E3
6.299805893E0,1.022440186E3
6.399793759E0,1.022402344E3
6.499781825E0,1.022417236E3
6.599770025E0,1.022416260E3
6.699758191E0,1.022432617E3
6.799746324E0,1.022416992E3
6.899734490E0,1.022424316E3
6.999722690E0,1.022443359E3
7.099710856E0,1.022406250E3
7.199699022E0,1.022430908E3
7.299687188E0,1.022366943E3
7.399675121E0,1.022399902E3
7.499662987E0,1.022441650E3
7.599650987E0,1.022452881E3
7.699638987E0,1.022468506E3
7.799626953E0,1.022452393E3
7.899614919E0,1.022497803E3
7.999602919E0,1.022473633E3
8.099590919E0,1.022462158E3
8.199578885E0,1.022477295E3
8.299566851E0,1.022491211E3
8.399554851E0,1.022487549E3
8.499542717E0,1.022500732E3
8.599530583E0,1.022489746E3
8.699518816E0,1.022501221E3
8.799507049E0,1.022500244E3
8.899495215E0,1.022459961E3
8.999483415E0,1.022461182E3
9.099471648E0,1.022451172E3
9.199459881E0,1.022439453E3
9.299448081E0,1.022413086E3
9.399436281E0,1.022368164E3
9.499424314E0,1.022486572E3
9.599412214E0,1.022478760E3
9.699400147E0,1.022465332E3
9.799388413E0,1.022343506E3
9.899376646E0,1.022360107E3
9.999364846E0,1.022411621E3
1.009935305E1,1.022437988E3
1.019934128E1,1.022439941E3
1.029932951E1,1.022443359E3
1.039931768E1,1.022374756E3
1.049930588E1,1.022369873E3
1.059929398E1,1.022378418E3
1.069919690E1,1.022409668E3
1.079918506E1,1.022390625E3
1.089917330E1,1.022451416E3
1.099916150E1,1.022483887E3
1.109914970E1,1.022480469E3
1.119913793E1,1.022435791E3
1.129912616E1,1.022456543E3
1.139911436E1,1.022484131E3
1.149910256E1,1.022417236E3
1.159909079E1,1.022462402E3
1.169907866E1,1.022460205E3
1.179906653E1,1.022426025E3
1.189905463E1,1.022467285E3
1.199904283E1,1.022440186E3
1.209903099E1,1.022479248E3
1.219901916E1,1.022445801E3
1.229900732E1,1.022455566E3
1.239899552E1,1.022435059E3
1.249898369E1,1.022441650E3
1.259897186E1,1.022415283E3
1.269895999E1,1.022429932E3
1.279894786E1,1.022418213E3
1.289893572E1,1.022523438E3
1.299892372E1,1.022498779E3
1.309891172E1,1.022450439E3
1.319889969E1,1.022446289E3
1.329888765E1,1.022420898E3
1.339887569E1,1.022463379E3
1.349886369E1,1.022516846E3
1.359885165E1,1.022531738E3
1.369883962E1,1.022474365E3
1.379882755E1,1.022421387E3
1.389881542E1,1.022355469E3
1.399880342E1,1.022382080E3
1.409879162E1,1.022416260E3
1.419877978E1,1.022492676E3
1.429876795E1,1.022436523E3
1.439875612E1,1.022400879E3
1.449874432E1,1.022361084E3
1.459873248E1,1.022359131E3
1.469872065E1,1.022392578E3
1.479870881E1,1.022400146E3
1.489869678E1,1.022388428E3
1.499868464E1,1.022423584E3
1.509867258E1,1.022416016E3
1.519866058E1,1.022445312E3
1.529864858E1,1.022462158E3
1.539863654E1,1.022410156E3
1.549862451E1,1.022508057E3
1.559861251E1,1.022458740E3
1.569860051E1,1.022437744E3
1.579858848E1,1.022433350E3
1.589857644E1,1.022437988E3
1.599856431E1,1.022379395E3
1.609855217E1,1.022332031E3
1.619854031E1,1.022338135E3
1.629852854E1,1.022468262E3
1.639851674E1,1.022417969E3
1.649850494E1,1.022353760E3
1.659849317E1,1.022350342E3
1.669848141E1,1.022365967E3
1.679846961E1,1.022352051E3
1.689845781E1,1.022322998E3
1.699844594E1,1.022407715E3
1.709843384E1,1.022331543E3
1.719842181E1,1.022323242E3
1.729841004E1,1.022310059E3
1.739839827E1,1.022378418E3
1.749838647E1,1.022390381E3
1.759837467E1,1.022391357E3
1.769836294E1,1.022289795E3
1.779835117E1,1.022314453E3
1.789832747E1,1.022327393E3
1.799831567E1,1.022365234E3
1.809830383E1,1.022424316E3
1.819829200E1,1.022411377E3
1.829828010E1,1.022448730E3
1.839826833E1,1.022469482E3
1.849825657E1,1.022404785E3
1.859824476E1,1.022388916E3
1.869823303E1,1.022430176E3
1.879822126E1,1.022391602E3
1.889820950E1,1.022410645E3
1.899819770E1,1.022390625E3
1.909818590E1,1.022450684E3
1.919817393E1,1.022395020E3
1.929816180E1,1.022329102E3
1.939814986E1,1.022332520E3
1.949813810E1,1.022359863E3
1.959812630E1,1.022417236E3
1.969811456E1,1.022453613E3
1.979810279E1,1.022435059E3
1.989809103E1,1.022433838E3
1.999807919E1,1.022324463E3
2.009806739E1,1.022333252E3
2.019805563E1,1.022381348E3
2.029804353E1,1.022366943E3
2.039803143E1,1.022404297E3
2.049801956E1,1.022419434E3
2.059800779E1,1.022408203E3
2.069799603E1,1.022408203E3
2.079798422E1,1.022319092E3
2.089797243E1,1.022384766E3
2.099796066E1,1.022384766E3
2.109794886E1,1.022417480E3
2.119793706E1,1.022386475E3
2.129792526E1,1.022386475E3
2.139791336E1,1.022329590E3
2.149790149E1,1.022348145E3
2.159788972E1,1.022348145E3
2.169787796E1,1.022363281E3
2.179786616E1,1.022483398E3
2.189785436E1,1.022483398E3
2.199784259E1,1.022408203E3
2.209783082E1,1.022364746E3
2.219781902E1,1.022364746E3
2.229780722E1,1.022397705E3
2.239779529E1,1.022340820E3
2.249778319E1,1.022340820E3
2.259777109E1,1.022348389E3
