"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.199154900E-2,3.208328247E0,5.801327705E0,7.096630573E0
1.039847180E-1,3.399870157E0,5.612180233E0,6.653689861E0
1.559780770E-1,3.430995703E0,5.449369431E0,6.782980442E0
2.079719980E-1,2.332023621E0,5.463735104E0,5.976109982E0
2.599657860E-1,2.717501879E0,4.723904133E0,3.936187744E0
3.119591110E-1,5.097411156E0,4.094210148E0,3.964919090E0
3.639524700E-1,6.191594601E0,4.738269806E0,3.881119490E0
4.159458630E-1,8.485309601E0,5.102199554E0,4.240260601E0
4.679390890E-1,7.635342598E0,6.246663094E0,4.089421272E0
5.199324490E-1,7.917866707E0,5.123748302E0,4.477293968E0
5.719258080E-1,8.363202095E0,3.842811108E0,4.640104771E0
6.239195960E-1,8.147717476E0,1.845985889E0,4.113364220E0
6.759135850E-1,7.391126156E0,5.339232683E-1,4.671230316E0
7.279067780E-1,9.790189743E0,-4.309694767E-1,6.691998005E0
7.799001040E-1,7.199584484E0,-9.194015265E-1,6.502850533E0
8.318937950E-1,1.020679379E1,-2.660039425E0,7.984906673E0
8.838899500E-1,7.793364525E0,-2.253012657E0,5.913858891E0
9.358841770E-1,7.154093266E0,-2.707924843E0,6.397502422E0
9.878775700E-1,5.061496735E0,-2.334417820E0,4.778972626E0
1.039870762E0,4.771789551E0,-3.519583941E0,6.426233768E0
1.091864155E0,7.075081825E0,-5.473312378E0,7.285778046E0
1.143857581E0,7.201978683E0,-6.941002846E0,6.126949310E0
1.195851007E0,4.860377789E0,-7.355212212E0,6.012023926E0
1.247844696E0,6.337645531E0,-7.470137596E0,6.308914185E0
1.299838583E0,3.330436230E0,-6.069486618E0,5.150084972E0
1.351832009E0,3.244242430E0,-6.562707424E0,5.602602959E0
1.403825201E0,1.596981287E0,-6.826077461E0,4.146883965E0
1.455818528E0,2.533142805E0,-7.350423813E0,4.448562622E0
1.507811854E0,1.180377483E0,-7.410280704E0,3.292127848E0
1.559805113E0,1.525153041E0,-7.637736797E0,3.342407703E0
1.611798639E0,1.606558442E0,-3.835628271E0,4.829252243E0
1.663792460E0,1.654443860E0,-6.110189438E0,3.021574736E0
1.715786115E0,1.242628574E0,-8.806142807E0,2.631308079E0
1.767779475E0,3.033546209E0,-8.535589218E0,4.261809349E0
1.819772768E0,2.815667152E0,-7.355212212E0,5.166844845E0
1.871766325E0,2.705530643E0,-7.170853138E0,5.162056446E0
1.923764146E0,2.810878515E0,-8.684034348E0,4.065478802E0
1.975761933E0,5.092622280E0,-7.829278469E0,5.791750908E0
2.027756294E0,6.136526108E0,-8.949799538E0,4.776578426E0
2.079749654E0,8.650514603E0,-1.064255142E1,6.215537548E0
2.131743013E0,1.019482231E1,-1.173673534E1,4.106181145E0
2.183736206E0,9.756669998E0,-1.336723614E1,9.560338974E0
2.235729765E0,6.845231533E0,-1.593150425E1,1.066888809E1
2.287723125E0,1.409749031E1,-1.179659176E1,1.027383327E1
2.339716383E0,1.404721069E1,-9.799766541E0,9.962577820E0
2.391710534E0,5.676825523E0,-7.498868465E0,8.518829346E0
2.443703960E0,3.586623669E0,-6.079063892E0,7.927443981E0
2.495697253E0,5.300924301E0,-3.826051235E0,6.241874218E0
2.547690546E0,5.468523502E0,-2.470891714E0,5.734288216E0
2.599683972E0,3.955342054E0,-1.826831698E0,6.019207001E0
2.651677198E0,4.216318130E0,-2.430188894E0,5.346415520E0
2.703670591E0,4.103786945E0,-2.545114040E0,4.257020473E0
2.755664051E0,2.583422422E0,-2.882706881E0,5.092622280E0
2.807658303E0,1.757397652E0,-2.569056988E0,4.142095566E0
2.859651528E0,2.511594296E0,-2.600182533E0,4.137306690E0
2.911645021E0,3.086220264E0,-2.358360767E0,4.620950222E0
2.963638579E0,7.541965842E-1,-1.089395046E0,6.768614769E0
3.015634235E0,-1.752609134E0,1.455719113E0,7.910684109E0
3.067628929E0,-3.026363373E0,-2.633702159E-1,1.055396366E1
3.119611468E0,3.921822071E0,-9.526819229E0,9.153312683E0
3.171604761E0,1.066409969E1,-1.063776302E1,8.561926842E0
3.223598120E0,1.326188850E1,-8.418270111E0,1.232812119E1
3.275591379E0,1.187320900E1,-7.790970325E0,1.053480911E1
3.327584738E0,7.960963726E0,-5.047131062E0,8.154899597E0
3.379578064E0,2.559479713E0,-2.274561167E0,5.746259689E0
3.431572083E0,5.099805593E-1,2.801301479E-1,2.782147408E0
3.483565773E0,2.858764172E0,2.370332032E-1,-2.250618219E0
3.535559032E0,3.802108288E0,1.822043180E0,-2.406246185E0
3.587552425E0,1.314456820E0,-5.382329941E0,1.019961119E0
3.639545851E0,3.701548815E0,-3.828445435E0,2.437371731E0
3.691542671E0,1.275909042E1,-1.642472458E1,1.299372959E1
3.743540924E0,4.043930054E0,-1.228262997E1,6.373559475E0
3.795535785E0,1.067607117E1,-1.143266201E1,9.622590065E0
3.847529111E0,6.526793003E0,-3.787742853E0,7.721536160E0
3.899522437E0,6.342433929E0,-3.624932051E0,4.630527496E0
3.951515796E0,7.017619610E0,-6.672843933E0,4.886714935E0
