"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.199615900E-2,3.049744852E-2,4.469700903E-2,9.818009287E-2
1.039896440E-1,4.271475226E-2,4.164268449E-2,1.696513146E-1
1.559830040E-1,1.502270401E-1,2.798801363E-1,3.620738685E-1
2.079763300E-1,3.493691087E-1,7.117618322E-1,7.554710507E-1
2.599694570E-1,4.080121815E-1,8.082785606E-1,1.152533412E0
3.119630490E-1,7.128339410E-1,1.421587229E0,1.669936419E0
3.639571000E-1,1.103176713E0,2.023289442E0,2.600894928E0
4.159505910E-1,1.583927751E0,1.238327742E0,3.182438612E0
4.679439500E-1,2.035968065E0,1.003755450E0,3.297281504E0
5.199372420E-1,2.420813322E0,8.638672829E-1,3.595994473E0
5.719306020E-1,2.282757521E0,1.664711714E0,3.417621851E0
6.239239950E-1,1.977324963E0,1.015361905E0,3.322326899E0
6.759172210E-1,2.057959318E0,1.448789090E-1,2.877616882E0
7.279106130E-1,1.574153900E0,1.807654023E0,2.826304197E0
7.799047990E-1,1.263834357E0,1.573081851E0,2.877006054E0
8.318983570E-1,1.160598159E0,9.909272194E-1,3.216647148E0
8.838916170E-1,1.028040409E0,1.500388861E0,3.492147446E0
9.358849430E-1,7.244403958E-1,8.149980903E-1,3.713891506E0
9.878794670E-1,9.070890546E-1,5.254479647E-1,3.142121553E0
1.039875523E0,5.686697364E-1,1.232218981E0,3.192823410E0
1.091869016E0,1.477835625E-1,1.059955120E0,2.949088097E0
1.143862309E0,-4.221536815E-1,5.559912324E-1,3.030333281E0
1.195855567E0,-6.475629807E-1,1.742004454E-1,3.336987495E0
1.247849127E0,-5.345529318E-1,-7.023911476E-1,3.048659086E0
1.299842520E0,-5.296659470E-1,-9.565110803E-1,2.878838539E0
1.351835746E0,-6.200740337E-1,-1.448868513E0,2.718181133E0
1.403829865E0,-3.482390046E-1,-1.446712166E-1,2.050505400E0
1.455823322E0,-3.855017722E-1,-2.124772668E-1,1.388327479E0
1.507816814E0,-1.961335540E-1,2.627758980E-1,9.845455885E-1
1.559810107E0,-1.411556900E-1,-6.199243665E-1,5.202879906E-1
1.611803300E0,-2.211790383E-1,2.817127407E-1,3.242002130E-1
1.663796626E0,-2.920393944E-1,-3.561344463E-3,8.718451858E-2
1.715790052E0,-6.066350341E-1,-2.460748404E-1,-4.210553467E-1
1.767783444E0,-2.627178729E-1,1.289029598E0,-1.149817586E0
1.819777562E0,-4.036292434E-2,7.868982553E-1,-1.099115849E0
1.871770954E0,8.975137025E-2,-6.736805439E-1,-3.550819159E-1
1.923764247E0,2.229200006E-1,-2.882245481E-1,-6.592927575E-1
1.975757640E0,7.659791708E-1,6.823364645E-3,-1.119274259E0
2.027752161E0,9.718407989E-1,1.986350566E-1,-8.706521392E-1
2.079751082E0,1.143493891E0,-5.545617938E-1,-6.305821538E-1
2.131747606E0,9.229715466E-1,-8.856507540E-1,-3.544710279E-1
2.183741000E0,6.438061595E-1,-1.787287831E0,-7.800749154E-4
2.235734526E0,1.410640627E-1,-1.316310763E0,-4.509877563E-1
2.287727685E0,-1.060507894E0,6.607729197E-2,-8.700413108E-1
2.339720978E0,-9.208793752E-3,-2.009642839E0,-1.300701261E0
2.391714671E0,8.185136318E-1,-3.077722490E-1,-1.030698895E0
2.443707697E0,1.037203312E0,1.534310281E-1,-2.384987116E0
2.495701485E0,9.981079698E-1,1.626227140E0,-2.685532808E0
2.547695440E0,7.158882618E-1,1.807043195E0,-1.677605271E0
2.599688732E0,5.424025059E-1,1.287807703E0,-5.194046497E-1
2.651682059E0,-4.952589795E-2,1.381880999E0,5.477769375E-1
2.703675352E0,-3.512933254E-1,2.368428469E0,1.359005928E0
2.755668744E0,-1.332144290E-1,1.369052887E0,1.826928735E0
2.807662170E0,1.447292417E-1,1.489393353E0,2.183063269E0
2.859655330E0,2.895042896E-1,1.212060571E0,2.036455631E0
2.911649287E0,3.731928468E-1,1.191290975E0,2.240484715E0
2.963643074E0,3.469256461E-1,5.535477400E-1,2.566075802E0
3.015636434E0,6.450278759E-1,-2.961657941E-1,3.535518885E0
3.067629860E0,1.278495073E0,-4.708732665E-1,4.005885124E0
3.119623852E0,1.046366334E0,4.942938089E-1,3.794525623E0
3.171620040E0,3.414278626E-1,6.913162023E-2,3.410291433E0
3.224211795E0,4.587139785E-1,-3.480893672E-1,3.350426674E0
3.276205054E0,1.047588110E0,-5.276837349E-1,3.396241426E0
3.328198580E0,1.002384067E0,2.102414817E-1,3.232529879E0
3.380191772E0,9.522930980E-1,9.756556153E-1,3.490314722E0
3.432185098E0,9.968863130E-1,2.670519650E-1,3.297892332E0
3.484178557E0,1.297432065E0,6.665577888E-1,3.011396408E0
3.536172213E0,8.912066221E-1,3.531839550E-1,2.729787588E0
3.588166100E0,1.459509730E-1,-5.539509058E-1,3.432282686E0
3.640159559E0,-1.522322059E0,-2.424096465E-1,3.024224520E0
3.692152752E0,-4.419655800E0,-2.058511972E0,4.068804264E0
3.744146144E0,-7.190540314E0,-5.148555040E-1,5.263656616E0
3.796139537E0,-3.990828276E0,-3.608277082E0,1.965595126E0
3.848132863E0,-9.340587854E-1,-1.322419405E0,-5.041330457E-1
3.900126156E0,-4.233754277E-1,-1.708486199E0,-7.735245824E-1
3.952120274E0,-2.285094112E-1,-3.129358768E0,3.810107112E-1
4.004113798E0,9.852798581E-1,-2.115933418E0,2.637245655E-1
4.056107223E0,1.577819109E0,-3.334285915E-1,-6.030932069E-1
4.108100550E0,2.527714491E0,1.937481165E-1,-1.374005079E0
4.160094506E0,2.927831411E0,5.694302320E-1,-1.790004373E0
4.212092993E0,2.630339861E0,2.432282120E-1,-1.369729161E0
4.264090353E0,2.772671700E0,-5.899919868E-1,-7.716920376E-1
4.316084880E0,2.530768871E0,-1.263452619E-1,-7.102958113E-2
4.368078172E0,1.444039702E0,5.663759112E-1,1.572808862E0
4.420071565E0,1.270141453E-1,-6.284765005E-1,2.250869036E0
4.472064858E0,-1.818591714E0,9.267864227E-1,3.630202770E0
4.524058184E0,-4.287097931E0,4.157042027E0,4.072469711E0
4.576051577E0,-2.298120737E0,1.636000991E0,5.001595020E0
4.628045728E0,-1.034851551E0,-2.778722286E0,-1.559097290E0
4.680039319E0,-1.058675289E0,1.552923322E0,-1.440589428E0
4.732032712E0,-6.907358766E-2,-3.847412765E-1,-1.851701736E0
4.784025871E0,-5.052313805E-1,-2.347451210E0,-1.132102489E0
4.836019230E0,2.088700980E-1,7.911742926E-1,-8.749282360E-1
4.888012556E0,1.067135692E0,7.368072867E-1,-1.379502892E0
4.940005848E0,1.436098337E0,1.224888682E0,-1.136989355E0
4.991999373E0,2.177077770E0,1.002533674E0,-7.533660531E-1
5.043993490E0,2.285201073E0,-8.673248291E-1,-6.415777206E-1
5.095986883E0,1.174037218E0,-1.888080597E0,-6.299712658E-1
5.147980209E0,-3.610671759E-1,-2.616335824E-2,8.202228546E-1
5.199973535E0,-1.833863258E0,1.097828746E0,2.680307388E0
5.251967458E0,-4.203409672E0,1.131139174E-1,4.376069546E0
5.303965845E0,-2.183889151E0,-2.396320581E0,1.608239055E0
5.355962967E0,-1.485059261E0,-7.628667951E-1,2.034622908E0
5.407956962E0,4.562705457E-1,-1.360903978E0,-6.672340631E-1
5.459950221E0,9.785603285E-1,3.158173291E-3,-1.371561646E0
5.511943547E0,1.138607025E0,2.151284218E-1,-2.136975765E0
5.563937006E0,1.495352268E0,5.083436966E-1,-2.571300983E0
5.615930199E0,1.098900795E0,6.363382936E-2,-2.794266939E0
5.667923658E0,6.755711436E-1,-3.346503079E-1,-2.786325693E0
5.719917248E0,1.380097419E-1,8.021699190E-1,-2.200505972E0
5.771911234E0,-6.445086598E-1,1.630503178E0,-1.888353586E0
5.823904560E0,-1.111820579E0,1.398374438E0,-1.143708944E0
5.875897886E0,-1.300577879E0,2.091706514E0,-1.321161091E-1
5.927891312E0,-1.907167077E0,2.400193453E0,8.348836303E-1
5.979884538E0,-4.870474815E0,3.216309309E0,3.433504343E0
6.031877931E0,-4.053747654E0,-3.225875378E0,3.305222750E0
6.083871257E0,-1.494833112E0,1.131426215E0,2.035233736E0
6.135865044E0,-9.639911652E-1,-2.881347418E0,2.250258207E0
6.187858999E0,5.451972596E-3,-6.195291519E0,-1.541993022E0
6.239852358E0,2.571284473E-1,-1.007212996E0,-7.417596579E-1
6.291845551E0,3.224910200E-1,-1.321197629E0,-1.648894548E0
6.343839310E0,1.053696752E0,-1.187418222E0,-2.184012413E0
6.395835498E0,1.408609509E0,3.843380809E-1,-2.356276274E0
6.447829559E0,1.934564471E0,6.241210178E-2,-2.685532808E0
6.499822985E0,1.654788136E0,-4.204585776E-2,-1.837041020E0
6.551816244E0,1.438541889E0,9.817642570E-1,-1.270768881E0
6.603809637E0,8.759349585E-1,-6.077070832E-1,-3.862360418E-1
6.655803063E0,-1.527621299E-1,2.373926163E0,1.447581410E0
6.707796322E0,-2.826519251E0,7.661288381E-1,2.776824236E0
6.759790044E0,-4.092232227E0,-1.320586801E0,4.282607079E0
6.811784031E0,-3.119734526E0,-4.187988281E0,3.710226297E0
6.863777323E0,7.509060949E-2,-7.274366617E-1,2.099374771E0
6.915770616E0,4.538270533E-1,2.542237937E-1,-7.044968009E-1
6.967763975E0,8.728806376E-1,1.894720793E-1,-9.690014720E-1
7.019757301E0,1.691440105E0,-1.390225410E0,-1.636677265E0
7.071750660E0,2.234499216E0,-1.331582427E0,-2.163243055E0
7.123744019E0,2.217395067E0,1.100595966E-1,-2.360552549E0
7.175737939E0,1.759246111E0,5.877562165E-1,-1.648283720E0
7.227731627E0,1.669448853E0,1.393487453E0,-6.751753092E-1
7.279725087E0,1.152045965E0,2.474719048E0,-3.263712525E-1
7.331718380E0,8.608618379E-2,-5.399010181E-1,1.503170133E0
7.383711804E0,-2.390361547E0,-1.517285347E0,2.368155241E0
7.435709658E0,-3.004891872E0,-9.943847656E-1,3.809186459E0
7.487707479E0,-1.464900613E0,-1.779957533E0,3.054767847E0
7.539701739E0,-4.013842642E-1,-3.563683987E0,1.946658373E0
7.591695098E0,3.444821835E-1,6.237972379E-1,-9.057725966E-2
7.643688323E0,1.766927727E-2,-1.346243143E0,-3.727969825E-1
7.695681681E0,1.844354868E-1,-4.146736562E-1,-4.900831282E-1
7.747675140E0,2.821739316E-1,6.415123343E-1,-1.104002714E0
7.799668366E0,4.813160002E-1,9.408363104E-1,-1.698374629E0
7.851661791E0,4.978093505E-1,2.035506725E0,-2.189510345E0
7.903656011E0,2.339155674E-1,2.179671049E0,-2.452182293E0
7.955649334E0,3.957948685E-1,3.455768585E0,-1.859643102E0
8.007642760E0,3.261562288E-1,1.428917646E0,-9.451777339E-1
8.059636019E0,-2.124024153E0,1.860188484E0,3.430449963E0
8.111629412E0,-3.789853811E0,-3.534973383E0,4.953947544E0
8.163622705E0,-9.041264057E-1,-5.278993607E0,3.848281622E0
8.215616098E0,-1.539838612E-1,-5.253948212E0,2.180008888E0
8.267609490E0,1.222906351E0,-1.274160981E0,-8.981410861E-1
8.319603907E0,2.163028002E0,-1.002326012E0,-1.497399926E0
8.371596966E0,2.764730215E0,-1.494072556E0,-1.909734011E0
8.423590492E0,3.017628431E0,-1.318430454E-1,-1.924394727E0
8.475583850E0,3.298015594E0,-7.207171917E-1,-1.378281236E0
8.527579738E0,3.137969017E0,-1.733531713E0,-9.488429427E-1
8.579574433E0,2.034746408E0,-1.225291848E0,1.213929728E-1
8.631567692E0,1.465618461E-1,2.169610113E-1,1.097555637E0
8.683561084E0,-1.070892572E0,-3.187678158E-1,1.759122729E0
8.735554477E0,-3.004891872E0,1.295749068E0,4.600256920E0
8.787547768E0,-2.614549160E0,-2.579580069E0,3.718778372E0
8.839541093E0,-1.374492645E0,-1.381673336E0,3.061487198E0
8.891534849E0,-4.932736978E-3,-2.217947721E0,-5.560565591E-1
8.943528836E0,7.164991498E-1,-3.022744358E-1,-7.225131243E-2
8.995522128E0,1.517343521E0,-2.124485493E0,-1.394163728E0
9.047515421E0,2.296807528E0,-1.325473785E0,-2.424693346E0
9.099508780E0,2.170969248E0,9.909272194E-1,-2.647659063E0
9.151502072E0,1.458089471E0,1.218780041E0,-3.359317064E0
9.203495532E0,1.076909661E0,2.876057386E0,-2.759447575E0
9.255488891E0,6.358649135E-1,2.185168982E0,-2.179125547E0
9.307482249E0,8.303186297E-2,1.879736185E0,-6.855599880E-1
9.359476501E0,-1.273088932E0,4.570310414E-1,2.386481285E0
9.411469893E0,-3.375076532E0,-1.648297757E-1,3.475654125E0
9.463463119E0,-3.903474569E0,-2.552378178E-1,4.473196983E0
9.515456544E0,-4.184472561E0,-2.330957890E0,3.746267319E0
9.567453397E0,-1.695807695E0,5.080566555E-2,3.922807455E0
9.619451757E0,4.434423447E-1,-7.885231972E-1,-6.818948388E-1
9.671447549E0,1.687163949E0,-5.979332328E-1,-1.697152853E0
9.723440775E0,2.630339861E0,-1.175811768E0,-2.870625019E0
9.775434101E0,2.782445431E0,2.627758980E-1,-3.375810623E0
9.827427494E0,2.840477467E0,3.061473370E-1,-3.244474649E0
9.879420853E0,2.653552771E0,-9.091507643E-2,-2.534038305E0
9.931414313E0,2.119045734E0,-1.542330980E0,-1.480906606E0
9.983408001E0,1.230847597E0,-6.028201580E-1,-3.544710279E-1
1.003540182E1,1.276250184E-1,-8.355597854E-1,-2.573434711E-1
1.008739518E1,-3.552838087E0,1.612788081E0,4.508626938E0
1.013938871E1,-5.850302219E0,-2.231997728E0,5.622234344E0
1.019138227E1,-1.821035147E0,-3.192277908E0,3.889820576E0
1.024337513E1,8.303186297E-2,-9.375742674E-1,1.225226402E0
1.029536849E1,1.085461617E0,-5.484531522E-1,-1.416154861E0
1.034736184E1,1.594923377E0,-1.245126650E-1,-1.556042910E0
1.039935580E1,1.809337020E0,-5.875484943E-1,-2.122315168E0
1.045134952E1,2.379274368E0,3.797749430E-2,-2.089939117E0
1.050334291E1,2.760454416E0,-6.015984416E-1,-1.695931196E0
1.055533617E1,2.786110640E0,-4.940861464E-1,-5.676630139E-1
1.060732973E1,2.380496025E0,-1.035923600E0,3.150372505E-1
1.065932625E1,1.696326971E0,7.340767980E-2,5.587724447E-1
1.070935266E1,-1.112232879E-1,-1.461085796E0,2.854145691E-2
1.076134758E1,-1.901058435E0,3.159211874E-1,2.238651752E0
1.081334098E1,-3.039100409E0,1.507719278E0,4.131112099E0
1.086533434E1,-3.296885490E0,6.696121693E-1,3.578279257E0
1.091732759E1,-2.209545374E0,-1.294319630E0,3.156782389E0
1.096932099E1,-3.115870953E-1,-6.266438961E-1,1.045632124E0
1.102131438E1,1.048198938E0,-3.309850991E-1,-1.362398624E0
