"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.999626600E-2,9.677607536E0,8.049687386E0,8.694854736E0
1.199910590E-1,9.670546532E0,7.181698799E0,7.168007851E0
1.799856800E-1,9.381293297E0,6.187523842E0,5.732623100E0
2.399804820E-1,7.295031548E0,3.459717035E0,2.669112682E0
2.999747420E-1,3.170752287E0,8.098435402E-1,1.039604187E0
3.599683410E-1,4.454232156E-1,-2.098875046E-1,1.149787903E0
4.199616740E-1,1.774566650E0,3.584532738E-1,-1.000574589E0
4.799545050E-1,1.810999990E0,-7.859277725E-2,-1.173246384E0
5.399468690E-1,1.564740539E0,-3.192920685E-1,-6.768383980E-1
5.999393660E-1,3.407047987E-1,-8.477759361E-1,-2.322183132E0
6.599318960E-1,9.016110897E-1,-1.863949299E0,-3.703576803E0
7.199243600E-1,2.895653963E0,-2.041442394E0,-2.369577408E0
7.799169560E-1,2.967927933E0,-1.468341351E0,-1.655319691E0
8.399093860E-1,2.124755383E0,2.898998260E-1,-1.218836308E0
8.999017500E-1,1.395818710E0,-4.090328217E-1,-2.493205070E-1
9.598940140E-1,4.836540222E-1,-1.450881481E0,8.507900238E-1
1.019886577E0,-9.056749344E-1,-2.320928097E0,-1.255083084E-1
1.079879041E0,1.359772205E0,-2.615941525E0,5.523195267E-1
1.139871671E0,-5.341339111E-2,-2.436214685E0,7.720370293E-1
1.199864169E0,2.380375385E0,-2.538054228E0,2.087318897E0
1.259857402E0,4.444932938E-1,-9.033353329E-1,-4.222726822E-1
1.319850500E0,-8.750534058E-2,-2.123532295E-1,-2.644052505E-1
1.379843696E0,4.894652367E-1,5.873317719E-1,-1.564680576E0
1.439836726E0,-6.157522202E-1,1.464467764E0,-1.998744488E0
1.499829856E0,2.691473961E0,-1.717145920E0,6.404819489E-1
1.559822320E0,1.421837568E0,-9.441571236E-1,-2.053217888E-1
1.619814717E0,2.716938257E0,-4.273638725E-1,5.551919937E-1
1.679807181E0,2.524645329E-1,1.562938690E0,-1.046409607E-1
1.739799777E0,1.020500660E-1,7.839221954E-1,-2.644014359E-2
1.799792275E0,-3.581686020E-1,1.494749069E0,-1.147601128E0
1.859784772E0,3.382608891E-1,-9.530639648E-2,-4.285564423E-1
1.919777236E0,-7.531310320E-1,5.321569443E-1,-1.827741861E0
1.979769600E0,-3.613711596E-1,4.398281097E0,-2.025170326E-1
2.039761998E0,-7.821639776E-1,2.078509331E0,-1.792818308E0
2.099754528E0,-8.523733616E-1,-1.702864647E0,-2.060257673E0
2.159747058E0,-4.036438465E-1,3.632740974E-1,-5.238895416E-1
2.219739588E0,-7.245016098E-1,7.955698967E-1,6.149625778E-2
2.279732585E0,-2.280833721E-1,-5.638203621E-1,9.468126297E-2
2.339726650E0,6.023511887E-1,-1.751625061E0,-5.382218361E-1
2.399720980E0,1.250741482E0,-2.149459362E0,-1.097447395E0
2.459715310E0,3.631163120E0,-4.383073807E0,8.917913437E-1
2.519709640E0,5.971673489E0,-6.240359306E0,-1.175747156E0
2.579703404E0,4.922227859E0,-2.098657608E0,3.221579552E0
2.639696135E0,6.258998394E0,-7.319226265E0,5.951759815E0
2.699688399E0,7.432090759E0,-6.314337254E0,6.162765026E0
2.759680896E0,-7.221078873E-1,-4.423930168E0,2.822267056E0
2.819673360E0,-3.705312252E0,-3.917822123E0,1.736563206E0
2.879665956E0,-1.193853855E0,-1.527106762E0,-7.738289833E-1
2.939658353E0,-9.791750908E-1,4.567329884E-1,-1.128513336E0
2.999650949E0,3.988714218E-1,1.349855900E0,-2.567984104E0
3.059643280E0,-5.574092865E-1,1.419615746E0,-3.485143661E0
3.119635611E0,-2.014048100E-1,1.330412865E0,-3.574239731E0
3.179628076E0,-2.530026436E-1,1.732735872E0,-4.366577625E0
3.239620672E0,1.315468669E0,1.785407305E0,-4.542297840E0
3.299613136E0,1.479277492E0,1.506176949E0,-3.774961948E0
3.359605767E0,-1.124512434E0,3.048648357E0,-1.895198822E0
3.419599100E0,-2.103291750E0,4.116412163E0,6.189746857E-1
3.470188795E0,-1.143590689E0,1.760830641E0,1.482006073E0
3.530181959E0,9.241891503E-1,1.346344948E0,-3.148394585E0
3.590175056E0,1.340849280E0,1.221591949E0,-3.550704002E0
3.650168153E0,1.218573809E0,2.033951998E0,-3.506629467E0
3.710160617E0,6.105797291E-1,1.827439427E0,-2.185093403E0
3.770153015E0,1.106008530E0,2.218681335E0,-3.496859074E0
3.830145445E0,3.161235094E0,-9.026582241E-1,-2.990622044E0
3.890138008E0,-2.039715290E0,2.492428064E0,-7.399641991E0
3.950130439E0,-2.096223116E0,1.445240259E0,-7.625449181E0
4.010122902E0,3.221604586E0,-1.737842560E1,2.107660294E0
4.070115299E0,6.279884338E0,-7.055232525E0,5.715122223E-1
4.130107697E0,-1.629901052E0,-7.189184189E0,2.654429436E0
4.190100128E0,6.737627506E0,-5.366736412E0,4.553216934E0
4.250092724E0,5.306981087E0,-4.356754780E0,5.523025036E0
4.310085188E0,4.011138916E0,2.498078346E-1,4.700725079E0
4.370077718E0,-3.091917038E-1,1.195244789E0,4.537630081E-2
4.430070916E0,-2.274927616E0,3.864531279E0,-2.610780716E0
4.490065149E0,-5.188512802E-1,2.922295094E0,-1.225666523E0
4.550059648E0,-1.755390167E-1,-2.055362463E0,-2.693850040E0
4.610054214E0,-4.375260353E0,-2.768450499E0,-4.117723465E0
4.670048747E0,-9.613780975E0,-2.092476845E0,-1.188876247E1
4.730042544E0,3.187620163E0,-1.124190903E1,-6.580410004E0
4.790035208E0,-5.485547543E0,-7.175029755E0,-8.881108284E0
4.850027639E0,8.970973492E-1,3.658796310E0,6.510653496E-1
4.910020136E0,4.814287663E0,-7.370276451E-1,1.410123348E0
4.970012666E0,-2.074297428E0,-1.934835911E0,2.960370541E0
5.030005196E0,9.217226028E0,-5.903248787E-1,9.759296417E0
5.089997660E0,7.659195900E0,-3.469953060E0,6.370519638E0
5.149990057E0,2.520993233E0,-1.442008018E-1,3.952841282E0
5.209982388E0,-3.244112968E0,2.268625975E0,4.053649902E-1
5.269974885E0,-5.642776489E0,3.961103439E0,-4.064077377E0
5.329967349E0,-3.290736198E0,2.753597736E0,-1.015429115E1
5.389959945E0,-1.537658215E0,1.911553741E0,-2.688806772E0
