"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.999558200E-2,6.420000076E0,-3.605999756E1,-1.800000000E1
1.199895230E-1,7.019999981E0,-3.588000107E1,-1.835999870E1
1.799826900E-1,6.179999828E0,-3.570000076E1,-1.818000031E1
2.399757230E-1,5.519999981E0,-3.671999741E1,-1.847999954E1
2.999685270E-1,5.400000095E0,-3.581999969E1,-1.757999992E1
3.599610250E-1,4.559999943E0,-3.702000046E1,-1.692000008E1
4.199533890E-1,3.299999952E0,-3.755999756E1,-1.637999916E1
4.799459850E-1,-3.599999845E-1,-3.750000000E1,-1.488000011E1
5.399384490E-1,-6.119999886E0,-3.768000031E1,-1.205999947E1
5.999309790E-1,-1.235999966E1,-3.545999908E1,-9.000000000E0
6.599234090E-1,-1.979999924E1,-3.252000046E1,-4.079999924E0
7.199159060E-1,-2.568000031E1,-2.723999977E1,-4.199999809E0
7.799081700E-1,-2.951999855E1,-2.243999863E1,-1.620000005E0
8.399006000E-1,-3.323999786E1,-1.631999969E1,-1.079999924E0
8.998931300E-1,-3.479999924E1,-1.146000004E1,-4.259999752E0
9.598856600E-1,-3.605999756E1,-4.319999695E0,-6.059999943E0
1.019878158E0,-3.665999985E1,3.059999943E0,-9.179999352E0
1.079871157E0,-3.431999969E1,1.043999958E1,-1.067999935E1
1.139864389E0,-3.113999939E1,1.673999977E1,-1.493999958E1
1.199857519E0,-2.687999916E1,2.184000015E1,-1.668000031E1
1.259850649E0,-2.189999962E1,2.687999916E1,-1.757999992E1
1.319843712E0,-1.535999966E1,3.059999847E1,-1.685999870E1
1.379836409E0,-9.779999733E0,3.402000046E1,-1.529999924E1
1.439828740E0,-5.039999962E0,3.665999985E1,-1.319999981E1
1.499821270E0,2.399999946E-1,3.755999756E1,-1.235999966E1
1.559813800E0,4.859999657E0,3.738000107E1,-1.109999943E1
1.619806364E0,7.919999599E0,3.797999954E1,-1.007999992E1
1.679798795E0,8.399999619E0,3.773999786E1,-9.659999847E0
1.739791325E0,1.001999950E1,3.761999893E1,-9.779999733E0
1.799783656E0,1.038000011E1,3.713999939E1,-8.699999809E0
1.859776087E0,9.179999352E0,3.791999817E1,-7.019999981E0
1.919768551E0,6.659999847E0,3.845999908E1,-6.779999733E0
1.979761147E0,5.099999905E0,3.827999878E1,-6.779999733E0
2.039753611E0,2.879999876E0,3.839999771E1,-7.500000000E0
2.099746308E0,1.799999923E-1,3.797999954E1,-8.220000267E0
2.159740073E0,-1.259999990E0,3.750000000E1,-1.061999989E1
2.219734469E0,-3.899999857E0,3.605999756E1,-1.277999973E1
2.279728733E0,-4.259999752E0,3.534000015E1,-1.469999981E1
2.339723129E0,-6.539999962E0,3.443999863E1,-1.529999924E1
2.399717227E0,-8.279999733E0,3.413999939E1,-1.361999989E1
2.459710224E0,-1.163999939E1,3.359999847E1,-1.301999950E1
2.519702488E0,-1.421999931E1,3.227999878E1,-1.373999977E1
2.579694985E0,-1.769999886E1,2.934000015E1,-1.542000008E1
2.639687449E0,-2.010000038E1,2.489999962E1,-2.045999908E1
2.699679979E0,-2.045999908E1,2.255999947E1,-2.279999924E1
2.759672442E0,-1.889999962E1,2.250000000E1,-2.585999870E1
2.819664972E0,-1.379999924E1,2.315999985E1,-2.765999985E1
2.879657336E0,-9.119999886E0,2.519999886E1,-2.868000031E1
2.939649700E0,-2.220000029E0,2.513999939E1,-2.993999863E1
2.999642165E0,3.659999847E0,2.573999977E1,-3.059999847E1
3.059634695E0,9.359999657E0,2.460000038E1,-2.993999863E1
3.119627225E0,1.367999935E1,2.195999908E1,-3.077999878E1
3.179619723E0,1.745999908E1,1.745999908E1,-3.209999847E1
3.239612855E0,2.135999870E1,1.080000019E1,-3.257999802E1
3.299606053E0,2.537999916E1,4.259999752E0,-3.179999924E1
3.350198193E0,2.615999985E1,-3.599999845E-1,-3.227999878E1
3.410191324E0,2.405999947E1,-6.239999771E0,-3.347999954E1
3.470184554E0,2.369999886E1,-1.163999939E1,-3.311999893E1
3.530177118E0,2.231999969E1,-1.727999878E1,-3.143999863E1
3.590169549E0,2.057999992E1,-2.261999893E1,-2.951999855E1
3.650162013E0,1.727999878E1,-2.687999916E1,-2.813999939E1
3.710154476E0,1.181999969E1,-2.897999954E1,-2.771999931E1
3.770146907E0,5.339999676E0,-2.868000031E1,-3.017999840E1
3.830139470E0,-3.419999838E0,-1.794000053E1,-3.570000076E1
3.890131900E0,-1.115999985E1,-1.199999973E-1,-3.773999786E1
