"Time (s)","Pressure (hPa)"
9.999200000E-2,1.022415039E3
1.999835000E-1,1.022434082E3
2.999741660E-1,1.022420898E3
3.999639160E-1,1.022422852E3
4.999529160E-1,1.022428955E3
5.999419160E-1,1.022422363E3
6.999304870E-1,1.022415039E3
7.999189870E-1,1.022411377E3
8.999074310E-1,1.022397949E3
9.998957310E-1,1.022390625E3
1.099884003E0,1.022406494E3
1.199872169E0,1.022424561E3
1.299860553E0,1.022443604E3
1.399848910E0,1.022482422E3
1.499837110E0,1.022494629E3
1.599825297E0,1.022498779E3
1.699813414E0,1.022496582E3
1.799801525E0,1.022489990E3
1.899789630E0,1.022470459E3
1.999777630E0,1.022468262E3
2.099765677E0,1.022465820E3
2.199753631E0,1.022475830E3
2.299741891E0,1.022489502E3
2.399730266E0,1.022485840E3
2.499718546E0,1.022489502E3
2.599706815E0,1.022486816E3
2.699695000E0,1.022495605E3
2.799683214E0,1.022503662E3
2.899671420E0,1.022494141E3
2.999659553E0,1.022510986E3
3.099647553E0,1.022507568E3
3.199635419E0,1.022508545E3
3.299623252E0,1.022500000E3
3.399611252E0,1.022479248E3
3.500184795E0,1.022455811E3
3.600172761E0,1.022442871E3
3.700160727E0,1.022438477E3
3.800148727E0,1.022411621E3
3.900136727E0,1.022392090E3
4.000124693E0,1.022382324E3
4.100112659E0,1.022375977E3
4.200100625E0,1.022405762E3
4.300088491E0,1.022404541E3
4.400076391E0,1.022417725E3
4.500064624E0,1.022430664E3
4.600052857E0,1.022442871E3
4.700041057E0,1.022445068E3
4.800029257E0,1.022438477E3
4.900017490E0,1.022458252E3
5.000005723E0,1.022499512E3
5.099993923E0,1.022506104E3
5.199982123E0,1.022501709E3
5.299970123E0,1.022510254E3
5.399958023E0,1.022511475E3
5.499946056E0,1.022507324E3
5.599934289E0,1.022488037E3
5.699922522E0,1.022527100E3
5.799910755E0,1.022538330E3
5.899898955E0,1.022506836E3
5.999887188E0,1.022489014E3
6.099875421E0,1.022497314E3
6.199863621E0,1.022492188E3
6.299851821E0,1.022510986E3
6.399839921E0,1.022521240E3
6.499828021E0,1.022534912E3
6.599816187E0,1.022525879E3
6.699804420E0,1.022479736E3
6.799792620E0,1.022469727E3
6.899780820E0,1.022484619E3
6.999769053E0,1.022480713E3
7.099757286E0,1.022496338E3
7.199745486E0,1.022531494E3
7.299733686E0,1.022554443E3
7.399721886E0,1.022518555E3
7.499709752E0,1.022505615E3
7.599697618E0,1.022497803E3
7.699685818E0,1.022501709E3
7.799674018E0,1.022526367E3
7.899662184E0,1.022514404E3
7.999650350E0,1.022525879E3
8.099638516E0,1.022503418E3
8.199626716E0,1.022479736E3
8.299614882E0,1.022475098E3
8.399603048E0,1.022493408E3
8.499591081E0,1.022523682E3
8.599578947E0,1.022563232E3
8.699566813E0,1.022498535E3
8.799554779E0,1.022496826E3
8.899542779E0,1.022484375E3
8.999530745E0,1.022473389E3
9.099518711E0,1.022466553E3
9.199506711E0,1.022476807E3
9.299494711E0,1.022487549E3
9.399482711E0,1.022473389E3
9.499470677E0,1.022457520E3
9.599458610E0,1.022450195E3
9.699446476E0,1.022461914E3
9.799434542E0,1.022480713E3
9.899422775E0,1.022493164E3
9.999410975E0,1.022505371E3
1.009939918E1,1.022466797E3
1.019938741E1,1.022459229E3
1.029937564E1,1.022461182E3
1.039936384E1,1.022460205E3
1.049935204E1,1.022460205E3
1.059934024E1,1.022455566E3
1.069932814E1,1.022429199E3
1.079931604E1,1.022433105E3
1.089930414E1,1.022431641E3
1.099932283E1,1.022438232E3
1.109931106E1,1.022447754E3
1.119929926E1,1.022459229E3
1.129928746E1,1.022446289E3
1.139927570E1,1.022424072E3
1.149926393E1,1.022421631E3
1.159925213E1,1.022423096E3
1.169924033E1,1.022429199E3
1.179922843E1,1.022435303E3
1.189921653E1,1.022439941E3
1.199920476E1,1.022472412E3
1.209919299E1,1.022395752E3
1.219918119E1,1.022400146E3
1.229916939E1,1.022419678E3
1.239915759E1,1.022419189E3
1.249914583E1,1.022422607E3
1.259913403E1,1.022443359E3
1.269912223E1,1.022472168E3
1.279911026E1,1.022435791E3
1.289909813E1,1.022429932E3
1.299908603E1,1.022413818E3
1.309907423E1,1.022427734E3
1.319906239E1,1.022436523E3
1.329905056E1,1.022468750E3
1.339903872E1,1.022500000E3
1.349902692E1,1.022441406E3
1.359901512E1,1.022434570E3
1.369900329E1,1.022431885E3
1.379899146E1,1.022433350E3
1.389897946E1,1.022462402E3
1.399896732E1,1.022449463E3
1.409895522E1,1.022394531E3
1.419894322E1,1.022390869E3
1.429893122E1,1.022419922E3
1.439891919E1,1.022421875E3
1.449890715E1,1.022446777E3
1.459889515E1,1.022496338E3
1.469888315E1,1.022470703E3
1.479887112E1,1.022432373E3
1.489885909E1,1.022431396E3
1.499884695E1,1.022440918E3
1.509883482E1,1.022452148E3
1.519882298E1,1.022471191E3
1.529881122E1,1.022493164E3
1.539879942E1,1.022431396E3
1.549878762E1,1.022424805E3
1.559877585E1,1.022420166E3
1.569876415E1,1.022424072E3
1.579875238E1,1.022433350E3
1.589874058E1,1.022445801E3
1.599872878E1,1.022395996E3
1.609871668E1,1.022383057E3
1.619870465E1,1.022381348E3
1.629869282E1,1.022387939E3
1.639868105E1,1.022395752E3
1.649866925E1,1.022411133E3
1.659865745E1,1.022446533E3
1.669864571E1,1.022361816E3
1.679863395E1,1.022353271E3
1.689862215E1,1.022360596E3
1.699861035E1,1.022371094E3
1.709859855E1,1.022379639E3
1.719858671E1,1.022406250E3
1.729857481E1,1.022389404E3
1.739856305E1,1.022361328E3
1.749855128E1,1.022362793E3
1.759853948E1,1.022381592E3
1.769852774E1,1.022386719E3
1.779851598E1,1.022416504E3
1.789850421E1,1.022432617E3
1.799849241E1,1.022398438E3
1.809848061E1,1.022385986E3
1.819846861E1,1.022383301E3
1.829845648E1,1.022396729E3
1.839826063E1,1.022420410E3
1.849824883E1,1.022423340E3
1.859823700E1,1.022451172E3
1.869822516E1,1.022431152E3
1.879821330E1,1.022442627E3
1.889820150E1,1.022437744E3
1.899818966E1,1.022430176E3
1.909817783E1,1.022434082E3
1.919816600E1,1.022467285E3
1.929815393E1,1.022426758E3
1.939814179E1,1.022408447E3
1.949812979E1,1.022410156E3
1.959811779E1,1.022420654E3
1.969810579E1,1.022418457E3
1.979809376E1,1.022430664E3
1.989808176E1,1.022429688E3
1.999806976E1,1.022381104E3
2.009805773E1,1.022366455E3
2.019804569E1,1.022380371E3
2.029803369E1,1.022383789E3
2.039802156E1,1.022406982E3
2.049800942E1,1.022402344E3
2.059799759E1,1.022444336E3
2.069798582E1,1.022387207E3
2.079797402E1,1.022400879E3
2.089796222E1,1.022408691E3
2.099795046E1,1.022413330E3
2.109793869E1,1.022419678E3
2.119792692E1,1.022422607E3
2.129791512E1,1.022474854E3
2.139790322E1,1.022397949E3
2.149789112E1,1.022413086E3
2.159787902E1,1.022403809E3
2.169786726E1,1.022418701E3
2.179785549E1,1.022419189E3
2.189784369E1,1.022453125E3
2.199783189E1,1.022472168E3
2.209782012E1,1.022426758E3
2.219780835E1,1.022437500E3
2.229779659E1,1.022418945E3
2.239778479E1,1.022433105E3
2.249777289E1,1.022439453E3
2.259776099E1,1.022458252E3
2.269774909E1,1.022471680E3
2.279773732E1,1.022456787E3
2.289772552E1,1.022459717E3
2.299771372E1,1.022453369E3
2.309770192E1,1.022457764E3
2.319769015E1,1.022451416E3
2.329767835E1,1.022506104E3
2.339766655E1,1.022421143E3
2.349765475E1,1.022416016E3
2.359764269E1,1.022408447E3
2.369763055E1,1.022432129E3
2.379761865E1,1.022435791E3
2.389760685E1,1.022461914E3
2.399759502E1,1.022450684E3
2.409758318E1,1.022429932E3
2.419757132E1,1.022428711E3
2.429755952E1,1.022425293E3
2.439754768E1,1.022439209E3
2.449753585E1,1.022451660E3
2.459752402E1,1.022478760E3
2.469751188E1,1.022454590E3
2.479749975E1,1.022453125E3
2.489748775E1,1.022443115E3
2.499747575E1,1.022433838E3
2.509746371E1,1.022422607E3
2.519745168E1,1.022445557E3
2.529743968E1,1.022434082E3
2.539742768E1,1.022461914E3
2.549741564E1,1.022450195E3
2.559740361E1,1.022441895E3
2.569739161E1,1.022451904E3
2.579741140E1,1.022448730E3
2.589739930E1,1.022450439E3
2.599738750E1,1.022487793E3
2.609737570E1,1.022423584E3
2.619736386E1,1.022422363E3
2.629735203E1,1.022434326E3
2.639734023E1,1.022449219E3
2.649732843E1,1.022451904E3
2.659731659E1,1.022465088E3
2.669730476E1,1.022483643E3
2.679729273E1,1.022470703E3
2.689728059E1,1.022466553E3
2.699726856E1,1.022452148E3
2.709725656E1,1.022440186E3
2.719724456E1,1.022442383E3
2.729723252E1,1.022448486E3
2.739722049E1,1.022486328E3
2.749720849E1,1.022408936E3
2.759719649E1,1.022411865E3
2.769718446E1,1.022404785E3
2.779717242E1,1.022414551E3
2.789716029E1,1.022406738E3
2.799714815E1,1.022448242E3
2.809713629E1,1.022494385E3
2.819712452E1,1.022444824E3
2.829711269E1,1.022446289E3
2.839710089E1,1.022444092E3
2.849708912E1,1.022440918E3
2.859707735E1,1.022445801E3
2.869706555E1,1.022433350E3
2.879705375E1,1.022481201E3
2.889704195E1,1.022400146E3
2.899702985E1,1.022396240E3
2.909701775E1,1.022413574E3
2.919700592E1,1.022412598E3
2.929699415E1,1.022420410E3
2.939698235E1,1.022408691E3
2.949697055E1,1.022453613E3
2.959695875E1,1.022394287E3
2.969694698E1,1.022400391E3
2.979693518E1,1.022397461E3
2.989692338E1,1.022410156E3
2.999691148E1,1.022419189E3
3.009689958E1,1.022416016E3
3.019688768E1,1.022428467E3
3.029687592E1,1.022332031E3
3.039686415E1,1.022343994E3
3.049685235E1,1.022351562E3
3.059684055E1,1.022353516E3
