"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.199134000E-2,6.016812801E0,1.290514112E0,8.377567291E0
1.039844710E-1,7.594639778E0,1.271359921E0,9.024022102E0
1.559779310E-1,1.072635078E1,-1.357553840E0,8.339259148E0
2.079718180E-1,1.166730118E1,-5.265010357E0,6.931425571E0
2.599655740E-1,1.410467243E1,-1.221080112E1,6.917059898E0
3.119589000E-1,1.260825157E1,-1.108309841E1,4.585036278E0
3.639521930E-1,1.031453609E1,-1.105915546E1,3.320859194E0
4.159455190E-1,7.853221416E0,-9.081484795E0,2.499622822E0
4.679390450E-1,5.233884811E0,-6.744672298E0,1.862745762E0
5.199323380E-1,3.847599506E0,-5.679219723E0,2.020767927E0
5.719255640E-1,5.166844845E0,-5.698374271E0,5.300924301E0
6.239192860E-1,5.468523502E0,-6.833260536E0,7.618582249E0
6.759133080E-1,7.807730198E0,-6.612987041E0,8.913885117E0
7.279066340E-1,8.901913643E0,-2.209915638E0,1.207672215E1
7.798998600E-1,7.529994488E0,-2.700742006E0,1.143984509E1
8.318941520E-1,3.826051235E0,-3.000026226E0,9.328094482E0
8.838902730E-1,8.332076073E-1,-1.834014535E0,6.833260536E0
9.358839660E-1,-2.197944164E0,-2.490045726E-1,4.800520897E0
9.878773930E-1,-3.658451796E0,-1.747820675E-1,4.388705730E0
1.039870685E0,-1.266571403E0,6.273000240E-1,6.110189438E0
1.091863844E0,-2.439765930E0,-3.328042030E-1,7.223526955E0
1.143857470E0,-3.442967176E0,-1.173194647E-1,6.759037971E0
1.195850596E0,-3.648874760E0,-7.446194887E-1,7.644919395E0
1.247844353E0,-4.036747456E0,-8.044763207E-1,8.741497040E0
1.299838274E0,-4.762212753E0,-7.134938836E-1,1.120281219E1
1.351831566E0,-6.624958515E0,7.494080067E-1,1.013975334E1
1.403824958E0,-7.309720993E0,2.640885115E0,8.169265747E0
1.455818317E0,-7.762238979E0,3.124528646E0,8.882759094E0
1.507811577E0,-5.636122704E0,1.505998850E0,8.758256912E0
1.559804936E0,-2.461314440E0,5.578660369E-1,1.098732662E1
1.611798229E0,-3.057488918E0,-6.680026650E-1,1.076226521E1
1.663792681E0,8.164477348E-1,1.992036581E0,1.047255802E1
1.715785905E0,-4.836435318E0,2.267378330E0,8.087860107E0
1.767779298E0,-1.604164124E0,5.016005516E0,7.350423813E0
1.819772658E0,-3.830839634E0,3.244242430E0,7.312115192E0
1.871766913E0,-3.902667999E0,3.617749214E0,6.663266659E0
1.923765734E0,-4.247443676E0,4.053507328E0,6.909877300E0
1.975762861E0,-4.613767624E0,3.883513689E0,5.846818924E0
2.027756988E0,-5.044736862E0,3.553103924E0,6.864386082E0
2.079750381E0,-5.109382629E0,3.926610708E0,6.205960274E0
2.131743640E0,-4.982485771E0,3.708731651E0,6.603409767E0
