"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.199392000E-2,-2.020436898E-2,-2.356614351E0,1.488509417E0
1.039870540E-1,-4.891503602E-2,-1.203300714E0,9.039113522E-1
1.559803460E-1,-3.329673707E-1,-3.224330246E-1,2.350139171E-1
2.079736720E-1,-3.183066249E-1,4.637505710E-1,-6.550167203E-1
2.599669650E-1,-2.631301992E-2,7.850656509E-1,-1.391720176E0
3.119605230E-1,2.436894178E-1,7.844548225E-1,-2.337950468E0
3.639547750E-1,-1.509295404E-1,-9.152594209E-2,-2.738067150E0
4.159480010E-1,-4.740772545E-1,7.618528008E-1,-2.832140446E0
4.679412940E-1,-6.891018152E-1,1.649440050E0,-2.910942078E0
5.199346870E-1,-4.337601364E-1,7.893417478E-1,-2.763112783E0
5.719281460E-1,-4.007734060E-1,8.559260368E-1,-2.828475237E0
6.239214390E-1,-4.551404119E-1,9.988685250E-1,-2.563970804E0
6.759146320E-1,-4.832402468E-1,6.451775432E-1,-1.956770658E0
7.279080240E-1,-1.710880846E-1,1.167467237E0,-1.777176142E0
7.799022760E-1,1.086882055E-1,2.304287672E0,-1.728917837E0
8.318957020E-1,-5.441282317E-2,1.476565242E0,-2.210279703E0
8.838890610E-1,1.282358915E-1,2.996397972E0,-3.089314699E0
9.358824860E-1,4.776508212E-1,3.251128674E0,-3.670858383E0
9.878783410E-1,7.268838286E-1,3.085584164E0,-3.733777523E0
1.039873035E0,8.753240705E-1,3.383075714E0,-3.714840889E0
1.091866360E0,8.747131824E-1,2.734947443E0,-3.242031097E0
1.143859820E0,8.368396163E-1,1.518714786E0,-2.706912994E0
1.195853079E0,6.163172126E-1,1.712970018E0,-3.005015373E0
1.247846304E0,8.747131824E-1,1.273757935E0,-2.945150614E0
1.299839797E0,1.039036036E0,4.881851673E-1,-2.537703276E0
1.351833123E0,1.216186881E0,-2.051468790E-1,-2.476006031E0
1.403827242E0,1.627299190E0,-4.262800813E-1,-2.230438232E0
1.455820667E0,2.418980360E0,-3.346503079E-1,-2.046567678E0
1.507814059E0,2.737241507E0,-9.748371243E-1,-1.484571815E0
1.559807385E0,2.119045734E0,-5.625030398E-1,-4.399921894E-1
1.611800744E0,1.641349077E0,-1.361514807E0,5.050163865E-1
1.663794004E0,9.797820449E-1,-1.386560321E0,6.076416969E-1
1.715787363E0,5.766109824E-1,-5.295162797E-1,2.172988057E-1
1.767781319E0,1.049420595E0,-6.413046718E-1,2.814396620E-1
1.819775240E0,9.327453971E-1,6.671686769E-1,-5.786585808E-1
1.871768399E0,6.340323091E-1,1.011696696E0,5.074598193E-1
1.923761625E0,3.084411323E-1,9.139582515E-1,-3.996750712E-1
1.975755151E0,2.125352919E-1,7.728483677E-1,-2.762803137E-1
2.027752138E0,5.554292351E-2,1.041018248E0,-1.999221444E-1
2.079750364E0,-1.045037657E-1,9.121256471E-1,-1.235639900E-1
2.131746089E0,-2.578309774E-1,5.181175470E-1,-6.247746199E-2
2.183739482E0,-2.755460441E-1,5.138415098E-1,4.686741158E-2
2.235732741E0,-2.798220813E-1,1.955807209E-1,1.055104733E-1
2.287726101E0,-1.894140542E-1,-1.150259282E-2,2.716658413E-1
2.339719327E0,-2.114052027E-1,-3.401480913E-1,2.771635950E-1
2.391712753E0,-3.347999454E-1,-3.065505028E-1,2.582267821E-1
2.443707006E0,-4.068820775E-1,-4.937623441E-2,1.134517267E-1
2.495700530E0,-4.343709946E-1,2.175718695E-1,5.114347115E-2
