"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.999413200E-2,1.125605106E-1,6.413627863E-1,-4.411754608E-1
1.199869390E-1,1.323806882E0,1.453038216E0,-1.480007172E-1
1.799809070E-1,1.392997265E0,1.638061762E0,-8.887672424E-2
2.399747690E-1,1.052342534E0,1.765405893E0,-1.118793488E-1
2.999682980E-1,1.888372004E-1,1.798383236E0,-1.917028427E-1
3.599616310E-1,-5.501106381E-1,1.791867733E0,-2.065267563E-1
4.199548970E-1,5.324037552E0,3.889655113E0,-1.052963257E0
4.799474620E-1,6.783544064E0,3.394395828E0,-3.665227890E-1
5.399397930E-1,9.320125580E0,-1.830166578E-1,-1.427004814E0
5.999323230E-1,1.050295639E1,-7.143671036E0,-3.172383785E0
6.599248530E-1,1.117000961E1,-8.565393448E0,-4.423368931E0
7.199173170E-1,8.857091904E0,-1.041623306E1,-5.324477196E0
7.799098470E-1,6.285314560E0,-8.075090408E0,-7.003926277E0
8.399023770E-1,3.140208483E0,-4.723234177E0,-7.586075783E0
8.998947080E-1,1.485248804E0,-2.904343367E0,-6.946455002E0
9.598869720E-1,1.935832262E0,-3.580556870E0,-2.969667912E0
1.019879602E0,3.575773001E0,-3.012297153E0,-3.692874908E-1
1.079872066E0,5.865930557E0,-2.180063725E-1,2.194148064E0
1.139864596E0,5.886722088E0,-1.318922043E-1,2.633782387E0
1.199857327E0,2.471001863E0,-5.912935734E-1,-8.106231689E-2
1.259850693E0,-3.947892785E-1,3.799960613E-1,-3.432036400E0
1.319843724E0,-2.041156054E0,9.100874066E-1,-5.353077412E0
1.379836920E0,-9.795583487E-1,1.738195181E0,-4.846125603E0
1.439829984E0,1.711183429E0,1.705291033E0,-1.747098923E0
1.499823015E0,3.348989487E-1,1.395150185E0,-2.772080421E0
1.559815346E0,-1.794331074E-1,2.664903998E-1,-1.404852867E0
1.619807843E0,-6.642994881E-1,1.014198661E-1,-1.901283264E-1
1.679800307E0,-2.240068674E0,-6.438825727E-1,1.627460480E0
1.739792837E0,-3.310393810E0,1.150837183E0,-9.471216202E-1
1.799785201E0,-4.988976002E0,1.075480223E0,3.416280746E-1
1.859777698E0,-4.017052650E0,-1.323363185E0,-8.802366257E-1
1.919770095E0,-5.597972870E-2,-2.862938881E0,2.240921021E0
1.979762426E0,-8.926680088E-1,-4.140138626E0,1.850016594E0
2.039754956E0,2.719494581E0,-1.281564951E0,9.286384583E-1
2.099747486E0,-3.644858599E0,-1.688130379E0,-1.844227314E0
2.159740016E0,-3.916828632E-1,4.884657860E-1,-1.870967388E0
2.219732514E0,-2.507085800E-1,-5.850512981E-1,-1.138292313E0
2.279726146E0,-4.542956352E-1,-1.363708973E-1,-1.210582733E0
2.339720512E0,-1.108608246E-1,-3.712821007E-2,-1.833837032E0
2.399715045E0,-2.525343895E-1,-2.943348885E-1,-8.090844154E-1
2.459709511E0,-3.437480927E-1,-3.826355934E-2,-1.190238953E0
2.519704043E0,1.755065918E-1,-1.311547756E-1,-6.815299988E-1
2.579697407E0,-2.402729988E-1,-4.721283913E-2,-1.092373371E0
2.639689939E0,1.369242668E-1,2.114863396E-1,-3.988881111E-1
2.699682403E0,-1.542863846E-1,3.157498837E-1,6.493854523E-2
2.759674999E0,-6.111955643E-2,9.417724609E-2,-2.214789391E-1
2.819667463E0,-2.534494400E-1,-4.995787144E-1,2.588605881E-2
2.879660059E0,3.478875160E-1,-3.950781822E-1,8.882093430E-2
2.939652490E0,-1.301817894E-1,-5.394856930E-1,-9.452152252E-2
2.999644821E0,-1.829624176E-2,-5.236506462E-2,1.937518120E-1
3.059637152E0,-2.444291115E-1,2.913665771E-1,-5.321240425E-1
3.119629748E0,-1.437573433E-1,-1.188509464E-1,-4.420695305E-1
3.179622212E0,-1.824636459E-1,3.300580978E-1,-9.615626335E-1
