"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.999163200E-2,8.220000267E0,1.727999878E1,-3.443999863E1
1.199840980E-1,7.559999943E0,1.800000000E1,-3.479999924E1
1.799764790E-1,4.380000114E0,1.842000008E1,-3.479999924E1
2.399688480E-1,3.119999886E0,1.943999863E1,-3.455999756E1
2.999611360E-1,3.419999838E0,1.950000000E1,-3.504000092E1
3.599535340E-1,3.359999895E0,2.081999969E1,-3.336000061E1
4.199459310E-1,1.500000000E0,2.039999962E1,-3.413999939E1
4.799384610E-1,-6.599999666E-1,2.039999962E1,-3.504000092E1
5.399309250E-1,-3.179999828E0,2.027999878E1,-3.438000107E1
5.999235210E-1,-3.779999971E0,2.081999969E1,-3.407999802E1
6.599159850E-1,-5.759999752E0,2.010000038E1,-3.438000107E1
7.199084490E-1,-7.019999981E0,1.992000008E1,-3.491999817E1
7.799007130E-1,-8.159999847E0,1.902000046E1,-3.479999924E1
8.398932100E-1,-7.319999695E0,1.871999931E1,-3.509999847E1
8.998856740E-1,-5.339999676E0,1.757999992E1,-3.629999924E1
9.598782700E-1,-4.139999866E0,1.673999977E1,-3.689999771E1
1.019870801E0,-1.319999933E0,1.535999966E1,-3.804000092E1
1.079864033E0,2.939999819E0,1.451999950E1,-3.870000076E1
1.139857198E0,6.960000038E0,1.253999996E1,-3.941999817E1
1.199850328E0,1.253999996E1,1.151999950E1,-3.779999924E1
1.259843392E0,1.481999969E1,1.115999985E1,-3.731999969E1
1.319836489E0,1.542000008E1,1.151999950E1,-3.641999817E1
1.379829054E0,1.583999920E1,1.200000000E1,-3.695999908E1
1.439821451E0,1.469999981E1,1.200000000E1,-3.725999832E1
1.499813981E0,1.277999973E1,1.019999981E1,-3.834000015E1
1.559806445E0,9.479999542E0,7.139999866E0,-3.954000092E1
1.619798942E0,8.399999619E0,1.139999986E0,-4.086000061E1
1.679791339E0,7.139999866E0,-3.659999847E0,-4.163999939E1
1.739783803E0,5.099999905E0,-7.199999809E0,-4.127999878E1
1.799776100E0,4.139999866E0,-9.840000153E0,-4.104000092E1
1.859768630E0,1.319999933E0,-1.103999996E1,-3.959999847E1
1.919761094E0,1.079999924E0,-1.301999950E1,-4.007999802E1
