"Time (s)","Pressure (hPa)"
9.998700000E-2,1.022284912E3
1.999765000E-1,1.022268311E3
2.999655000E-1,1.022279297E3
3.999537500E-1,1.022295898E3
4.999419500E-1,1.022303223E3
5.999299500E-1,1.022302490E3
6.999179500E-1,1.022301514E3
7.999059500E-1,1.022326172E3
8.998937270E-1,1.022332764E3
9.998816270E-1,1.022319824E3
1.099869354E0,1.022300781E3
1.199857437E0,1.022302490E3
1.299845513E0,1.022328857E3
1.399833441E0,1.022346924E3
1.499821374E0,1.022316162E3
1.599809249E0,1.022281494E3
1.699797131E0,1.022260010E3
1.799785019E0,1.022253174E3
1.899772808E0,1.022257568E3
1.999760658E0,1.022264160E3
2.099748419E0,1.022260498E3
2.199736191E0,1.022273193E3
2.299724364E0,1.022292236E3
2.399712530E0,1.022332275E3
2.499700690E0,1.022334473E3
2.599688766E0,1.022333496E3
2.699676877E0,1.022313721E3
2.799664984E0,1.022301758E3
2.899653018E0,1.022288818E3
2.999641051E0,1.022280762E3
3.099629084E0,1.022270508E3
3.199616984E0,1.022256836E3
3.299604884E0,1.022247314E3
3.399593117E0,1.022244873E3
3.499581350E0,1.022240234E3
3.600148105E0,1.022236572E3
3.700136305E0,1.022230713E3
3.800124538E0,1.022225586E3
3.900112771E0,1.022232178E3
4.000100971E0,1.022217041E3
4.100089237E0,1.022206787E3
4.200077337E0,1.022207275E3
4.300065437E0,1.022197510E3
4.400053570E0,1.022194580E3
4.500041803E0,1.022195801E3
4.600030069E0,1.022209717E3
4.700018269E0,1.022224365E3
4.800006469E0,1.022226807E3
4.899994702E0,1.022215576E3
4.999982902E0,1.022208252E3
5.099971168E0,1.022201660E3
5.199959368E0,1.022205811E3
5.299947301E0,1.022212646E3
5.399935167E0,1.022227539E3
5.499923267E0,1.022231934E3
5.599911533E0,1.022222168E3
5.699899699E0,1.022229004E3
5.799887865E0,1.022255859E3
5.899876031E0,1.022272217E3
5.999864231E0,1.022269531E3
6.099852464E0,1.022278809E3
6.199840630E0,1.022277832E3
6.299828796E0,1.022269531E3
6.399816662E0,1.022273438E3
6.499804528E0,1.022275391E3
6.599792528E0,1.022274902E3
6.699780528E0,1.022266602E3
6.799768494E0,1.022266113E3
6.899756460E0,1.022269775E3
6.999744460E0,1.022270996E3
7.099732460E0,1.022268066E3
7.199720426E0,1.022275635E3
7.299708392E0,1.022267578E3
7.399696358E0,1.022271240E3
7.499684224E0,1.022281250E3
7.599672124E0,1.022286865E3
7.699660357E0,1.022291260E3
7.799648590E0,1.022294922E3
7.899636790E0,1.022291748E3
7.999624990E0,1.022286865E3
8.099613223E0,1.022281494E3
8.199601456E0,1.022292480E3
8.299589656E0,1.022278564E3
8.399577856E0,1.022283447E3
8.499565856E0,1.022283691E3
8.599553756E0,1.022283447E3
8.699541789E0,1.022281494E3
8.799530022E0,1.022282227E3
8.899518255E0,1.022293213E3
8.999506455E0,1.022302490E3
9.099494655E0,1.022302979E3
9.199482888E0,1.022307617E3
9.299471121E0,1.022292236E3
9.399459321E0,1.022300049E3
9.499447521E0,1.022305664E3
9.599435621E0,1.022310059E3
9.699423721E0,1.022312500E3
9.799411887E0,1.022310791E3
9.899400120E0,1.022298340E3
9.999388320E0,1.022303711E3
1.009937652E1,1.022304932E3
1.019936475E1,1.022321289E3
1.029935299E1,1.022316895E3
1.039934119E1,1.022315186E3
1.049932939E1,1.022314697E3
1.059931759E1,1.022297363E3
1.069930545E1,1.022284424E3
1.079929332E1,1.022280273E3
1.089928152E1,1.022278809E3
1.099927441E1,1.022271240E3
1.109926257E1,1.022263672E3
1.119925074E1,1.022249512E3
1.129923891E1,1.022221680E3
1.139922711E1,1.022213623E3
1.149921527E1,1.022215088E3
1.159920344E1,1.022215576E3
1.169919147E1,1.022221924E3
1.179917934E1,1.022215332E3
1.189916724E1,1.022204346E3
1.199915524E1,1.022193604E3
1.209914324E1,1.022187988E3
1.219913120E1,1.022189941E3
1.229911917E1,1.022188965E3
1.239910717E1,1.022181885E3
1.249909517E1,1.022187988E3
1.259908314E1,1.022179688E3
1.269907110E1,1.022182861E3
1.279905903E1,1.022192139E3
1.285272834E1,1.022247070E3
1.292005634E1,1.022264160E3
1.299554959E1,1.022259033E3
1.307594119E1,1.022260742E3
1.315959886E1,1.022258545E3
1.324558928E1,1.022260498E3
1.333332941E1,1.022268066E3
1.342243041E1,1.022266602E3
1.351261991E1,1.022274902E3
1.360370027E1,1.022289062E3
1.369552277E1,1.022294922E3
1.378797346E1,1.022298340E3
1.388096275E1,1.022304199E3
1.397441848E1,1.022319092E3
1.406828248E1,1.022314941E3
1.416250666E1,1.022313721E3
1.425705104E1,1.022311035E3
1.435188194E1,1.022318115E3
1.444697059E1,1.022315430E3
1.454229259E1,1.022300293E3
1.463782659E1,1.022302246E3
1.473355428E1,1.022314209E3
1.482945974E1,1.022320312E3
1.492552854E1,1.022323975E3
1.502174808E1,1.022327393E3
1.511810712E1,1.022314941E3
1.521459580E1,1.022317139E3
1.531120514E1,1.022320068E3
1.540792704E1,1.022310303E3
1.550791517E1,1.022313721E3
1.560790317E1,1.022313965E3
1.570789104E1,1.022327881E3
1.610108310E1,1.022321045E3
1.620107110E1,1.022322266E3
1.630105910E1,1.022319336E3
1.640104707E1,1.022310303E3
1.650103503E1,1.022301758E3
1.660102303E1,1.022312744E3
1.670101103E1,1.022313477E3
1.680099900E1,1.022322754E3
1.690098696E1,1.022322266E3
1.700097493E1,1.022311768E3
1.710096280E1,1.022319336E3
1.720095080E1,1.022341309E3
1.730093900E1,1.022349854E3
1.740092716E1,1.022344971E3
1.750091533E1,1.022329834E3
1.760090350E1,1.022322510E3
1.770089170E1,1.022311768E3
1.780087986E1,1.022315918E3
