"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.000118400E-2,-5.997658253E0,3.567469418E-1,5.554717541E0
1.020011160E-1,-4.194769382E0,2.394274771E-1,5.875550270E0
1.540011080E-1,2.770175934E0,2.245829821E0,4.419831276E0
2.040012680E-1,5.684008598E0,2.190761566E0,4.486870766E0
2.560011310E-1,8.851634026E0,2.930592299E0,5.370358467E0
3.060013240E-1,9.761458397E0,2.894678354E0,3.548315287E0
3.580011840E-1,8.554743767E0,1.393467903E0,1.640078187E0
4.100011820E-1,1.355159521E0,-6.859597206E0,5.497254848E0
4.620011430E-1,1.322836876E1,3.629720688E0,-6.201171875E-1
5.140011360E-1,9.198803902E0,2.806090117E0,-6.023995399E0
5.660011010E-1,1.299851799E1,2.892283916E0,-2.913832426E0
6.160011610E-1,1.597460175E1,6.857203007E0,-5.016005516E0
6.660013210E-1,2.327953339E1,3.644086361E0,2.106961727E0
7.180010850E-1,1.997543526E1,4.671230316E0,2.882706881E0
7.680011130E-1,1.399932480E1,2.746233225E0,1.132491946E0
8.200011060E-1,7.951386452E0,1.448536277E0,-7.901107073E-1
8.720011030E-1,3.969707727E0,1.106154919E0,1.836408734E0
9.220012970E-1,5.027977005E-2,1.652049661E0,4.644893110E-1
9.720014210E-1,-1.891477108E-1,1.594586968E0,1.972882390E0
1.024001019E0,2.035133541E-1,1.834014535E0,2.030344963E0
1.074001280E0,-1.972882390E0,2.418217659E0,2.305686712E0
1.126001072E0,-4.089421272E0,3.701548815E0,7.470137596E0
1.176001169E0,-1.231375504E1,6.541158676E0,1.452367115E1
1.226001531E0,-2.235055542E1,8.868393898E0,1.747102356E1
1.278001155E0,-4.009692001E1,1.733694458E1,9.905115128E0
1.330001019E0,-3.342886353E1,5.138113976E0,-1.225868702E1
1.380001250E0,3.608172178E0,-7.350423932E-1,1.773199844E1
1.432001142E0,3.476965714E1,-6.621366882E1,-3.482472610E1
1.484001138E0,-1.204320192E0,-7.563514233E0,-1.829944229E1
1.534001234E0,8.844450951E0,-2.176395893E0,-1.273275375E1
1.584001260E0,-3.869148016E0,3.969707727E0,-8.739103079E-1
1.636000955E0,-5.291347504E0,9.941028595E0,-7.697593689E0
1.686001153E0,-2.513988495E0,1.283331275E0,-3.016786337E0
1.736001213E0,-4.987274647E0,-5.937801600E-1,3.591412306E-1
1.788001106E0,-4.324060440E0,-3.672817469E0,-1.221080124E-1
1.838001137E0,-5.818088055E-1,-1.482056141E0,3.057488918E0
1.890001163E0,2.796513081E0,-2.956929445E0,2.523565531E0
1.942000957E0,7.374366283E0,-1.323794556E1,7.089447498E0
1.992000988E0,1.494745731E1,-3.037376976E1,1.189715195E1
2.042001014E0,2.052851295E1,-2.297067261E1,6.093429565E0
2.094000941E0,2.163706207E1,-1.750454330E1,1.184447765E1
2.144001039E0,1.591713905E1,-1.244065189E1,1.032171917E1
2.196001031E0,9.948211670E0,-9.004867554E0,7.776604652E0
2.248000924E0,9.177255630E0,-6.835654736E0,5.861184597E0
2.298000956E0,8.954587936E0,-7.283383846E0,5.231490612E0
2.350000882E0,7.577879906E0,-1.055396366E1,3.608172178E0
2.400000943E0,5.779779434E0,-1.326667690E1,2.561874151E0
2.450001107E0,3.203539610E0,-1.489478397E1,6.416656375E-1
2.502000966E0,1.391073704E0,-1.526829052E1,1.675992459E-2
2.554000860E0,6.225114316E-2,-1.132970810E1,-4.261809289E-1
2.606000858E0,6.416656375E-1,-9.828497887E0,6.129343510E-1
2.656000918E0,-2.370332032E-1,-9.953000069E0,9.816526622E-2
2.708000911E0,-1.096577883E0,-8.624177933E0,1.958516836E0
2.760000910E0,-1.041509509E0,-7.556331158E0,2.837215662E0
2.810001004E0,9.672870040E-1,-7.982511997E0,4.218712330E0
2.862000964E0,1.647261024E0,-9.330489159E0,4.084632874E0
2.914000895E0,4.168432236E0,-1.035523891E1,4.771789551E0
2.964000922E0,6.565101624E0,-9.768641472E0,5.648094177E0
3.014001248E0,1.071437931E1,-6.375953674E0,1.134886265E1
3.064860132E0,9.890748978E0,-7.020013809E0,6.069486618E0
3.116860158E0,4.917840481E0,-5.851607800E0,1.666415215E0
3.168860084E0,5.286558628E0,-2.645673752E0,5.169239521E0
3.220860082E0,6.012023926E0,-1.975276709E0,2.494834423E0
3.270860141E0,2.315263748E0,8.547561169E-1,-3.170019865E0
3.322860101E0,-1.309668303E0,4.204346657E0,-2.760598898E0
3.374860066E0,-2.633702278E0,4.106181145E0,-3.495641232E0
3.426860026E0,-1.130097747E0,7.000859737E0,4.980091572E0
3.476860086E0,1.583094501E1,5.930618763E0,1.597460175E1
3.528860084E0,1.215573311E1,8.727131844E0,1.688442612E1
3.578860110E0,1.351807594E1,1.260106850E1,1.168884945E1
3.630860070E0,7.810124397E0,7.101418972E0,1.800494671E0
3.682860035E0,3.409447432E0,6.308914185E0,3.538738251E0
3.732860062E0,9.433442950E-1,2.059076309E0,3.450150013E0
