"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.000043600E-2,1.013578176E-1,6.913162023E-2,9.634749591E-2
1.000007440E-1,1.184620410E-1,-2.799595520E-2,2.075249851E-1
1.500007700E-1,2.198656797E-1,-1.759188056E0,5.367813110E-1
2.020004660E-1,4.147316813E-1,-3.005964041E0,7.066018581E-1
2.520005310E-1,1.013990521E0,-7.287518501E0,3.883410990E-1
3.020005890E-1,1.202136993E0,-1.048417664E1,-9.115801454E-1
3.520006150E-1,1.238788962E0,-8.943573952E0,-7.649724483E-1
4.040006120E-1,9.559583068E-1,-4.082308769E0,-2.555108666E-1
4.560006380E-1,2.577393055E-1,-1.369456053E0,2.588376403E-1
5.080005330E-1,5.717240572E-1,-4.545955181E0,-2.585652173E-1
5.600005310E-1,2.475790977E0,-5.517841816E0,1.015699744E0
6.100005580E-1,1.847821474E0,-2.407927036E0,1.800360382E-1
6.620004850E-1,9.186955094E-1,-2.359668732E0,8.684811592E-1
7.140004500E-1,1.441183835E-1,-4.128410518E-1,1.049908161E0
7.640005430E-1,-1.050123215E0,-1.788796633E-1,3.498565555E-1
8.140006700E-1,-6.616128683E-1,2.507705450E0,-1.641564131E0
8.660004340E-1,-4.728555381E-1,4.985374928E0,-2.781438828E0
9.160004950E-1,-3.934430182E-1,5.970089912E0,-3.294565439E0
9.680004210E-1,-6.029697657E-1,5.843640804E0,-3.040445566E0
1.018000452E0,-4.948466420E-1,5.315853119E0,-2.286638021E0
1.068000744E0,-6.500064135E-1,4.086181164E0,-1.570703745E0
1.118000770E0,-9.346696138E-1,3.012891293E0,-1.255497336E0
1.170000401E0,-1.277364969E0,3.190042257E0,-1.080178976E0
1.220000527E0,-1.551643610E0,2.624991655E0,-1.060020328E0
1.272000453E0,-1.629223347E0,2.499764442E0,-7.991809845E-1
1.322000583E0,-1.146639943E0,3.276174068E0,-2.634521127E-1
1.374000576E0,-5.815895200E-1,4.962772846E0,1.032193065E0
1.426000435E0,-6.237392426E-1,5.061733246E0,2.096320391E0
1.478000401E0,-5.350003242E0,-2.318740606E0,6.200112820E0
1.530000361E0,-5.295025826E0,-4.501973152E0,7.489649296E0
1.580000489E0,-2.621268511E0,1.409643078E1,5.600853920E0
1.632000419E0,4.500809193E0,2.171118975E0,-2.113762856E0
1.684000345E0,2.246716499E0,-5.690716743E0,-2.620170116E0
1.736000338E0,4.782616496E-1,4.670779228E0,6.754477620E-1
1.786000370E0,2.424676865E-1,7.707286626E-2,-2.322068214E0
1.836000398E0,-5.258022621E-2,-9.357417226E-1,-3.830294132E0
1.888000324E0,3.964057267E-1,-2.618064642E0,-3.825407505E0
1.938000554E0,-1.765858829E-1,-7.041339874E0,-2.553586006E0
1.990000515E0,-9.798736572E-1,-7.472610950E0,-2.579543591E-1
2.042000340E0,-1.589517236E0,-8.809183121E0,2.772548199E0
2.094000305E0,-2.171060801E0,-8.546511650E0,5.958821297E0
2.144000433E0,-1.678703547E0,-8.095693588E0,8.740090370E0
2.196000324E0,-2.015901089E0,-7.366320133E0,7.491481781E0
2.248000355E0,-2.833238840E0,-1.342578053E0,6.126198292E0
2.298000518E0,-2.595001459E0,2.124693155E0,3.991835117E0
2.350000375E0,-1.145418048E0,1.467114985E-1,2.310734034E0
2.402000272E0,2.491872162E-1,-1.583869696E0,2.215748727E-1
2.452000469E0,7.103904486E-1,-3.890173137E-1,-1.262827635E0
2.504000360E0,8.429482579E-1,9.664926529E-1,-2.235325098E0
2.556000291E0,1.268110514E0,1.397763491E0,-3.405742884E0
2.606000720E0,1.383563995E0,1.104548216E0,-3.681854010E0
2.658000379E0,1.419605017E0,9.750447869E-1,-2.951259375E0
2.710000174E0,1.097068071E0,-1.080192998E-1,-2.476006031E0
2.760000505E0,7.806399465E-1,6.485556066E-2,-1.594527483E0
2.812000430E0,2.119244188E-1,-3.987911642E-1,-3.776839375E-1
2.864000226E0,-2.804329395E-1,1.491549611E-1,9.466719627E-1
2.914000457E0,-8.241029978E-1,-5.930463076E-1,1.588080406E0
2.964000651E0,-9.132893682E-1,-5.478422642E-1,1.888626099E0
3.016000145E0,-7.746229172E-1,-1.314478159E0,2.381594419E0
3.066000376E0,-2.584418058E-1,-2.782998323E0,2.358992338E0
3.116000536E0,1.154077128E-1,-3.269246817E0,1.608239055E0
3.166478015E0,5.613393784E-1,-1.082960248E0,-4.027293921E-1
3.218477612E0,1.347522974E0,5.272805691E-1,-1.476630449E0
3.268477738E0,1.864314914E0,7.111510038E-1,-3.243252754E0
3.320477665E0,1.621190548E0,1.558421135E0,-3.814411879E0
3.372477629E0,1.382342339E0,2.217544794E0,-3.762488365E0
3.422477689E0,1.612027645E0,1.349505186E0,-2.828475237E0
3.474477616E0,1.791621923E0,5.651541948E-1,-2.114373684E0
3.524477648E0,1.725648522E0,4.057183862E-1,-3.165672779E0
3.576477641E0,1.950446844E0,2.147295237E0,-3.445449114E0
3.628477600E0,1.629742622E0,6.971010566E-1,-3.085649729E0
3.680477598E0,1.852708459E0,2.064828396E0,-2.149803877E0
3.730477624E0,1.009103537E0,4.581593037E0,-1.285429716E0
3.782477617E0,3.200475872E-1,1.857745171E0,-3.343124986E-1
3.834477582E0,-1.209971309E-1,1.005588055E0,2.759419084E-1
3.886477542E0,-8.405963778E-1,-4.225862026E0,8.666485548E-1
3.936477602E0,1.276051641E0,-4.613150597E0,5.398356915E-1
3.988477600E0,2.532601595E0,-2.632725239E0,-9.729678184E-2
4.040477626E0,3.162403584E0,-1.349908352E0,-1.586586356E0
4.092477586E0,2.762286901E0,1.597516537E0,-1.408824444E0
4.144477551E0,2.317576885E0,4.887960553E-1,-1.117441773E0
4.194477578E0,2.111715317E0,1.690367937E0,6.149721146E-1
4.246477572E0,1.437320113E0,3.635363102E0,3.243525028E0
4.298477537E0,4.416097701E-1,3.154612064E0,5.327797413E0
4.350477531E0,-9.450542927E-1,2.050167799E0,5.691873074E0
4.400477557E0,-2.227260590E0,2.922483206E0,6.596564293E0
4.452477521E0,-2.694572449E0,8.278262615E-1,7.387635231E0
4.504477514E0,-2.890660048E0,2.467999458E0,7.800580025E0
4.554477540E0,-2.903488398E0,-1.677942991E0,6.096877098E0
4.604477672E0,-2.940140247E0,4.674157798E-1,4.166542530E0
4.656477565E0,-2.976181507E0,3.402623177E0,2.734063625E0
4.708477458E0,-1.905334473E0,3.640249729E0,7.628014684E-1
4.758477490E0,-6.785185635E-2,1.717246056E0,-1.164478421E0
4.808477516E0,1.407998562E0,-1.930841208E0,-1.346516252E0
4.860477475E0,2.114769697E0,-2.845917225E0,-1.351403117E0
4.912477473E0,2.285811901E0,-2.122652769E0,-1.419209242E0
4.962477733E0,1.816056490E0,-1.607082605E0,-1.042305350E0
5.014477459E0,9.474061728E-1,1.821416914E-1,-1.224954009E0
5.066477458E0,7.861377597E-1,1.361111522E0,-1.055744410E0
5.116477586E0,9.657320976E-1,1.377604961E0,-8.401089311E-1
5.168477513E0,1.095846415E0,7.826222777E-1,-1.251221180E0
5.220477478E0,1.152656913E0,7.056531906E-1,-1.629957676E0
5.270477606E0,1.365848899E0,-1.095177531E0,-2.581685781E0
5.322477430E0,1.426935434E0,-1.192916036E0,-2.972028494E0
5.372477462E0,8.160701394E-1,-1.130607724E0,-2.892616272E0
5.422477625E0,3.554777503E-1,-4.678189456E-1,-1.607355714E0
5.474477551E0,5.350721478E-1,-1.239952683E0,-1.253664732E0
5.526477415E0,7.378793955E-1,-3.120482862E-1,-1.697152853E0
5.576477645E0,7.427663207E-1,6.372363567E-1,-1.859643102E0
5.628477603E0,7.274947166E-1,1.035520434E0,-1.709981084E0
5.680477366E0,4.971984923E-1,6.079148054E-1,-1.584142804E0
5.730477629E0,4.733747542E-1,9.096822143E-1,-1.247555971E0
5.780477756E0,5.179678798E-1,7.013771534E-1,-8.431632519E-1
5.832477517E0,4.819268584E-1,-2.005470730E-2,-2.487913668E-1
5.882477547E0,1.771050990E-1,-4.172209650E-3,3.009873629E-1
5.932477606E0,3.872427344E-1,-1.756744623E0,7.365342975E-1
5.984477300E0,2.449111491E-1,-2.737794161E0,3.571869433E-1
6.034477664E0,-2.278985381E-1,-2.473900318E0,-4.265531600E-1
6.086477556E0,-6.836040020E-1,-5.988818645E0,-2.506549358E0
6.138477283E0,-8.192161322E-1,-1.122666478E0,-2.197451353E0
6.188477414E0,-2.227260590E0,-1.302871704E0,-5.316219330E-1
6.238477439E0,-2.127078533E0,-1.516674519E0,4.695861638E-1
6.290477367E0,-2.527806044E0,-1.523393989E0,1.776837826E0
6.340477498E0,-2.751382828E0,-3.362709284E0,3.205651522E0
