"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.000033300E-2,-3.315915823E0,-1.007197380E0,-9.372773170E-1
1.000006000E-1,-2.296313047E0,-8.628888130E-1,-1.768138409E0
1.500007540E-1,-1.258561373E0,-6.489570141E-1,-2.424476147E0
2.000008610E-1,-7.956957817E-2,-4.121992588E-1,-2.963716984E0
2.500009850E-1,9.769115448E-1,-1.800818443E-1,-3.295613766E0
3.000010520E-1,2.009855747E0,4.610490799E-2,-3.492193699E0
3.600010510E-1,3.012263060E0,3.052692413E-1,-3.575425625E0
4.200009820E-1,-6.162659645E0,-1.005667567E0,-4.303853035E0
4.800009470E-1,-4.939255238E0,-9.967150688E-1,-3.514475822E0
5.400009120E-1,-6.610798836E-1,2.015120983E-1,-3.239233971E0
6.000008440E-1,-4.422369003E-1,3.751804829E-1,1.227182865E0
6.500008760E-1,1.120283127E0,-9.456350803E-1,3.659487247E0
7.000009080E-1,1.626491547E-1,-6.915979385E-1,1.962676287E0
7.600009070E-1,2.812116623E0,-2.689227581E0,5.278080940E0
8.100009390E-1,2.874097824E0,2.201819420E-2,-1.717014909E0
8.700009380E-1,-1.902987957E0,-3.789879322E0,-4.906697273E-1
9.300009360E-1,2.377955437E0,2.187237263E0,-1.847411633E0
9.900009350E-1,7.111690521E0,5.901615143E0,-9.287848473E-1
1.040000967E0,1.434805107E1,2.540050030E0,6.003060341E0
1.100000966E0,1.034094048E1,1.606086016E0,4.820948601E0
1.160000930E0,4.465080261E0,-1.826285601E0,-5.256409645E-1
1.210000963E0,-1.998841286E0,-3.621882439E0,-3.410223246E0
1.270000927E0,-3.223343611E0,-4.414774895E0,-4.452188015E0
1.330000959E0,-4.329565525E0,-4.069265842E0,-5.255652905E0
1.390000924E0,-1.494692326E0,-4.065186501E0,-5.640298367E0
1.440000956E0,-1.839109659E0,-3.188126326E0,-6.091278553E0
1.490000988E0,-2.654282331E0,-1.240851164E0,-2.201058865E0
1.550000987E0,-9.655106544E0,2.659120560E0,5.919504166E0
1.610000986E0,-2.335593987E1,4.612404823E0,9.571732521E0
1.670000951E0,-3.637590408E1,1.502500343E1,-9.286487579E0
1.730000882E0,-6.702573299E0,4.744596481E-1,-1.416535187E1
1.790000847E0,1.759806824E1,-3.867452240E1,7.361840248E0
1.850000846E0,1.570572758E1,-7.694334030E0,-3.790627289E1
1.900000878E0,1.139820957E1,-6.892313957E0,-2.411663818E1
1.950000910E0,5.331059933E0,2.937686443E-1,-5.663702965E0
2.010000909E0,3.316195488E0,6.303613663E0,-1.067241478E1
2.060000941E0,6.582350731E0,-1.870148063E0,-4.882897377E0
2.120000940E0,4.007259846E0,-3.646060467E0,-1.274767160E0
2.180000904E0,6.169673920E0,-1.588490844E0,-4.541103363E0
2.240000903E0,7.172906399E0,-1.231957674E-1,-4.245496273E0
2.290000935E0,7.647719860E0,-7.166988373E0,-1.230060101E0
2.350000934E0,7.549041271E0,-1.965931129E1,6.778545380E-1
2.410000898E0,1.868014336E1,-1.774949646E1,-5.829343796E-1
2.460000931E0,1.798546982E1,-1.116382980E1,5.489620209E0
2.520000895E0,1.482572937E1,-3.048514366E0,6.572661400E0
2.580000927E0,1.119493103E1,7.851543427E-1,5.401989937E0
2.640000892E0,1.218834400E1,2.676931858E0,3.880585670E0
2.700000891E0,1.094771671E1,2.369976044E-1,2.220248461E0
2.750000956E0,7.079771042E0,-2.471761703E0,-5.234956741E-2
2.810000955E0,2.511324883E0,-5.778286934E0,-2.221610069E0
2.860000988E0,-6.315848827E-1,-6.629900932E0,-3.219017267E0
2.920000953E0,-4.301175117E0,-4.262619495E0,-5.569390297E0
2.980000918E0,-4.055745602E0,-2.808383942E0,-4.369293213E0
3.040000883E0,-5.096562386E0,-2.741632938E0,-4.365067005E0
3.100000849E0,-5.649753571E0,-4.997887611E-1,-3.117485523E0
3.160000880E0,-4.093482971E0,8.861951828E-1,-5.033042431E-1
3.220000879E0,-1.026556969E0,-2.085399628E-2,1.452191353E0
3.270000911E0,1.279225707E0,-6.788187027E-1,1.217057943E0
3.320000944E0,5.333395958E0,-1.294175148E0,2.196490049E0
3.380000943E0,9.665333748E0,2.628212452E0,6.971525192E0
3.430478048E0,9.177609444E0,1.859495163E0,1.035528946E1
3.490478047E0,9.798809052E0,-1.816399574E0,8.456624031E0
3.540478079E0,8.128193855E0,-3.588453293E0,3.755052090E0
3.600478044E0,6.316752911E0,-4.288291454E0,3.680129051E-1
3.660478008E0,5.768783092E0,-5.288702488E0,-4.265066147E0
3.710478041E0,7.145158291E0,-5.466255665E0,-4.064279079E0
3.760478072E0,4.852590561E0,-3.530576944E0,-3.183341980E0
3.820478037E0,-4.283013344E-1,-4.480954170E0,-6.439782143E0
3.880478002E0,3.207297325E-1,-1.931924820E0,-3.089078903E0
3.940478034E0,2.175712585E-2,-2.565651417E0,-6.843528748E0
3.990478099E0,-3.324353218E0,8.552173376E-1,-1.357051277E1
4.050478064E0,-3.519145012E0,2.354476213E0,-1.105183029E1
4.110478063E0,-4.464996338E0,3.543683052E0,-1.204398727E1
4.170478028E0,1.003235245E1,5.620018959E0,8.928800583E0
4.230477993E0,6.417735577E0,6.389872551E0,9.344858170E0
4.290477924E0,6.143252373E0,8.330403328E0,4.539165497E0
4.350477923E0,7.456707954E-1,7.715883255E-1,-4.352854252E0
4.400477955E0,-2.192018270E0,-6.901865005E-1,-8.779592514E-1
4.450477987E0,-6.170098305E0,-6.463886738E0,-1.728651285E0
4.510477986E0,-8.752108574E0,-1.012528419E1,-6.549402237E0
4.560478018E0,-8.292628288E0,-1.042194462E1,-1.113777733E1
4.620478017E0,-4.265990257E0,-1.053397369E1,-1.151225090E1
4.680477982E0,-1.110772610E0,-1.131387901E1,-6.881464958E0
4.740477981E0,9.591367722E0,-1.813593483E1,3.291839600E0
4.790478013E0,6.642046928E0,-1.693775558E1,-2.611126423E0
4.850478012E0,1.230859661E1,-9.124201775E0,4.486784458E0
4.910477976E0,1.570300007E1,-1.824576378E0,1.085870934E1
4.960478009E0,1.361083126E1,7.300567627E-2,1.335147762E1
5.020477973E0,4.207136154E0,-1.828053474E0,8.718738556E0
5.080478005E0,3.964800358E0,-5.371141434E-1,4.814790249E0
5.140477970E0,2.604630947E0,-5.563917160E-1,2.098401070E0
5.190478002E0,1.230279207E0,-6.520562172E0,2.156066895E-1
5.240478034E0,5.521995544E0,-3.895326614E0,1.636892319E0
5.300478033E0,6.031812668E0,-8.317680359E-1,3.232362747E0
5.350478066E0,4.898600101E0,-7.159614563E-2,8.387584686E-1
5.410478031E0,4.126329422E0,3.084746361E0,-2.470464706E-1
5.470477996E0,3.158979893E0,3.427351713E0,-2.894535303E0
5.530477927E0,3.122156382E0,2.246692657E0,-2.864853621E0
5.580477960E0,5.087671280E-1,1.413718462E0,-3.169449091E0
5.640477891E0,9.164981842E-1,-1.959542990E0,-1.665570736E0
5.690477923E0,3.148755074E0,-1.041886806E0,1.306763649E0
5.740477956E0,4.079601288E0,1.860114574E0,3.833734512E0
5.790477988E0,2.857435703E0,2.642333984E0,2.568905830E0
5.850477986E0,1.571751595E0,1.161233664E0,-1.683137894E0
5.910477951E0,-1.055908203E-2,1.000020027E0,-3.448091269E0
5.970477983E0,-1.701991558E0,1.684597254E0,-1.634946823E0
6.020478015E0,-2.013546944E0,1.330329180E0,-2.604809046E0
6.080478014E0,-4.118600368E0,7.627506256E-1,-2.168692589E0
6.130478046E0,-5.075662613E0,2.152056932E0,-1.470711708E0
