"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.000083300E-2,4.620000076E1,-2.700000048E0,-1.067999935E1
1.000012110E-1,4.715999985E1,-1.559999943E0,-1.097999954E1
1.500013580E-1,4.613999939E1,-2.399999857E0,-1.007999992E1
2.000014130E-1,4.650000000E1,-2.939999819E0,-9.659999847E0
2.500014560E-1,4.643999863E1,-3.599999905E0,-1.067999935E1
3.000014900E-1,4.511999893E1,-4.500000000E0,-1.529999924E1
3.600014550E-1,3.768000031E1,-6.539999962E0,-2.615999985E1
4.200013870E-1,1.769999886E1,-8.639999390E0,-4.079999924E1
4.800013520E-1,-7.019999981E0,-9.899999619E0,-4.200000000E1
5.300013840E-1,-1.697999954E1,-1.205999947E1,-3.791999817E1
5.800014170E-1,-2.039999962E1,-1.296000004E1,-3.629999924E1
6.300014490E-1,-2.645999908E1,-1.343999958E1,-3.143999863E1
6.900014140E-1,-3.305999756E1,-1.523999977E1,-2.351999855E1
7.400014460E-1,-3.557999802E1,-1.710000038E1,-1.673999977E1
8.000014110E-1,-3.845999908E1,-1.500000000E1,-1.092000008E1
8.500014430E-1,-3.971999741E1,-1.385999966E1,-9.059999466E0
9.100014420E-1,-3.959999847E1,-1.301999950E1,-1.026000023E1
9.600014740E-1,-3.611999893E1,-1.613999939E1,-1.685999870E1
1.020001472E0,-2.585999870E1,-2.279999924E1,-2.676000023E1
1.080001504E0,-8.939999580E0,-2.550000000E1,-3.468000031E1
1.140001469E0,6.960000038E0,-2.543999863E1,-3.677999878E1
1.200001468E0,2.045999908E1,-2.387999916E1,-3.473999786E1
1.260001432E0,2.843999863E1,-2.063999939E1,-3.143999863E1
1.320001464E0,3.479999924E1,-1.650000000E1,-2.742000008E1
1.380001463E0,3.989999771E1,-1.217999935E1,-2.171999931E1
1.430001495E0,4.493999863E1,-1.001999950E1,-1.703999901E1
1.490001460E0,4.715999985E1,-9.539999962E0,-6.960000038E0
1.550001425E0,4.895999908E1,-1.307999992E1,5.699999809E0
1.610001390E0,4.223999786E1,-2.573999977E1,-1.019999981E0
1.670001355E0,2.507999992E1,-3.450000000E1,-1.763999939E1
1.720001388E0,2.681999969E1,-3.905999756E1,-6.299999714E0
1.770001420E0,3.000000000E1,-3.809999847E1,3.539999962E0
1.830001419E0,3.509999847E1,-3.479999924E1,2.279999971E0
1.880001451E0,3.479999924E1,-3.450000000E1,9.719999313E0
1.940001416E0,3.995999908E1,-2.939999962E1,8.819999695E0
2.000001380E0,4.536000061E1,-2.057999992E1,5.879999638E0
2.060001412E0,4.625999832E1,-1.277999973E1,-9.119999886E0
2.110001444E0,3.965999985E1,-8.639999390E0,-2.550000000E1
2.170001443E0,2.100000000E1,-7.500000000E0,-3.959999847E1
2.220001475E0,1.079999924E0,-4.619999886E0,-4.481999969E1
2.280001440E0,-2.052000046E1,6.480000019E0,-3.834000015E1
2.330001472E0,-2.813999939E1,1.926000023E1,-2.747999954E1
2.390001437E0,-2.063999939E1,3.336000061E1,-1.955999947E1
2.450001436E0,-1.121999931E1,3.936000061E1,-1.655999947E1
2.510001367E0,-7.919999599E0,4.086000061E1,-1.475999928E1
2.570001399E0,-1.061999989E1,4.068000031E1,-1.589999962E1
2.620001431E0,-1.451999950E1,3.821999741E1,-1.697999954E1
2.670001464E0,-1.776000023E1,3.473999786E1,-2.027999878E1
2.730001462E0,-2.315999985E1,2.843999863E1,-2.555999947E1
2.790001461E0,-2.495999908E1,2.027999878E1,-2.855999947E1
2.850001426E0,-2.753999901E1,1.415999985E1,-2.915999985E1
2.910001392E0,-2.868000031E1,1.061999989E1,-3.071999931E1
2.970001357E0,-2.885999870E1,1.050000000E1,-2.951999855E1
3.020001389E0,-2.861999893E1,1.284000015E1,-2.939999962E1
3.080001388E0,-2.777999878E1,1.769999886E1,-2.753999901E1
3.130001420E0,-2.705999947E1,2.184000015E1,-2.555999947E1
3.190001419E0,-2.663999939E1,2.705999947E1,-2.123999977E1
3.250478015E0,-2.885999870E1,3.119999886E1,-1.589999962E1
3.310478047E0,-2.951999855E1,2.963999939E1,-1.475999928E1
3.360478079E0,-3.131999969E1,2.555999947E1,-1.734000015E1
3.420478078E0,-3.557999802E1,1.655999947E1,-2.297999954E1
3.480478076E0,-3.563999939E1,5.819999695E0,-2.784000015E1
3.540478041E0,-3.323999786E1,-3.839999914E0,-3.179999924E1
3.590478106E0,-3.131999969E1,-1.026000023E1,-3.221999741E1
3.650478037E0,-2.807999992E1,-1.811999893E1,-3.047999954E1
3.700478070E0,-2.165999985E1,-2.543999863E1,-3.071999931E1
3.760478001E0,-1.547999954E1,-3.215999985E1,-2.987999916E1
3.810478033E0,-9.479999542E0,-3.588000107E1,-2.753999901E1
3.860478099E0,-8.399999738E-1,-3.834000015E1,-2.711999893E1
3.920478030E0,6.000000000E0,-3.929999924E1,-2.573999977E1
3.980478028E0,6.000000000E0,-3.905999756E1,-2.634000015E1
4.040478027E0,-3.899999857E0,-3.695999908E1,-2.634000015E1
4.100477958E0,-9.719999313E0,-3.870000076E1,-2.063999939E1
4.160477957E0,-9.300000191E0,-4.241999817E1,-1.139999962E1
4.220477956E0,-4.619999886E0,-4.463999939E1,-3.240000010E0
4.270477988E0,-2.039999962E0,-4.511999893E1,1.679999948E0
4.330477987E0,-3.480000019E0,-4.655999756E1,7.079999924E0
4.380478019E0,-1.253999996E1,-4.434000015E1,7.440000057E0
4.440477984E0,-2.627999878E1,-3.839999771E1,3.779999971E0
4.500477949E0,-3.750000000E1,-2.597999954E1,-3.480000019E0
4.560477981E0,-4.391999817E1,-6.839999676E0,-1.097999954E1
4.610478013E0,-4.247999954E1,1.121999931E1,-1.338000011E1
4.670478012E0,-3.347999954E1,2.850000000E1,-1.019999981E1
4.720478044E0,-2.657999992E1,3.671999741E1,-3.419999838E0
4.780478009E0,-1.829999924E1,4.121999741E1,9.599999785E-1
4.830478041E0,-1.637999916E1,4.205999756E1,1.740000010E0
4.890478006E0,-1.835999870E1,4.073999786E1,1.139999986E0
4.950478005E0,-2.027999878E1,3.881999969E1,-1.199999973E-1
5.010477969E0,-2.315999985E1,3.671999741E1,-1.319999933E0
5.070478001E0,-2.700000000E1,3.521999741E1,-2.879999876E0
5.130478000E0,-3.059999847E1,3.323999786E1,-4.319999695E0
5.180478066E0,-3.234000015E1,3.204000092E1,-8.340000153E0
5.240478031E0,-3.270000076E1,2.945999908E1,-1.223999977E1
5.300477996E0,-3.371999741E1,2.676000023E1,-1.619999886E1
5.360477961E0,-3.570000076E1,2.237999916E1,-1.829999924E1
5.420477960E0,-3.923999786E1,1.451999950E1,-1.853999901E1
5.480477891E0,-4.187999725E1,5.819999695E0,-1.542000008E1
5.530477923E0,-4.271999741E1,9.599999785E-1,-1.397999954E1
5.580477956E0,-4.350000000E1,-2.220000029E0,-1.193999958E1
5.630477988E0,-4.320000076E1,-6.420000076E0,-8.880000114E0
5.690477986E0,-4.265999985E1,-1.146000004E1,-9.960000038E0
5.750477951E0,-4.002000046E1,-1.602000046E1,-1.043999958E1
5.810477983E0,-3.671999741E1,-2.021999931E1,-1.163999939E1
5.860478015E0,-3.455999756E1,-2.327999878E1,-1.289999962E1
5.920478014E0,-3.311999893E1,-2.495999908E1,-1.373999977E1
5.970478046E0,-3.336000061E1,-2.592000008E1,-1.307999992E1
6.030477978E0,-3.425999832E1,-2.555999947E1,-1.211999989E1
6.080478010E0,-3.527999878E1,-2.442000008E1,-7.379999638E0
6.140477975E0,-3.725999832E1,-2.405999947E1,-1.979999900E0
6.200477974E0,-3.450000000E1,-2.705999947E1,4.980000019E0
6.260477938E0,-2.742000008E1,-3.318000031E1,1.043999958E1
6.320477970E0,-2.495999908E1,-3.497999954E1,9.599999428E0
6.380477969E0,-2.537999916E1,-3.552000046E1,6.420000076E0
6.430478001E0,-2.855999947E1,-3.329999924E1,4.440000057E0
6.490477966E0,-3.384000015E1,-2.771999931E1,4.440000057E0
6.550477931E0,-3.959999847E1,-1.787999916E1,3.779999971E0
6.610477896E0,-4.434000015E1,-7.739999771E0,2.879999876E0
6.670477895E0,-4.452000046E1,-1.379999995E0,1.259999990E0
6.730477860E0,-4.518000031E1,-7.199999690E-1,-2.819999933E0
6.780477892E0,-4.331999969E1,-3.539999962E0,-9.179999352E0
6.830477925E0,-3.905999756E1,-1.026000023E1,-1.805999947E1
6.880477957E0,-2.969999886E1,-1.745999908E1,-2.807999992E1
6.940477922E0,-1.307999992E1,-2.171999931E1,-3.581999969E1
7.000477887E0,5.339999676E0,-2.279999924E1,-3.779999924E1
7.060477919E0,1.950000000E1,-2.045999908E1,-3.563999939E1
7.110477951E0,2.711999893E1,-1.769999886E1,-3.042000008E1
7.170477950E0,3.750000000E1,-1.547999954E1,-2.237999916E1
7.220477982E0,4.553999710E1,-1.355999947E1,-1.103999996E1
7.280477947E0,4.859999847E1,-1.139999962E1,4.259999752E0
7.330477979E0,4.727999878E1,-1.367999935E1,1.013999939E1
7.390477977E0,3.575999832E1,-2.879999924E1,-3.059999943E0
7.450477976E0,1.679999924E1,-3.786000061E1,-1.763999939E1
7.510477907E0,1.769999886E1,-4.254000092E1,-6.179999828E0
7.560477939E0,2.711999893E1,-3.750000000E1,3.240000010E0
7.610478005E0,3.497999954E1,-3.395999908E1,1.085999966E1
7.670477970E0,3.713999939E1,-3.011999893E1,1.205999947E1
7.730477935E0,4.109999847E1,-2.351999855E1,1.139999962E1
7.790477934E0,4.493999863E1,-1.655999947E1,1.007999992E1
7.850477865E0,4.565999985E1,-9.239999771E0,8.039999962E0
7.910477864E0,4.602000046E1,-2.939999819E0,6.239999771E0
7.970477863E0,4.470000076E1,1.439999938E0,2.579999924E0
8.020477895E0,4.505999756E1,4.500000000E0,-2.039999962E0
8.080477894E0,4.379999924E1,5.639999866E0,-9.239999771E0
8.130477926E0,4.277999878E1,4.739999771E0,-1.331999969E1
8.190477891E0,4.127999878E1,2.039999962E0,-1.902000046E1
8.250477856E0,3.839999771E1,-2.339999914E0,-2.592000008E1
8.310477888E0,3.389999771E1,-6.359999657E0,-3.107999992E1
8.360477920E0,2.861999893E1,-7.739999771E0,-3.534000015E1
8.420477919E0,2.442000008E1,-8.939999580E0,-3.834000015E1
8.470477951E0,1.865999985E1,-9.359999657E0,-4.097999954E1
8.530477916E0,1.542000008E1,-1.073999977E1,-4.307999802E1
8.580477981E0,9.599999428E0,-1.007999992E1,-4.397999954E1
8.640477946E0,7.019999981E0,-1.013999939E1,-4.404000092E1
8.700477911E0,3.240000010E0,-9.539999962E0,-4.559999847E1
8.760477842E0,1.799999923E-1,-7.379999638E0,-4.523999786E1
8.820477874E0,-1.439999938E0,-5.940000057E0,-4.602000046E1
8.880477839E0,-2.339999914E0,-4.019999981E0,-4.613999939E1
8.930477871E0,-3.779999971E0,-2.220000029E0,-4.595999908E1
8.990477870E0,-5.819999695E0,-7.199999690E-1,-4.571999741E1
9.040477902E0,-6.420000076E0,2.399999946E-1,-4.607999802E1
9.100477867E0,-6.719999790E0,5.399999619E-1,-4.505999756E1
9.160477866E0,-8.340000153E0,1.439999938E0,-4.536000061E1
9.220477865E0,-7.919999599E0,1.259999990E0,-4.577999878E1
9.270477897E0,-7.919999599E0,1.079999924E0,-4.595999908E1
9.330477862E0,-8.639999390E0,8.999999762E-1,-4.529999924E1
9.380477894E0,-8.460000038E0,1.559999943E0,-4.571999741E1
9.440477859E0,-9.359999657E0,1.979999900E0,-4.547999954E1
9.490477924E0,-1.019999981E1,1.500000000E0,-4.553999710E1
9.550477889E0,-1.097999954E1,1.259999990E0,-4.445999908E1
9.600477921E0,-1.200000000E1,1.319999933E0,-4.439999771E1
9.650477954E0,-1.247999954E1,1.319999933E0,-4.511999893E1
9.710477986E0,-1.451999950E1,1.740000010E0,-4.409999847E1
9.770477984E0,-1.517999935E1,1.559999943E0,-4.355999756E1
9.830477982E0,-1.631999969E1,2.159999847E0,-4.386000061E1
9.890477947E0,-1.769999886E1,2.399999857E0,-4.320000076E1
9.950477912E0,-1.842000008E1,1.860000014E0,-4.320000076E1
1.001047788E1,-1.968000031E1,2.999999821E-1,-4.259999847E1
1.007047791E1,-1.973999977E1,-8.399999738E-1,-4.313999939E1
1.012047794E1,-2.034000015E1,-1.559999943E0,-4.200000000E1
1.018047794E1,-1.950000000E1,-2.519999981E0,-4.205999756E1
1.024047790E1,-1.955999947E1,-2.279999971E0,-4.211999893E1
1.030047787E1,-1.968000031E1,-3.720000029E0,-4.223999786E1
1.036047783E1,-1.973999977E1,-3.480000019E0,-4.236000061E1
1.042047780E1,-2.160000038E1,-4.679999828E0,-4.115999985E1
1.048047776E1,-2.135999870E1,-5.279999733E0,-4.134000015E1
1.053053671E1,-2.189999962E1,-5.819999695E0,-4.139999771E1
1.058053674E1,-2.123999977E1,-4.619999886E0,-4.061999893E1
1.063053677E1,-2.160000038E1,-4.679999828E0,-4.181999969E1
1.069053674E1,-2.063999939E1,-6.239999771E0,-4.187999725E1
1.075053670E1,-1.955999947E1,-6.719999790E0,-4.284000015E1
1.081053673E1,-1.847999954E1,-8.819999695E0,-4.307999802E1
1.086053677E1,-1.613999939E1,-1.073999977E1,-4.427999878E1
1.092053677E1,-1.529999924E1,-1.434000015E1,-4.236000061E1
1.097053680E1,-1.127999973E1,-1.781999969E1,-4.355999756E1
1.103053676E1,-7.379999638E0,-2.076000023E1,-4.152000046E1
1.108053679E1,-2.700000048E0,-2.219999886E1,-4.134000015E1
1.114053679E1,1.740000010E0,-2.435999870E1,-4.109999847E1
1.120053679E1,5.819999695E0,-2.657999992E1,-3.965999985E1
