"Time (s)","Pressure (hPa)"
1.000000000E-1,1.022191162E3
2.000000000E-1,1.022197510E3
3.000000000E-1,1.022197510E3
4.000000000E-1,1.022201172E3
5.000002000E-1,1.022204346E3
6.000003660E-1,1.022204346E3
7.000005080E-1,1.022190674E3
8.000006330E-1,1.022202637E3
9.000006330E-1,1.022202637E3
1.000000633E0,1.022267090E3
1.100000633E0,1.022281250E3
1.200000633E0,1.022281250E3
1.300000633E0,1.022231201E3
1.400000633E0,1.022203125E3
1.500000633E0,1.022203125E3
1.600000633E0,1.022098877E3
1.700000691E0,1.022116699E3
1.800000691E0,1.022116699E3
1.900000743E0,1.022177979E3
2.000000743E0,1.022199707E3
2.100000790E0,1.022199707E3
2.200000790E0,1.022117676E3
2.300000790E0,1.022125244E3
2.400000790E0,1.022125244E3
2.500000790E0,1.022135742E3
2.600000790E0,1.022170898E3
2.700000790E0,1.022170898E3
2.800000790E0,1.022185303E3
2.900000790E0,1.022192627E3
3.000000823E0,1.022192627E3
3.100000856E0,1.022205811E3
3.200000889E0,1.022225830E3
3.300000922E0,1.022225830E3
3.400478015E0,1.022243164E3
3.500477981E0,1.022240967E3
3.600477947E0,1.022240967E3
3.700477913E0,1.022289062E3
3.800477879E0,1.022274414E3
3.900477879E0,1.022274414E3
4.000477879E0,1.022250000E3
4.100477879E0,1.022223389E3
4.200477912E0,1.022223389E3
4.300477912E0,1.022203369E3
4.400477945E0,1.022217529E3
4.500477945E0,1.022217529E3
4.600477978E0,1.022169678E3
4.700477944E0,1.022171387E3
4.800477944E0,1.022171387E3
4.900477910E0,1.022142090E3
5.000477910E0,1.022144043E3
5.100477876E0,1.022144043E3
5.200477876E0,1.022244141E3
5.300477876E0,1.022214844E3
5.400477876E0,1.022214844E3
5.500477909E0,1.022196533E3
5.600477942E0,1.022220947E3
5.700477975E0,1.022220947E3
5.800478008E0,1.022200439E3
5.900478008E0,1.022212646E3
6.000477974E0,1.022212646E3
6.100477940E0,1.022230713E3
6.200477906E0,1.022244873E3
6.300477872E0,1.022244873E3
6.400477872E0,1.022233154E3
6.500477872E0,1.022239746E3
6.600477872E0,1.022239746E3
6.700477905E0,1.022224609E3
6.800477905E0,1.022240234E3
6.900477938E0,1.022240234E3
7.000477938E0,1.022241699E3
7.100477971E0,1.022222412E3
7.200477937E0,1.022222412E3
7.300477937E0,1.022154053E3
7.400477903E0,1.022095459E3
7.500477903E0,1.022095459E3
7.600477869E0,1.022182129E3
7.700477869E0,1.022176514E3
7.800477869E0,1.022176514E3
7.900477869E0,1.022159912E3
8.000477902E0,1.022141357E3
8.100477935E0,1.022141357E3
8.200477968E0,1.022162598E3
8.300478001E0,1.022170654E3
8.400478001E0,1.022170654E3
8.500477967E0,1.022172119E3
8.600477933E0,1.022196777E3
8.700477899E0,1.022196777E3
8.800477865E0,1.022216797E3
8.900477865E0,1.022222168E3
9.000477865E0,1.022222168E3
9.100477865E0,1.022219971E3
9.200477898E0,1.022225586E3
9.300477898E0,1.022225586E3
