,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,1.55965320005e+18,-1.740637779,4.783761024,7.807730198
1,1.5596532001e+18,-0.2585816681,-2.123721838,-2.889889717
2,1.55965320016e+18,4.834040642,7.776604652,1.778946161
3,1.55965320021e+18,5.614574432,0.08858817071,-10.34326744
4,1.55965320026e+18,2.063864946,-2.150058746,-3.658451796
5,1.55965320031e+18,2.025556564,-6.507638931,10.69761944
6,1.55965320036e+18,3.198751211,-17.83016396,5.700768471
7,1.55965320042e+18,-6.80452919,-28.79594231,7.594639778
8,1.55965320047e+18,-17.15976715,-6.601015568,5.478100777
9,1.55965320052e+18,-7.570696831,-14.19565487,12.59867382
10,1.55965320057e+18,-6.651295185,-9.823709488,14.30579185
11,1.55965320062e+18,-6.548341751,-4.108575344,8.265036583
12,1.55965320068e+18,-4.963331699,-0.3806896806,5.473312378
13,1.55965320073e+18,-3.77337718,4.053507328,4.771789551
14,1.55965320078e+18,-0.986441195,2.308080912,1.953728199
15,1.55965320083e+18,5.229096413,-1.814860344,-9.205986977
16,1.55965320088e+18,8.801354408,2.597788095,-21.64424515
17,1.55965320094e+18,4.869955063,5.06867981,-0.8882759809
18,1.55965320099e+18,-1.446141958,-13.08231735,16.21163559
19,1.55965320104e+18,-5.073468208,-25.81986046,27.19177818
20,1.55965320109e+18,-3.0096035,-24.03851891,-3.237059593
21,1.55965320114e+18,-1.601769805,-13.92510223,11.45181656
22,1.5596532012e+18,-10.32171917,-1.216291547,10.40073013
23,1.55965320125e+18,-3.62732625,-2.86355257,14.76549244
24,1.5596532013e+18,-7.491685867,-4.024775982,6.330462456
25,1.55965320135e+18,-5.401484013,-3.380716085,15.73517418
26,1.5596532014e+18,-4.139701366,-0.5530774593,10.18524456
27,1.55965320146e+18,0.4597007632,1.537124395,8.672063828
28,1.55965320151e+18,-2.746233225,1.142069101,7.376760483
29,1.55965320156e+18,-2.408640385,0.04788549617,-1.280937076
30,1.55965320161e+18,-5.047131062,-8.217150688,-5.806116581
31,1.55965320166e+18,-4.838829517,-5.413455486,-2.492439985
32,1.55965320172e+18,11.05436707,-0.634482801,5.355992794
33,1.55965320177e+18,-1.077423692,-8.794171333,12.33530426
34,1.55965320182e+18,-6.730306625,-19.24996948,3.742251635
35,1.55965320187e+18,-12.30178356,-25.18058777,18.84773064
36,1.55965320192e+18,12.44544029,-8.097437859,18.25634575
37,1.55965320198e+18,1.228263021,-1.142069101,19.91078949
38,1.55965320203e+18,-6.835654736,0.2394274771,14.95224571
39,1.55965320208e+18,-10.95141315,0.8068706393,10.38397026
40,1.55965320213e+18,-6.656084061,-3.378321648,10.10862827
