,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,1.55965351605e+18,-1.482056141,-0.9409499764,5.660065651
1,1.5596535161e+18,-1.891477108,-1.374313712,1.769369125
2,1.55965351616e+18,-2.537931204,-5.159662247,-1.956122518
3,1.55965351621e+18,-1.517970204,-0.3615354896,-2.602576733
4,1.55965351626e+18,2.590605259,1.927391171,-7.644919395
5,1.55965351631e+18,0.3064671755,-0.6871568561,-1.664021015
6,1.55965351636e+18,-2.174001455,-9.763853073,13.51089287
7,1.55965351642e+18,-1.134886265,-20.31063271,17.66256523
8,1.55965351647e+18,-1.872322917,-21.7471981,6.816500187
9,1.55965351652e+18,-6.057515144,-13.36005306,11.34646797
10,1.55965351657e+18,-0.1723877788,-9.636956215,14.21002102
11,1.55965351662e+18,-1.915419817,-9.134158134,10.89873886
12,1.55965351668e+18,-3.849993944,-5.911464691,9.744698524
13,1.55965351673e+18,-3.840416908,-5.272192955,7.618582249
14,1.55965351678e+18,-2.578634024,-3.684788942,4.45574522
15,1.55965351683e+18,-2.274561167,-5.643305779,2.418217659
16,1.55965351688e+18,-1.71669507,-1.817254543,6.40468502
17,1.55965351694e+18,0.6608198285,4.055901527,-1.879505754
18,1.55965351699e+18,6.653689861,7.623371124,-7.132544518
19,1.55965351704e+18,3.87872529,4.098998547,-1.71669507
20,1.55965351709e+18,0.7039167881,-5.042342663,7.173247337
21,1.55965351714e+18,-3.948159218,-29.10480499,23.12869453
22,1.5596535172e+18,-3.134105682,-25.12791443,3.545921087
23,1.55965351725e+18,-3.802108288,-17.11667061,3.160442829
24,1.5596535173e+18,-4.649681568,-13.15653992,7.36000061
25,1.55965351735e+18,-4.170826912,-10.70480251,10.50128937
26,1.5596535174e+18,-4.783761024,-5.944984436,6.122160912
27,1.55965351746e+18,-3.129317284,-3.325647593,7.395915031
28,1.55965351751e+18,-2.791724443,-2.578634024,6.83086586
29,1.55965351756e+18,-4.49644804,-1.218685865,5.822876453
30,1.55965351761e+18,-3.519583941,-0.4908263385,3.126922846
31,1.55965351766e+18,-1.927391171,2.856369734,-1.371919513
32,1.55965351772e+18,1.850774407,5.099805355,-4.980091572
33,1.55965351777e+18,-0.1125309169,3.656057596,-3.73267436
34,1.55965351782e+18,0.2753416002,-2.243435383,4.051113129
35,1.55965351787e+18,-4.11336422,-21.93634605,20.13585091
36,1.55965351792e+18,2.887495518,-20.7463913,6.900300026
37,1.55965351798e+18,-5.1333251,-21.20848656,2.406246185
38,1.55965351803e+18,-4.108575344,-15.26589584,6.12694931
39,1.55965351808e+18,-3.201145411,-11.79419804,7.010436535
40,1.55965351813e+18,-2.0375278,-8.731920242,7.510839939
41,1.55965351818e+18,-2.604970932,-5.650488377,8.095043182
42,1.55965351824e+18,-1.924996972,-3.131711483,5.844424725
43,1.55965351829e+18,-0.462095052,-2.930592299,6.964945316
44,1.55965351834e+18,-0.335198462,-1.443747759,1.905842781
45,1.55965351839e+18,-0.2059076279,-0.5889915824,6.316096783
46,1.55965351844e+18,1.206714511,0.332804203,2.743839025
47,1.5596535185e+18,1.247417212,0.1819648892,1.405439258
48,1.55965351855e+18,1.259388566,2.367937803,-2.686376333
49,1.5596535186e+18,-2.604970932,-5.071074009,3.179596901
50,1.55965351865e+18,-1.951334,-12.31136131,12.78063869
51,1.5596535187e+18,-3.03115201,-21.13665771,7.61379385
52,1.55965351876e+18,-5.135719299,-23.0185585,3.87872529
53,1.55965351881e+18,-4.527573586,-13.74313736,6.450176239
54,1.55965351886e+18,-4.477293968,-12.16770458,9.433443069
55,1.55965351891e+18,-2.473285913,-9.35203743,8.504464149
56,1.55965351896e+18,-4.652075768,-6.272999763,7.93223238
57,1.55965351902e+18,-3.083826065,-3.893090725,6.028783798
58,1.55965351907e+18,-3.809291124,-5.954561234,-0.7326480746
59,1.55965351912e+18,-3.474092722,-19.18053627,0.8954587579
60,1.55965351917e+18,-2.083019018,-18.18212318,2.557085514
61,1.55965351922e+18,-5.794145107,-13.37681293,6.495667458
62,1.55965351928e+18,-6.081458092,-9.809344292,7.927443981
63,1.55965351933e+18,-4.503631115,-5.559505939,6.828471661
64,1.55965351938e+18,-1.596981287,-2.664827824,9.366402626
65,1.55965351943e+18,0.8858816624,-0.2011190802,8.794171333
66,1.55965351948e+18,1.450930476,-0.07661679387,6.612987041
67,1.55965351954e+18,0.8739103079,-1.031932473,2.825244188
68,1.55965351959e+18,-3.22269392,-4.098998547,2.231464148
69,1.55965351964e+18,-0.5818088055,-0.7709565163,-7.072687626
70,1.55965351969e+18,4.067873001,-1.163617611,-9.33767128
71,1.55965351974e+18,-5.375146866,-17.55961227,11.37041092
72,1.5596535198e+18,-0.6201171875,-24.06964493,6.828471661
73,1.55965351985e+18,-2.264983892,-21.38087463,4.92023468
74,1.5596535199e+18,-7.570696831,-13.77186871,5.478100777
75,1.55965351995e+18,-4.11336422,-13.20681953,11.82053471
76,1.55965352e+18,-2.695953369,-9.445414543,8.226728439
77,1.55965352006e+18,-3.876330853,-5.430215359,8.660092354
78,1.55965352011e+18,-0.4477293789,-4.424619675,8.197997093
79,1.55965352016e+18,-2.341600657,-2.995237827,2.604970932
80,1.55965352021e+18,-2.011190891,-1.376708031,8.425453186
81,1.55965352026e+18,0.9146129489,0.3256213665,4.211529255
82,1.55965352032e+18,1.434170604,3.849993944,-4.836435318
