,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,1.55965381705e+18,-4.783761024,-4.38870573,4.972908974
1,1.5596538171e+18,-5.98329258,-4.970514297,5.463735104
2,1.55965381716e+18,-5.542746067,-4.70953846,4.786155224
3,1.55965381721e+18,-3.325647593,-4.587430477,5.487678051
4,1.55965381726e+18,-0.9170072675,-3.560286522,5.118959427
5,1.55965381731e+18,0.1963305324,-3.574652195,6.929031372
6,1.55965381736e+18,-1.235445857,-3.974496126,6.838048935
7,1.55965381742e+18,-11.3728056,-7.348029613,4.053507328
8,1.55965381747e+18,-7.113390446,-4.060689926,5.24106741
9,1.55965381752e+18,-7.594639778,-8.272219658,4.465322495
10,1.55965381757e+18,-4.649681568,-9.198803902,3.806896925
11,1.55965381762e+18,-5.473312378,-9.201197624,2.564268351
12,1.55965381768e+18,-7.649707794,-6.756643295,1.436564922
13,1.55965381773e+18,-10.01525116,-7.790970325,0.950527072
14,1.55965381778e+18,-8.803748131,-9.747093201,2.892283916
15,1.55965381783e+18,-7.225921154,-10.22834206,3.672817469
16,1.55965381788e+18,-6.220325947,-9.984126091,3.093403101
17,1.55965381794e+18,-5.243461609,-9.775823593,3.747040033
18,1.55965381799e+18,-3.263396502,-10.04398251,4.929811954
19,1.55965381804e+18,-1.041509509,-9.148524284,7.304932594
20,1.55965381809e+18,-4.829252243,-6.385530949,3.897879362
21,1.55965381814e+18,-4.953754425,-6.984099388,3.196356773
22,1.5596538182e+18,-5.456552505,-8.250671387,4.132518291
23,1.55965381825e+18,-5.461340904,-6.952973843,4.422225475
24,1.5596538183e+18,-5.952167034,-4.781366825,3.086220264
25,1.55965381835e+18,-6.258634567,-3.835628271,3.459727049
26,1.5596538184e+18,-4.527573586,-1.944151163,4.122941017
27,1.55965381846e+18,-4.427014351,-2.075836182,5.561900616
28,1.55965381851e+18,1.750214934,-3.074248791,7.209161282
29,1.55965381856e+18,-4.692778587,-2.286532402,4.012804508
30,1.55965381861e+18,-7.348029613,-2.205127001,5.458946705
31,1.55965381866e+18,-15.47419834,-3.926610708,-1.194743156
32,1.55965381872e+18,-12.9458437,-5.470917702,-1.834014535
33,1.55965381877e+18,-8.430241585,-8.418270111,1.199531674
34,1.55965381882e+18,-16.00093842,-7.656890869,0.1005595401
35,1.55965381887e+18,-11.8301115,-8.272219658,3.340013266
36,1.55965381892e+18,-16.29782867,-10.11820507,5.150084972
37,1.55965381898e+18,-14.8971777,-9.974549294,5.456552505
38,1.55965381903e+18,-9.804554939,-5.27937603,3.220299721
39,1.55965381908e+18,-2.22667551,-2.399063349,3.380716085
40,1.55965381913e+18,-2.018373728,1.000806928,1.563461423
41,1.55965381918e+18,2.253012657,1.963305354,0.5842030644
42,1.55965381924e+18,5.284164429,4.067873001,-1.692752242
43,1.55965381929e+18,6.632141113,5.755836487,-2.868341208
