,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,1.55965411805e+18,3.641691923,-0.004788549617,5.633728504
1,1.5596541181e+18,1.120520592,-1.300091267,4.024775982
2,1.55965411816e+18,-1.024749637,-1.843591571,3.442967176
3,1.55965411821e+18,-4.53715086,-1.12530911,5.681613922
4,1.55965411826e+18,-10.5970602,-1.807677507,6.498061657
5,1.55965411831e+18,-13.64018345,-0.1005595401,0.9960182905
6,1.55965411836e+18,-7.482108593,-2.762993097,9.205986977
7,1.55965411842e+18,-7.75984478,-5.660065651,8.803748131
8,1.55965411847e+18,-13.12780857,-4.620950222,1.769369125
9,1.55965411852e+18,-16.61626625,-6.12934351,4.180403709
10,1.55965411857e+18,-18.33056831,-8.523618698,6.790163517
11,1.55965411862e+18,-20.14064026,-7.371972084,7.185218811
12,1.55965411868e+18,-17.95945549,-8.197997093,4.587430477
13,1.55965411873e+18,-11.83250618,-6.924242973,1.046298146
14,1.55965411878e+18,-3.711125851,-6.004841328,0.8356019258
15,1.55965411883e+18,0.986441195,-0.2035133541,-2.736656189
16,1.55965411888e+18,1.783734679,-0.8188419938,0.5722316504
17,1.55965411894e+18,-0.8164477348,0.926584363,3.100585938
18,1.55965411899e+18,-6.629746914,4.077449799,3.723097324
19,1.55965411904e+18,0.06464541703,4.60179615,8.308133125
20,1.55965411909e+18,3.612960577,5.652883053,5.779779434
21,1.55965411914e+18,3.64648056,8.892336845,3.483669758
22,1.5596541192e+18,3.112557173,9.828497887,5.023188591
23,1.55965411925e+18,2.643279314,9.809344292,6.361588001
24,1.5596541193e+18,4.027170181,8.834874153,7.606611252
25,1.55965411935e+18,1.90823698,7.127756119,6.237085819
26,1.5596541194e+18,1.664021015,6.691998005,4.992063046
27,1.55965411946e+18,2.861158371,6.323279858,5.17402792
28,1.55965411951e+18,2.099778891,7.460560322,5.901887417
29,1.55965411956e+18,1.755003452,6.605803967,7.54914856
30,1.55965411961e+18,0.7518022656,6.943397045,7.04395628
31,1.55965411966e+18,1.766974807,6.426233768,6.713546753
32,1.55965411972e+18,3.79492569,6.095823765,5.648094177
33,1.55965411977e+18,3.543526649,7.371972084,4.927417755
34,1.55965411982e+18,8.085466385,11.56434727,6.244268894
35,1.55965411987e+18,17.19089317,22.79349709,4.798126698
36,1.55965411992e+18,23.24840927,33.50069427,1.027143836
37,1.55965411998e+18,10.79099655,3.270579338,12.92908382
38,1.55965412003e+18,-16.74077034,-30.59883118,-14.82056141
39,1.55965412008e+18,-15.03365135,-20.59315681,5.885127544
40,1.55965412013e+18,-2.765387297,1.664021015,-5.083045483
41,1.55965412018e+18,11.90194035,24.54610443,-1.395862222
42,1.55965412024e+18,-7.929838181,14.73676109,-3.763799906
43,1.55965412029e+18,-7.40309763,5.921041489,4.800520897
44,1.55965412034e+18,-4.386311531,0.9553156495,8.92585659
45,1.55965412039e+18,-1.735849261,-0.184359163,7.953781128
46,1.55965412044e+18,2.825244188,2.770175934,6.522004604
47,1.5596541205e+18,1.826831698,1.309668303,6.244268894
48,1.55965412055e+18,3.074248791,2.365543604,8.621783257
49,1.5596541206e+18,6.050332546,0.3088614643,10.2666502
50,1.55965412065e+18,5.502043724,-1.455719113,10.41749001
51,1.5596541207e+18,7.649707794,-2.391880512,9.047964096
52,1.55965412076e+18,6.644112587,-1.910631299,8.142929077
53,1.55965412081e+18,5.34402132,-1.788523316,6.438204765
54,1.55965412086e+18,3.612960577,-1.417410731,5.030371189
55,1.55965412091e+18,2.475680113,1.515576005,3.533949614
56,1.55965412096e+18,0.9194015265,5.628940105,4.719115734
57,1.55965412102e+18,-2.011190891,7.834067345,5.753442287
58,1.55965412107e+18,-5.822876453,2.794118643,9.172467232
59,1.55965412112e+18,-9.107821465,-3.94576478,9.69681263
60,1.55965412117e+18,-8.07828331,-3.557892323,7.450983047
61,1.55965412122e+18,-6.902694225,-2.595393896,4.661653042
62,1.55965412127e+18,-8.305739403,-4.271386147,4.321666241
63,1.55965412133e+18,-5.691191196,-4.053507328,3.787742853
64,1.55965412138e+18,-3.912245035,-4.599401951,3.610566378
65,1.55965412143e+18,-4.029564381,-5.640911579,3.929004908
66,1.55965412148e+18,-3.620143414,-7.134938717,4.939388752
